SA4_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201,123,325,646,533,544,441,140,15,0,2770,157,257,564,480,609,538,173,76,14,2868,4851,6932,15757,15854,16860,14049,3944,535,54,78847
202,131,242,608,564,534,493,163,13,0,2752,171,235,502,538,529,517,175,73,16,2757,4650,6405,14881,15590,16342,13941,4184,574,61,76625
203,234,585,1277,1162,1020,819,234,42,0,5377,245,540,1300,1221,1189,854,302,78,13,5734,8967,14548,34873,34220,32219,24817,7028,830,77,157566
204,161,281,638,565,593,531,201,27,0,2997,215,272,554,576,714,605,290,99,24,3344,5451,6421,15296,16128,18195,17035,6035,1075,118,85750
205,253,522,1143,932,1003,913,287,36,0,5100,328,405,963,913,1040,965,403,137,31,5186,7756,9864,24169,24199,26476,25202,8267,1342,147,127425
206,177,1018,3657,2216,1616,1189,371,68,10,10317,264,1512,5508,3224,2085,1305,454,120,24,14495,8791,37869,135809,82822,55947,36442,11394,1712,124,370901
207,177,551,1137,1012,1193,979,312,58,0,5422,216,739,1861,1741,1611,1090,373,86,30,7745,8250,19154,38975,38472,39861,29344,9469,1599,132,185265
208,205,575,1286,1333,1477,1122,400,63,3,6466,283,677,1972,2174,2206,1392,524,139,36,9395,10112,18383,43725,48986,51460,35292,11591,1684,161,221398
209,268,815,2317,2259,2010,1410,366,35,6,9484,329,1096,3002,2966,2382,1588,442,98,16,11918,11654,23926,62287,65247,54916,37339,9490,983,76,265919
210,184,662,1766,1628,1397,1022,241,37,0,6939,350,974,2617,2294,1805,1203,306,54,10,9623,8627,18219,48402,46518,37096,25647,5795,600,34,190944
211,366,1014,2201,2215,2411,1912,556,65,3,10748,393,948,2493,2713,2642,1991,615,114,29,11944,14000,23217,52213,58814,57973,44100,12056,1370,92,263832
212,448,1488,3878,3585,3169,2101,595,79,0,15345,696,2320,6578,5864,4596,3321,792,155,38,24365,18141,40722,100866,98265,79152,53322,12951,1401,125,404944
213,355,1290,3709,3383,2703,1689,442,29,0,13606,641,2146,6135,5508,3827,2291,519,73,24,21152,16277,35634,103459,109453,76043,46269,9613,677,44,397466
214,199,507,1207,1060,1183,945,300,54,4,5459,273,472,1177,1369,1473,1193,418,132,25,6539,8357,11707,26822,29861,32566,25836,7992,1106,74,144321
215,143,249,579,448,365,431,148,21,0,2385,173,266,656,479,579,515,190,114,22,2995,3922,5570,13952,12537,13729,13718,4511,852,104,68899
216,138,273,558,455,515,442,139,22,6,2548,154,215,509,485,542,432,172,67,25,2597,3854,4957,11645,11201,12742,11588,3729,559,78,60348
217,133,218,418,365,411,307,136,19,3,2012,165,182,408,352,449,389,223,87,26,2288,4021,4552,10987,10988,12667,12116,4383,822,104,60640
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
299,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
