SA4_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
201,323,3573,196,1160,461,158,23,106,28,6026,347,2374,47,841,291,104,13,76,16,4122,920,940,136,452,2054,459,33,175,65,5234,462,1448,114,2184,724,253,30,239,64,5527,145,444,83,173,194,135,13,71,15,1277,212,48,471,412,314,224,20,176,9,1888,0,3,0,4,4,3,0,3,0,19,47,99,27,65,89,30,9,19,10,381,58,59,38,99,111,62,12,72,69,565,2866,9540,1418,5574,4572,1594,212,1144,302,27225,229,499,139,101,137,55,20,55,23,1269,242,624,195,66,159,72,68,86,19,1524,1027,756,3078,233,290,241,829,687,89,7224,604,216,2237,81,92,91,227,374,60,3973,642,231,396,98,140,121,145,265,30,2078,454,4613,285,1468,508,189,49,155,36,7756,569,3307,111,956,344,135,53,111,25,5623,2049,1926,392,656,2485,798,248,383,104,9037,719,2087,221,2863,879,338,126,372,83,7681,265,790,225,248,273,223,63,157,27,2262
202,352,4007,201,1191,440,177,30,124,43,6563,338,2328,52,842,308,105,6,90,19,4090,860,916,102,341,1793,401,36,212,46,4706,486,1499,105,2044,640,263,38,267,61,5402,171,434,69,137,168,134,17,63,21,1209,188,52,466,370,271,200,27,211,23,1805,0,0,5,3,3,3,3,3,0,18,75,120,14,58,81,30,8,24,8,422,52,71,25,114,78,63,15,71,81,565,2894,10052,1353,5268,4095,1511,234,1273,321,27004,257,550,154,88,131,43,27,64,7,1317,210,479,157,36,116,55,36,69,13,1175,993,885,2956,218,288,218,758,698,87,7092,648,287,1979,96,110,94,244,358,43,3856,642,286,430,98,134,111,137,280,27,2142,485,5105,268,1506,484,215,61,177,58,8360,541,3256,124,993,352,136,56,137,29,5629,1913,1805,298,522,2244,670,215,383,80,8118,779,2210,205,2724,774,335,108,404,104,7648,275,774,201,217,213,199,62,154,32,2126
203,696,7586,499,2279,982,337,58,227,78,12741,647,4864,82,1668,545,189,23,114,54,8188,2092,2257,286,917,3966,1024,120,386,123,11175,969,2906,237,4237,1463,504,105,382,139,10942,416,1103,211,333,428,328,44,107,33,2993,364,113,990,803,565,435,67,328,40,3708,0,3,0,7,5,5,0,4,0,31,128,218,34,149,172,57,5,56,20,852,85,130,57,208,176,104,13,102,193,1074,6039,20789,3077,11131,9050,3382,585,2082,738,56875,524,1318,408,310,357,190,69,167,38,3379,511,1201,368,146,262,130,146,175,49,2972,1958,2486,5658,564,575,464,1480,1360,200,14745,1449,867,5367,298,335,257,508,979,152,10205,579,430,752,136,235,176,180,333,42,2868,1030,9846,705,2937,1097,409,157,345,109,16642,1022,6680,221,1953,615,247,107,188,73,11102,4785,4619,840,1424,4961,1761,645,791,245,20064,1573,4186,503,5566,1782,708,302,667,203,15483,674,1832,461,506,534,487,157,280,55,4990
204,467,3386,272,1402,476,169,36,157,50,6411,493,2400,58,953,285,77,11,102,36,4412,1147,928,161,481,2210,532,59,269,51,5832,516,1155,110,2295,688,267,45,319,56,5450,124,272,74,102,153,90,23,75,13,922,261,63,598,470,349,249,45,242,26,2316,0,5,0,8,0,3,3,10,0,38,56,80,21,63,76,30,4,21,14,358,73,65,32,123,120,82,17,104,101,724,3592,8963,1644,6125,4741,1697,314,1574,369,29020,274,456,140,92,112,59,27,72,16,1244,164,264,114,49,100,50,38,69,12,860,1405,820,4002,274,348,277,1133,889,142,9284,790,185,2304,114,94,98,294,465,76,4423,1016,392,538,151,218,155,222,465,45,3206,620,4153,322,1712,516,193,76,211,61,7881,772,3176,137,1125,315,94,72,160,46,5892,2314,1647,381,696,2510,808,297,499,84,9244,824,1546,239,2931,753,332,126,449,81,7277,220,443,156,163,191,139,64,148,20,1545
205,566,4758,340,1851,689,244,38,205,57,8755,617,3779,63,1488,450,137,17,113,50,6711,1278,1201,198,670,3316,784,62,336,99,7941,717,1787,160,3741,1024,420,52,472,111,8490,176,423,92,184,258,135,15,72,21,1378,384,101,871,711,556,423,43,376,41,3509,0,5,0,6,3,3,0,10,0,25,74,107,32,111,95,39,17,33,16,518,123,107,66,213,196,144,19,170,179,1209,4547,13045,2279,9310,7099,2595,359,2187,598,42018,305,648,187,141,163,72,27,83,26,1655,243,404,216,71,163,69,41,103,20,1324,2017,1375,6759,374,475,414,1764,1410,241,14830,1145,238,3636,145,161,179,610,913,130,7152,1286,509,639,208,249,193,314,654,56,4101,784,5926,448,2274,730,274,81,261,77,10855,949,4949,151,1646,507,167,67,174,56,8669,2629,2240,487,892,3800,1229,307,603,163,12348,1050,2448,312,4703,1176,537,164,674,147,11215,288,684,230,261,318,206,67,186,28,2273
206,1439,16346,403,2424,1302,416,55,252,162,22796,1262,8116,132,1654,849,271,29,121,104,12536,9643,12576,765,2521,7847,2794,205,1021,491,37871,4719,15714,489,3935,4535,1163,107,505,410,31579,2803,8560,911,1732,2144,1524,125,381,199,18373,708,292,1535,1157,791,500,63,311,58,5410,15,12,9,24,10,12,5,8,3,102,821,1389,137,413,723,294,27,80,82,3967,221,428,103,269,284,149,20,101,484,2054,24964,75161,6020,15489,20766,8101,797,3459,2258,157022,2484,7912,913,927,1338,632,169,427,181,14984,2515,9964,1117,480,944,542,307,541,253,16672,4660,11215,4576,833,1404,770,868,1419,320,26067,2673,6092,4000,402,876,468,236,658,152,15563,686,1060,663,225,361,160,86,224,49,3517,2165,23889,683,3430,1581,573,152,433,239,33139,1863,11328,285,1985,1046,367,90,211,144,17310,20339,25774,2192,3997,12059,5611,1038,2245,1090,74352,8036,25893,1061,5935,6377,1830,423,1039,670,51262,4579,15134,2194,2775,3172,2473,489,986,344,32147
207,805,9374,256,1363,922,314,31,120,105,13290,667,4638,64,1102,682,212,22,78,61,7528,4899,6927,329,1168,5475,1705,96,417,290,21293,1520,4998,209,1919,1831,523,37,206,154,11404,704,1749,217,433,668,504,22,86,57,4453,319,105,549,473,411,319,20,154,27,2375,5,7,3,11,12,9,0,7,0,51,275,431,48,157,301,136,13,35,33,1426,98,180,33,102,192,90,7,43,257,998,11026,32972,2521,7393,11920,4485,336,1386,1134,73170,1389,3250,507,399,745,412,77,191,102,7065,2008,5202,737,294,789,481,251,288,168,10214,3360,5641,2789,344,954,678,523,682,247,15218,1333,1428,2138,157,368,238,114,312,70,6151,289,315,355,80,123,65,47,111,14,1394,1157,14165,415,1868,1044,414,98,207,157,19525,993,5983,136,1248,749,263,51,116,80,9630,11773,14489,1037,1788,7840,3481,615,1067,632,42716,2797,8456,437,2737,2410,823,200,383,255,18505,1145,3076,574,648,877,780,133,235,98,7557
208,991,9417,345,1863,1169,342,53,105,119,14403,953,6702,95,1448,914,266,28,78,68,10544,6164,7111,343,1330,6399,1822,124,359,308,23962,2090,6277,218,2827,2380,615,41,197,205,14852,979,2503,254,479,792,563,49,124,73,5821,439,185,807,612,651,408,43,183,55,3384,16,7,0,7,9,3,0,4,0,50,412,591,70,197,403,150,13,42,47,1928,144,250,45,139,195,107,6,48,283,1220,14148,37796,3044,9511,14390,4892,452,1438,1307,86972,1649,3569,474,431,759,364,98,196,90,7632,2196,5114,698,228,703,353,232,262,157,9945,4064,5488,4431,426,968,626,722,836,229,17790,2041,1569,3930,155,469,324,142,504,95,9230,354,341,572,82,174,97,60,166,24,1869,1484,13210,528,2544,1301,442,103,199,153,19961,1427,8579,198,1656,1007,345,73,132,87,13514,14782,15154,1096,2022,8823,3906,626,871,710,47995,3743,10217,502,3983,3126,1003,204,416,335,23530,1597,4274,698,720,1058,874,175,325,117,9843
209,804,10725,503,3098,1269,434,78,236,110,17252,918,7401,111,2567,928,294,56,186,84,12539,3849,4826,466,1755,7410,1790,225,711,294,21316,1762,5438,388,5580,2794,784,127,456,247,17573,759,2117,328,555,873,570,59,161,53,5475,549,195,1299,1206,1083,682,84,475,58,5645,7,7,3,20,10,8,4,12,3,67,255,439,75,317,371,113,27,110,44,1754,129,234,65,281,325,175,31,142,348,1736,10490,35603,4471,16333,16702,5569,916,3038,1383,94517,1259,3442,777,581,822,404,195,345,81,7909,1645,4629,1119,508,930,504,629,580,172,10722,3983,5559,9215,764,1409,840,2277,1864,369,26280,1733,1209,7045,214,446,334,549,1072,194,12791,415,409,886,161,225,154,200,338,34,2819,1212,13747,767,4016,1466,561,254,437,154,22613,1330,9691,259,2857,1060,375,174,292,106,16148,8914,9891,1536,2648,9951,3329,1478,1660,576,39981,2910,8028,827,7577,3556,1136,568,863,374,25838,1349,3920,933,870,1249,902,272,448,100,10047
210,483,5991,386,2139,839,316,64,203,85,10507,624,5249,91,2165,648,241,49,141,73,9288,2469,3221,304,1296,5311,1281,237,569,206,14901,956,2942,238,4109,2003,596,128,426,153,11546,355,928,168,279,501,301,37,103,33,2709,345,148,912,770,693,507,97,379,52,3908,3,8,0,14,10,3,0,9,0,55,135,235,51,228,255,69,28,83,28,1106,101,138,51,249,284,162,32,99,305,1436,6391,21411,3021,11929,11707,3997,858,2457,1062,62844,685,1693,516,391,502,298,165,235,66,4549,1112,3180,811,362,710,330,598,495,145,7732,2701,3810,7366,598,1127,600,2222,1580,317,20330,1195,626,5025,184,339,217,517,865,142,9110,250,204,528,104,159,88,150,250,38,1777,710,7644,566,2739,937,396,189,330,112,13625,877,6699,193,2343,723,280,150,225,95,11595,5724,6450,1216,2046,7369,2362,1583,1387,428,28553,1578,4265,578,5539,2518,819,591,733,237,16859,650,1686,458,431,712,486,229,299,70,5016
