SA4_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
201,6,34,0,2735,210,50,17,236,26,126,13,39,22,75,566,1388,11,0,7,20,0,3,0,3,9,16,61,132,3669,951,174,6095,881,2525,290,901,248,1255,664,17656
202,13,21,16,2673,199,54,24,223,26,93,15,44,26,87,533,1333,18,0,18,16,3,3,6,3,7,17,45,144,3601,1068,218,6082,880,2372,332,851,261,1175,628,17477
203,37,86,6,7628,405,96,32,448,69,213,39,84,46,188,973,2584,29,7,30,36,14,16,5,0,9,38,91,282,7538,1998,415,13453,2018,5236,681,1697,428,2406,1142,37007
204,13,22,0,2223,292,68,22,292,42,113,26,67,23,85,690,1722,24,0,15,21,8,11,3,0,8,17,65,178,4370,920,252,6072,929,2291,349,834,243,1126,798,18189
205,36,50,11,3771,344,87,36,455,67,208,54,85,46,211,1097,2678,40,12,37,32,13,16,12,11,11,36,113,321,5528,1601,425,9725,1459,3958,580,1575,470,2347,1300,28962
206,88,279,31,21481,399,77,38,336,57,211,28,85,37,181,1122,2584,44,4,27,35,15,16,9,10,10,26,116,308,12440,2442,432,13781,2664,7364,652,2253,483,3340,1337,47193
207,90,415,16,20229,437,87,40,418,52,280,29,120,40,243,1417,3172,40,7,24,48,13,30,0,12,8,23,116,322,12628,2605,368,13875,1652,7807,549,2796,506,4291,1611,48678
208,92,311,36,24872,597,117,42,622,87,282,44,125,35,163,1139,3241,54,11,38,60,22,32,16,7,15,27,119,397,15164,2602,448,18131,2582,8331,657,2245,464,2974,1362,54958
209,84,275,13,15732,542,118,68,595,109,360,70,161,109,376,1617,4119,62,9,35,62,24,38,13,9,25,72,277,624,15961,3667,651,22060,3404,12368,1093,4138,1052,6763,2084,73257
210,53,271,18,9778,356,80,56,376,76,276,54,155,97,442,1337,3315,40,5,43,56,20,30,13,15,38,98,325,675,11078,2474,507,14671,2501,10738,811,4460,1078,8293,1869,58480
211,67,264,18,16429,666,140,72,772,115,374,68,171,74,295,1479,4225,56,12,52,71,15,32,6,3,19,38,172,470,16196,3514,679,24001,3249,11063,989,3350,777,4643,1776,70230
212,89,447,22,18319,928,185,137,850,162,602,78,302,164,581,3054,7048,79,18,84,99,34,49,6,22,41,84,497,1018,27361,5739,1037,30583,4649,22512,1410,7565,1738,11484,3944,118031
213,109,371,32,20369,729,155,155,636,159,573,80,254,210,545,2989,6484,81,10,59,71,24,36,11,17,35,98,569,1023,27213,5107,1132,28022,4998,23311,1462,7897,2057,11166,3963,116327
214,47,99,13,7100,419,68,36,460,57,223,55,102,39,167,866,2506,38,11,24,47,20,13,8,5,16,29,99,299,7345,1726,437,12183,1954,4934,635,1500,432,2220,1043,34416
215,3,16,8,1542,264,41,23,273,18,95,12,41,14,97,513,1399,23,0,12,32,3,9,4,5,7,21,70,175,3450,660,189,4989,662,1959,234,682,202,1183,640,14844
216,8,30,4,1566,218,33,17,207,29,72,12,50,16,96,423,1186,19,0,22,16,0,7,3,6,4,26,68,171,3165,611,182,4628,624,1724,215,658,193,1256,553,13807
217,10,21,0,1567,213,42,22,231,24,75,19,40,22,63,434,1179,19,0,14,22,3,7,0,6,0,13,39,135,2744,713,187,4813,635,1535,240,518,168,761,502,12805
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
