SA4_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
201,0,123,0,122,..,32,0,32,0,34,..,111,6,118,0,118,..,41,3,41,0,41,..,306,4,308,4,314,..,156,5,158,0,159,..,74,0,74,3,80,..,50,9,61,0,64,..,16,0,16,0,16,..,81,9,90,0,91,..,805,105,910,34,939,..,4438,411,4845,80,4920,..,215,18,231,5039,5269,74854,4652,426,5076,5111,85041,78822,..,..,..,..,78822,..,53,0,52,0,52,..,97,7,105,0,104,..,23,0,23,0,26,..,75,20,102,0,101,..,448,129,577,4,585,..,23,5,29,0,29,..,549,161,705,9,712,..,79,8,92,0,92,..,110,6,118,3,118,..,184,0,188,3,188,..,98,16,116,0,116,..,59,6,67,0,67,..,54,7,60,0,62,..,168,17,181,0,182,..,120,4,125,0,125,..,346,29,374,5,379,..,97,6,98,0,102,..,102,9,108,0,108,..,24,0,24
202,0,125,0,124,..,36,6,39,0,39,..,118,4,120,0,120,..,64,12,75,0,75,..,342,24,360,4,369,..,90,6,99,0,105,..,47,0,47,0,45,..,22,7,28,0,28,..,21,0,21,0,21,..,62,24,88,0,86,..,1066,479,1545,33,1577,..,3770,793,4566,69,4635,..,205,23,227,5319,5548,71622,3973,817,4792,5394,81803,75762,..,..,..,..,75762,..,71,3,73,0,73,..,96,3,106,0,107,..,29,0,29,0,29,..,84,19,101,5,103,..,257,118,371,3,376,..,8,0,11,0,11,..,348,138,486,4,494,..,34,9,45,0,48,..,113,3,115,0,120,..,153,3,157,0,160,..,109,14,125,6,132,..,47,4,44,0,44,..,29,0,34,0,34,..,106,7,115,0,113,..,62,0,70,0,70,..,203,15,219,3,223,..,89,3,94,0,96,..,61,0,61,0,61,..,21,0,24
203,10,264,0,267,..,115,5,119,0,123,..,320,3,323,3,329,..,95,5,97,0,100,..,785,20,805,8,815,..,399,41,446,8,448,..,249,19,264,0,269,..,117,22,136,0,139,..,140,27,165,0,165,..,326,107,435,5,440,..,2866,639,3510,76,3589,..,14532,1945,16477,217,16698,..,415,52,473,8462,8936,134428,14958,1999,16950,8678,160063,142627,..,..,..,..,142627,..,151,0,151,0,154,..,372,72,439,0,443,..,30,0,30,0,30,..,231,39,267,6,275,..,945,238,1187,7,1196,..,44,7,42,0,42,..,1214,287,1503,15,1516,..,889,203,1095,4,1093,..,316,13,330,3,333,..,434,13,449,12,459,..,514,80,591,9,600,..,95,12,108,0,108,..,173,13,185,0,184,..,378,20,398,3,396,..,186,8,187,5,195,..,872,79,945,16,970,..,242,14,260,0,260,..,196,35,227,0,234,..,71,0,67
204,6,121,3,126,..,14,3,18,0,18,..,122,4,127,0,127,..,39,9,41,0,41,..,290,17,311,3,314,..,122,9,132,0,131,..,34,0,42,0,42,..,64,16,81,5,84,..,24,0,24,0,25,..,105,49,149,0,149,..,733,132,862,28,893,..,3865,538,4404,74,4477,..,228,28,260,6022,6280,80408,4096,569,4659,6095,91165,82777,..,..,..,..,82777,..,59,0,63,0,63,..,60,8,70,3,75,..,31,0,34,0,34,..,56,10,71,0,72,..,250,79,329,5,336,..,13,5,16,0,16,..,324,101,419,5,427,..,91,13,101,0,105,..,132,4,132,0,138,..,290,3,292,3,302,..,114,11,123,5,132,..,23,0,28,0,28,..,43,6,47,0,47,..,104,10,109,0,112,..,136,41,177,4,180,..,199,25,223,6,229,..,74,4,71,0,71,..,51,8,57,3,58,..,13,0,12
205,7,167,3,173,..,61,9,67,0,62,..,168,3,173,3,173,..,75,17,95,0,95,..,467,32,498,3,507,..,225,20,252,0,254,..,100,6,102,3,108,..,76,32,108,3,115,..,29,0,29,0,29,..,159,73,237,5,236,..,1233,202,1431,31,1470,..,6021,806,6827,97,6925,..,376,37,419,10659,11071,129834,6403,841,7242,10758,147833,134649,..,..,..,..,134649,..,141,4,143,0,143,..,117,20,133,3,138,..,40,4,43,0,43,..,100,43,143,0,143,..,431,139,568,0,565,..,28,9,34,0,33,..,557,187,741,6,747,..,85,14,95,0,97,..,153,5,158,0,164,..,392,11,398,5,404,..,294,60,355,6,357,..,29,0,35,0,35,..,27,5,32,0,32,..,132,10,142,5,138,..,57,3,58,0,58,..,267,26,289,4,294,..,151,5,157,0,163,..,82,12,90,0,90,..,24,0,24
206,6,618,0,619,..,1647,72,1721,12,1730,..,636,9,645,5,654,..,521,23,547,3,549,..,3421,109,3532,23,3552,..,4643,333,4970,39,5013,..,966,39,997,15,1016,..,803,190,1001,7,1006,..,1112,193,1306,8,1311,..,3229,794,4016,24,4045,..,7305,790,8089,201,8287,..,71076,9374,80453,719,81176,..,1040,144,1182,15993,17174,201600,72119,9516,81633,16713,299941,205627,..,..,..,..,205627,..,189,0,189,0,191,..,2837,594,3432,13,3444,..,69,0,68,0,72,..,4413,1032,5440,28,5468,..,14770,2995,17770,79,17849,..,717,222,935,3,943,..,19900,4249,24149,109,24259,..,576,60,640,7,648,..,1983,69,2057,23,2080,..,1382,22,1407,28,1429,..,6531,2253,8782,53,8831,..,452,18,472,5,475,..,430,20,448,0,451,..,2613,65,2677,20,2701,..,1049,35,1089,6,1094,..,471,22,496,4,497,..,673,20,690,7,696,..,401,30,428,7,434,..,660,27,683
207,3,228,0,230,..,704,42,746,8,746,..,242,5,246,0,243,..,187,4,193,4,195,..,1351,57,1405,11,1420,..,824,62,883,6,890,..,833,26,864,4,868,..,236,32,268,0,271,..,235,34,268,4,272,..,1620,260,1880,12,1894,..,2605,278,2888,106,2993,..,56092,10780,66879,637,67515,..,535,84,619,5279,5900,106386,56633,10864,67501,5912,179806,110019,..,..,..,..,110019,..,172,0,172,0,172,..,1423,136,1560,5,1568,..,16,0,16,0,16,..,8539,2323,10864,70,10932,..,20455,7771,28229,216,28443,..,1037,316,1353,9,1360,..,30029,10410,40439,293,40737,..,307,42,345,0,350,..,640,18,654,9,661,..,534,10,546,8,553,..,6040,1180,7220,27,7241,..,266,10,284,0,284,..,581,47,630,3,637,..,1705,60,1764,10,1770,..,212,8,222,0,222,..,611,48,660,0,660,..,1034,29,1064,11,1075,..,485,24,505,0,506,..,391,19,414
208,9,270,0,271,..,372,25,394,4,401,..,308,10,315,3,323,..,136,3,140,0,141,..,1081,43,1125,14,1135,..,1429,96,1524,18,1544,..,702,18,722,9,731,..,235,29,263,5,266,..,475,59,526,4,531,..,918,126,1041,10,1054,..,5647,447,6091,125,6213,..,40128,4860,44987,489,45482,..,672,77,750,6157,6911,150958,40805,4937,45742,6648,203350,159382,..,..,..,..,159382,..,300,4,303,0,310,..,696,67,767,7,775,..,17,0,17,0,17,..,1808,365,2173,20,2187,..,7151,2184,9338,60,9397,..,344,99,447,3,452,..,9307,2651,11954,79,12038,..,387,42,432,0,435,..,1328,48,1378,18,1401,..,966,24,995,5,1002,..,5810,1266,7075,23,7102,..,228,19,248,0,248,..,647,49,700,9,706,..,1534,74,1608,12,1619,..,391,13,408,0,405,..,378,11,390,5,395,..,500,7,516,4,515,..,132,8,139,5,144,..,352,15,367
209,22,758,15,768,..,413,29,442,9,449,..,843,26,873,10,884,..,366,37,402,0,400,..,2354,119,2474,28,2503,..,1343,123,1460,13,1477,..,1681,128,1813,22,1833,..,247,47,299,4,302,..,1056,206,1268,5,1264,..,3070,979,4046,33,4073,..,7349,1005,8351,221,8572,..,74141,11707,85849,930,86780,..,1175,211,1387,10142,11529,168573,75320,11910,87232,11073,266882,171343,..,..,..,..,171343,..,224,3,228,0,232,..,6735,1437,8170,51,8225,..,82,0,88,6,89,..,1854,660,2516,17,2533,..,5324,2355,7681,68,7751,..,395,179,576,6,579,..,7578,3194,10770,85,10859,..,836,132,964,9,968,..,603,9,620,4,623,..,602,13,611,12,621,..,6499,1409,7904,58,7964,..,451,27,479,5,484,..,757,71,833,8,839,..,3000,193,3186,20,3211,..,1446,121,1565,8,1573,..,4967,556,5520,56,5573,..,1706,124,1828,12,1841,..,1280,126,1403,28,1429,..,450,14,464
210,25,735,7,743,..,237,17,255,6,259,..,877,15,894,8,903,..,324,27,349,4,356,..,2141,87,2230,31,2259,..,1188,134,1322,15,1336,..,690,36,726,13,739,..,220,60,279,0,284,..,6948,1539,8491,75,8569,..,1666,453,2117,11,2130,..,11299,2949,14241,223,14466,..,73707,11794,85499,943,86436,..,1351,321,1670,10038,11708,112800,75053,12113,87168,10983,210949,113298,..,..,..,..,113298,..,95,0,95,0,95,..,11574,2837,14419,100,14519,..,18,0,25,0,25,..,768,311,1079,0,1081,..,1487,442,1931,24,1958,..,122,43,169,0,172,..,2377,803,3183,27,3206,..,911,146,1056,7,1066,..,302,15,317,7,324,..,319,15,325,7,329,..,3238,689,3930,28,3960,..,606,74,678,5,681,..,444,34,476,5,479,..,2388,160,2543,21,2567,..,2432,313,2746,21,2768,..,5475,703,6182,96,6273,..,2160,183,2345,14,2358,..,3479,404,3887,68,3949,..,353,17,366
