SA4_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
201,0,0,9,4,4,0,5,77,0,0,0,0,0,6,18,10,6,11,3,0,0,0,0,57,3,15,41,50,42,27,57,44,4,6,3,4,0,0,3,299,16,113,73,28,9,11,12,15,5,3,3,3,5,0,15,301,0,5,3,8,6,19,51,25,3,5,10,0,0,0,5,131,0,0,0,0,11,12,27,16,0,0,0,0,0,0,0,73,0,0,6,4,5,0,6,0,3,0,0,0,0,0,0,27,4,6,23,34,53,21,75,47,12,5,8,14,4,0,11,320,0,0,0,0,0,3,21,51,30,54,45,49,15,0,3,267,23,551,77,39,42,17,19,9,0,4,0,0,0,0,31,816,7,23,103,290,347,301,273,163,21,11,31,11,16,9,56,1658,0,0,20,15,8,3,8,0,0,0,0,0,0,0,4,47,0,0,0,0,0,4,52,62,17,13,19,20,8,0,9,194
202,9,0,7,0,0,0,4,67,0,0,0,0,0,9,13,6,0,0,0,0,0,0,3,28,3,13,35,22,35,19,50,29,0,0,3,0,0,0,12,231,19,113,74,17,13,7,8,9,0,3,0,0,0,0,22,280,0,3,0,6,3,11,18,11,0,0,3,6,0,0,4,71,3,0,0,0,7,5,11,19,10,4,12,5,0,0,3,77,0,0,3,0,6,4,6,0,8,0,0,0,0,0,9,37,0,5,24,33,50,30,69,36,20,27,31,33,12,0,18,372,0,0,0,0,0,0,22,34,22,22,13,13,11,0,0,140,21,237,68,34,16,19,21,26,0,0,0,7,0,4,14,460,9,16,96,271,302,254,296,107,13,35,20,13,8,11,85,1511,0,0,8,7,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0,0,4,32,39,18,4,14,4,0,0,0,120
203,24,26,31,32,12,4,12,535,0,0,0,0,0,21,33,62,92,16,17,23,8,0,13,286,3,44,97,82,128,65,200,158,14,14,11,15,5,0,24,858,99,698,549,106,35,23,61,66,10,0,7,15,3,0,94,1766,0,0,0,6,11,34,83,37,6,5,4,3,5,0,16,216,0,0,0,0,16,18,79,47,11,21,5,3,0,4,3,215,0,0,17,41,23,19,20,5,0,3,0,4,0,0,6,139,3,13,35,67,101,58,147,106,47,51,48,40,18,0,24,752,0,0,0,0,0,3,78,85,41,58,46,33,12,0,0,363,40,1050,143,59,48,44,67,35,12,8,15,13,0,0,43,1566,15,40,199,444,624,542,757,471,63,43,61,76,34,21,153,3545,0,36,300,209,83,31,35,12,3,0,3,0,0,0,14,727,0,0,0,9,10,9,86,324,41,69,65,121,34,6,20,806
204,0,4,0,3,0,0,0,42,0,0,0,0,0,5,3,4,0,0,4,0,0,0,0,24,3,21,41,36,43,15,50,38,5,5,0,16,9,0,12,286,42,414,247,32,9,12,8,16,6,0,6,3,3,0,67,862,0,3,6,3,8,19,14,18,0,5,4,0,3,0,0,82,0,0,0,0,7,5,21,7,5,0,0,0,0,0,0,46,4,3,8,8,3,4,0,0,0,0,0,0,4,0,0,37,3,10,32,14,32,21,38,36,11,27,14,18,8,11,0,287,0,0,0,0,0,0,53,79,25,40,32,18,7,0,4,268,30,409,74,68,35,30,35,14,0,4,6,6,3,0,18,731,17,33,144,322,377,264,299,157,23,24,18,18,11,8,76,1776,0,3,10,13,0,3,3,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,19,20,14,9,11,14,8,0,0,84
205,5,5,8,0,0,0,3,56,0,0,0,0,0,4,10,4,0,6,5,11,0,0,6,46,8,47,110,95,85,34,59,56,0,0,3,3,6,0,14,515,69,623,435,80,25,14,21,28,10,6,4,9,0,0,102,1428,0,6,3,8,13,20,36,14,0,5,3,13,7,3,8,135,0,0,0,0,16,5,21,24,3,6,8,7,0,0,3,87,0,0,6,9,3,0,4,3,7,0,0,0,0,0,3,50,0,12,33,54,59,25,84,71,25,27,28,21,5,0,34,466,0,0,0,0,0,5,18,24,17,22,25,12,3,0,0,123,80,1323,234,100,157,51,46,26,5,7,4,10,0,0,72,2111,21,44,242,600,709,555,626,289,45,26,40,38,18,9,188,3449,0,0,6,16,0,5,0,0,0,0,0,0,0,0,3,34,0,0,0,5,0,6,43,47,7,18,16,10,3,0,0,163
206,114,146,175,189,83,84,28,2172,0,0,12,23,32,119,107,65,10,21,11,8,4,7,16,427,10,54,128,138,320,196,726,774,185,236,377,616,228,44,41,4084,244,2931,2817,487,138,145,358,813,175,185,195,213,77,15,309,9107,0,10,8,47,145,311,610,355,123,157,241,225,117,40,68,2473,0,0,3,29,145,217,1073,794,256,228,249,290,121,18,61,3499,9,47,337,656,261,145,117,48,19,19,14,24,3,9,89,1800,5,26,176,526,1042,738,2236,1800,762,789,776,727,312,51,131,10101,0,0,0,3,10,58,281,307,195,387,642,644,148,9,52,2731,22,212,89,60,90,108,192,134,52,42,59,73,31,8,22,1185,28,93,332,836,1386,1882,3281,2734,584,660,718,835,338,429,252,14383,3,24,142,183,121,67,84,50,12,12,12,8,0,4,26,740,0,0,9,13,28,85,189,246,77,103,100,121,58,21,9,1063
207,276,206,216,242,102,91,58,4225,0,0,0,0,13,46,71,86,6,7,10,5,0,0,4,242,11,52,79,58,130,72,148,125,12,8,5,11,5,0,14,743,257,2230,1260,211,79,80,112,147,25,17,36,17,10,0,175,4676,5,8,15,46,88,155,243,132,25,43,24,48,23,10,18,870,0,0,5,40,144,294,966,387,58,90,65,76,60,3,33,2221,5,26,131,177,116,56,31,16,9,10,5,6,0,7,19,612,13,66,386,1076,2580,1296,2528,1485,490,541,509,418,181,38,165,11772,0,0,0,0,0,28,56,57,33,92,104,93,18,0,6,492,37,275,66,38,36,40,75,38,10,22,12,12,4,4,16,662,34,76,249,432,613,762,1043,586,100,106,97,112,77,43,75,4398,11,70,133,90,36,37,12,11,0,0,0,0,0,0,4,407,0,4,0,27,74,86,173,300,72,107,96,121,52,14,10,1131
208,30,34,35,24,12,9,7,712,0,0,10,6,14,35,48,24,0,0,4,0,0,0,0,146,11,55,154,160,295,154,569,556,84,91,106,91,36,12,29,2401,155,1048,897,211,70,73,127,229,36,34,18,28,13,0,103,3048,0,12,11,56,105,235,388,206,59,39,58,103,58,29,47,1393,0,0,0,23,92,123,441,242,46,51,38,48,22,10,15,1163,3,17,82,146,93,49,39,24,5,5,7,3,0,0,8,486,8,21,133,311,647,347,649,347,105,112,134,90,52,3,40,3004,0,0,0,0,4,26,107,126,61,134,190,174,44,0,26,888,36,305,78,55,78,71,144,63,19,27,22,25,6,6,24,950,30,65,286,752,1057,1077,1669,886,136,142,155,166,57,54,131,6667,0,4,27,37,43,24,31,13,9,0,3,0,0,0,7,199,0,0,10,20,17,25,69,72,17,26,31,15,13,0,4,319
209,121,143,128,142,29,30,53,3754,0,0,6,9,32,1028,1019,672,171,164,88,181,18,12,32,3433,10,45,136,127,243,115,291,175,14,28,15,15,4,9,12,1239,316,4516,5077,743,304,169,258,422,77,53,52,27,5,0,497,12537,4,6,6,13,48,137,258,116,25,16,15,23,8,5,8,688,0,0,0,14,50,77,355,132,25,21,18,13,0,0,12,720,4,50,362,867,712,429,403,200,40,49,49,62,23,9,93,3361,3,13,99,274,726,355,870,530,230,203,138,127,29,11,50,3652,0,0,0,0,5,41,846,615,211,282,456,484,104,8,41,3076,23,287,72,52,56,44,99,42,15,8,3,9,3,0,15,732,15,37,165,473,835,1100,1751,1245,171,222,208,142,39,64,162,6609,22,213,1883,1973,1223,802,566,249,50,55,46,50,9,12,195,7354,3,0,3,24,58,160,517,711,165,150,159,152,57,30,32,2217
210,47,27,20,40,9,11,47,1537,0,0,12,89,191,2910,4366,3113,1495,1281,587,1396,396,29,232,16093,3,39,105,68,138,61,169,152,7,14,11,7,0,3,22,802,241,3771,4129,626,206,124,175,278,40,39,15,12,7,0,388,10054,0,8,5,4,22,52,126,47,12,9,8,9,4,0,4,310,0,0,0,10,27,31,164,75,12,19,8,12,0,0,6,363,9,37,409,1294,974,815,1221,573,131,131,118,114,54,27,212,6128,0,9,25,101,188,119,402,247,76,68,51,44,16,11,28,1387,0,0,0,0,3,39,1339,950,310,604,800,882,262,16,91,5308,23,209,53,29,33,15,33,22,6,6,3,3,3,0,10,453,12,18,89,322,678,813,1528,1239,204,185,188,174,67,65,165,5751,6,15,235,257,105,80,48,35,14,6,3,4,4,0,22,828,0,0,3,12,93,292,1402,1953,541,513,570,532,245,43,117,6321
