SA4_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201,14173,11755,5357,1777,86664
202,14328,11805,5766,2095,84869
203,25701,21292,10157,3513,172072
204,16851,13835,6373,2044,92875
205,26754,23555,10991,3369,147270
206,42718,27393,12023,4021,418891
207,34035,23774,14057,5890,220426
208,38071,26468,13311,5910,245399
209,35668,23007,10176,3585,274251
210,23969,14040,6615,2428,196473
211,42279,29598,15079,5554,274087
212,49792,31472,16206,6201,413270
213,42882,24917,9756,3314,407319
214,25969,21457,12026,4359,158972
215,11781,8885,4287,1722,68654
216,10123,7729,4085,1572,61186
217,10885,8739,3911,1447,60738
297,15,4,0,0,40
299,779,411,85,18,5907
