SA4_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
201,256,4577,364,5205,290,4167,339,4790,731,8786,712,10228,1126,7988,686,9803,1669,8484,759,10917,1839,8496,711,11043,1372,8110,690,10169,631,4196,516,5341,140,1221,261,1624,8056,56023,5038,69115,289,4269,369,4920,388,4024,298,4708,1255,8582,641,10476,1954,8155,596,10704,2765,8181,642,11587,3111,8201,598,11909,2016,8210,645,10869,711,4590,565,5865,115,2132,441,2696,12606,56341,4798,73740,549,8848,732,10126,676,8186,636,9501,1982,17373,1351,20702,3085,16144,1277,20511,4438,16661,1403,22505,4952,16689,1311,22951,3380,16319,1334,21034,1342,8788,1082,11207,260,3355,705,4317,20663,112359,9831,142855
202,224,4141,368,4738,273,3841,330,4438,687,7930,852,9464,1104,7652,769,9523,1508,8006,781,10303,1789,8165,747,10704,1332,8009,683,10026,611,4222,511,5342,162,1326,285,1781,7703,53291,5322,66314,287,4037,330,4656,363,3740,251,4352,1201,8170,628,10002,1901,7821,646,10373,2635,7754,653,11037,3060,8073,656,11797,1996,7946,648,10588,761,4495,582,5839,110,2099,531,2737,12323,54132,4923,71381,514,8177,700,9392,639,7576,580,8790,1898,16100,1473,19470,3011,15472,1415,19900,4149,15758,1436,21340,4851,16244,1406,22501,3323,15955,1336,20611,1374,8723,1090,11184,278,3423,818,4517,20026,107422,10248,137698
203,392,8463,553,9408,507,8801,703,10003,1340,18872,1660,21876,2049,16921,1394,20360,2893,15596,1181,19673,3196,14462,999,18661,2365,14031,999,17397,1103,7355,708,9172,300,2355,393,3048,14140,106855,8590,129587,460,7985,520,8967,658,8351,525,9533,2157,18595,1104,21849,3560,17265,1089,21909,5010,15120,927,21052,5576,14460,894,20919,3432,14734,1044,19209,1308,8508,928,10747,185,4000,713,4904,22344,109006,7740,139095,856,16448,1076,18372,1162,17149,1224,19539,3497,37462,2764,43726,5608,34186,2479,42274,7902,30719,2110,40725,8771,28923,1890,39586,5798,28765,2043,36603,2414,15864,1641,19915,482,6352,1107,7951,36484,215859,16335,268681
204,271,4749,496,5517,255,3944,394,4595,704,8206,794,9700,1126,7932,796,9852,1587,8859,823,11275,2004,10112,951,13068,1546,10092,910,12546,738,5242,572,6561,180,1526,233,1946,8416,60666,5969,75047,314,4267,469,5049,347,3429,338,4106,1141,8032,713,9890,1964,8034,725,10723,2860,8543,790,12199,3279,9693,866,13837,2222,9401,793,12421,892,5387,674,6958,139,2481,429,3050,13163,59271,5796,78234,580,9017,968,10563,602,7368,729,8704,1845,16235,1503,19590,3088,15965,1515,20571,4447,17408,1617,23472,5284,19806,1815,26908,3765,19495,1703,24963,1628,10636,1251,13515,321,4010,663,4995,21576,119937,11767,153276
205,399,6933,787,8120,465,6010,604,7068,1187,13201,1545,15931,1800,12404,1576,15772,2521,13384,1423,17328,3371,16281,1519,21171,2728,17383,1557,21666,1353,8882,1061,11297,301,2400,515,3215,14119,96877,10571,121572,534,6522,737,7793,581,5580,505,6672,2011,13480,1293,16790,3078,12358,1318,16752,4417,13177,1249,18848,5730,15892,1397,23021,3701,16649,1513,21864,1463,9140,1189,11790,202,3774,732,4716,21724,96582,9942,128245,938,13457,1521,15913,1045,11587,1113,13743,3200,26685,2837,32721,4876,24765,2889,32526,6943,26563,2668,36176,9100,32169,2918,44190,6427,34025,3073,43532,2818,18024,2253,23088,505,6177,1247,7929,35842,193462,20515,249821
206,488,10090,620,11202,1131,23716,1788,26641,3625,71341,5356,80322,3899,43792,3285,50981,5146,28014,2217,35375,5192,21067,1753,28011,2533,15506,1212,19248,1168,8411,833,10415,384,2949,472,3804,23569,224892,17546,266006,562,10995,663,12229,1529,27190,1957,30675,4805,75149,5245,85196,5326,41920,2864,50110,7937,26807,1879,36623,7655,19950,1497,29097,4040,16368,1193,21595,1610,9873,961,12443,324,4988,766,6077,33791,233231,17036,284057,1055,21083,1291,23434,2663,50905,3746,57314,8427,146491,10604,165518,9232,85710,6154,101098,13090,54820,4100,72005,12852,41011,3251,57113,6573,31873,2405,40849,2777,18288,1792,22859,710,7938,1240,9883,57364,458115,34575,550062
207,551,11166,393,12109,774,12621,615,14010,1420,21620,1339,24376,2207,19562,900,22670,3942,18827,861,23630,4259,16286,642,21188,2429,13125,556,16112,1459,8868,522,10853,572,3808,382,4758,17608,125883,6216,149715,539,10705,365,11605,849,11650,562,13055,1785,21450,1160,24394,3438,20854,902,25194,6387,19650,816,26853,6496,16314,695,23503,3816,14621,699,19137,1823,11156,699,13688,419,6360,728,7512,25559,132757,6620,164939,1091,21867,757,23713,1619,24273,1178,27065,3197,43071,2503,48770,5647,40419,1803,47868,10330,38478,1681,50484,10761,32596,1336,44690,6250,27750,1251,35247,3285,20031,1219,24535,987,10168,1111,12274,43165,258645,12842,314649
208,503,11853,417,12769,793,11144,490,12430,1541,22685,1352,25576,2648,23919,1157,27721,4688,23756,1023,29467,4735,18840,787,24358,2684,15104,716,18507,1290,8742,651,10679,495,3548,382,4420,19368,139592,6967,165927,579,11358,404,12339,870,10690,414,11979,2032,23510,1231,26776,3964,25319,1137,30426,7680,23872,1003,32552,7523,18188,795,26501,4184,16411,970,21564,1706,10924,889,13521,368,6676,865,7908,28910,146952,7698,183563,1079,23211,819,25117,1665,21833,907,24406,3573,46198,2582,52356,6607,49240,2299,58144,12364,47628,2027,62017,12254,37032,1581,50866,6869,31517,1685,40065,3005,19663,1535,24201,863,10219,1242,12330,48279,286547,14665,349489
209,692,14269,814,15777,971,15349,1048,17366,2598,34600,2302,39505,4168,34416,2025,40614,5246,27854,1550,34656,5068,22183,1258,28513,2985,17344,1066,21396,1447,9441,792,11676,437,3138,496,4066,23612,178605,11352,213566,772,13175,686,14632,1244,13856,767,15866,3827,34500,2070,40405,6357,33468,1779,41601,8712,25958,1401,36074,8316,21491,1188,30997,4487,18310,1165,23962,1656,11018,951,13627,319,5298,819,6438,35700,177077,10822,223604,1464,27444,1501,30410,2215,29206,1816,33231,6431,69100,4379,79907,10529,67890,3807,82221,13959,53810,2956,70726,13387,43677,2447,59510,7471,35658,2224,45359,3102,20461,1738,25301,751,8437,1313,10509,59307,355682,22176,437166
210,579,11530,835,12944,759,12442,1007,14211,2311,28337,2541,33196,3379,26349,2081,31808,3803,20192,1506,25501,3433,17141,1145,21714,1968,11968,738,14669,1027,6807,602,8437,320,2472,308,3093,17578,137242,10758,165579,712,10563,714,11992,1118,10878,774,12776,3638,27558,2091,33290,5351,24632,1815,31796,6379,18973,1382,26741,5701,15864,1026,22592,2937,12908,826,16667,1189,8133,748,10075,211,3960,543,4717,27243,133480,9926,170650,1291,22096,1548,24940,1882,23324,1783,26989,5950,55898,4633,66484,8738,50981,3892,63605,10185,39167,2889,52242,9126,33001,2178,44310,4901,24873,1559,31338,2219,14938,1352,18511,525,6435,852,7813,44822,270723,20681,336226
