SA4_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
201,30441,18724,19864,19885,21752,21861,19769,10699,4097,167090,29,35,18,23,30,49,74,61,21,332,8,18,19,19,10,20,10,5,5,111,583,926,717,575,592,592,493,262,162,4905,6,14,16,10,23,24,21,0,0,111,0,8,6,0,3,9,11,0,0,36,4,4,6,3,8,7,5,0,0,48,0,0,0,0,0,3,3,0,0,14,0,7,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,611,972,759,608,637,655,544,276,173,5230,636,1009,780,634,669,703,617,328,191,5565,31079,19735,20644,20513,22419,22559,20388,11029,4290,172656
202,29579,17409,18716,19317,20661,21462,19362,10695,4314,161505,20,18,14,27,23,37,51,50,20,254,8,32,12,11,11,27,32,15,4,142,443,909,750,513,534,615,468,234,156,4622,3,14,21,14,13,18,25,0,0,103,0,10,3,7,7,10,14,8,0,67,0,7,7,3,4,13,7,0,3,47,5,7,0,4,0,7,8,0,0,33,0,4,0,5,0,3,0,0,0,12,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,466,984,796,558,573,691,551,263,158,5037,479,1001,810,579,599,723,602,311,182,5287,30053,18409,19535,19898,21257,22182,19963,11009,4493,166797
203,58068,36136,42085,41000,39534,37603,33738,18770,7588,314522,49,44,45,53,53,79,111,71,33,540,25,73,40,19,29,37,20,4,0,239,1032,1687,1408,965,1003,1223,1071,534,262,9189,15,22,15,19,26,33,28,0,0,163,9,17,4,13,8,16,16,5,0,80,8,12,5,13,7,5,0,4,0,48,0,4,10,8,5,6,11,0,0,52,3,9,4,0,3,0,6,0,0,31,0,6,0,3,0,5,3,0,0,19,0,0,0,0,0,0,0,0,0,0,1085,1831,1494,1030,1081,1324,1153,559,265,9825,1137,1881,1536,1083,1132,1401,1264,637,303,10368,59204,38018,43624,42082,40675,39001,35002,19405,7891,324890
204,30930,18156,18677,19767,22573,25489,23213,12774,4740,176320,69,66,27,22,48,78,74,41,26,453,73,215,159,86,92,106,58,26,6,810,1183,1579,1267,1115,1159,1094,828,332,170,8727,26,216,137,45,36,43,53,5,0,557,13,132,66,18,25,22,25,0,0,312,7,52,22,17,10,12,9,3,0,133,8,33,17,10,12,12,11,0,0,97,4,8,11,8,0,6,0,0,0,40,6,5,3,6,4,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1307,2246,1680,1286,1346,1308,986,377,183,10715,1381,2315,1701,1315,1394,1381,1059,418,209,11169,32305,20469,20385,21079,23974,26868,24271,13189,4946,187480
205,49886,28300,31309,31471,34677,41360,40146,21587,7549,286288,67,50,48,56,86,124,142,99,33,700,18,44,40,30,31,33,39,10,4,258,1173,1541,1523,1088,1215,1633,1399,693,353,10622,16,22,48,30,36,48,23,7,0,236,7,9,10,6,8,15,18,5,0,69,3,10,14,9,10,23,16,0,0,83,0,9,7,4,11,11,6,4,0,44,0,4,8,4,0,8,4,0,0,33,3,8,3,6,4,12,5,3,0,38,0,0,0,0,0,0,0,0,0,0,1216,1649,1652,1177,1309,1780,1507,724,360,11375,1285,1699,1702,1227,1389,1904,1651,820,398,12074,51170,30002,33009,32698,36064,43262,41802,22407,7944,298359
206,65085,77052,159116,97405,69304,54172,38332,21684,9395,591542,61,106,101,98,93,80,83,62,38,717,61,316,375,184,190,198,107,33,3,1469,1288,2971,4244,2683,2087,1908,1431,762,426,17801,32,267,209,103,104,120,87,20,6,936,17,61,87,56,31,51,34,12,6,362,9,95,72,35,62,58,39,11,0,385,15,51,78,38,38,41,40,15,8,321,12,33,15,13,8,13,0,0,0,105,6,42,22,14,7,9,9,0,0,114,0,0,0,0,0,0,0,0,0,0,1444,3836,5103,3127,2518,2410,1746,854,443,21486,1503,3947,5201,3223,2609,2488,1832,920,480,22196,66593,80993,164315,100625,71914,56660,40162,22606,9878,613743
207,57810,49129,47259,46793,49373,43239,33828,23614,11810,362856,20,19,25,23,24,26,35,34,44,260,19,75,42,27,23,35,28,17,5,260,661,1055,1133,794,683,697,627,493,301,6452,8,14,18,13,16,20,34,9,3,133,0,12,11,8,3,4,7,3,0,52,0,13,13,3,4,5,6,6,4,49,0,18,20,4,5,0,8,3,5,69,0,10,3,0,0,0,0,0,0,19,0,13,5,4,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,693,1201,1237,857,746,770,716,530,314,7057,716,1220,1260,884,771,794,747,564,363,7313,58521,50350,48524,47677,50145,44034,34575,24179,12166,370169
208,71746,47916,50690,56880,60571,49031,38089,23151,11800,409874,55,25,23,23,30,39,60,57,82,395,12,50,51,22,25,40,32,13,0,250,824,1040,1180,838,801,778,671,542,388,7077,3,20,17,6,17,39,45,16,3,167,3,6,12,3,7,7,12,0,0,53,0,5,9,5,5,15,20,6,0,63,3,0,3,4,0,29,16,11,0,69,0,0,7,3,0,0,0,0,0,14,0,9,5,5,6,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,844,1138,1284,887,865,906,800,593,403,7718,898,1162,1309,906,895,952,862,654,483,8118,72643,49074,51998,57785,61474,49984,38946,23801,12285,417990
209,102140,61932,77805,80717,69350,57857,43629,24393,10080,527898,43,62,57,44,66,78,78,74,37,549,18,61,51,39,30,22,30,10,6,266,1090,1457,1705,1189,1028,972,744,579,400,9173,12,47,33,24,21,26,29,5,7,204,4,25,22,8,5,10,10,6,0,92,0,12,19,7,9,11,15,0,0,80,3,12,8,7,12,14,12,3,4,72,0,9,9,6,4,3,4,0,0,31,0,0,9,5,0,5,3,0,0,23,0,0,0,0,0,0,0,0,0,0,1141,1619,1845,1293,1113,1073,841,601,416,9945,1181,1682,1904,1339,1178,1157,923,679,460,10497,103323,63615,79709,82050,70526,59009,44553,25072,10535,538391
210,87104,50922,65054,62525,51306,43233,30280,17903,7500,415826,44,19,47,47,46,44,68,67,30,407,15,25,43,19,20,30,19,7,0,174,754,892,1118,786,682,627,434,256,145,5693,14,17,31,43,35,31,32,11,3,218,0,12,32,20,7,12,8,4,3,98,7,6,15,8,9,9,5,0,0,63,0,3,19,14,12,14,12,3,0,72,0,0,15,7,5,0,4,0,0,26,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,794,968,1269,894,770,714,519,281,150,6359,836,980,1323,940,811,752,589,346,180,6764,87941,51903,66371,63461,52121,43987,30867,18253,7686,422596
