SA4_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
201,0,7,0,15,5,3,0,0,0,32,0,4,16,40,23,21,30,15,13,154,0,0,0,28,6,29,65,39,13,189,0,0,5,14,6,5,0,4,0,32,0,0,7,21,3,3,0,0,0,28,0,0,0,12,6,5,0,0,0,20,0,7,17,47,22,19,20,4,3,145,0,0,0,5,9,27,64,28,0,136,0,0,0,14,4,4,0,4,0,29,0,0,0,3,0,0,0,0,4,11,0,0,30,111,0,0,0,0,0,144,0,0,3,14,14,36,140,141,43,382,3,27,41,179,176,184,120,45,10,791,0,0,0,4,3,9,12,6,0,31,6,13,12,84,8,0,0,0,0,127,0,0,0,10,14,3,0,0,0,24,10,42,47,148,35,6,8,0,0,299,0,0,0,10,14,10,14,0,0,46,0,0,0,0,0,0,0,0,0,7,0,7,8,32,34,64,92,59,9,305
202,0,0,0,9,0,0,3,0,0,12,0,0,6,37,26,22,23,12,7,134,0,5,0,9,14,26,69,36,15,170,0,3,5,5,7,0,0,0,0,20,0,8,3,21,0,0,0,0,0,32,0,0,0,9,6,5,4,0,0,28,0,6,21,86,25,20,19,3,0,177,0,0,0,0,3,8,48,17,0,77,0,0,4,6,3,4,5,0,0,22,0,5,37,194,68,38,24,15,4,379,0,0,3,57,7,3,0,0,0,73,0,0,0,10,19,20,80,74,12,231,3,32,47,173,177,161,108,35,9,749,0,0,0,6,0,3,3,0,0,14,0,5,7,49,9,0,0,0,0,70,0,0,3,10,27,3,0,0,0,38,0,37,49,164,49,10,8,4,0,324,0,0,0,7,4,4,10,4,0,31,0,0,0,6,0,0,0,0,0,5,0,3,7,39,38,57,79,47,21,283
203,0,21,25,53,28,13,9,3,0,157,3,23,28,153,76,70,57,33,20,455,0,3,12,85,45,130,296,220,134,925,0,3,5,18,16,5,3,0,0,54,0,9,14,49,10,0,0,0,0,93,4,0,3,19,15,24,12,9,0,79,0,29,44,141,51,31,33,12,3,343,0,0,0,7,7,62,125,72,14,277,0,7,23,33,14,10,0,3,4,88,0,0,34,139,39,26,18,10,0,268,0,3,21,150,5,0,0,0,0,184,0,6,13,33,32,64,309,218,71,761,13,81,132,614,351,285,218,90,11,1799,0,0,0,25,39,85,118,53,19,343,7,58,90,329,34,4,8,0,0,528,0,5,0,15,25,11,5,0,0,59,11,50,115,356,125,59,29,4,0,751,0,0,3,28,23,28,53,21,16,170,0,4,4,19,8,5,0,0,0,26,0,11,19,108,97,186,229,144,41,833
204,0,0,0,3,6,0,0,0,0,11,0,5,11,52,21,28,26,22,3,159,0,6,8,18,13,48,151,157,66,461,0,4,3,8,3,0,3,0,0,27,0,0,4,12,5,0,0,0,0,21,0,7,0,5,4,10,5,0,0,27,3,17,5,35,21,30,8,4,4,128,0,0,0,4,3,7,32,16,3,67,0,0,0,8,3,8,0,0,0,23,0,0,0,7,0,0,0,0,0,17,4,15,32,91,3,0,0,0,0,147,0,4,3,20,29,47,154,111,24,385,0,21,45,176,169,173,163,54,14,820,0,0,0,0,4,6,7,3,0,21,4,6,3,33,0,0,0,0,0,48,0,0,0,18,22,16,3,0,0,58,4,50,43,147,36,16,11,0,0,311,0,0,0,4,0,8,14,10,5,45,0,0,3,7,5,0,0,0,0,13,0,4,3,35,33,79,86,76,16,332
205,0,3,0,14,8,0,3,0,0,29,0,9,0,48,38,55,61,53,9,279,0,5,10,33,21,97,297,199,107,776,0,4,3,13,11,0,6,0,0,43,0,0,6,22,4,0,0,0,0,31,0,0,0,6,3,4,3,8,0,21,0,9,19,105,32,22,17,8,0,213,0,0,3,4,8,47,125,75,26,291,0,4,0,24,11,15,36,8,0,97,0,5,3,46,19,8,4,0,0,82,0,7,10,49,5,0,0,0,0,64,0,0,7,36,45,116,426,349,86,1069,8,64,83,411,282,370,345,133,22,1703,0,0,0,0,0,8,10,5,0,20,0,5,10,49,13,12,3,0,0,92,0,4,3,3,15,10,10,0,0,49,11,56,68,225,56,24,22,3,3,471,0,0,0,22,12,16,53,20,6,138,0,0,0,35,5,3,6,0,0,47,0,8,8,52,50,150,236,172,44,728
206,0,6,9,118,32,45,28,8,5,245,8,24,64,1507,216,150,108,44,18,2143,0,26,84,1106,216,528,872,886,648,4370,12,44,120,380,117,57,30,9,0,771,14,31,153,1115,90,24,3,6,0,1444,0,0,17,155,131,214,227,119,31,892,10,51,950,2721,407,259,229,72,11,4719,0,0,0,20,16,76,102,81,40,340,0,0,42,246,32,46,23,17,6,413,5,0,109,98,11,16,12,6,0,256,0,8,724,823,24,3,0,0,0,1595,4,19,39,254,78,81,92,69,16,655,27,111,538,4157,1117,697,358,136,24,7177,0,7,10,99,58,63,77,31,8,353,9,22,112,518,42,20,8,0,0,726,0,4,8,46,52,17,17,0,0,139,11,71,218,1375,162,85,41,11,6,1990,0,6,8,213,66,106,147,61,39,641,0,4,0,19,5,6,0,0,0,37,7,20,44,631,244,234,169,85,18,1445
207,0,12,9,54,29,17,4,3,0,130,3,19,14,122,53,57,42,35,20,355,0,16,19,159,94,247,590,651,459,2227,10,32,41,77,41,28,22,12,0,261,8,64,117,418,206,87,38,12,7,948,0,4,11,37,55,73,79,36,18,305,9,208,637,1934,858,701,747,332,66,5484,0,0,0,3,5,24,32,49,15,128,0,0,20,72,27,22,21,11,7,176,0,0,14,23,11,15,9,7,6,88,0,6,81,165,10,3,3,0,0,270,0,12,28,40,45,24,86,68,51,348,10,155,270,687,367,363,214,106,34,2209,0,0,6,16,21,38,59,33,12,189,3,49,124,406,69,33,17,10,8,714,0,4,3,13,43,16,5,0,6,91,3,58,75,371,107,57,44,11,4,730,0,4,0,39,24,41,73,47,28,257,0,0,0,4,0,0,0,0,0,7,0,13,18,73,88,92,99,104,33,520
208,0,0,3,32,11,11,10,6,0,74,0,33,48,648,162,120,86,64,23,1186,0,20,16,200,126,200,347,321,231,1469,15,83,51,140,78,41,26,0,0,435,0,38,71,247,78,33,15,6,0,492,0,3,4,46,54,56,55,25,3,252,5,37,115,564,175,161,153,46,17,1268,0,0,0,6,10,24,54,36,11,142,0,0,13,152,53,68,45,29,15,380,0,0,5,15,15,15,10,3,0,71,0,0,172,286,23,4,4,0,0,491,9,25,31,80,63,58,108,78,39,486,21,154,235,1137,677,554,300,129,21,3226,0,0,4,16,14,20,19,3,0,86,0,10,15,121,18,11,13,3,0,193,0,0,3,12,38,20,0,0,3,77,6,44,71,442,122,74,44,13,6,823,0,7,6,131,83,141,335,146,105,948,0,0,0,8,7,5,3,0,0,18,0,38,57,245,227,246,212,132,43,1208
209,4,112,159,639,405,299,101,36,8,1760,7,36,21,253,119,96,81,47,23,685,3,39,49,413,307,887,1874,1595,883,6049,3,22,22,59,36,22,9,4,0,175,3,14,38,172,53,15,14,3,0,317,6,24,59,395,370,409,268,136,28,1691,9,80,162,714,206,219,215,64,9,1671,0,0,0,20,31,132,294,215,50,743,0,10,40,166,41,64,56,12,4,399,0,0,6,34,9,13,8,0,0,67,7,25,349,1153,73,22,9,0,0,1634,0,11,17,47,49,44,100,78,29,379,33,310,380,1297,591,444,197,71,15,3341,5,33,64,569,462,775,1050,488,134,3583,14,123,150,811,122,43,22,7,0,1293,0,0,11,25,39,19,3,0,0,95,9,142,228,931,301,197,153,35,7,1982,6,0,8,66,42,56,82,33,14,301,0,10,26,94,63,70,27,13,0,306,0,17,22,156,108,154,165,122,20,763
210,18,730,1014,3013,1521,1023,506,170,49,8037,0,15,16,172,56,59,43,42,16,420,0,23,36,267,191,784,1364,1336,796,4794,0,6,14,25,15,6,3,0,0,73,0,3,16,78,19,8,3,4,0,138,31,98,147,1113,672,588,392,154,28,3213,8,40,60,305,75,73,53,17,4,627,0,4,7,29,36,129,400,325,115,1049,0,3,16,97,35,37,27,16,7,225,0,5,4,21,8,9,18,3,3,66,8,55,799,1975,81,18,18,0,0,2951,0,4,3,27,22,19,73,52,20,214,45,428,484,1061,386,302,117,48,13,2873,0,3,5,66,83,101,89,45,15,421,43,357,574,2390,341,110,35,5,0,3857,0,0,8,21,18,15,3,3,0,65,11,114,217,831,300,242,159,39,3,1914,0,7,0,61,37,60,98,42,25,330,6,42,60,171,139,119,57,13,0,603,0,5,12,98,77,109,121,89,28,533
