SA4_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
201,60389,147524,5415,8841,602,1124,6016,9968,1187,1665,88,129,3,5,0,0,23,46,1301,1842,138,206,72,107,18,30,137,282,363,623,130,248,68196,160202,8203,..,76397,160202
202,59771,146109,3593,5530,501,954,4094,6483,424,674,17,44,0,0,0,0,22,22,465,742,115,169,95,211,13,30,114,229,341,638,128,244,64792,154219,6810,..,71601,154219
203,108078,277496,9317,14924,2485,5056,11798,19979,2004,3103,203,318,314,469,134,229,31,45,2681,4164,87,121,362,511,5,20,152,347,609,1004,162,315,123332,302953,20217,..,143555,302953
204,65727,157935,4619,6648,214,381,4830,7029,457,686,15,50,15,38,10,21,21,65,522,859,223,334,181,256,16,35,126,275,544,905,158,351,71790,167082,11593,..,83386,167082
205,107293,256703,5206,7484,738,1401,5944,8889,3385,4745,54,84,15,21,4,10,36,56,3495,4916,273,366,717,1056,33,54,118,249,1132,1718,226,435,118088,272664,29102,..,147191,272664
206,56817,154409,28672,63209,31614,73783,60286,136999,24870,41262,31857,51086,37311,60703,66020,114210,123,275,160187,267524,0,0,4,10,0,3,1551,3012,1557,3021,492,872,279332,562827,62524,..,341856,562827
207,83097,239076,16217,33911,12992,34086,29207,67997,8523,15600,6851,11658,7417,12622,3462,6215,53,133,26312,46239,0,0,0,0,0,0,246,497,248,498,145,300,139003,354110,16717,..,155717,354110
208,86938,249669,22921,45820,16712,41629,39639,87450,20740,36430,6770,11487,7167,11862,1201,1946,68,163,35941,61892,0,4,136,168,4,4,871,1515,1012,1684,153,325,163682,401022,17052,..,180733,401022
209,152210,436617,15193,29975,12492,29320,27683,59295,4910,9131,1661,2698,3130,5077,637,999,101,211,10439,18110,6,18,10,11,0,0,272,560,291,591,141,273,190761,514886,13723,..,204483,514886
210,114632,343562,10307,21032,11956,29601,22259,50634,3240,6599,248,456,326,574,0,0,85,181,3902,7818,54,64,78,83,0,11,138,280,269,443,128,312,141191,402766,9968,..,151153,402766
211,162108,445393,13927,25398,6624,15554,20554,40951,1506,2622,1172,1884,1303,2128,241,379,172,374,4387,7374,66,90,116,151,0,6,108,239,287,481,164,336,187508,494531,11288,..,198790,494531
212,229110,695625,21468,47803,13003,36030,34469,83829,11839,25320,1646,3014,2384,4035,961,1760,144,304,16976,34434,127,160,316,375,5,8,90,198,534,741,252,553,281345,815186,18052,..,299399,815186
213,225490,683626,20154,44678,18130,46574,38287,91259,8440,15549,2289,3893,3549,5786,1770,2840,168,372,16213,28434,95,136,155,199,11,15,333,753,603,1107,259,581,280854,805001,21558,..,302408,805001
214,97497,250790,12162,19734,3986,8210,16148,27945,2572,3986,312,485,154,246,28,35,100,189,3167,4937,60,85,625,835,6,13,69,155,761,1078,101,185,117669,284937,27814,..,145479,284937
215,53993,130524,3176,4886,121,226,3297,5112,2108,3162,34,37,0,0,0,3,12,17,2152,3214,279,450,230,442,24,39,116,246,649,1183,166,330,60251,140367,8346,..,68593,140367
216,46286,116558,4200,6539,153,300,4356,6838,103,159,13,16,4,3,0,0,12,18,131,200,321,458,309,467,15,30,260,409,910,1372,88,201,51776,125175,5935,..,57706,125175
217,45986,109933,2905,4257,477,865,3380,5125,791,1118,58,84,0,0,0,0,17,31,864,1228,86,132,143,218,21,44,95,210,343,602,93,182,50664,117073,9137,..,59803,117073
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
