SA4_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
201,50,151,166,185,172,172,64,12,973,115,419,470,249,167,99,19,0,1545,489,1624,1638,1842,1886,1699,825,175,10176,468,1210,934,749,702,507,266,74,4902,137,303,340,385,376,230,113,26,1911,110,449,394,444,413,300,125,31,2261,43,329,363,384,411,606,285,47,2472,187,792,1016,1119,933,672,218,41,4974,181,569,507,624,497,519,143,39,3072,174,329,318,234,183,154,65,9,1468,129,341,363,302,225,154,58,17,1586,12,12,6,10,5,3,0,0,47,21,128,151,174,104,113,42,12,746,735,787,742,909,859,933,711,316,5990,2851,7454,7416,7605,6935,6150,2928,794,42135,56,198,208,185,136,60,20,9,875,26,86,115,87,82,34,4,0,436,50,128,131,135,101,62,34,20,661,25,74,95,71,58,34,8,5,373,100,185,195,162,104,49,18,0,819,548,1678,1475,1420,1543,1139,468,143,8415,206,1093,1155,1096,1050,1125,466,124,6308,313,1282
202,33,132,163,204,159,195,106,13,998,74,285,385,233,145,82,20,0,1230,458,1585,1491,1690,1915,1741,879,208,9978,325,1041,872,836,736,555,255,90,4711,85,267,387,426,410,251,105,34,1952,99,454,438,415,429,294,115,26,2270,61,326,387,369,434,580,309,53,2517,185,669,945,967,829,664,229,45,4531,174,479,570,645,549,518,205,37,3192,120,270,292,267,179,181,63,17,1389,85,348,326,272,209,132,62,9,1439,7,16,5,8,5,3,0,4,52,21,95,140,162,135,96,50,8,700,660,781,743,874,884,866,710,410,5934,2381,6748,7157,7373,7016,6155,3110,938,40888,40,163,205,202,132,93,37,7,890,8,58,64,74,74,51,15,3,340,31,128,133,166,115,63,34,17,694,26,71,93,94,56,40,4,0,393,78,179,172,224,131,57,19,5,866,569,1902,1576,1462,1630,1216,495,152,9011,211,974,1143,1125,1039,1208,530,104,6343,266,1138
203,210,413,421,431,400,398,187,38,2487,253,809,849,490,307,177,22,3,2909,993,3564,3136,3599,3717,3481,1703,473,20672,948,3278,2455,1797,1423,946,486,158,11489,180,426,554,501,429,334,180,52,2653,237,1129,1019,823,744,554,173,60,4738,96,685,757,627,794,1018,556,97,4635,505,2069,2654,2213,1881,1558,578,111,11563,465,1299,1165,1094,932,769,316,56,6099,368,680,669,425,221,224,66,13,2651,213,800,723,493,355,219,92,31,2930,23,28,11,11,13,3,4,0,94,62,235,323,296,240,188,88,27,1450,1272,1545,1354,1374,1233,1306,1005,519,9598,5815,16948,16089,14177,12683,11170,5450,1640,83967,280,571,564,445,304,184,61,3,2404,32,218,232,145,115,72,13,0,836,120,375,300,259,179,140,84,71,1523,103,452,273,208,116,55,24,0,1242,118,252,275,234,161,57,29,7,1135,1069,4227,3327,2786,2747,2070,864,286,17376,474,2216,2455,2034,2092,2300,968,226,12761,622,2946
204,36,96,146,176,173,215,74,14,924,68,182,245,160,129,91,22,0,886,631,1826,2033,2258,2547,2292,1030,237,12857,432,1161,960,909,953,728,304,92,5535,164,406,492,567,551,415,162,45,2799,77,358,331,300,402,318,121,28,1923,37,255,346,377,436,624,274,41,2381,162,639,857,937,929,768,275,57,4626,209,438,435,469,443,444,158,26,2616,94,201,178,147,128,105,29,13,898,156,409,413,359,316,179,69,12,1911,19,12,5,0,5,0,0,3,53,38,121,143,193,169,125,71,16,885,955,899,919,979,1220,1208,833,336,7350,3086,6991,7502,7830,8396,7500,3416,921,45640,31,141,213,196,159,136,28,5,913,3,32,64,74,74,43,12,0,305,52,131,124,129,140,78,43,19,722,25,78,76,66,53,28,8,3,338,123,264,291,283,204,93,28,8,1292,479,1639,1563,1556,1739,1339,550,190,9047,240,1049,1158,1073,1173,1276,551,92,6612,346,1286
205,72,180,176,204,241,287,133,24,1316,88,357,408,231,210,153,23,9,1477,1035,3183,3073,3659,4662,4434,2108,474,22640,620,2011,1647,1573,1674,1340,628,166,9654,172,576,757,764,712,466,177,39,3659,97,512,501,484,575,472,177,36,2860,74,349,494,444,614,985,457,64,3489,211,976,1141,1118,1223,1165,453,68,6361,257,656,654,699,755,726,271,52,4074,144,333,270,194,186,215,83,12,1445,195,519,549,488,441,302,137,26,2649,10,13,14,11,12,5,0,0,64,62,145,214,207,260,211,100,28,1231,1388,1529,1616,1713,1977,2034,1473,648,12381,4410,11349,11516,11793,13540,12815,6209,1654,73293,93,249,279,261,226,148,26,7,1278,14,70,98,79,121,79,24,0,478,106,187,182,197,204,117,85,47,1126,39,102,122,105,81,47,11,4,512,157,376,433,346,289,104,21,8,1738,693,2502,2144,2018,2522,2143,849,222,13099,362,1684,1702,1724,1885,2025,892,155,10436,476,2061
206,1345,3335,1738,1390,1181,804,380,63,10232,1338,5731,4531,1904,978,358,51,5,14902,1589,9760,5360,3765,3318,2356,1185,408,27736,816,4774,2762,1952,1393,744,366,103,12899,179,777,533,395,293,182,72,15,2448,534,4482,2549,1582,1337,933,470,122,12005,160,1664,1176,886,1072,1025,398,91,6466,3242,14827,10521,6786,4456,2440,904,189,43369,1463,7898,5157,3711,2924,2296,908,184,24547,1779,7079,4084,2042,1078,525,185,28,16795,676,2459,1455,767,518,203,85,17,6179,95,62,35,9,13,10,6,5,235,330,1158,911,668,447,230,102,23,3871,2462,5812,3647,2510,2042,1459,1060,569,19563,16009,69821,44455,28371,21052,13557,6170,1810,201239,1763,3537,2040,1236,833,435,160,42,10037,471,2146,1289,671,367,128,24,0,5088,466,2767,1303,610,375,208,172,93,5986,542,2637,1349,780,386,144,56,7,5911,237,737,435,246,173,73,19,3,1923,1956,10756,5502,3457,3000,1956,886,301,27811,631,4496,2838,2705,3192,2902,1078,230,18070,3830,17067
207,535,865,648,833,1001,789,545,131,5343,642,2051,2936,1837,1099,389,55,4,9007,776,3202,3060,3383,3507,2859,2029,771,19594,491,1317,1063,1248,1021,637,535,170,6475,87,224,214,231,205,151,96,41,1235,369,1602,1423,1396,1242,843,479,214,7569,109,524,390,480,627,651,434,129,3344,1643,5356,5864,5887,4428,2695,1330,418,27622,633,1745,1556,1969,1689,1425,752,217,9982,625,1290,844,600,405,233,114,52,4153,231,609,555,436,337,175,91,30,2467,47,43,27,11,19,22,9,0,177,114,291,305,341,289,182,100,41,1650,1013,1487,1149,1073,859,755,718,511,7552,7308,20601,20031,19704,16717,11804,7275,2724,106171,644,996,948,1022,885,514,218,81,5309,179,670,1146,839,523,157,22,4,3537,148,650,849,653,516,231,196,100,3340,139,536,465,358,234,93,51,14,1891,87,172,155,134,107,51,22,10,740,1192,3984,3271,3142,2936,2185,1317,589,18625,314,1738,1630,2224,2568,2646,1546,444,13100,1593,6122
208,375,806,778,1009,1024,681,355,76,5096,409,1913,2787,1961,1116,422,57,4,8672,755,3382,3602,4118,4262,3369,2029,789,22302,560,2136,1888,1857,1432,938,471,188,9464,91,345,302,379,280,138,62,29,1620,254,1406,1306,1277,1082,827,392,165,6708,100,644,660,737,868,761,357,124,4245,1323,4968,6918,7144,4690,2838,1228,368,29486,593,2085,2088,2434,1753,1504,625,151,11237,586,1378,1180,873,558,336,146,36,5099,224,638,695,572,394,195,124,21,2868,31,20,17,12,7,10,3,0,117,91,294,408,459,338,211,115,46,1946,875,1564,1430,1292,980,920,828,557,8448,6258,21586,24066,24118,18771,13168,6786,2562,117311,543,971,1138,1201,811,473,137,62,5342,117,667,1011,749,445,180,26,0,3193,118,650,729,603,485,315,221,142,3265,146,539,524,468,244,126,27,12,2088,92,171,172,165,121,52,17,8,803,974,4197,3773,3588,3061,2065,1127,521,19294,427,2279,2410,3151,3282,3058,1331,384,16325,1273,5854
209,404,997,1032,979,776,624,288,43,5148,729,2645,3652,1602,700,285,37,0,9650,1616,6085,6542,6070,5562,4007,1996,511,32394,1300,3897,3088,2587,1730,1034,556,145,14324,136,509,567,491,339,170,81,7,2308,438,1727,1548,1076,867,541,193,66,6462,143,919,984,851,820,860,379,75,5027,1203,5257,6250,4519,2976,1852,633,129,22804,767,2503,2446,2069,1457,954,326,72,10603,659,1808,1605,883,435,218,91,20,5730,443,1327,1485,810,468,257,116,43,4948,43,37,35,13,18,16,14,0,180,121,492,679,545,369,228,95,21,2552,1887,2657,2469,2049,1637,1379,1096,601,13779,9901,30874,32382,24540,18159,12421,5898,1733,135904,617,1448,1513,992,616,313,85,23,5600,155,1033,1232,529,244,81,4,0,3281,159,806,953,544,401,247,157,81,3336,131,495,492,302,182,48,10,3,1660,139,323,348,249,135,53,21,0,1281,1700,6186,5117,3677,2703,1701,612,225,21926,709,3818,3765,3328,2755,2145,761,168,17443,1387,6801
210,262,577,593,460,354,265,99,18,2636,551,2163,2650,981,394,143,17,0,6903,1280,5155,4985,4605,4491,2861,1504,433,25312,1127,3120,2305,1681,1048,627,307,94,10308,94,358,377,297,239,126,57,14,1557,263,1129,870,601,482,279,96,19,3731,118,703,593,532,556,489,203,44,3227,955,4383,4783,2955,1980,1087,295,68,16506,682,1840,1629,1190,857,495,149,35,6886,397,999,790,383,199,96,52,5,2925,321,1172,1285,595,379,175,119,25,4071,32,30,28,18,11,17,7,0,140,100,389,525,354,259,164,66,28,1881,1827,2813,2396,1794,1455,984,867,434,12575,8017,24837,23802,16440,12704,7820,3837,1223,98666,434,983,1012,634,318,151,34,0,3572,121,849,911,353,136,67,8,0,2441,111,699,675,419,267,158,109,54,2506,146,421,283,146,86,34,3,3,1119,81,205,188,152,104,25,8,0,760,1240,4452,3047,2047,1500,847,356,95,13601,661,3266,2990,2409,1815,1143,414,75,12776,1069,5342
