SA4_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
201,3418,23570,25292,9214,5716,67205,989,68196
202,2954,21702,24497,9074,5644,63872,923,64792
203,5748,41856,50162,15246,8763,121772,1567,123332
204,2944,22520,27375,10583,6824,70255,1537,71790
205,5493,39667,44197,16471,10083,115913,2172,118088
206,68064,135870,56001,11055,4744,275732,3596,279332
207,10231,54425,52298,13823,6840,137614,1392,139003
208,11504,65810,62504,15077,7109,162007,1676,163682
209,10776,65106,75140,23721,13595,188340,2417,190761
210,7375,46384,55717,18647,10972,139091,2095,141191
211,7192,58327,77959,25893,16264,185637,1864,187508
212,13771,88117,114738,38950,21736,277308,4041,281345
213,16295,100238,108442,33845,17618,276445,4403,280854
214,5367,40288,47335,14802,8328,116113,1557,117669
215,3409,19398,21605,8728,5754,58896,1358,60251
216,2479,16635,18904,7676,4967,50654,1114,51776
217,2343,16311,18767,7484,4854,49755,912,50664
297,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
