SA4_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
201,0,0,0,3,5,24,36,19,5,92,0,0,0,11,3,12,4,0,0,23,0,0,0,8,3,0,4,5,0,10,0,0,41,83,0,0,0,0,0,126,0,0,4,13,17,36,172,138,44,431,3,42,44,233,158,191,142,43,16,869,0,0,0,0,0,10,7,0,0,13,0,0,10,50,4,0,0,0,0,75,0,0,0,8,19,5,0,0,0,32,6,32,36,255,82,67,57,10,0,548,0,0,0,18,4,8,10,8,0,54,0,0,0,4,0,3,3,4,0,12,0,7,9,28,33,59,101,81,21,339,0,3,11,13,21,9,8,0,0,69,3,13,15,59,39,30,19,6,0,185,0,7,17,76,15,14,7,5,4,139,0,0,0,31,5,0,0,0,0,42,0,10,10,76,30,17,4,0,0,151,0,0,0,3,4,0,0,0,0,11,0,16,24,66,39,42,48,9,0,246
202,0,0,0,3,4,11,21,9,4,53,0,0,0,16,3,4,5,3,0,23,0,9,29,227,64,41,28,12,3,411,0,0,7,55,6,0,0,0,0,68,4,3,0,18,20,30,86,59,14,230,0,28,42,184,145,188,111,48,7,761,0,0,0,4,0,5,9,0,0,12,0,3,3,35,5,0,0,0,0,51,0,0,3,12,33,16,3,0,0,70,4,23,52,259,108,64,43,12,0,563,0,0,0,10,6,7,11,4,3,33,0,0,0,0,0,0,0,0,0,0,0,4,3,18,37,59,71,55,16,266,0,3,4,11,0,5,7,0,0,38,0,15,28,76,43,36,17,12,0,226,0,12,11,67,18,20,14,5,8,152,0,0,0,60,0,0,0,3,0,70,3,96,159,150,20,19,6,0,0,460,0,0,0,0,4,0,0,3,0,14,4,9,29,58,39,34,31,17,0,231
203,0,0,0,12,8,38,100,59,8,227,0,3,12,33,16,19,3,7,0,92,0,11,39,137,55,32,20,3,0,285,0,4,24,141,0,0,0,0,0,177,0,12,7,48,37,67,301,229,102,812,18,87,122,574,319,294,216,86,24,1749,0,0,0,40,42,83,118,64,31,380,8,42,67,136,7,8,9,3,0,276,0,0,0,16,34,15,9,0,0,87,6,58,114,590,238,190,123,28,4,1351,0,0,0,66,35,38,67,34,46,286,0,0,0,10,9,0,0,0,0,21,0,22,12,116,90,192,226,182,59,895,5,16,22,56,33,28,28,6,0,190,5,29,65,204,116,97,63,29,7,611,4,18,49,205,37,27,33,9,3,382,0,0,4,50,5,4,0,0,0,73,3,95,118,223,88,39,13,0,0,580,0,0,0,18,21,16,14,10,0,83,15,41,60,231,73,62,68,22,3,567
204,0,0,0,3,0,6,17,14,8,56,0,0,7,14,9,0,5,0,0,27,0,5,0,13,3,0,0,0,0,24,0,12,29,77,5,0,0,0,0,120,0,0,6,27,26,46,134,84,24,347,0,39,49,198,206,233,156,63,16,959,0,0,0,4,0,3,6,0,0,14,0,10,3,21,0,0,0,0,0,34,0,0,4,10,20,9,5,0,0,52,4,36,34,273,93,94,73,11,3,624,0,0,0,12,9,3,11,10,14,53,0,0,0,3,0,5,3,0,0,14,0,0,4,39,31,79,90,69,20,332,0,3,0,5,20,4,3,0,0,38,0,8,18,70,44,36,17,14,3,216,0,12,0,43,19,9,10,0,3,98,0,4,0,47,5,0,0,0,0,62,0,18,10,85,55,17,0,0,0,189,0,0,0,5,0,0,0,0,0,10,3,10,7,72,28,50,55,12,0,236
205,0,0,6,3,9,33,100,78,23,242,0,0,10,30,17,29,24,5,0,116,0,0,6,34,11,0,4,0,0,57,0,0,11,44,0,0,0,0,0,56,0,0,9,49,46,116,437,282,113,1047,3,82,94,396,319,377,325,126,20,1740,0,0,0,0,5,4,4,3,0,17,0,12,7,39,8,6,5,0,0,74,0,0,6,19,32,13,10,3,0,84,13,51,60,482,214,239,134,38,4,1238,0,0,0,14,22,25,46,23,21,149,0,0,0,5,3,0,0,0,0,5,0,0,16,52,59,184,260,216,63,835,0,5,7,19,19,15,9,0,0,70,0,24,32,103,94,83,65,29,5,440,0,12,9,110,37,30,31,12,4,252,0,0,10,99,4,8,3,0,0,114,3,23,33,174,84,40,10,0,0,369,0,3,0,9,9,9,0,5,0,26,5,27,22,99,60,63,102,19,0,389
206,0,0,0,18,22,53,120,108,54,367,0,0,62,198,27,50,32,13,7,396,0,0,95,139,31,13,11,3,0,293,6,5,473,623,16,9,0,0,0,1134,3,16,30,227,56,46,88,58,10,532,31,99,695,4125,1011,688,397,122,36,7203,0,4,6,107,76,67,60,40,19,383,5,9,34,229,20,27,5,4,0,340,0,4,15,60,62,25,9,0,0,180,14,56,311,1950,299,193,168,39,7,3042,0,3,21,339,113,128,180,97,81,947,0,0,0,15,13,10,5,4,0,45,3,17,71,544,181,162,137,105,24,1237,18,67,285,958,183,105,82,14,3,1715,0,19,152,825,222,137,133,39,11,1540,5,16,138,701,128,120,95,38,17,1251,9,12,140,987,91,53,42,3,0,1333,6,40,239,1855,229,82,40,7,0,2501,0,13,17,279,191,181,119,75,10,891,78,193,353,1820,325,245,170,74,11,3275
207,0,0,0,5,4,17,71,55,23,171,0,6,13,85,30,34,28,10,10,212,0,3,15,37,17,16,12,6,3,117,6,3,78,133,6,3,0,0,0,225,0,17,17,32,34,25,67,76,45,317,25,158,240,619,391,355,221,119,61,2186,0,0,0,23,27,50,46,46,24,218,3,43,33,233,45,33,24,0,0,416,0,0,5,13,38,25,13,0,0,89,4,54,93,600,190,140,129,29,11,1249,0,0,0,75,46,69,97,72,58,423,0,0,0,10,0,9,4,0,0,22,0,3,21,68,72,78,108,112,71,549,12,156,180,451,227,215,191,64,16,1509,13,71,117,329,256,184,137,85,20,1203,5,53,205,651,272,284,236,126,73,1895,9,51,60,639,207,147,172,25,9,1321,8,21,68,395,137,60,28,8,3,736,0,12,9,53,56,64,20,17,13,234,46,179,151,268,130,117,62,32,5,992
208,0,0,0,4,14,21,54,45,20,160,0,3,11,165,69,87,85,45,20,485,0,0,9,23,13,24,18,13,6,106,0,7,137,243,9,4,0,3,0,405,3,25,25,76,57,52,112,76,39,460,12,122,242,1133,717,627,388,142,56,3438,0,4,0,41,23,25,12,12,0,114,0,5,5,79,13,11,8,0,0,131,0,0,0,14,46,27,9,0,0,108,6,42,87,741,241,236,152,41,6,1548,0,10,12,218,137,203,389,175,227,1364,0,0,5,10,0,0,6,3,3,32,0,27,52,274,175,221,210,164,92,1223,7,100,125,245,120,74,72,31,5,778,19,159,234,965,808,511,389,200,101,3385,0,18,54,431,189,240,233,131,68,1356,0,13,16,225,43,26,20,0,0,329,4,43,63,457,143,61,30,8,0,798,0,13,11,99,84,97,74,46,20,449,59,199,183,477,251,191,129,41,9,1544
209,0,0,3,32,32,121,335,210,80,811,0,0,28,166,54,76,48,27,18,422,0,0,6,36,6,3,10,0,0,71,0,29,298,1046,26,26,12,0,0,1443,0,10,19,55,33,28,93,70,43,355,36,305,332,1347,535,414,207,81,25,3269,0,21,57,621,532,867,1028,471,175,3775,6,97,66,600,71,49,23,9,0,929,0,0,3,27,42,19,11,0,0,113,14,117,198,1343,495,446,330,64,22,3037,0,5,8,113,67,69,97,54,24,436,0,19,38,74,70,62,35,10,3,302,3,18,36,135,109,162,165,114,45,774,7,70,75,260,118,84,54,20,8,685,3,49,109,354,214,119,52,40,11,943,7,90,194,1211,413,380,255,122,44,2717,0,10,6,223,37,28,13,0,0,327,3,35,72,539,187,81,34,8,0,957,0,12,14,163,161,164,104,42,11,678,21,94,102,336,110,85,82,18,3,849
210,0,0,0,36,42,167,448,381,168,1249,0,3,10,93,31,37,28,7,6,215,0,6,6,25,12,15,3,6,4,89,10,72,567,1615,50,31,10,0,0,2358,0,3,9,24,21,26,86,53,19,237,54,332,458,1115,416,296,138,59,10,2873,0,0,4,80,66,93,96,45,14,408,57,353,225,1533,199,52,36,4,0,2467,0,0,6,26,28,16,4,0,0,80,11,97,212,1219,530,485,305,76,12,2948,0,0,0,100,48,77,104,70,66,469,0,37,84,168,154,122,54,9,0,628,0,4,11,80,52,111,125,90,41,517,0,43,51,146,74,55,32,3,4,409,6,25,33,159,77,47,33,12,4,391,7,108,193,994,494,362,173,91,28,2452,0,4,3,101,16,13,8,0,0,145,14,39,48,430,136,67,17,4,0,749,12,81,128,1076,1272,1034,575,267,49,4497,14,67,60,200,57,46,34,10,6,487
211,0,0,0,3,12,39,78,76,24,235,0,5,14,93,43,94,85,31,7,376,4,100,347,881,199,104,68,12,0,1719,0,10,55,213,20,13,3,0,0,310,0,11,16,69,84,133,476,443,215,1452,10,149,255,875,608,576,327,133,49,2982,0,0,0,15,8,29,25,24,3,110,3,34,26,224,39,29,26,11,3,393,0,4,0,38,68,38,10,5,0,164,9,85,126,859,403,360,226,67,21,2148,0,4,7,116,100,135,198,61,60,688,0,0,0,11,8,9,9,0,0,49,0,16,28,120,126,286,314,259,105,1257,11,101,130,316,194,172,133,40,19,1115,9,55,154,502,383,277,236,108,39,1760,4,90,173,1085,491,496,388,174,74,2974,6,25,21,339,98,69,46,8,0,615,9,56,106,531,183,93,31,11,3,1024,0,9,8,29,36,27,28,12,0,144,16,77,98,308,131,117,104,31,3,883
212,0,0,0,18,11,38,169,138,54,427,4,25,159,802,373,627,513,288,153,2938,0,30,65,495,164,86,62,28,7,937,3,15,170,542,40,26,12,5,0,807,0,11,29,57,80,118,343,355,190,1178,101,806,1238,2418,993,754,395,146,54,6909,0,6,18,206,165,202,154,91,27,862,56,619,685,1903,271,133,81,12,7,3769,0,0,8,30,36,21,6,0,0,113,30,380,775,3189,1321,1092,571,158,50,7565,0,4,23,262,172,368,423,176,124,1546,6,62,156,302,263,223,75,27,11,1127,3,25,45,133,176,333,356,309,145,1521,14,171,310,477,274,226,153,44,10,1689,11,101,200,602,507,336,260,136,55,2213,53,659,1323,6560,2394,1925,1472,637,252,15280,7,31,36,606,105,89,69,5,0,952,13,119,255,1177,370,163,73,22,5,2202,5,16,24,189,312,242,189,87,36,1106,23,155,162,275,94,78,61,23,4,880
