SA4_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
201,167,461,363,221,556,518,145,308,40,2770,163,343,222,155,495,492,136,304,556,2868,4543,12450,9811,6976,15066,15210,4492,8995,1294,78847
202,175,501,352,214,521,538,146,284,22,2752,141,376,237,166,455,481,97,296,507,2757,4404,12264,9558,7106,14602,14384,4139,8924,1255,76625
203,419,1029,784,385,1003,991,225,485,56,5377,265,722,506,371,925,1140,241,581,982,5734,9178,25995,19535,13215,29739,31950,8780,16836,2344,157566
204,190,482,345,205,545,641,172,360,54,2997,174,409,294,198,530,578,135,332,694,3344,4993,12585,10013,7529,15737,17089,4854,11134,1828,85750
205,320,854,622,402,965,1039,257,562,75,5100,354,643,429,281,778,839,208,538,1119,5186,7754,20578,16045,11190,22811,23333,6918,15978,2819,127425
206,916,1732,1675,882,2046,1692,457,831,90,10317,559,1520,1363,806,2626,3168,684,1619,2145,14495,18404,47831,40436,25986,74042,88109,23890,47832,4381,370901
207,397,1097,873,446,966,942,227,441,25,5422,313,1005,792,421,1347,1571,282,777,1236,7745,8491,30705,22257,13799,33470,40760,10410,23092,2282,185265
208,508,1224,958,567,1100,1069,374,616,58,6466,333,1123,828,525,1613,2124,474,1154,1220,9395,10539,33257,24804,16669,39071,50210,14112,30174,2562,221398
209,743,1538,1355,679,1977,1814,455,817,105,9484,451,1275,1061,693,2603,2432,462,942,2007,11918,13489,37664,31634,21318,58014,58476,14754,26238,4331,265919
210,553,1065,989,492,1447,1336,324,622,107,6939,361,1004,876,494,2079,1838,338,692,1945,9623,9652,26027,22827,14653,43532,41617,10185,18368,4076,190944
211,802,1732,1426,805,2098,2154,577,1070,85,10748,429,1295,997,689,2733,2550,567,1061,1613,11944,13401,39546,30921,20929,55037,58036,15348,27146,3467,263832
212,1177,2416,2188,1076,3543,2867,716,1197,176,15345,715,2399,2087,1324,6343,4890,866,1595,4144,24365,17648,55887,48480,31434,100242,87832,20654,34666,8094,404944
213,1023,2123,2034,1047,3051,2473,635,1046,171,13606,714,1959,1978,1173,4700,4085,722,1401,4422,21152,19095,50642,45694,30050,95445,90868,20594,36390,8688,397466
214,594,903,760,409,970,1027,265,481,49,5459,313,802,524,344,1219,1334,321,638,1051,6539,8847,22191,17376,12241,26844,30260,8344,15874,2338,144321
215,130,333,282,196,496,514,135,268,37,2385,161,357,224,164,515,465,111,239,762,2995,3391,9616,7679,5967,13316,13659,3780,9811,1681,68899
216,144,409,294,184,513,538,143,282,37,2548,135,303,206,118,403,466,118,242,606,2597,3171,8696,6852,5193,11432,11928,3646,8011,1429,60348
217,123,350,248,157,375,416,88,221,32,2012,135,329,178,108,317,389,95,222,523,2288,3434,9709,7230,5052,10017,11416,3436,9010,1348,60640
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
299,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
