SA4_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
201,0,0,0,0,0,3,5,13,0,0,0,0,0,0,4,19,0,0,0,4,5,0,42,25,0,3,0,0,3,0,0,95,0,0,31,34,34,37,54,20,4,7,6,9,0,0,0,232,0,0,8,3,17,28,269,171,40,36,45,82,23,0,14,749,0,52,90,25,3,11,3,0,0,0,0,0,0,0,9,196,8,12,8,0,3,6,20,4,3,0,4,0,0,0,5,67,3,0,4,8,21,11,17,15,0,0,5,6,0,0,10,99,92,182,72,55,66,31,45,20,5,0,5,5,4,0,20,599,0,40,49,17,0,0,0,0,0,0,0,0,0,0,10,117,0,0,0,13,14,14,20,17,3,6,0,3,6,0,0,90,4,4,22,33,28,38,572,418,131,117,186,246,95,19,58,1980,0,7,6,6,3,11,25,27,3,0,0,7,3,0,0,115,0,0,0,0,11,0,24,19
202,0,0,0,0,0,0,7,47,14,11,9,0,0,0,0,87,0,0,0,3,0,7,27,24,0,4,4,0,5,0,0,69,0,5,12,33,19,20,63,29,12,0,3,3,3,4,3,204,3,0,6,0,20,27,172,91,15,16,31,23,4,3,26,431,0,10,54,16,4,10,0,0,0,0,0,0,0,0,0,98,4,4,8,5,9,6,21,21,0,0,4,6,6,0,7,98,0,0,0,5,11,10,29,10,0,0,0,0,0,0,3,65,71,143,70,46,50,31,31,12,0,8,0,5,0,0,16,475,3,25,40,12,4,0,0,3,0,0,0,0,0,0,14,110,0,4,9,9,9,7,13,13,9,0,0,4,0,0,6,82,5,6,24,26,7,31,422,314,112,89,114,120,51,12,37,1386,4,4,6,3,7,13,32,21,10,4,4,9,8,0,0,127,0,0,0,0,0,0,18,26
203,0,0,0,0,5,10,52,364,59,31,9,59,17,10,3,611,0,0,0,0,0,8,62,54,4,26,12,15,4,0,0,172,0,13,35,55,49,71,137,97,25,22,18,33,10,9,12,577,9,8,79,18,52,110,530,378,100,117,124,151,42,11,34,1748,6,212,617,184,71,172,53,15,0,0,0,3,0,0,50,1390,11,30,38,17,3,15,35,18,7,3,12,13,11,11,10,245,0,0,4,12,32,26,38,46,6,0,0,9,6,5,4,193,315,534,162,77,97,69,127,62,25,18,16,15,10,0,64,1591,11,125,266,80,13,14,7,6,3,5,0,0,0,0,29,565,0,7,14,12,32,37,63,49,15,12,18,12,24,0,8,290,12,14,57,49,51,65,1181,1097,360,443,605,804,326,20,108,5203,0,17,9,4,27,56,84,51,9,16,29,24,23,4,11,364,0,0,3,3,35,33,63,260
204,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,13,0,0,0,0,0,5,14,13,0,0,0,0,0,0,0,40,4,4,22,32,35,32,48,38,9,8,9,11,4,0,5,258,0,3,3,0,13,19,119,58,20,20,34,124,9,0,17,442,4,38,108,24,12,11,0,0,0,0,0,0,0,0,7,200,0,7,10,0,0,0,17,0,0,0,5,0,0,0,0,50,5,3,6,6,21,19,21,13,0,3,0,0,0,0,4,94,181,401,143,69,65,44,55,21,5,10,0,9,8,4,39,1054,4,32,53,13,4,10,0,0,0,0,0,0,0,0,7,130,0,5,0,6,12,14,15,8,3,3,7,8,4,0,4,92,10,6,12,23,17,17,348,242,58,80,82,95,31,4,29,1050,5,6,3,7,9,15,22,6,5,14,5,4,6,0,0,108,0,0,0,0,3,0,6,16
205,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0,5,4,0,22,16,3,4,3,6,0,0,0,64,3,10,35,57,44,43,72,43,12,5,13,15,4,3,9,381,11,10,19,3,30,58,199,134,49,28,22,50,14,3,43,674,9,29,95,61,13,15,0,3,0,0,0,0,0,0,16,237,3,31,31,6,3,7,18,4,8,4,0,0,0,4,5,135,3,4,12,13,34,27,40,13,4,0,0,14,9,0,0,184,276,550,241,91,142,57,82,39,9,11,0,9,4,0,59,1574,6,68,132,46,12,0,0,0,0,0,0,0,0,0,24,298,0,3,5,10,20,12,18,17,3,3,0,10,4,5,16,127,14,15,49,41,51,60,497,349,69,88,125,148,73,5,39,1637,8,12,7,8,19,27,35,30,0,16,13,24,17,0,3,231,0,0,0,0,5,5,8,21
206,0,0,0,0,14,54,76,60,0,0,0,7,5,36,3,263,0,0,0,3,11,52,114,137,48,55,66,58,32,11,7,598,0,15,54,151,176,261,416,457,112,122,180,205,106,42,26,2328,21,36,76,133,1171,1985,4829,5461,2049,2363,2283,2587,975,136,399,24507,10,80,354,115,60,157,46,37,5,0,7,9,0,0,13,895,25,144,208,108,110,106,87,103,41,38,37,22,17,13,26,1070,6,10,19,57,154,112,92,64,9,14,5,28,8,9,14,603,240,291,160,134,218,274,504,375,116,121,155,180,73,31,41,2913,43,1346,4483,885,201,78,66,205,43,36,18,34,15,5,320,7770,3,31,80,182,574,586,604,574,194,169,195,224,148,64,60,3682,20,21,240,283,388,658,2332,2552,1254,1788,2600,3312,1297,305,233,17286,8,18,28,59,149,529,924,775,337,477,507,640,298,30,66,4836,0,0,7,32,143,129,380,654
207,0,0,0,0,26,26,17,20,5,0,0,0,0,0,3,94,0,0,0,15,13,32,73,88,10,12,21,27,19,0,0,323,0,16,40,95,100,88,154,101,30,18,31,27,10,0,7,717,29,129,202,306,3444,4775,12275,8799,2246,2516,2320,2671,1007,225,761,41719,5,122,266,55,21,35,12,4,0,0,0,0,0,0,16,546,27,148,191,102,130,131,147,113,13,39,40,33,13,10,24,1157,7,10,23,64,172,93,61,24,6,3,8,7,9,0,3,493,226,279,165,90,113,87,139,73,12,15,10,17,12,7,32,1276,71,1424,2875,539,135,64,38,147,35,14,4,14,11,0,129,5507,14,54,156,590,1792,1608,958,639,168,202,224,212,235,79,121,7049,36,25,210,351,598,940,2496,1566,537,723,982,1221,454,77,153,10381,8,16,53,75,212,602,512,205,46,53,70,92,65,12,21,2037,0,4,5,58,428,274,826,1438
208,0,0,0,0,21,38,22,18,3,3,0,0,0,3,0,119,0,0,4,7,17,24,85,35,17,18,27,19,13,0,0,272,0,15,72,130,146,150,279,204,37,34,42,42,11,3,20,1174,26,77,55,102,1044,1497,4056,2897,782,809,805,1149,373,76,227,13969,7,85,308,70,53,127,20,23,0,0,3,0,0,0,18,723,31,165,267,90,95,68,45,44,12,11,0,14,5,0,29,876,4,7,14,52,139,84,61,42,7,10,8,9,4,4,5,444,329,468,234,157,192,204,344,196,23,26,38,59,26,15,62,2373,49,982,2817,679,134,60,54,177,15,20,23,12,8,0,163,5186,0,16,52,144,306,253,284,193,50,68,60,75,58,27,37,1624,34,34,324,407,594,907,2729,1881,684,940,1246,1230,387,101,166,11656,13,19,18,49,76,312,325,143,22,30,53,49,59,10,11,1189,3,0,3,5,91,47,176,236
209,0,0,0,0,31,106,107,94,24,10,9,14,7,0,12,427,0,0,0,6,16,51,304,204,36,38,29,28,17,0,4,746,0,10,28,74,81,114,170,148,34,32,26,22,10,3,8,747,10,29,44,66,949,1368,4315,2200,470,553,675,541,164,19,234,11642,0,86,698,230,77,161,52,12,3,3,0,0,3,0,47,1386,24,147,282,109,214,197,252,221,25,18,43,12,13,4,36,1582,0,3,16,52,276,215,279,128,21,30,32,37,7,0,18,1119,232,300,170,98,124,140,249,113,23,33,22,14,9,8,45,1559,89,1208,3868,951,330,153,102,437,27,52,25,18,12,4,196,7472,6,14,35,85,266,273,224,153,44,46,34,36,30,4,14,1256,10,15,128,220,491,977,8709,4875,1342,1570,2178,2423,738,117,394,24180,4,14,11,38,119,241,371,168,42,61,36,30,35,6,16,1191,0,3,5,11,145,194,788,1956
210,0,0,0,0,8,63,184,177,17,17,18,28,5,3,22,540,0,0,0,12,41,138,365,209,34,45,29,33,22,5,23,960,5,3,14,60,45,58,120,93,14,17,9,4,7,5,9,461,8,13,32,35,337,406,983,479,124,124,81,90,27,3,47,2790,0,148,748,248,89,112,23,13,4,0,0,0,0,0,29,1420,36,256,336,134,186,161,243,196,36,41,55,28,13,11,41,1786,0,5,6,63,347,274,390,167,27,42,33,38,13,0,20,1438,280,339,110,63,84,68,134,48,8,12,8,12,5,0,31,1199,32,519,1478,399,176,74,64,148,18,7,10,0,3,0,97,3025,3,0,7,39,124,101,104,65,11,12,9,6,9,0,6,488,8,10,214,267,429,770,8140,4480,1121,1263,1571,1836,507,118,324,21045,0,6,11,17,55,123,238,115,28,36,18,24,12,0,13,695,0,0,29,61,132,88,285,743
