SA4_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
201,10,101,8,1224,16,0,3,11,3,20,0,12,7,67,550,703,26,5,3,13,4,8,0,9,8,180,134,389,3387,1044,162,2821,342,1646,236,1525,314,7365,819,19664
202,15,89,8,1174,17,8,4,19,9,16,4,21,8,80,546,719,10,11,8,12,3,9,5,7,6,156,122,354,3162,1034,160,2658,340,1559,244,1544,290,7277,786,19054
203,21,258,10,3057,23,4,14,30,17,30,6,27,17,125,959,1244,26,13,21,25,10,13,0,14,10,276,193,594,6462,1843,241,5105,691,2812,368,2834,512,13871,1332,36084
204,9,117,5,1243,22,13,6,21,15,18,0,18,13,80,792,999,31,8,15,17,4,14,3,17,3,223,150,485,3983,1317,253,3332,440,1791,350,1794,356,8478,1104,23193
205,37,189,9,1975,44,6,13,32,17,41,5,35,13,161,1180,1542,42,16,29,42,10,26,4,21,10,381,314,899,5187,1911,384,4842,569,2877,446,3174,658,16236,1785,38074
206,59,763,24,18185,81,11,23,41,61,37,27,32,18,78,2120,2517,40,13,30,17,11,13,3,9,12,147,223,526,27278,4839,546,12194,1746,7252,922,4635,702,11957,2538,74609
207,35,651,7,5928,26,12,10,18,8,26,9,19,9,87,948,1169,16,7,9,18,10,10,3,8,9,202,155,446,7176,2042,187,4414,528,3321,314,3072,420,14327,1261,37070
208,58,599,9,7922,40,7,8,15,14,31,13,25,12,113,1031,1315,39,13,12,25,12,22,8,24,6,210,188,560,10763,2134,224,5819,736,3861,392,3456,487,13101,1372,42350
209,20,208,10,4405,40,14,14,29,17,47,11,33,19,133,1155,1513,43,9,18,31,6,25,4,19,11,303,321,801,11133,2192,322,6800,986,4690,513,3426,597,16244,1768,48673
210,10,100,4,2758,31,7,16,22,15,39,14,26,10,114,795,1090,35,7,22,19,4,16,3,12,11,250,236,619,8063,1404,251,4428,720,3466,320,2205,439,11740,1234,34270
211,22,234,5,4493,40,5,15,26,29,41,12,35,15,149,1193,1571,49,5,26,38,7,22,6,28,17,308,246,763,10939,2422,298,7228,968,4719,500,3925,689,18873,1667,52235
212,19,244,13,4280,75,14,42,42,32,82,19,51,42,202,1702,2297,55,14,41,45,22,29,9,25,20,470,520,1255,15112,3230,485,9301,1232,7280,635,4672,835,24915,2673,70370
213,18,125,9,6022,63,13,31,43,36,73,15,33,36,156,1684,2187,65,5,40,34,19,18,8,21,19,385,541,1159,16905,2814,480,8835,1431,7203,622,4032,868,19877,2582,65659
214,28,368,10,2961,21,14,9,25,21,38,6,38,13,110,800,1093,21,11,20,26,10,16,4,24,10,288,245,668,5880,1695,249,4390,601,2737,361,2721,511,13832,1253,34237
215,9,90,0,834,14,8,8,20,5,25,5,15,11,59,588,764,29,6,18,30,4,16,3,11,12,175,202,513,3412,947,195,2727,316,1420,214,1299,277,6591,956,18355
216,8,70,3,703,18,0,4,19,0,28,5,16,11,65,484,640,16,10,10,16,3,7,8,8,10,177,161,423,2669,738,148,2269,255,1308,174,1096,269,6187,789,15890
217,8,67,7,866,14,0,6,17,3,21,3,17,0,58,475,609,20,13,20,20,5,8,0,9,6,128,130,365,2736,893,183,2408,294,1208,203,1227,262,5621,722,15754
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
