SA4_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
201,..,20583,20583,22535,1742,24274,8898,360,9259,8516,130,8641,3798,34,3836,1569,25,1600,45319,22877,68196
202,..,18784,18784,21639,1570,23209,8843,316,9157,8363,92,8454,3541,23,3564,1599,20,1622,43987,20804,64792
203,..,32712,32712,40319,2790,43112,17686,937,18627,18186,464,18653,7373,134,7501,2645,83,2729,86214,37124,123332
204,..,21213,21213,25762,1404,27163,9088,224,9306,8503,58,8562,3907,17,3928,1591,18,1612,48856,22932,71790
205,..,35803,35803,42364,2389,44755,14658,296,14958,13451,75,13537,6235,29,6266,2745,30,2778,79449,38635,118088
206,..,109164,109164,82981,17649,100629,28583,6836,35416,22735,2436,25169,6386,558,6945,1843,160,2008,142533,136801,279332
207,..,34393,34393,41170,3442,44612,22044,1243,23291,24339,662,24996,8558,240,8793,2787,122,2910,98901,40106,139003
208,..,45331,45331,48675,3798,52475,24658,946,25602,27938,426,28370,9301,163,9462,2388,55,2442,112961,50723,163682
209,..,41345,41345,54719,4069,58784,32797,1303,34100,35918,611,36526,13693,217,13912,5957,131,6089,143087,47670,190761
210,..,28388,28388,38217,2583,40794,24747,674,25416,26925,345,27273,11887,167,12056,7181,77,7260,108960,32228,141191
211,..,41462,41462,57387,3374,60765,31922,656,32579,34438,250,34693,12776,116,12887,5085,41,5130,141613,45894,187508
212,..,52785,52785,74288,6008,80301,50941,2336,53276,55191,1306,56493,23159,518,23684,14501,313,14814,218079,63269,281345
213,..,55847,55847,71656,6349,78002,52078,2025,54106,55180,999,56181,22310,414,22722,13779,219,13998,214999,65854,280854
214,..,32426,32426,38877,2311,41185,17299,340,17638,17165,70,17233,6712,38,6746,2426,13,2437,82475,35200,117669
215,..,18791,18791,20498,1366,21874,7546,271,7816,6619,113,6731,3390,51,3440,1550,48,1596,39605,20645,60251
216,..,14938,14938,17651,1105,18757,6647,226,6870,6315,81,6389,3127,25,3154,1638,26,1666,35380,16394,51776
217,..,15581,15581,17692,1067,18761,6330,184,6510,5734,68,5797,2826,26,2854,1151,15,1164,33727,16938,50664
297,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
