SA4_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
201,0,0,24,78,10,9,4,4,0,133,0,0,0,7,6,17,16,10,0,66,0,0,4,27,13,6,5,3,5,64,8,36,47,277,151,131,161,100,53,976,218,502,530,1172,677,650,686,503,264,5205,4634,10513,9628,21184,11587,11909,10869,5865,2696,88886,0,0,4,12,4,3,0,0,0,19,8796,19871,17270,33340,18577,18644,16073,8221,3190,143983,0,8,12,62,15,0,6,0,0,95,0,0,0,8,0,12,10,3,3,42,0,3,0,40,8,3,0,0,0,55,0,6,9,13,9,3,0,0,0,37,0,3,10,70,39,53,40,8,0,232,0,4,0,8,14,9,7,8,0,49,0,47,65,385,96,83,60,13,0,749,0,0,0,3,22,37,62,58,21,196,0,0,18,14,4,6,15,10,0,67,16,150,122,495,599,1029,1239,781,254,4684,0,7,6,35,23,16,16,9,0,99,0,11,9,32,13,15,17,3,0,100
202,0,4,12,57,19,6,0,0,0,104,0,0,0,9,14,7,22,6,0,61,0,3,5,22,5,8,4,0,0,39,8,43,44,193,109,90,116,86,22,725,208,516,472,1154,663,726,633,511,330,5215,4467,10116,9002,20374,11037,11797,10588,5839,2737,85960,0,8,17,51,9,6,0,0,0,87,8609,18972,15882,31838,17439,18390,16545,8557,3510,139745,0,7,7,41,5,9,0,0,0,69,0,0,0,3,6,5,3,0,0,17,0,9,0,33,11,0,0,0,0,57,0,6,3,19,6,0,0,0,0,37,4,9,9,80,47,20,24,10,0,204,0,0,0,7,6,8,3,0,0,19,5,8,45,220,66,51,26,13,0,431,0,0,0,9,7,24,27,28,4,98,0,7,7,38,10,15,12,12,4,98,6,114,115,448,598,919,983,660,200,4037,0,0,9,24,15,10,3,0,0,65,0,6,9,56,17,10,24,3,0,120
203,3,11,42,178,80,47,17,5,3,386,0,5,7,22,26,46,44,27,8,179,0,0,11,55,18,14,13,3,0,114,20,138,185,837,397,466,459,407,185,3091,294,838,801,1943,932,936,1030,740,356,7866,9204,19515,18497,43764,21052,20919,19209,10747,4904,167815,0,50,124,302,90,28,16,3,0,611,18019,36146,32130,65258,32194,30230,26001,12893,5066,257934,0,9,15,116,18,7,0,0,0,172,0,0,4,138,63,144,76,59,10,499,0,7,6,123,21,8,0,0,0,168,0,4,4,27,11,19,6,3,0,73,10,41,35,249,117,63,43,13,9,577,0,0,0,42,23,15,15,3,0,98,12,117,197,802,228,180,146,52,7,1748,0,8,11,120,123,275,359,362,148,1390,8,29,17,70,11,28,41,31,6,245,35,366,482,1563,1429,2234,2372,1631,623,10742,0,4,15,87,40,27,18,0,3,193,6,16,21,126,48,35,13,13,9,293
204,9,22,16,81,12,6,3,0,0,152,0,0,5,8,10,12,9,10,3,60,0,4,6,28,5,10,4,0,0,56,5,77,78,277,160,169,203,162,72,1202,215,665,604,1387,845,980,834,628,354,6516,4662,10877,9160,20609,12199,13837,12421,6958,3050,93770,0,0,3,10,0,0,0,0,0,13,8805,20084,16891,32790,19368,21674,19355,9698,3523,152185,0,0,4,25,9,4,5,0,0,40,0,0,0,6,4,5,9,8,0,30,0,0,0,28,5,0,0,3,0,43,0,16,7,32,7,4,0,0,0,69,0,14,13,92,38,43,35,11,0,258,0,0,0,12,9,4,8,6,0,38,3,29,102,172,57,43,30,6,3,442,0,0,0,6,11,53,44,68,22,200,0,5,3,13,0,0,12,9,0,50,10,70,129,489,558,1090,1181,886,279,4689,0,0,5,36,19,21,5,4,0,94,0,0,13,52,12,27,34,9,0,139
205,3,9,16,139,52,33,15,0,0,267,0,4,3,10,18,36,34,27,5,137,0,8,7,30,18,20,14,3,0,101,5,66,76,397,207,312,328,245,90,1728,453,1165,937,2535,1331,1638,1655,1097,559,11366,7683,17087,14464,33539,18848,23021,21864,11790,4716,153015,0,0,0,8,0,0,0,0,0,12,14593,31973,26325,52742,29253,34357,31305,15144,5099,240797,0,0,0,48,7,3,6,0,0,64,0,0,0,14,7,22,12,14,4,70,0,3,3,31,7,4,5,0,0,55,3,3,5,43,10,9,4,0,0,79,12,15,14,108,58,87,59,24,3,381,0,4,0,24,28,41,29,21,0,142,0,27,33,295,114,115,51,22,8,674,0,0,0,14,31,41,66,73,22,237,0,3,6,32,4,16,48,14,9,135,15,135,177,794,999,2369,3107,2205,701,10498,0,5,11,71,38,32,21,5,0,184,0,7,3,46,17,31,24,18,6,150
206,9,83,763,1682,878,776,554,206,104,5062,5,0,10,122,38,28,29,10,3,246,0,3,45,162,37,25,10,0,0,282,97,393,1306,8597,1652,1198,1122,841,460,15668,498,895,2248,7202,1733,1412,1103,759,477,16334,12015,21006,42905,135308,36623,29097,21595,12443,6077,317072,6,13,37,156,21,16,10,4,0,263,22087,35825,49514,139001,46143,35222,22148,9448,3360,362743,0,15,115,414,31,18,13,3,0,598,3,0,7,267,61,67,57,35,18,515,7,37,145,1794,137,38,22,12,0,2193,5,5,111,155,53,47,42,16,9,437,29,83,133,1445,331,174,96,34,3,2328,9,26,40,847,132,103,72,47,6,1286,46,473,7012,11608,1733,1673,1043,542,377,24507,0,3,3,184,107,194,183,153,71,895,4,31,54,299,75,158,216,158,75,1070,149,604,1377,9374,3102,2814,1912,982,298,20619,0,0,37,293,100,92,55,22,4,603,18,76,174,1739,236,140,113,45,20,2548
207,4,52,279,773,596,512,361,111,38,2734,0,3,3,16,15,29,15,14,6,108,0,4,18,73,22,29,18,5,0,174,35,255,331,1539,722,624,630,582,318,5025,192,428,692,1603,723,589,627,594,510,5965,7705,21028,24659,49587,26853,23503,19137,13688,7512,193669,0,0,7,50,8,16,11,0,0,94,14530,34212,35996,43009,27688,23694,16710,11962,6217,214019,4,28,43,177,41,16,20,4,0,323,0,0,3,49,28,42,19,22,6,167,3,18,14,163,56,26,15,4,0,295,0,4,51,83,83,71,64,34,11,408,12,59,61,242,157,107,52,18,11,717,0,7,6,88,41,45,34,15,7,242,200,2487,4461,17213,6135,5744,3542,1293,639,41719,0,0,3,42,52,88,112,164,81,546,3,71,63,260,93,208,203,184,76,1157,59,586,680,1444,1311,1486,1289,1133,479,8477,0,5,12,130,102,111,79,42,14,493,3,41,45,186,103,74,43,29,14,541
208,3,51,136,546,302,159,117,22,7,1344,0,10,10,58,44,31,33,21,4,210,0,0,10,83,46,35,26,8,3,217,62,457,510,3340,1946,1680,1752,1144,627,11516,256,660,560,1858,839,697,826,668,503,6864,10453,25271,24315,57201,32552,26501,21564,13521,7908,219288,0,5,9,71,10,12,5,3,0,119,19963,43959,39241,62957,39764,31592,22404,12174,6523,278589,0,6,23,167,32,27,18,0,0,272,0,7,11,176,69,98,53,19,12,444,4,43,53,458,114,41,23,0,0,750,0,4,21,131,97,80,44,15,9,403,7,99,68,445,267,163,88,30,8,1174,0,21,9,170,135,77,54,35,7,513,47,855,1688,6022,2024,1868,945,368,157,13969,0,4,6,108,80,148,160,172,52,723,4,7,22,91,71,150,246,190,90,876,108,1192,1204,3701,3283,2826,2323,1693,690,17017,0,9,13,142,104,111,53,16,6,444,14,105,106,474,229,114,161,49,40,1298
209,15,77,247,1415,821,661,364,110,45,3760,0,4,8,24,26,26,26,14,14,140,4,7,62,193,74,33,11,0,0,395,74,538,720,3425,1364,1273,1031,583,255,9257,511,1159,1025,3034,1237,1098,1044,823,597,10530,16592,33583,30493,82006,36074,30997,23962,13627,6438,273777,0,23,45,212,67,50,27,4,0,427,32512,60073,49324,93583,46122,34841,22414,10643,4124,353639,3,50,56,496,82,37,15,3,0,746,0,4,6,206,112,177,104,65,21,691,0,17,28,267,46,37,11,3,0,410,0,9,32,150,98,101,65,11,0,461,15,53,38,332,161,87,45,11,0,747,0,12,7,142,113,76,54,38,11,463,33,323,962,5398,1620,1787,1060,313,153,11642,0,4,4,112,153,324,346,340,107,1386,0,56,96,380,161,254,371,203,70,1582,55,503,670,2317,1894,2173,1655,1147,413,10816,0,27,55,432,230,198,127,44,8,1119,0,12,23,202,103,77,47,23,8,495
210,5,47,79,684,454,420,234,72,59,2058,0,0,0,24,15,13,17,7,11,83,0,0,13,94,28,13,9,0,0,168,70,683,771,3110,1389,1218,938,627,284,9094,588,1326,1006,3112,1243,951,811,640,348,10012,14588,28145,24770,65087,26741,22592,16667,10075,4717,213385,0,37,94,284,65,38,10,8,0,540,28084,47356,37471,66680,29279,22818,13562,6648,2753,254652,0,67,81,529,145,81,53,9,3,960,0,0,5,171,62,143,76,43,18,532,0,16,10,176,30,16,13,0,6,258,4,4,10,52,18,16,8,4,0,126,9,44,41,185,84,67,30,13,0,461,0,5,11,94,103,90,68,54,6,437,7,74,176,1126,456,502,294,112,45,2790,0,0,5,88,116,284,380,417,119,1420,6,102,82,409,158,270,356,280,123,1786,20,226,267,1219,950,1341,1147,804,269,6251,6,22,96,554,294,262,148,55,10,1438,0,0,6,87,37,56,29,23,6,240
