SA4_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
201,195,207,402,4276,4209,8480,213,224,443,4685,4634,9323,181,186,368,4969,4655,9630,332,256,583,5477,5100,10578,189,176,363,5264,4964,10225,314,276,585,5763,5416,11175,155,129,283,4776,4512,9288,271,276,553,5205,4920,10126,111,146,257,4406,4328,8733,270,235,507,4790,4708,9501,123,137,259,4757,4838,9596,287,291,579,5171,5260,10435,83,91,171,4736,4876,9609,244,244,484,5053,5217,10272,74,75,151,4587,5055,9642,265,264,533,4934,5398,10326,52,73,127,4571,4974,9545,248,262,512,4873,5308,10181,68,74,144,4955,5332,10291,297,290,588,5324,5700,11017,71,72,142,5201,5530,10731,322,294,615,5593,5894,11488,66,63,135,5194,5591,10787,290,256,551,5557,5915,11473,52,46,101,5155,5694,10847,278,250,527,5483,5995,11479,97,84,181,16079,18321,34404,959,1021,1984,17135,19424,36563,1517,1558,3080,78936,82884,161816,4587,4447,9037,85041,88886,173937
202,173,177,350,4271,4065,8336,237,220,459,4680,4467,9144,226,210,430,4796,4643,9437,283,290,571,5308,5137,10445,199,169,367,4981,4551,9530,316,261,578,5499,4978,10478,137,149,289,4337,4227,8563,260,268,533,4738,4656,9392,135,147,275,4063,3990,8052,246,216,460,4438,4352,8790,142,148,287,4299,4448,8747,263,269,537,4706,4862,9569,106,109,212,4399,4778,9181,252,248,507,4759,5141,9899,82,88,167,4483,4851,9335,257,279,533,4815,5217,10039,69,71,139,4375,4808,9183,262,273,536,4707,5155,9862,71,90,160,4691,5085,9774,309,298,608,5070,5470,10542,88,84,171,4835,5215,10051,305,271,575,5231,5568,10799,70,67,137,4805,5486,10287,299,323,617,5172,5868,11042,58,48,110,5143,5583,10725,336,292,624,5532,5920,11460,102,118,216,16026,17894,33924,1017,1157,2173,17142,19168,36308,1653,1669,3323,75500,79631,155127,4656,4659,9314,81803,85960,167764
203,203,193,391,9185,8700,17875,347,311,665,9727,9204,18936,241,223,460,9819,9259,19081,477,465,936,10535,9947,20474,209,216,423,9540,8919,18454,471,433,899,10213,9565,19778,187,191,375,8835,8404,17236,391,371,763,9408,8967,18372,191,191,382,9334,8914,18249,480,425,903,10003,9533,19539,197,144,342,10401,9982,20384,504,472,969,11094,10598,21694,138,130,269,10156,10711,20869,485,410,895,10774,11252,22034,119,120,234,10116,10924,21041,446,466,919,10682,11508,22190,103,119,222,9162,9829,18993,415,458,871,9680,10404,20084,91,109,206,9568,10187,19759,475,407,885,10135,10704,20850,105,104,207,9030,9868,18901,399,373,775,9529,10344,19878,77,72,151,8878,9931,18810,386,367,749,9338,10373,19706,51,70,121,8879,10112,18991,389,372,769,9322,10549,19874,110,125,238,28074,33103,61176,1424,1630,3047,29611,34859,64463,2011,2005,4019,150963,158848,309811,7082,6965,14054,160063,167815,327878
204,216,247,468,4235,4181,8414,248,234,485,4703,4662,9364,242,231,467,4815,4595,9411,379,334,708,5433,5155,10584,232,274,510,5339,5071,10411,408,378,782,5979,5722,11708,215,192,409,4957,4514,9468,343,339,684,5517,5049,10563,176,151,322,4087,3678,7771,335,278,611,4595,4106,8704,117,133,255,4342,4348,8692,307,320,626,4771,4805,9578,112,120,234,4506,4682,9191,310,279,590,4932,5081,10014,91,117,208,4519,4926,9446,334,338,677,4942,5385,10326,73,103,175,4505,4940,9446,327,299,632,4903,5343,10245,85,92,172,4943,5408,10352,346,371,715,5368,5875,11242,91,100,185,5441,5868,11305,373,354,728,5903,6322,12222,88,93,175,5882,6195,12075,402,375,777,6374,6650,13026,87,89,175,6153,6700,12853,455,398,850,6693,7184,13878,107,146,246,19652,20954,40604,1291,1336,2625,21048,22424,43478,1923,2074,4000,83390,86051,169438,5859,5642,11499,91165,93770,184935
205,353,307,666,7085,6890,13983,530,484,1014,7975,7683,15659,354,327,683,7966,7359,15320,651,621,1274,8970,8314,17278,367,348,707,8311,7802,16115,633,625,1258,9310,8774,18085,250,258,507,7369,6994,14368,502,535,1042,8120,7793,15913,228,228,459,6361,6002,12367,480,439,917,7068,6672,13743,210,189,394,7143,7358,14505,507,543,1047,7856,8091,15948,174,189,363,7388,7961,15348,510,553,1064,8070,8700,16769,178,146,328,7376,7945,15320,587,612,1202,8148,8707,16852,127,138,265,6952,7364,14315,547,544,1095,7630,8043,15675,126,129,249,7510,8188,15698,568,547,1114,8199,8866,17062,137,166,302,8374,9253,17628,615,565,1177,9126,9982,19108,132,137,268,9267,10200,19470,659,597,1259,10061,10929,20989,103,132,238,10337,11300,21643,671,653,1323,11112,12088,23202,181,205,387,33685,35811,69495,2309,2355,4670,36182,38374,74552,2924,2894,5819,135131,140436,275568,9776,9686,19460,147833,153015,300848
206,87,66,157,11781,11452,23235,483,494,982,12355,12015,24369,59,63,120,10559,10237,20800,490,486,970,11111,10785,21901,73,107,177,9984,9698,19672,414,417,831,10467,10215,20682,102,128,225,10608,11560,22166,499,544,1036,11202,12229,23434,220,293,510,24971,28752,53724,1447,1628,3081,26641,30675,57314,300,273,570,38416,42457,80875,2261,2373,4636,40978,45103,86078,218,193,407,37086,37824,74914,2040,2079,4121,39346,40099,79441,148,123,273,27753,27473,55225,1564,1488,3054,29464,29086,58549,107,73,180,20264,19934,40196,1146,1018,2162,21513,21027,42540,108,85,192,17139,17859,34999,984,849,1834,18235,18787,37024,96,71,170,16145,16966,33111,904,799,1700,17146,17836,34977,48,49,100,14149,14490,28643,848,711,1560,15048,15252,30299,47,38,81,12219,13209,25430,696,605,1300,12965,13849,26809,78,95,177,31463,38028,69490,1930,1998,3922,33469,40120,73592,1690,1653,3346,282547,299936,582482,15706,15478,31192,299941,317072,617018
207,44,32,74,7816,7476,15290,183,198,387,8044,7705,15744,35,33,65,10158,9601,19753,260,202,461,10447,9833,20284,36,35,71,11316,10920,22238,251,239,483,11604,11196,22796,66,41,109,11768,11299,23072,278,254,536,12109,11605,23713,81,62,146,13481,12570,26054,452,428,870,14010,13055,27065,56,39,93,12235,11733,23961,500,429,929,12788,12200,24987,34,36,69,11176,11760,22937,384,396,781,11593,12192,23787,33,18,47,11046,12394,23442,341,352,696,11416,12767,24181,29,22,54,10898,12104,22999,326,309,639,11254,12432,23684,28,26,57,11254,12862,24115,323,354,673,11603,13238,24844,29,25,55,11676,13293,24972,321,296,615,12027,13614,25640,20,20,37,10855,12075,22935,290,289,580,11168,12388,23553,16,11,29,9780,10867,20648,227,239,463,10025,11116,21137,25,36,62,30696,38891,69584,1007,1405,2416,31724,40328,72059,527,444,967,174148,187839,361988,5135,5389,10524,179806,193669,373472
208,71,59,132,10498,10108,20605,239,287,532,10811,10453,21261,52,46,94,12319,11688,24006,357,364,723,12727,12099,24824,67,50,121,13478,12766,26245,336,356,692,13882,13172,27059,65,64,126,12414,11991,24414,294,285,576,12769,12339,25117,76,68,139,12010,11602,23606,345,307,656,12430,11979,24406,68,62,127,12136,12151,24289,502,474,980,12711,12690,25395,63,61,126,12351,13592,25949,451,434,883,12867,14091,26959,50,43,87,13375,14804,28183,414,446,859,13841,15296,29130,50,33,86,13409,14681,28085,432,410,843,13884,15133,29013,43,47,89,14192,15709,29899,424,424,852,14659,16182,30844,52,33,84,14378,15966,30342,376,371,744,14806,16369,31177,31,53,86,12515,13525,26036,330,346,676,12875,13922,26797,25,26,54,11169,12248,23414,287,300,589,11488,12581,24063,55,53,109,32321,41196,73519,1232,1735,2968,33605,42993,76595,765,704,1469,196561,212036,408599,6029,6546,12569,203350,219288,422639
209,287,290,574,16991,15790,32780,525,514,1043,17800,16592,34396,282,299,581,17534,16546,34070,623,614,1237,18437,17460,35893,273,253,529,16214,15295,31506,589,576,1169,17077,16126,33204,239,201,445,14947,13926,28876,592,504,1091,15777,14632,30410,216,216,435,16432,15125,31560,722,520,1243,17366,15866,33231,196,213,405,17724,17357,35090,789,747,1534,18712,18319,37029,192,220,411,19831,21113,40949,772,748,1522,20794,22084,42880,159,157,317,20727,21396,42127,755,724,1476,21642,22276,43916,117,156,274,18176,18560,36734,683,611,1292,18973,19327,38303,115,123,229,17094,17773,34868,612,563,1178,17817,18460,36280,144,113,255,16111,16968,33078,578,533,1115,16835,17614,34444,82,121,206,14221,15456,29676,481,463,944,14779,16040,30823,84,98,183,13176,14427,27598,472,433,907,13731,14959,28687,140,142,276,35364,41969,77335,1640,1913,3555,37142,44024,81169,2515,2601,5114,254541,261710,516248,9829,9471,19298,266882,273777,540664
210,165,163,330,14746,13840,28592,592,580,1173,15502,14588,30088,181,157,341,14771,13934,28708,656,680,1337,15610,14775,30385,166,136,302,13401,12603,26003,692,631,1323,14252,13372,27623,139,122,261,12216,11395,23605,586,486,1072,12944,11992,24940,149,139,285,13406,12131,25539,661,506,1163,14211,12776,26989,153,119,277,14900,14341,29239,916,748,1661,15968,15205,31170,112,109,218,16318,17205,33522,796,768,1568,17228,18083,35308,94,100,188,16379,16483,32863,774,752,1524,17240,17336,34577,76,72,146,13816,13779,27594,666,618,1287,14566,14466,29029,63,77,141,12197,12777,24976,545,541,1088,12801,13393,26202,75,76,150,12026,12727,24757,591,537,1135,12701,13343,26038,72,61,133,11241,11684,22925,494,408,907,11808,12154,23962,43,38,82,9458,10017,19471,403,393,791,9905,10445,20343,73,94,167,25053,30015,55068,1084,1352,2429,26206,31460,57660,1556,1453,3010,199928,202929,402865,9460,8993,18450,210949,213385,424328
