SA4_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
201,0,6,0,3,6,8,5,6,0,21,0,15,29,217,65,43,39,6,0,420,0,0,0,0,6,17,28,22,10,91,0,0,4,4,0,4,7,3,0,28,8,77,53,242,276,523,627,388,153,2353,0,4,4,16,18,6,7,4,0,59,0,4,4,14,8,9,7,6,0,55,0,0,6,39,27,46,104,62,33,325,0,0,0,0,0,5,18,20,4,52,0,4,5,14,9,9,0,0,0,40,6,54,148,547,53,36,23,12,0,889,0,3,10,32,14,0,7,0,4,73,0,0,7,16,6,0,3,0,0,40,0,0,4,11,8,5,0,0,0,23,0,6,6,39,30,14,33,11,11,142,0,0,0,12,6,19,39,14,18,113,0,0,3,53,20,9,3,0,7,98,0,0,3,26,5,5,0,0,0,41,0,0,0,3,0,3,0,0,0,9,0,10,12,62,40,36,20,5,3,179
202,0,0,0,4,3,7,0,0,0,11,0,6,26,132,42,35,12,4,0,262,0,0,0,7,4,10,16,16,3,52,0,5,3,17,0,3,3,3,0,41,4,61,55,225,267,465,488,321,121,2006,0,0,4,14,11,5,0,0,0,40,0,4,0,31,10,4,11,0,0,60,0,0,9,22,23,47,79,46,14,238,0,0,0,5,3,3,18,12,6,51,0,3,3,10,9,5,4,0,0,36,6,37,61,410,39,32,22,11,3,629,0,6,7,27,20,17,5,0,0,89,0,7,10,10,3,3,0,0,0,24,0,0,0,6,0,0,0,0,0,10,0,5,0,33,14,12,18,14,10,97,0,0,0,6,8,20,45,21,9,108,0,0,4,24,13,6,5,5,0,56,5,0,0,34,3,6,0,0,0,46,0,0,0,0,0,6,0,0,0,8,0,9,18,73,35,35,21,5,4,189
203,0,0,0,25,20,9,11,3,0,57,5,55,91,456,154,107,74,28,3,970,0,0,4,53,70,119,204,187,74,712,5,13,11,34,0,17,17,10,0,103,19,182,231,784,651,1178,1252,843,367,5501,0,3,5,47,18,19,10,0,0,100,0,7,14,60,17,17,3,8,5,138,3,8,7,134,54,83,297,168,115,878,0,7,0,12,14,39,69,97,34,268,0,23,12,65,19,22,11,0,4,161,20,105,233,1453,99,71,70,23,12,2083,3,13,19,111,46,12,27,4,3,238,0,21,42,123,20,23,4,6,0,247,0,14,11,54,22,19,9,4,0,126,0,26,16,124,66,62,60,32,19,400,0,0,8,42,34,105,260,226,162,837,0,18,8,67,40,12,7,3,0,159,0,11,8,79,17,5,3,0,0,124,0,6,3,12,11,19,6,3,0,66,0,24,33,158,63,73,33,9,3,405
204,0,0,0,11,3,4,0,4,0,28,3,16,25,105,32,27,14,4,0,229,0,0,0,0,4,21,26,28,18,101,0,4,3,6,3,0,5,3,0,20,4,43,66,254,281,567,577,459,171,2421,0,0,0,21,10,13,3,4,0,47,0,0,4,32,3,10,12,6,0,67,4,7,7,51,33,75,205,121,53,559,0,0,0,3,3,9,17,11,7,53,0,3,8,26,7,8,4,5,0,50,10,36,47,316,26,22,17,11,8,491,0,0,5,39,11,6,3,6,0,80,0,0,0,12,0,3,0,0,0,15,0,0,0,5,3,0,0,0,0,11,0,11,4,40,9,26,18,20,0,126,0,0,5,9,17,47,116,122,87,403,0,5,0,24,20,8,10,0,0,62,0,0,0,14,7,0,0,0,0,25,0,0,0,3,0,6,0,7,0,10,4,19,19,58,32,27,8,4,0,159
205,0,0,0,13,13,27,11,8,0,72,0,11,16,180,79,78,25,10,0,409,0,0,0,5,17,16,34,27,10,116,0,0,0,17,0,3,22,4,3,55,7,68,88,375,514,1314,1570,1142,416,5501,0,3,0,33,20,13,12,0,0,89,0,0,0,22,11,20,14,10,4,85,0,3,6,84,59,99,295,195,73,816,0,0,0,0,7,19,41,47,12,132,0,9,3,24,8,17,7,0,0,64,4,43,106,447,59,45,43,17,4,771,0,5,3,62,20,12,20,9,4,142,0,3,0,14,3,0,0,0,0,20,0,5,0,11,3,0,0,0,0,16,0,7,10,44,21,36,62,42,21,239,0,0,4,25,18,78,183,211,132,654,3,0,7,28,19,16,12,0,5,85,0,0,0,41,8,0,0,0,0,54,0,0,0,4,7,6,3,0,0,21,0,15,23,81,42,55,33,6,0,257
206,9,12,18,446,67,48,38,29,4,658,25,241,3890,6978,1248,1061,576,342,217,14577,0,0,0,108,49,94,97,84,38,470,3,22,28,136,35,81,112,79,52,536,70,306,715,4204,1248,1201,876,463,177,9254,0,0,19,162,48,55,41,11,4,344,10,37,85,809,111,69,53,19,10,1202,10,28,93,701,174,122,225,140,48,1535,3,9,38,167,158,434,960,1776,785,4326,8,56,353,1051,198,168,131,33,10,2012,123,338,1023,5156,325,267,186,102,30,7543,7,40,990,1284,178,68,101,26,4,2712,6,21,55,746,77,39,37,20,0,997,0,0,12,98,30,19,20,5,3,189,8,19,64,1459,144,115,78,39,26,1943,3,21,79,679,148,467,956,1343,1052,4738,7,35,144,1067,281,90,47,12,11,1701,11,32,228,1529,180,62,15,3,0,2052,0,0,20,130,178,222,226,98,29,910,7,50,1015,2988,440,397,360,112,25,5385
207,0,5,0,53,20,31,18,9,4,139,101,1244,2221,9886,3831,3238,1857,708,358,23445,0,3,3,29,25,48,68,83,50,309,4,34,23,123,37,110,106,89,40,572,29,287,323,633,547,677,596,552,287,3932,0,0,3,69,71,50,41,23,11,269,0,18,20,78,41,38,21,13,13,242,3,15,16,92,60,59,171,167,84,681,4,24,41,62,110,359,772,1182,472,3030,29,275,235,1092,589,683,590,120,55,3680,33,306,483,2488,510,364,305,166,52,4709,3,18,115,571,192,102,123,48,17,1189,15,129,192,1026,322,182,118,59,10,2045,0,7,7,52,26,14,9,0,0,116,0,14,15,90,49,75,58,38,33,379,0,12,26,105,75,216,685,809,533,2445,11,25,50,233,153,60,39,27,8,610,4,65,131,620,261,114,54,7,10,1269,0,0,3,36,54,95,60,36,17,303,10,202,513,2065,1104,990,927,369,93,6287
208,0,7,3,90,65,41,26,22,4,264,23,402,870,3638,1300,1065,504,206,96,8109,0,0,4,53,43,82,89,77,31,381,0,9,12,42,40,84,124,107,56,475,45,599,598,1716,1479,1333,1143,847,436,8200,0,0,4,81,58,60,34,14,3,258,10,47,42,223,123,49,87,26,27,636,5,30,42,275,182,129,304,204,130,1297,0,22,23,85,133,339,671,1097,439,2819,12,79,92,333,99,117,97,25,7,863,64,377,372,3102,502,402,305,172,77,5369,3,10,72,417,115,52,53,17,9,756,0,7,11,213,48,28,25,11,0,351,0,0,3,28,19,10,11,3,0,74,3,38,54,593,153,151,94,88,43,1218,0,17,24,145,94,186,378,432,302,1583,13,71,57,402,237,99,49,16,10,960,4,35,57,366,114,51,18,7,0,673,0,5,0,44,47,64,38,31,6,233,9,44,113,731,251,257,219,89,29,1737
209,0,6,5,74,58,49,32,17,8,255,19,161,376,2985,972,995,560,165,80,6315,0,0,3,60,81,175,201,176,63,763,0,36,47,192,81,129,192,95,50,815,20,249,316,1062,843,1037,841,581,250,5196,3,12,23,221,130,97,71,22,8,582,0,8,11,89,47,34,23,11,5,226,3,3,23,217,97,81,177,157,69,825,3,38,98,204,240,602,1102,1192,441,3922,11,33,45,307,90,101,72,18,4,683,94,582,1024,7267,798,613,400,120,51,10947,0,30,58,398,131,66,36,13,8,744,3,137,179,1086,199,93,49,12,5,1767,3,73,151,728,382,198,77,51,11,1670,0,32,21,181,81,81,82,44,32,557,3,37,42,281,191,959,1886,1930,1150,6488,4,23,29,231,145,43,25,4,0,510,0,16,30,250,67,32,15,6,0,407,9,21,59,343,389,449,272,103,30,1671,9,84,134,852,246,290,289,69,14,1986
210,0,5,3,53,44,44,42,32,3,223,0,38,88,700,296,275,148,53,30,1638,0,0,3,51,51,141,231,208,57,733,4,48,40,201,85,141,171,150,68,917,6,107,138,573,445,682,591,426,169,3137,3,12,42,300,156,140,79,34,10,779,0,0,3,37,14,21,14,16,4,115,0,7,14,97,58,52,201,143,71,633,0,18,46,92,81,198,420,541,186,1584,0,11,15,136,42,38,25,0,0,272,78,581,693,6502,677,573,410,137,62,9711,5,9,34,243,82,35,14,11,0,433,0,60,70,349,69,64,29,28,10,675,14,662,981,3272,1341,934,519,257,78,8055,0,17,14,134,51,52,46,35,19,378,0,20,36,157,143,742,1621,1591,945,5262,4,15,13,113,62,20,8,6,5,235,3,6,9,142,40,8,4,0,0,224,24,92,129,891,704,594,342,105,32,2918,5,37,46,374,95,81,93,19,6,761
