SA4_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
201,17820,16949,7162,567,42495,15921,1965,60389,954,438,539,61,1991,3207,216,5415,129,56,87,5,278,278,48,602,1080,494,633,62,2270,3483,260,6016,147,40,92,11,294,852,39,1187,20,3,3,0,28,54,3,88,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,3,3,0,12,14,0,23,176,45,102,8,335,916,44,1301,21,7,11,0,39,91,4,138,17,4,0,0,21,49,0,72,3,3,0,0,11,8,0,18,34,32,15,3,78,47,11,137,78,46,25,5,152,198,10,363,33,22,7,0,59,55,7,130,19190,17556,7930,642,45319,20583,2296,68196
202,17671,16987,6947,608,42213,15759,1799,59771,528,242,334,40,1139,2307,144,3593,123,47,70,9,247,205,46,501,652,287,408,46,1390,2513,194,4094,74,29,43,4,147,262,13,424,8,4,0,0,11,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,13,0,22,88,32,46,4,164,279,14,465,25,6,0,0,28,82,0,115,39,24,0,0,63,32,0,95,5,0,0,0,3,7,0,13,26,21,9,3,56,44,9,114,93,51,14,4,158,173,11,341,37,13,7,0,56,63,8,128,18534,17370,7419,663,43987,18784,2025,64792
203,31928,35416,11819,1050,80216,24152,3718,108078,1791,744,758,87,3380,5584,348,9317,735,370,297,27,1430,878,176,2485,2522,1114,1059,117,4813,6472,522,11798,345,146,148,17,658,1251,95,2004,39,12,10,0,60,127,15,203,69,19,13,3,102,189,23,314,57,4,4,5,68,59,7,134,6,0,0,0,11,14,0,31,519,180,172,26,900,1642,135,2681,14,3,3,5,27,65,0,87,64,12,22,5,93,250,11,362,0,0,0,0,0,4,0,5,39,44,8,0,89,51,12,152,116,57,33,4,211,372,25,609,37,29,7,0,76,76,8,162,35120,36797,13091,1201,86214,32712,4416,123332
204,21599,17747,7107,536,46991,17217,1514,65727,695,202,369,41,1302,3175,139,4619,44,19,34,6,108,97,9,214,742,219,396,47,1409,3272,149,4830,65,21,51,5,133,301,16,457,9,5,4,0,12,4,0,15,5,0,0,0,3,7,0,15,8,0,3,0,13,0,0,10,3,7,0,0,18,7,0,21,77,32,55,3,176,321,24,522,32,12,7,0,57,164,3,223,42,7,5,0,54,122,3,181,4,6,0,0,10,11,0,16,34,26,9,3,72,46,7,126,111,54,23,3,185,342,17,544,56,29,4,0,86,61,11,158,22583,18080,7596,592,48856,21213,1718,71790
205,35254,28226,11750,887,76122,28657,2514,107293,875,225,380,47,1530,3547,140,5206,187,88,87,10,367,328,40,738,1059,312,473,53,1898,3876,177,5944,485,131,247,30,884,2397,98,3385,13,4,4,0,22,31,3,54,5,0,0,0,5,6,0,15,4,0,0,0,4,0,0,4,6,7,0,0,12,25,0,36,508,138,253,29,931,2456,105,3495,49,10,4,0,59,206,12,273,194,19,38,3,258,448,14,717,10,0,0,0,15,16,0,33,31,23,7,0,66,41,5,118,287,49,53,9,396,716,25,1132,59,30,16,0,110,103,8,226,37176,28756,12541,977,79449,35803,2827,118088
206,14386,21753,5068,765,41963,10589,4260,56817,8369,6198,1963,407,16933,8424,3317,28672,9252,7405,2441,480,19581,8161,3869,31614,17624,13602,4402,886,36511,16584,7185,60286,5737,2118,1325,332,9507,13181,2188,24870,7479,2092,1512,441,11523,17454,2876,31857,10315,2454,1566,539,14880,19307,3129,37311,17709,4790,3077,1643,27223,31114,7688,66020,28,30,8,0,71,46,7,123,41267,11485,7495,2955,63199,81096,15885,160187,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,419,160,71,25,672,624,252,1551,419,161,72,23,675,628,251,1557,102,50,21,8,182,256,54,492,73793,47051,17056,4634,142533,109164,27638,279332
207,20831,37245,8312,932,67321,13335,2446,83097,4060,3642,1536,202,9438,6082,696,16217,3294,4748,1688,185,9909,2494,594,12992,7355,8395,3216,387,19346,8573,1289,29207,1995,1146,643,152,3935,3965,620,8523,1820,592,369,130,2915,3350,592,6851,2101,682,521,131,3437,3540,441,7417,1047,330,291,60,1726,1457,281,3462,6,18,8,0,34,26,0,53,6974,2765,1827,480,12048,12336,1925,26312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,37,20,0,113,91,41,246,59,37,20,0,113,96,41,248,23,29,17,0,72,63,8,145,35243,48468,13392,1798,98901,34393,5709,139003
208,21413,40430,8421,761,71027,14065,1852,86938,5729,4742,2239,244,12955,9177,799,22921,4878,5645,1928,157,12607,3534,578,16712,10604,10390,4164,402,25554,12707,1374,39639,4653,2565,1606,236,9058,10590,1093,20740,1960,623,440,102,3127,3203,443,6770,2013,600,469,100,3188,3536,445,7167,327,74,72,13,489,604,101,1201,11,22,8,0,41,28,0,68,8967,3888,2595,450,15896,17961,2084,35941,0,0,0,0,0,0,0,0,12,3,4,0,22,114,0,136,0,0,0,0,0,4,0,4,210,72,77,15,372,421,72,871,226,75,79,15,395,543,75,1012,35,39,17,0,90,61,4,153,41242,54821,15272,1629,112961,45331,5393,163682
209,37139,65451,17870,1721,122184,25838,4192,152210,3240,2689,1643,215,7788,6718,687,15193,3315,3221,1583,249,8366,3305,816,12492,6561,5909,3217,464,16157,10024,1505,27683,1024,722,483,83,2312,2340,252,4910,367,123,126,30,645,920,98,1661,811,239,202,52,1307,1625,191,3130,135,34,46,18,234,369,45,637,17,26,7,0,45,50,0,101,2358,1140,858,183,4544,5305,586,10439,0,3,0,0,3,7,0,6,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,60,41,23,5,131,106,35,272,61,44,23,5,139,116,35,291,30,24,14,0,72,62,10,141,46155,72563,21994,2377,143087,41345,6326,190761
210,26069,51402,14156,1357,92982,18998,2658,114632,2082,2009,1234,143,5470,4519,315,10307,3150,3568,1491,239,8446,2847,656,11956,5227,5583,2726,378,13917,7369,971,22259,601,549,415,63,1632,1441,165,3240,42,36,28,4,106,121,24,248,51,33,42,4,128,184,18,326,0,0,0,0,0,0,0,0,15,21,11,0,45,40,0,85,704,635,492,68,1900,1787,211,3902,5,0,0,0,5,46,0,54,9,0,0,0,7,68,0,78,0,0,0,0,0,0,0,0,27,27,13,0,65,58,6,138,37,26,19,0,85,177,6,269,18,36,21,3,78,51,5,128,32058,57672,17411,1811,108960,28388,3842,141191
