SA4_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
201,996,44,5,4,0,1054,676,42,4,0,0,718,578,28,4,3,0,616,1227,82,8,6,6,1325,1724,102,23,0,0,1850,4697,263,33,14,7,5009,4637,118,12,6,8,4780,3845,82,6,3,11,3943,1259,26,0,3,4,1292,885,20,0,5,0,916,579,11,3,0,0,594,1219,40,3,0,3,1265,22326,846,105,45,33,23358
202,1066,20,4,0,3,1092,645,18,6,0,0,674,561,15,5,7,0,583,1099,33,3,9,0,1146,1598,65,4,3,0,1670,4836,118,15,6,8,4984,4704,74,13,7,8,4801,3678,46,6,17,6,3749,1317,10,0,7,0,1336,976,16,0,0,0,997,625,3,4,0,4,634,1231,25,0,6,0,1258,22340,445,59,59,31,22934
203,1784,98,18,7,0,1898,867,45,10,0,0,921,683,38,7,0,0,732,1344,98,18,3,0,1468,1777,142,37,0,0,1957,5993,405,95,7,0,6499,7733,419,65,3,3,8223,9946,314,69,3,10,10335,4162,112,14,3,4,4293,3101,75,12,0,8,3195,1976,56,7,0,0,2038,2371,101,17,3,0,2497,41744,1889,360,28,31,44058
204,1066,24,5,0,8,1109,636,17,0,0,0,659,597,15,0,4,0,615,1191,56,0,4,0,1250,1875,80,17,5,7,1981,5011,109,15,11,5,5143,4724,46,4,9,10,4797,3819,16,8,9,3,3848,1262,8,0,4,3,1275,1000,5,0,7,0,1008,655,5,0,3,3,666,1348,23,4,3,0,1385,23182,410,55,56,35,23742
205,1835,62,25,0,6,1927,1171,37,14,3,3,1231,1159,25,19,0,0,1197,2382,66,30,6,0,2480,3280,82,44,0,4,3411,8212,148,67,7,8,8447,7224,77,32,3,9,7345,5662,67,13,5,16,5757,1919,19,0,3,0,1940,1395,16,4,4,0,1415,965,15,5,4,4,983,2329,50,15,0,0,2393,37523,647,263,40,48,38528
206,1254,892,1209,11,3,3370,284,194,297,4,0,768,221,146,310,4,4,684,315,260,560,4,0,1138,472,383,926,5,0,1789,1211,1106,4144,29,4,6498,1268,1215,5795,43,13,8343,2390,2416,7414,73,7,12299,1918,1824,3150,32,3,6927,3294,2948,2661,36,11,8942,5115,3980,2067,28,11,11202,1309,1043,1441,10,3,3811,19048,16418,29966,280,67,65786
207,2156,528,235,0,0,2919,391,128,58,0,0,577,318,76,62,0,0,455,454,152,116,0,0,715,580,186,172,0,0,939,1680,564,777,4,0,3026,1570,650,1166,5,0,3391,3208,1274,1425,4,0,5913,2324,1079,584,0,0,3989,4435,1383,467,0,4,6294,8684,1497,287,4,8,10483,2199,521,287,0,6,3010,28010,8025,5621,22,26,41710
208,2071,647,314,10,0,3040,486,181,103,0,0,777,382,161,112,0,0,654,604,252,172,6,0,1031,821,326,275,10,0,1419,2230,936,1171,27,4,4368,2364,1161,1691,31,0,5246,4554,2326,2422,26,5,9334,3510,1723,1003,20,7,6259,5782,2156,719,11,6,8680,9074,1973,462,10,6,11524,2497,793,478,11,0,3775,34381,12632,8918,153,32,56121
209,2952,299,82,0,0,3345,1029,113,31,0,0,1172,885,116,24,0,0,1025,1457,202,55,0,0,1712,2043,313,129,7,0,2489,6516,1066,492,9,3,8078,9551,1587,591,7,5,11740,16044,2205,480,12,4,18743,8682,969,164,0,0,9821,7352,591,105,4,0,8054,4937,316,59,3,0,5321,4454,502,88,4,0,5050,65903,8286,2290,49,29,76562
210,2190,268,39,4,0,2495,819,93,25,0,0,931,643,77,13,0,0,733,1220,170,33,0,0,1423,1667,249,49,0,0,1968,5737,967,201,10,0,6917,8641,1460,250,0,4,10356,13888,1902,115,8,3,15918,5885,811,30,0,6,6723,4567,533,27,0,4,5132,2997,301,12,0,0,3314,3733,452,47,0,5,4235,51986,7292,828,22,25,60154
211,3697,292,44,0,4,4026,1258,103,21,0,0,1385,1147,100,14,0,0,1262,1848,135,30,4,0,2018,2489,212,66,0,0,2759,7498,690,281,0,5,8482,9408,1082,370,0,9,10862,16073,1546,255,3,7,17891,10394,809,73,3,4,11279,8764,473,40,4,7,9289,5108,219,27,0,6,5364,4373,309,57,4,3,4745,72045,5962,1283,25,44,79356
212,4712,410,163,0,3,5289,1485,165,62,0,0,1717,1355,143,55,0,0,1549,2314,268,102,0,0,2690,3166,347,201,0,4,3721,10668,1367,638,8,6,12684,16105,2027,676,3,10,18817,27534,2422,704,4,18,30678,12787,1136,324,0,4,14253,9675,828,311,0,5,10818,6755,461,158,0,4,7374,7006,675,200,0,6,7879,103545,10250,3592,18,56,117469
213,4430,510,105,0,3,5052,1419,189,48,4,0,1666,1292,179,54,0,0,1529,2278,325,106,0,0,2710,3258,448,214,3,0,3924,11678,1776,839,15,3,14303,17955,2395,902,9,15,21272,28034,3017,699,10,26,31783,11234,1356,237,3,9,12836,8221,1158,139,6,4,9530,5274,692,83,5,3,6060,7100,729,188,7,3,8021,102179,12768,3615,60,71,118690
214,1901,200,35,4,0,2141,756,92,9,0,0,857,615,91,10,0,0,720,1155,142,18,0,0,1313,1549,221,31,0,0,1811,4574,731,105,4,0,5412,6005,902,95,3,3,7002,9401,766,90,4,3,10258,4894,248,40,0,0,5177,3902,144,21,0,4,4072,2743,103,18,0,0,2863,2552,205,20,0,0,2785,40047,3839,489,19,14,44407
215,1061,19,7,5,5,1090,775,10,5,0,0,790,857,13,0,3,0,876,1691,31,13,5,4,1744,2097,48,21,5,0,2165,4296,66,27,3,0,4398,2475,27,5,0,0,2511,1650,12,4,0,0,1675,513,3,0,0,0,518,369,0,0,0,0,376,275,0,0,3,0,280,1060,18,8,9,0,1093,17123,249,90,33,16,17516
216,802,26,0,3,5,828,486,18,0,3,0,499,483,26,0,4,0,509,1062,52,0,7,3,1124,1580,33,0,5,0,1629,4061,79,3,5,3,4144,3097,30,0,4,0,3134,2200,19,0,7,4,2228,613,10,0,0,0,622,447,7,0,0,3,454,399,4,0,3,3,414,996,25,0,5,0,1018,16221,319,4,42,19,16610
217,861,24,4,5,3,898,483,21,8,0,0,512,561,13,3,0,0,583,1137,30,6,3,0,1182,1499,50,12,7,0,1574,3536,85,19,9,0,3652,2682,46,9,5,6,2737,1942,29,5,5,0,1986,654,7,0,3,0,665,480,3,0,0,0,491,428,0,0,3,4,435,928,17,5,0,0,958,15193,337,81,44,20,15669
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
