SA4_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
201,143,64,210,134,187,324,18,5,19,4,3,8,89,97,191,25868,22059,47925,1712,1834,3545,503,12,518,104,13,121,293,84,371,177,85,257,1043,1031,2073,30083,25469,55551,10,6,16,0,0,0,14,15,19,53,25,78,5,6,11,22,0,20,96,52,144,0,0,0,0,0,0,8,3,14,11,29,38,11,16,31,32,49,86,267,150,416,398,250,650,32,20,57,7,10,11,16,4,17,55,34,86,5860,6968,12830,3356,5862,9222,278,230,506,40026,38819,78847
202,134,109,242,180,207,387,15,5,21,4,9,14,37,39,79,24662,21237,45893,1565,1749,3311,512,13,521,150,20,175,326,147,470,171,89,261,1086,1030,2113,28837,24646,53488,8,12,18,0,0,0,8,3,13,28,13,41,7,7,21,34,4,31,85,40,128,0,0,0,0,0,0,11,7,19,23,37,56,8,12,17,40,57,97,200,126,328,331,223,554,13,19,29,7,3,14,13,7,18,35,30,67,5824,7228,13054,3248,5768,9011,245,204,450,38526,38101,76625
203,474,276,748,425,667,1090,37,5,44,13,9,22,158,147,309,50269,40766,91037,2788,3196,5986,766,16,783,271,41,313,697,245,941,331,203,536,1506,1698,3201,57736,47278,105009,32,52,89,0,4,4,20,21,44,169,88,257,10,17,28,42,9,52,277,189,470,5,0,5,0,0,0,28,27,56,39,71,111,25,33,58,95,127,228,480,268,743,856,587,1440,74,71,142,23,23,49,33,9,35,126,102,228,13847,17442,31287,6756,12077,18840,403,360,767,79722,77847,157566
204,57,30,90,101,90,191,20,3,23,5,4,11,49,49,96,28722,24657,53375,1791,1762,3552,685,30,713,235,25,266,408,179,590,331,170,501,2113,1833,3949,34519,28832,63349,3,6,11,0,0,0,3,0,8,31,12,40,5,0,5,5,0,10,47,20,68,0,0,0,0,0,0,14,13,29,6,17,17,3,14,11,18,38,58,328,151,482,398,209,606,12,4,12,0,5,4,22,7,23,33,14,44,5145,6603,11747,3481,5836,9313,358,331,690,43930,41823,85750
205,149,73,218,168,174,347,22,13,34,10,5,16,46,51,101,43256,36821,80073,2667,2818,5487,911,16,930,302,39,338,412,140,555,403,225,628,2029,1812,3843,50376,42187,92560,22,23,43,0,0,0,3,0,5,40,23,61,25,8,35,9,7,16,106,62,165,0,0,0,0,0,0,18,17,37,13,29,37,10,3,18,47,49,97,481,237,722,636,348,981,32,18,50,5,7,18,23,8,30,66,28,95,7543,10259,17803,5528,9331,14864,593,527,1119,64738,62688,127425
206,4958,4953,9905,854,1035,1889,38,21,54,7556,9449,17007,528,650,1176,51708,36771,88468,2030,3626,5656,409,9,421,1410,243,1645,6594,3710,10310,921,721,1638,10863,11777,22642,87860,72962,160823,714,683,1398,0,0,0,1268,1490,2764,216,171,384,70,137,208,359,225,584,2624,2710,5329,4,0,4,308,386,693,39,29,67,26,48,74,41,47,91,419,513,933,1292,1187,2479,4335,4405,8737,830,853,1686,49,66,111,148,105,255,1030,1025,2056,74291,82129,156427,16280,25305,41589,682,590,1277,184483,186423,370901
207,1773,1617,3385,1054,1355,2407,20,12,29,629,793,1416,138,138,278,40318,31259,71582,1716,3470,5186,373,8,376,321,33,353,814,256,1069,384,290,672,1735,2236,3979,49266,41463,90731,372,327,701,0,0,0,228,248,483,220,139,356,38,69,106,81,32,122,949,822,1766,0,0,0,135,158,291,93,86,176,43,96,141,29,29,53,303,361,668,454,391,847,1708,1577,3285,286,319,606,34,49,92,12,21,33,341,390,727,34466,34600,69066,7919,12883,20797,358,293,651,94056,91205,185265
208,3128,2653,5788,385,581,963,26,5,32,288,377,663,178,171,347,48295,38089,86384,1941,3123,5060,484,13,498,469,45,514,1174,351,1531,454,342,788,1747,2376,4120,58567,48122,106688,402,405,805,0,0,0,261,367,630,335,216,556,59,107,160,129,53,180,1181,1144,2327,0,0,0,17,29,48,23,18,40,22,54,75,14,26,37,77,125,201,434,324,755,1690,1591,3281,290,309,599,10,22,29,29,21,47,330,348,671,41031,43782,84813,9325,15849,25177,427,341,770,111364,110029,221398
209,2944,2706,5651,659,955,1618,32,13,40,309,435,748,276,221,499,79043,55417,134460,3563,4697,8256,1459,24,1488,495,53,547,923,338,1254,708,413,1117,1402,1764,3167,91804,67043,158841,514,667,1179,0,0,0,166,216,389,609,398,1007,63,142,203,120,80,199,1473,1502,2975,0,0,0,77,119,196,39,47,89,45,123,173,26,41,65,195,328,518,753,448,1198,2421,2277,4698,430,473,903,43,40,83,42,21,63,517,535,1055,31620,37571,69187,11281,19767,31053,642,444,1085,138284,127634,265919
210,2191,2023,4213,372,483,854,33,11,43,76,153,231,312,167,479,63431,40443,103870,3131,3879,7009,1335,19,1353,314,25,338,413,131,538,563,317,874,732,871,1598,72890,48517,121410,391,500,890,0,0,0,154,175,329,443,288,724,70,132,204,63,37,103,1118,1140,2258,0,0,0,40,48,96,60,40,103,42,86,127,19,28,46,165,201,364,649,363,1010,1937,1700,3636,327,418,747,22,32,53,26,15,40,378,463,841,18766,24254,43014,8089,12984,21072,572,390,963,102630,88314,190944
