SA4_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
201,771,5191,3738,58002,842,68547,25,114,65,2643,43,2891,1543,76,120,610,19,2370,415,89,41,254,11,810,1617,699,443,1874,27,4665,7807,4812,3624,56010,852,73099,895,30,193,33,19,1171,240,54,51,427,8,780,1292,516,382,5315,57,7570,365,109,48,399,3,927,245,56,33,124,5,462,1952,104,41,79,4,2177,1812,1258,852,21578,192,25704,981,518,213,3119,38,4864,90,3,17,8,0,109,50,41,3,79,0,171,105,26,5,62,0,207,549,221,89,597,11,1473,177,78,38,75,0,364,379,227,152,129,8,891,473,142,80,389,11,1089,202,33,40,88,8,371,54,8,14,0,0,83,2081,1466,941,17345,158,21986,210,52,21,68,0,353,212,63,26,35,6,343,194,28,30,149,0,405,165,56,19,33,0,275,234,13,15,17,0,274,290,116,81,609,8,1104,5707,1004,792,2164,79,9761,277,55,49,1323,9134,10838,25358,9806,6933,120757,11071,173937
202,673,4878,3275,57321,733,66876,11,116,48,2932,52,3161,1078,77,106,712,27,2002,205,56,27,142,3,442,974,450,258,1015,19,2727,6843,4716,3257,56214,773,71805,955,17,172,27,5,1178,235,65,55,383,8,747,1093,515,331,5510,56,7506,318,109,44,310,9,789,187,79,29,105,4,405,1439,82,37,69,4,1628,1503,1233,757,20252,205,23949,953,514,205,3461,35,5171,93,8,6,4,0,102,47,24,8,60,0,137,55,15,5,35,0,112,327,133,60,310,9,836,161,62,53,78,3,351,311,186,158,126,3,792,348,98,52,295,6,805,126,22,15,86,0,260,31,33,8,5,0,83,1861,1286,919,16628,146,20836,98,19,14,44,0,175,238,63,33,29,0,366,153,29,24,156,6,370,194,39,22,24,4,280,176,12,31,9,4,232,302,126,72,618,4,1123,6174,949,638,2096,87,9950,289,65,46,1426,9768,11599,22261,9213,6114,118657,11521,167764
203,2127,11971,8783,95275,1288,119452,50,189,126,3414,55,3822,3579,192,275,737,15,4793,2955,492,256,1222,43,4967,3423,1296,828,3166,48,8766,18231,10758,7872,90228,1214,128306,2323,92,404,130,33,2990,583,173,114,746,5,1627,3256,1220,822,9262,116,14675,1424,380,165,1022,16,3003,713,176,101,382,6,1378,4667,152,97,132,19,5067,4408,2771,1889,34142,282,43496,4863,1589,655,7098,102,14304,228,5,26,15,0,276,248,88,39,192,8,578,1233,217,102,426,14,1985,1270,325,203,1098,14,2907,499,183,112,106,7,905,859,527,382,234,15,2017,1693,414,250,1065,21,3435,537,106,84,227,8,963,129,66,18,19,0,234,5016,2973,2221,28549,244,39003,1138,151,83,215,16,1598,698,177,120,115,3,1111,763,143,119,351,7,1383,487,87,54,79,6,701,892,44,87,20,3,1045,726,282,206,1088,10,2317,17908,2576,2027,4517,215,27249,856,140,125,1925,15237,18277,72499,22858,16312,197892,18315,327878
204,882,5834,4140,63211,886,74958,12,124,74,3500,49,3760,933,35,93,402,13,1473,412,91,39,189,9,741,1551,568,331,1211,28,3690,8141,5465,4013,58118,982,76718,935,15,188,42,20,1203,312,72,48,452,4,883,2050,740,501,6561,124,9980,347,128,31,329,9,843,278,73,23,135,10,523,1017,46,31,51,7,1152,1724,1293,855,20516,264,24655,2387,837,321,4058,49,7650,55,0,5,3,0,73,78,40,9,108,0,231,68,32,15,68,0,182,346,133,95,404,9,987,213,65,48,67,7,402,400,221,187,169,8,981,563,115,78,391,15,1157,163,34,30,91,0,314,67,11,15,7,0,101,2215,1410,1043,16813,196,21684,189,27,19,64,0,303,215,59,35,40,3,345,194,29,30,144,4,397,127,29,14,11,0,182,276,15,30,8,3,327,337,98,60,544,7,1051,5417,1016,781,2215,108,9529,309,94,44,1627,11175,13250,26088,10782,7584,127125,13357,184935
205,1777,10293,7505,100173,1676,121425,42,177,111,4966,103,5400,1628,84,146,510,28,2393,530,117,53,207,9,915,4123,1359,889,3331,82,9779,17828,9732,7147,89568,1889,126165,1760,90,401,97,25,2377,470,90,92,607,9,1261,3098,989,696,7445,158,12379,826,223,73,590,16,1727,497,108,41,195,3,854,1673,123,49,132,4,1985,3552,2158,1343,26013,429,33488,3796,1210,483,5865,132,11493,96,6,13,7,0,128,73,24,16,93,4,200,89,23,16,66,0,187,1193,324,139,1131,28,2824,466,138,107,125,10,849,735,425,278,269,18,1727,1094,228,128,662,19,2127,331,53,42,172,8,603,123,34,17,19,0,198,4804,2566,1938,24854,374,34530,272,47,23,90,5,436,502,77,83,56,6,731,411,57,32,259,9,763,300,62,44,70,3,473,455,17,63,15,9,563,653,208,113,772,16,1763,8745,1617,1237,3579,196,15380,656,151,139,2499,19358,22809,50845,19006,13503,194009,23483,300848
206,5702,20703,16613,88939,797,132755,173,286,157,2701,50,3365,54835,1037,1844,1588,261,59569,2694,547,333,1176,29,4786,3504,1569,970,3142,32,9221,40613,18915,14245,99067,986,173832,5871,111,869,151,30,7024,3744,575,481,1430,31,6260,6976,2217,1699,11579,102,22581,16378,2467,1290,6492,149,26778,1291,403,232,731,22,2680,18737,594,463,367,48,20209,14722,6141,4481,52331,320,77992,23467,5591,2804,16864,264,48991,3884,43,112,83,19,4152,3272,482,389,893,20,5058,1783,331,203,645,17,2980,2186,771,493,1988,28,5468,1607,217,188,99,11,2115,3304,768,622,300,15,5011,4496,1019,746,2263,27,8552,2852,337,288,637,21,4137,388,45,31,18,5,489,11704,5216,4159,37128,256,58466,1842,237,157,311,18,2567,1730,298,245,95,14,2382,3770,274,234,489,22,4788,2145,300,244,276,9,2972,10388,172,455,186,91,11295,1487,461,318,1835,13,4112,75549,7432,6874,9537,605,99999,3477,207,226,1439,31916,37265,279950,45491,35154,221117,35306,617018
207,3740,10055,8467,53048,532,75845,63,63,41,783,9,966,85382,1107,2215,1378,465,90540,1261,215,141,522,12,2155,1850,681,420,1319,12,4285,17660,8821,6656,55862,526,89528,2271,94,354,78,4,2801,1023,270,195,644,6,2137,2978,934,645,5360,61,9979,12638,1665,910,5397,114,20725,829,149,106,366,8,1457,12683,415,333,236,20,13690,4126,2395,1754,25015,154,33454,12085,2621,1214,9284,135,25339,2846,23,136,23,6,3042,1202,248,150,364,12,1976,1117,159,110,445,10,1838,807,300,140,643,12,1898,329,81,46,40,0,497,1021,394,267,161,9,1848,1731,342,283,721,10,3090,886,110,146,211,0,1360,101,24,11,7,0,150,4264,2449,1830,20016,121,28675,662,93,51,90,5,903,1183,197,178,88,3,1651,936,93,82,198,0,1316,2652,234,180,164,11,3235,5044,166,299,122,7,5650,587,186,151,865,3,1789,35679,3127,3195,4498,195,46704,1698,117,89,648,10854,13408,196060,21989,17690,124825,12907,373472
208,4646,17391,13972,77949,698,114662,88,124,79,1207,15,1514,26437,566,1176,1019,117,29311,1711,307,189,641,23,2867,2946,1024,682,1843,22,6523,31302,13925,10387,75308,783,131697,2738,100,482,74,5,3406,2303,366,298,967,16,3952,5548,1557,1150,7187,83,15534,12767,1820,1066,5892,81,21632,1847,403,249,666,24,3193,12995,413,348,307,32,14089,9028,3646,2656,32270,210,47805,9415,2678,1417,8929,104,22539,1452,43,80,25,0,1604,882,213,111,365,13,1593,481,119,88,179,3,874,922,314,215,739,4,2201,756,143,105,75,4,1083,1920,708,560,226,19,3427,6368,1185,931,2267,53,10807,6244,447,478,526,52,7755,180,43,16,13,6,254,8123,3341,2569,24558,156,38747,1535,174,100,237,9,2054,4245,544,456,119,17,5383,1555,152,143,292,4,2149,2033,346,325,292,14,3021,2855,105,185,87,4,3236,1070,257,179,1025,7,2539,44630,6118,5488,7317,346,63890,2246,266,215,1244,13117,17089,175146,34162,26512,171331,15490,422639
209,8265,16548,11404,95888,988,133098,124,295,153,4338,75,4984,25021,500,899,930,122,27473,2975,520,253,1097,24,4868,2257,929,609,2081,26,5908,24341,12871,9002,86585,1042,133836,6165,204,659,164,23,7225,1147,228,163,897,11,2442,3689,1340,973,8036,82,14115,15533,2741,1384,7216,151,27029,753,201,141,423,7,1516,25312,498,325,213,48,26396,5983,3545,2251,34162,225,46162,30828,6838,3085,22589,349,63695,922,26,98,21,0,1061,5674,1209,581,1297,30,8792,13336,1717,972,3235,128,19389,3566,1039,603,2879,45,8131,1136,238,162,118,9,1657,1515,666,459,287,13,2943,1943,425,312,1033,19,3729,908,115,134,269,10,1431,1622,197,73,35,13,1947,5745,3126,2298,25650,150,36973,1968,249,140,321,13,2684,1045,234,174,58,0,1522,1729,209,177,477,14,2602,3359,247,133,203,16,3966,8286,166,334,168,33,8988,747,280,178,1056,4,2269,72151,5519,4295,6722,503,89190,4051,310,238,1780,19526,25903,245612,37704,24908,209488,22952,540664
210,10432,11217,7670,60814,779,90907,104,213,97,2430,44,2888,7990,205,427,530,47,9206,2956,469,243,962,38,4660,1298,519,398,1191,12,3415,17663,7882,5742,52002,830,84126,6023,158,548,144,32,6901,657,123,93,397,17,1282,2552,818,538,4730,74,8712,7331,1361,677,3678,94,13141,562,114,72,245,7,1002,21107,394,219,193,40,21957,3803,2094,1324,20362,187,27758,23779,5045,2318,15718,323,47175,463,7,41,9,0,525,9839,2541,954,1655,88,15071,1752,348,166,698,29,2992,5303,1217,713,3505,47,10782,976,161,159,103,14,1421,1216,377,321,155,9,2076,1982,367,261,916,15,3546,518,67,79,165,4,835,2934,249,83,33,29,3322,3690,1802,1333,14604,127,21552,1239,160,102,197,14,1715,504,140,81,59,8,780,1382,146,93,265,13,1908,3267,164,117,127,8,3686,4662,110,205,106,37,5120,406,131,95,568,4,1203,104114,5896,3946,5885,591,120426,4345,423,212,1278,19025,25281,224877,27872,17709,131906,21955,424328
