SA4_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
201,12,74,14,46,17,0,161,9,100,11,41,4,0,178,132,694,96,256,54,14,1236,581,273,118,393,34,13,1408,553,161,51,408,34,3,1212,2092,183,74,656,38,19,3052,4017,49,32,770,45,13,4929,3191,20,4,385,29,3,3641,547,10,0,72,6,0,635,74,0,3,23,3,0,111,34,0,0,15,4,0,47,20,0,0,8,0,0,29,8,6,0,0,3,0,16,22,0,0,20,8,0,47,165,116,25,196,73,47,613,11452,1686,424,3290,356,107,17320
202,10,85,11,25,20,0,159,6,106,18,23,10,8,163,67,653,54,239,45,7,1061,322,266,105,407,41,11,1146,352,123,62,402,31,7,978,1512,190,83,601,48,11,2457,3290,102,73,845,46,9,4363,2765,20,17,458,36,4,3307,638,9,4,131,7,3,788,133,3,0,20,7,0,166,46,5,0,16,0,0,63,14,0,0,4,0,0,18,3,0,0,3,0,0,4,10,0,0,13,6,0,28,124,107,26,190,64,25,536,9298,1653,462,3377,353,82,15230
203,32,153,9,46,15,5,252,21,145,21,24,19,0,232,119,1033,87,248,46,11,1551,371,420,254,428,91,23,1587,557,179,80,427,82,11,1338,1744,257,112,678,86,19,2895,5318,168,108,1298,122,25,7036,8696,76,73,1183,117,26,10168,3495,12,11,413,39,0,3967,1018,6,0,141,11,0,1175,344,0,0,65,3,0,422,131,0,0,27,5,0,164,55,0,0,9,6,0,67,89,0,0,19,3,0,111,337,177,40,296,141,67,1058,22322,2639,802,5303,779,187,32025
204,10,109,13,41,30,5,208,13,120,11,27,10,0,184,87,812,60,272,62,14,1291,535,367,85,443,93,14,1538,627,155,22,512,54,7,1385,1687,220,35,679,335,18,2966,2766,80,21,750,155,10,3787,2630,16,10,407,53,5,3129,499,4,0,81,14,0,600,65,0,0,18,4,0,90,21,0,0,7,0,0,28,11,0,3,4,5,0,20,4,0,0,5,0,0,9,30,0,0,25,9,0,64,187,162,28,218,142,40,772,9169,2046,288,3497,973,115,16086
205,31,148,23,88,34,3,332,24,160,32,68,18,10,310,262,1076,114,416,136,29,2028,1071,465,178,744,138,21,2611,1172,228,86,817,96,17,2415,2835,245,119,1057,161,19,4431,4410,91,77,1144,161,22,5908,3586,29,9,602,53,20,4307,674,14,10,120,13,0,829,85,4,3,22,3,0,115,26,3,0,4,0,0,33,8,0,0,8,0,0,12,9,0,0,9,4,0,21,30,0,0,33,11,0,79,237,204,48,384,171,66,1104,14452,2666,693,5517,996,209,24532
206,117,414,43,74,11,5,663,41,892,62,70,5,5,1078,245,4238,304,441,54,38,5315,763,1582,533,678,85,20,3656,1052,779,408,629,60,16,2939,4435,766,295,1191,106,12,6808,19758,634,219,2508,173,34,23328,35507,401,142,3439,230,42,39759,22422,121,38,2742,118,23,25462,12570,36,16,1579,56,14,14257,7078,18,5,891,35,4,8027,4013,11,5,559,21,4,4614,2191,11,4,304,10,6,2526,3561,4,0,528,32,10,4134,1648,739,106,1064,182,195,3944,115387,10639,2182,16707,1185,418,146512
207,32,56,9,47,11,0,146,12,58,21,34,3,0,133,68,481,88,165,35,3,841,221,136,103,318,50,5,830,297,109,70,231,45,3,757,525,84,65,352,49,4,1081,2747,56,60,739,55,8,3665,10052,71,45,1278,148,11,11611,7262,19,22,962,72,17,8351,3805,8,4,425,36,4,4279,2182,0,0,221,22,5,2431,1256,5,4,123,7,0,1399,708,3,0,73,11,0,791,1214,0,0,162,19,8,1398,555,103,34,518,114,77,1397,30942,1180,521,5634,678,155,39110
208,49,120,25,50,3,0,245,21,115,26,32,0,5,194,74,852,117,197,37,9,1282,207,283,199,324,50,9,1071,212,139,86,296,22,0,758,1350,130,111,441,52,15,2100,4614,90,39,904,81,3,5738,10320,91,34,1314,72,20,11854,7759,25,10,987,45,12,8843,4205,6,5,503,11,10,4748,2575,4,0,286,14,6,2883,1667,4,3,259,7,0,1939,1061,0,0,121,4,3,1190,1779,4,0,238,21,0,2041,664,154,44,475,97,92,1525,36559,2019,707,6431,517,177,46413
209,46,185,17,64,13,4,325,15,169,15,43,10,0,267,95,1326,110,244,60,8,1840,176,521,162,366,57,15,1298,190,294,92,291,39,9,910,629,300,139,525,181,8,1778,6789,250,84,1582,258,22,8991,18477,290,49,1926,290,39,21072,5784,63,22,652,78,13,6626,1846,14,6,232,17,8,2118,575,12,4,98,9,3,684,253,9,0,41,4,0,309,108,4,0,17,0,0,133,312,0,4,53,14,0,393,711,358,63,525,130,104,1883,36014,3793,770,6651,1163,230,48620
210,33,87,6,31,12,0,172,15,118,8,30,10,0,187,72,748,34,160,42,10,1059,127,373,89,257,51,3,908,115,176,41,231,28,4,591,415,196,55,391,143,7,1209,4543,213,62,1484,320,26,6636,13873,195,45,1782,435,44,16366,3861,26,3,490,81,8,4475,950,7,0,99,13,4,1070,286,0,0,39,5,4,334,135,3,0,21,3,0,163,69,0,0,15,3,0,91,218,0,0,36,13,0,265,543,208,32,437,140,110,1466,25263,2359,379,5499,1285,221,34992
