SA4_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
201,103,125,255,300,412,728,1549,1862,1128,6464,12,24,62,50,85,81,93,52,37,496,544,580,1233,1163,1393,1368,1603,1352,778,10012,4120,9486,20700,20503,22498,22940,21028,11208,4317,136793
202,79,75,287,324,405,718,1501,1804,1076,6271,8,31,117,139,164,147,105,67,33,808,514,509,1236,1185,1358,1479,1513,1360,1029,10183,3772,8775,19452,19881,21334,22491,20600,11174,4514,131999
203,140,129,398,491,642,1108,2387,3023,1918,10248,20,59,201,248,261,235,239,250,160,1675,776,1053,2217,2051,1929,1951,2347,2053,1392,15769,7227,19477,43705,42250,40704,39561,36590,19911,7945,257368
204,87,76,215,279,363,782,1683,2152,1310,6953,14,18,73,71,96,113,123,84,59,652,685,675,1358,1443,1623,1929,1955,1603,896,12164,4344,8681,19582,20563,23452,26901,24964,13514,4991,146990
205,201,132,474,542,754,1523,3082,3857,2174,12733,11,48,108,115,147,173,160,206,119,1093,1014,986,2436,2632,2669,3230,3564,2770,1566,20870,6729,13719,32702,32514,36155,44177,43511,23079,7929,240513
206,56,99,449,469,685,1278,2619,4680,2971,13304,26,134,613,397,460,630,833,1221,874,5181,1072,3394,9734,5732,3945,3380,2841,2263,1452,33816,11059,57231,165448,101047,71953,57064,40810,22835,9882,537326
207,48,70,167,249,435,702,1942,3458,2492,9563,15,77,282,262,308,412,536,623,505,3020,534,1008,2164,1617,1577,1371,1576,1676,1480,12998,7761,27013,48720,47840,50441,44644,35189,24522,12262,298394
208,69,54,143,218,321,642,1690,3058,2312,8508,8,52,186,190,200,269,346,488,330,2057,584,750,2263,1998,1830,1583,1972,1979,1700,14663,8102,24383,52323,58122,61995,50824,40032,24172,12314,332268
209,122,142,572,908,1264,2388,5640,6935,3776,21737,33,130,434,541,686,1000,1307,1449,900,6481,1113,1486,3813,3317,2730,2504,2501,2151,1517,21128,11261,33182,79846,82132,70645,59433,45300,25272,10504,417572
210,141,238,1021,1684,1997,2710,4644,5344,2870,20646,37,154,545,795,1018,1485,1405,1433,755,7626,1172,1449,3999,3399,2644,2261,1967,1739,1202,19830,9690,26864,66410,63504,52179,44241,31307,18499,7806,320505
211,112,158,587,765,967,1500,2818,4105,2507,13517,26,85,402,440,475,601,575,465,306,3370,828,965,2344,2344,2270,2183,2327,2505,1971,17731,10953,30051,63606,71356,71038,64996,52029,30065,11813,405900
212,307,413,1948,2844,3158,4546,7080,8107,4300,32698,92,470,2353,2839,2937,3029,2498,1866,1048,17142,2101,3208,8079,6142,4762,4218,3813,3508,2393,38216,19833,60503,135156,127967,105096,87599,65185,38748,16081,656163
213,278,424,1596,2318,3062,4911,8590,7854,3460,32496,59,260,1344,1672,2166,2661,2484,1926,1095,13678,2503,3430,9929,8248,5452,4278,3917,2909,1730,42398,18332,53179,142813,144942,103541,80459,57681,27621,10252,638814
214,120,117,324,404,622,917,1952,2732,1674,8859,22,37,100,110,131,173,170,185,132,1049,831,784,1889,2060,2282,2114,2357,2371,1700,16393,6877,15385,33624,37518,41570,40123,37018,23060,9038,244208
215,106,110,360,418,539,995,1911,2409,1588,8427,15,65,213,189,236,225,173,149,82,1348,657,614,1606,1489,1544,1817,1899,1554,1019,12203,3580,7878,18983,17067,18767,22033,19152,11245,4934,123640
216,82,75,342,406,473,830,1696,2005,1130,7034,11,33,143,195,218,193,136,153,80,1162,540,519,1305,1188,1278,1419,1531,1418,912,10103,3204,6988,15840,15080,17089,18593,16921,10182,3974,107870
217,62,50,195,224,302,581,1321,1856,1210,5797,0,14,81,71,62,86,61,43,27,454,453,382,907,945,1060,1176,1364,1130,685,8103,2983,5933,13897,13914,16264,18676,17079,9289,3799,101831
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
299,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
