SA4_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
201,725,2126,6099,6420,6622,4895,1049,128,10,28081,1400,1144,1527,1140,1310,1671,1020,195,18,9426,207,159,271,218,283,446,155,23,4,1762,56,74,181,110,143,107,45,21,0,752,2392,3506,8079,7883,8355,7119,2270,372,38,40026,92,192,333,234,221,198,24,0,0,1311,231,109,121,66,62,98,58,3,0,752,326,302,454,309,289,297,81,5,0,2061,2713,3807,8531,8193,8646,7419,2352,380,38,42090,2212,682,1096,1056,1623,3000,7192,4517,1354,22724,272,303,597,550,648,629,625,447,232,4302,5205,4790,10228,9803,10917,11043,10169,5341,1624,69115,249,1235,3521,3294,4140,2770,432,30,3,15685,1889,1887,3267,4101,3906,3619,1048,94,8,19810,262,248,769,492,363,466,153,25,0,2782,56,54,123,81,94,69,44,13,8,544,2463,3424,7677,7967,8501,6927,1676,166,17,38819,68,93,164,128,138,92,9,0,0,691,246,119,154,155,137,132,28,0,0,976,317,210,319,280,277,229,32,7,0,1665
202,627,1980,5783,6137,6353,4704,1094,129,16,26826,1403,1041,1339,1221,1267,1711,1098,218,18,9310,159,145,255,245,276,433,163,18,3,1697,52,72,139,118,130,108,42,22,11,692,2242,3236,7509,7720,8029,6957,2397,389,41,38526,90,173,239,171,196,173,20,0,0,1068,244,101,103,45,70,107,43,5,0,712,335,277,340,215,264,281,64,5,0,1779,2576,3512,7842,7944,8296,7236,2461,392,41,40307,1910,677,1050,1022,1364,2827,6963,4525,1497,21838,243,252,572,565,642,645,596,424,242,4178,4738,4438,9464,9523,10303,10704,10026,5342,1781,66314,211,1220,3359,3211,4047,2695,432,41,0,15220,1909,1652,3173,4097,3813,3698,1148,110,9,19610,233,231,730,465,365,506,160,15,5,2704,52,53,116,102,91,85,39,21,7,565,2405,3165,7375,7864,8316,6983,1788,186,17,38101,38,66,125,96,102,92,13,0,0,543,253,98,142,121,116,158,31,3,0,917,288,169,266,214,219,249,47,3,3,1459
203,1023,3913,13552,13998,12915,8740,1745,174,14,56071,2801,2836,3366,2376,2280,2890,1946,331,28,18864,382,409,575,563,532,676,304,44,4,3481,69,157,314,264,227,164,77,32,4,1302,4275,7309,17804,17197,15959,12476,4075,578,47,79722,158,370,557,340,414,315,58,0,0,2219,577,273,216,107,92,168,65,8,0,1509,736,647,773,449,506,488,125,8,0,3728,5016,7955,18578,17647,16464,12957,4194,593,47,83455,3997,1502,2182,1808,2287,4862,12305,7909,2636,39491,394,545,1118,906,923,836,891,667,359,6641,9408,10003,21876,20360,19673,18661,17397,9172,3048,129587,311,2403,8373,6947,7758,4769,631,40,4,31235,3758,4128,6791,8726,7650,6631,2014,168,11,39876,557,583,1633,1152,673,809,264,20,0,5689,69,124,261,200,184,131,46,18,14,1044,4689,7238,17065,17023,16262,12339,2955,251,27,77847,78,163,279,220,224,150,13,5,0,1129,538,274,310,289,248,210,60,9,0,1944,618,438,592,512,474,356,77,16,0,3076
204,1016,2361,6204,6498,7055,6038,1748,326,18,31263,1486,822,1238,1071,1283,1935,1466,320,49,9668,214,125,235,288,342,513,230,41,12,2006,71,87,196,173,183,135,89,43,9,986,2786,3397,7877,8025,8873,8620,3539,729,84,43930,100,154,244,163,192,206,45,0,0,1103,187,69,71,45,63,107,50,8,0,597,288,220,321,198,254,314,94,5,0,1704,3065,3619,8200,8227,9127,8934,3634,739,86,45632,2097,598,849,945,1402,3264,8075,5311,1653,24190,349,375,657,681,744,864,834,513,207,5229,5517,4595,9700,9852,11275,13068,12546,6561,1946,75047,389,1347,3369,3577,4650,3416,705,95,5,17553,1856,1389,3127,3987,4124,4260,1513,185,16,20458,326,191,766,422,405,627,218,32,7,2985,103,93,148,120,148,111,63,38,10,835,2673,3023,7415,8104,9326,8411,2496,345,34,41823,40,67,107,99,125,105,6,0,0,547,185,73,113,106,123,152,27,0,0,786,224,141,218,204,251,259,37,0,0,1337
205,1247,3339,9684,9585,10033,8618,2235,325,39,45105,2135,1370,1871,1819,2055,3046,2076,479,46,14898,306,194,412,447,501,852,355,58,8,3127,128,168,324,283,267,238,138,57,10,1605,3811,5060,12301,12141,12855,12754,4799,911,106,64738,206,343,516,366,462,476,79,4,0,2456,303,140,182,102,120,218,82,9,7,1165,512,481,696,473,582,703,164,10,3,3623,4321,5544,12994,12612,13434,13457,4965,924,108,68365,3306,1025,1848,1985,2642,6329,15271,9416,2622,44434,493,505,1089,1182,1250,1388,1428,958,486,8777,8120,7068,15931,15772,17328,21171,21666,11297,3215,121572,471,1974,5178,4790,6101,4459,866,92,9,23936,2923,2375,5268,6331,6663,6856,2211,267,19,32914,432,319,1201,750,625,968,296,36,6,4628,116,131,232,190,235,166,96,37,11,1206,3944,4803,11870,12057,13620,12446,3466,431,43,62688,103,160,253,166,217,187,15,0,0,1095,337,135,248,224,253,278,50,7,3,1536,434,296,502,386,472,463,68,7,0,2633
206,391,6556,48202,34508,22577,13541,3168,384,20,129342,2785,8775,14705,6632,4522,4324,2827,686,51,45306,539,1386,2418,1265,761,705,307,54,12,7457,58,327,987,478,259,161,55,41,10,2380,3770,17052,66309,42879,28120,18732,6368,1170,84,184483,103,816,2028,1260,1056,769,117,11,0,6163,890,1355,1057,350,243,309,131,22,0,4371,993,2174,3086,1614,1294,1077,251,33,0,10532,4764,19222,69395,44488,29419,19808,6619,1202,88,195017,5935,5826,6147,3555,3943,6570,11500,8407,3263,55152,507,1588,4780,2934,2013,1634,1132,797,454,15834,11202,26641,80322,50981,35375,28011,19248,10415,3804,266006,192,6704,45181,24379,17063,9285,1618,102,0,104525,3989,11866,19905,12731,9649,7411,3001,371,21,68945,779,1897,3625,2474,886,863,355,55,7,10943,57,351,783,367,222,148,56,16,10,2004,5020,20814,69497,39943,27824,17704,5032,543,31,186423,80,592,1615,819,636,379,52,7,0,4179,1014,1460,1160,564,512,408,113,4,0,5242,1095,2057,2777,1382,1153,789,163,11,0,9427
207,306,3501,14287,15811,16336,11368,2628,306,12,64547,2902,5282,4451,2877,2793,3283,2509,669,53,24821,513,642,591,452,416,489,258,54,10,3427,45,157,401,242,214,131,44,25,3,1260,3768,9587,19730,19379,19753,15272,5437,1047,82,94056,69,358,702,534,552,463,89,12,0,2782,808,674,354,149,150,205,103,23,0,2475,871,1033,1058,687,704,666,190,32,0,5249,4642,10619,20790,20067,20456,15940,5628,1080,85,99306,7192,2882,2456,1821,2422,4695,9990,9293,4321,45066,278,513,1134,777,753,558,496,476,358,5338,12109,14010,24376,22670,23630,21188,16112,10853,4758,149715,99,2785,11900,10034,10738,6436,1119,74,4,43181,3725,5906,5928,7793,8627,6902,2615,414,26,41945,614,735,1158,1049,589,604,256,51,9,5064,43,149,255,213,161,123,33,26,9,1016,4486,9575,19247,19090,20103,14068,4035,552,50,91205,27,215,426,327,354,216,20,0,0,1587,882,512,374,402,379,321,66,10,0,2949,911,726,801,739,735,533,88,12,0,4534
208,536,3694,16704,20968,21514,13657,3203,306,29,80602,3504,4610,3847,2752,3104,3779,2985,750,76,25408,547,629,673,541,571,639,333,64,7,4009,52,123,369,326,243,142,63,19,5,1346,4641,9055,21591,24584,25438,18224,6585,1141,118,111364,78,341,699,523,686,549,101,0,3,2981,885,480,245,97,119,189,112,18,0,2147,956,821,941,622,802,739,216,22,4,5127,5596,9875,22532,25207,26240,18965,6801,1157,123,116497,6882,2147,1875,1543,2335,4749,11041,8952,3937,43456,291,407,1173,972,886,651,665,566,370,5973,12769,12430,25576,27721,29467,24358,18507,10679,4420,165927,184,2813,13810,12564,14334,7805,1372,82,4,52963,4537,5638,6382,10074,10718,8330,3237,384,25,49324,713,752,1633,1502,758,781,333,55,9,6529,42,124,307,262,225,160,63,28,9,1221,5478,9333,22138,24399,26030,17070,5006,545,49,110029,39,176,442,346,347,237,29,0,0,1610,884,391,296,368,413,337,94,11,0,2790,921,562,740,715,763,569,119,14,0,4399
209,1339,6087,23910,27780,22747,14411,2877,190,18,99370,3583,5202,6468,5013,4205,4100,2245,389,31,31240,506,630,1002,893,768,888,339,59,3,5087,90,324,789,619,399,241,93,24,6,2583,5521,12248,32166,34310,28125,19652,5547,658,58,138284,235,707,1232,978,877,599,86,5,0,4721,1171,636,448,259,203,246,106,10,0,3089,1415,1346,1684,1243,1082,840,190,15,3,7814,6934,13593,33851,35551,29204,20490,5742,670,63,146096,8239,2907,3707,3373,4095,6908,14691,10238,3553,57715,602,866,1947,1693,1355,1109,962,769,452,9753,15777,17366,39505,40614,34656,28513,21396,11676,4066,213566,313,3864,16389,14639,13858,7826,1187,32,0,58112,5028,6670,10659,14024,11718,8692,2357,220,11,59379,720,914,2537,1902,954,1014,332,34,0,8399,74,227,536,370,272,169,70,29,6,1745,6133,11675,30120,30935,26794,17693,3943,327,17,127634,131,364,758,575,485,297,17,0,3,2624,1142,541,664,699,532,398,72,6,3,4057,1270,903,1426,1275,1021,689,86,12,5,6679
210,1050,4869,19253,20123,15174,10258,1808,141,6,72679,2733,4064,5283,4022,3208,2844,1344,229,8,23734,397,405,757,659,605,637,199,39,0,3699,104,302,819,605,374,214,70,13,9,2516,4283,9642,26115,25409,19359,13954,3423,418,25,102630,247,692,1171,903,811,509,61,0,0,4391,919,447,323,243,196,250,70,5,4,2460,1166,1136,1497,1147,1007,760,134,8,4,6851,5447,10775,27611,26561,20366,14713,3560,424,29,109480,6853,2609,3467,3538,3855,6024,10468,7454,2793,47054,645,826,2116,1713,1280,971,642,564,281,9040,12944,14211,33196,31808,25501,21714,14669,8437,3093,165579,258,3005,12047,10232,9279,5454,714,28,0,41022,3511,4723,7843,9229,7557,5414,1382,120,3,39777,504,621,1915,1310,678,681,225,20,0,5956,78,230,479,338,227,146,51,16,0,1566,4344,8577,22288,21106,17742,11698,2369,184,9,88314,144,437,674,506,433,244,13,0,0,2451,915,477,641,614,458,270,50,5,0,3434,1058,917,1321,1117,894,521,61,3,0,5885
