SA4_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201,44022,45805,89828,5189,5639,10824,638,759,1397,21298,23076,44377,529,563,1091,267,308,583,222,240,467,140,151,290,136,145,281,77,88,165,0,0,0,23314,25334,48644,1557,1591,3141,571,492,1065,30632,33049,63685,5712,5391,11100,80358,84253,164611
202,42882,44547,87430,5393,5860,11257,785,915,1703,18927,20881,39805,529,598,1124,234,279,511,250,249,497,117,113,230,140,150,292,100,109,208,0,0,0,21067,23297,44367,1406,1625,3030,480,493,976,28355,31276,59633,5885,5676,11556,77119,81496,158617
203,77712,81928,159641,12334,13103,25437,1276,1426,2707,41002,45019,86026,888,1059,1947,374,399,764,439,449,891,292,326,624,222,275,497,156,177,340,0,0,0,44658,49135,93797,5092,4738,9830,1018,951,1966,63104,67927,131031,9516,8751,18266,150329,158613,308945
204,48026,49206,97230,8653,9304,17956,2925,3082,6010,15251,16250,31502,1356,1274,2628,328,314,642,352,326,676,159,162,318,312,285,597,197,185,384,0,0,4,20881,21877,42766,1540,1612,3157,546,510,1057,31621,33307,64936,6816,6599,13409,86459,89113,175568
205,76662,78472,155138,15457,16911,32367,1351,1392,2739,29103,31383,60489,1033,1156,2190,272,282,559,437,401,838,210,259,467,220,209,430,140,127,265,0,0,9,32770,35210,67981,1873,2169,4047,939,877,1812,51035,55166,106203,12157,11692,23851,139858,145329,285192
206,112724,121994,234719,13591,14227,27818,6966,7631,14593,84529,87431,171958,4371,4955,9322,1801,2048,3850,2739,2869,5606,940,1029,1968,438,505,940,1267,1319,2588,3,4,12,103049,107787,210838,37952,41472,79429,2713,2341,5051,157310,165822,323132,17553,17242,34798,287583,305055,592643
207,96659,106334,202990,7011,7458,14474,1581,1682,3257,41651,44186,85840,1004,1136,2141,601,645,1244,777,740,1514,262,269,535,153,143,302,232,227,458,6,6,8,46265,49035,95299,14951,15766,30721,863,782,1641,69090,73041,142135,6016,6589,12604,171769,185963,357727
208,108981,119229,228208,10257,10891,21152,1755,1872,3635,48712,52233,100947,1040,1174,2211,441,492,926,667,685,1352,173,183,355,110,116,225,222,254,475,0,0,0,53112,57013,110126,12107,12798,24904,1112,1088,2196,76592,81793,158377,6972,7813,14783,192542,208830,401374
209,146388,152539,298931,10257,10577,20832,1932,2087,4022,61119,63214,124331,1377,1358,2738,627,730,1356,704,666,1368,251,278,526,329,313,643,245,280,523,4,0,0,66579,68932,135512,13171,12824,25995,1493,1264,2758,91501,93594,185093,11193,11053,22246,249080,257184,506268
210,107399,111195,218596,9227,9363,18592,1638,1640,3281,49398,50307,99709,926,970,1897,494,512,1010,489,468,959,211,216,429,184,162,350,189,197,383,3,4,7,53530,54487,108016,13533,12660,26194,1137,1031,2171,77432,77535,154964,10611,10063,20676,195445,198791,394236
