SA4_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
201,2273,406,38,20,2116,358,5205,1683,823,113,39,1804,333,4790,2943,3058,620,307,2608,690,10228,2335,3561,1069,448,1734,656,9803,2682,3807,1131,455,2066,775,10917,2528,3593,1138,511,2564,708,11043,1662,2831,1346,828,2782,716,10169,723,1142,625,439,1904,511,5341,192,203,116,76,774,263,1624,17018,19430,6198,3127,18344,5001,69115,2324,544,52,26,1623,354,4920,1492,1274,294,160,1187,302,4708,1510,3545,1519,1706,1571,632,10476,910,3456,2364,2323,1070,583,10704,1174,4190,2620,1623,1344,639,11587,1222,3851,2607,1706,1912,606,11909,760,2409,2325,2177,2533,656,10869,459,956,934,995,1945,574,5865,252,343,199,151,1305,443,2696,10111,20568,12921,10866,14497,4784,73740,4597,949,92,47,3735,712,10126,3175,2096,405,198,2990,632,9501,4452,6602,2141,2016,4180,1321,20702,3248,7018,3438,2771,2805,1233,20511,3856,7994,3755,2075,3411,1416,22505,3758,7448,3743,2219,4476,1311,22951,2425,5241,3676,3011,5311,1375,21034,1183,2094,1562,1439,3848,1088,11207,440,551,320,225
202,2146,403,31,13,1793,357,4738,1656,758,95,46,1581,310,4438,2535,2843,670,298,2276,852,9464,2250,3434,1107,517,1477,750,9523,2431,3715,1113,477,1789,777,10303,2501,3479,1157,535,2286,751,10704,1717,2847,1424,803,2547,678,10026,739,1229,678,479,1712,499,5342,190,239,133,128,809,278,1781,16171,18941,6398,3283,16269,5254,66314,2208,547,53,20,1501,329,4656,1356,1214,261,173,1096,252,4352,1487,3232,1556,1639,1472,617,10002,903,3382,2317,2183,968,619,10373,1126,4098,2435,1569,1168,643,11037,1312,3792,2578,1691,1747,675,11797,761,2510,2321,2066,2301,633,10588,459,1014,942,1009,1828,586,5839,296,278,176,183,1274,536,2737,9906,20060,12637,10526,13356,4882,71381,4351,946,81,33,3293,687,9392,3010,1966,355,213,2680,563,8790,4022,6081,2220,1933,3747,1464,19470,3154,6813,3421,2701,2440,1368,19900,3552,7812,3541,2053,2953,1425,21340,3819,7269,3735,2221,4038,1430,22501,2479,5355,3750,2869,4850,1313,20611,1201,2246,1616,1481,3544,1093,11184,489,513,309,312
203,4277,609,54,25,3911,527,9408,3551,1617,242,79,3827,699,10003,6193,6536,1267,492,5727,1654,21876,5042,7534,2184,826,3405,1369,20360,4935,7267,1901,769,3602,1194,19673,4361,6313,1963,827,4191,1002,18661,3035,5238,2344,1187,4609,993,17397,1294,2286,1181,718,2968,724,9172,361,418,261,196,1420,386,3048,33045,37810,11401,5123,33656,8546,129587,4312,957,91,31,3069,506,8967,3301,2576,476,254,2410,516,9533,3768,7450,3061,2940,3552,1080,21849,2057,6966,5025,4610,2203,1049,21909,2114,7738,4753,3123,2405,918,21052,2191,6950,4608,2859,3425,886,20919,1309,4702,4354,3405,4389,1055,19209,840,1935,1830,1776,3448,925,10747,454,612,349,304,2470,716,4904,20355,39881,24555,19298,27365,7646,139095,8597,1569,142,53,6984,1034,18372,6851,4186,720,335,6235,1211,19539,9962,13990,4326,3436,9279,2732,43726,7095,14498,7210,5436,5610,2419,42274,7049,15007,6651,3896,6010,2113,40725,6553,13265,6577,3684,7619,1886,39586,4340,9938,6696,4590,8992,2044,36603,2131,4214,3018,2491,6411,1646,19915,815,1028,615,505
204,2407,444,34,24,2124,483,5517,1531,739,98,58,1788,383,4595,2658,2839,710,295,2432,768,9700,2333,3580,1057,476,1633,776,9852,2780,3959,1143,479,2100,813,11275,3002,4195,1429,650,2852,945,13068,2128,3441,1640,1037,3370,932,12546,950,1443,748,570,2268,574,6561,253,285,131,136,923,221,1946,18051,20915,6985,3718,19480,5894,75047,2361,593,71,29,1520,467,5049,1144,1119,274,169,1072,335,4106,1338,3225,1499,1666,1462,696,9890,995,3426,2426,2161,1004,698,10723,1208,4483,2659,1707,1344,787,12199,1310,4684,2995,1973,2039,840,13837,842,2824,2665,2497,2791,802,12421,510,1220,1115,1197,2239,679,6958,265,349,221,186,1608,418,3050,9977,21925,13928,11590,15071,5737,78234,4771,1035,107,47,3646,953,10563,2677,1860,367,227,2852,719,8704,3999,6065,2207,1963,3896,1458,19590,3334,7001,3484,2633,2636,1478,20571,3990,8442,3799,2185,3442,1604,23472,4306,8873,4428,2619,4884,1792,26908,2965,6270,4302,3534,6157,1732,24963,1462,2663,1861,1767,4508,1254,13515,520,632,353,322
205,3606,661,51,29,3052,733,8120,2460,1159,178,87,2605,582,7068,4277,4661,1135,536,3798,1523,15931,3611,5342,1722,842,2696,1560,15772,4161,5717,1761,839,3434,1414,17328,4564,6612,2253,1288,4946,1512,21171,3477,5793,3095,1979,5739,1582,21666,1526,2464,1459,1082,3718,1047,11297,352,455,243,209,1449,502,3215,28025,32864,11896,6890,31436,10460,121572,3579,956,115,53,2397,694,7793,1903,1737,465,370,1705,486,6672,2121,5155,2602,3215,2452,1243,16790,1364,4956,3632,3820,1699,1282,16752,1844,6628,4053,2792,2293,1236,18848,2081,7154,5000,3590,3783,1404,23021,1352,4729,4792,4533,4909,1553,21864,853,1926,1962,2053,3798,1199,11790,407,509,377,290,2408,729,4716,15505,33743,23006,20707,25449,9832,128245,7184,1613,165,74,5449,1432,15913,4369,2897,647,458,4310,1070,13743,6396,9817,3742,3755,6248,2767,32721,4978,10297,5354,4663,4396,2840,32526,6002,12348,5820,3634,5727,2651,36176,6643,13765,7257,4873,8732,2918,44190,4838,10522,7885,6506,10642,3139,43532,2375,4391,3422,3131,7520,2252,23088,755,960,618,499
206,5027,931,83,36,4524,611,11202,8483,5522,699,314,9861,1759,26641,24565,24398,3547,1072,21460,5284,80322,13715,18530,4328,1449,9709,3251,50981,9394,13070,3253,1045,6424,2196,35375,7020,9794,2455,852,6113,1769,28011,4049,6047,2054,777,5103,1219,19248,1914,2547,975,406,3745,831,10415,587,630,226,104,1784,471,3804,74752,81470,17622,6049,68723,17389,266006,5737,1510,160,48,4107,666,12229,9906,8348,1313,450,8732,1924,30675,22456,31294,6072,2995,17224,5165,85196,9102,18074,7848,5738,6554,2800,50110,5471,13763,7021,3984,4527,1851,36623,4138,10832,5286,2783,4541,1519,29097,2320,6537,4232,2475,4831,1204,21595,1297,2777,2013,1418,3965,973,12443,719,916,444,267,2967,764,6077,61145,94048,34388,20160,57448,16865,284057,10762,2439,239,86,8629,1275,23434,18392,13866,2014,772,18590,3679,57314,47018,55692,9620,4060,38681,10445,165518,22818,36600,12168,7186,16258,6055,101098,14864,26835,10277,5025,10953,4047,72005,11158,20624,7745,3632,10661,3284,57113,6369,12588,6285,3251,9935,2425,40849,3209,5330,2993,1822,7712,1797,22859,1310,1548,669,372
207,5950,864,50,25,4847,367,12109,5512,2281,270,118,5229,601,14010,7276,6409,1072,415,7911,1299,24376,5393,8129,2328,837,5100,880,22670,6032,9249,2490,859,4164,839,23630,5227,8001,2278,846,4189,642,21188,3314,5555,2126,829,3728,558,16112,1937,3095,1430,608,3244,533,10853,724,894,364,237,2173,372,4758,41364,44484,12398,4788,40583,6091,149715,6029,1185,70,25,3951,335,11605,5293,3108,397,139,3561,554,13055,5597,7686,2241,1622,6115,1126,24394,2735,7474,5183,4696,4263,852,25194,2450,9037,6638,4499,3418,810,26853,2300,8021,5492,3503,3504,676,23503,1528,5158,4634,3149,3993,684,19137,1350,2996,2741,1990,3889,717,13688,784,1161,706,390,3748,719,7512,28063,45818,28120,20015,36445,6477,164939,11979,2048,129,54,8801,702,23713,10803,5393,668,261,8786,1160,27065,12873,14096,3314,2042,14024,2423,48770,8123,15602,7513,5532,9364,1731,47868,8481,18287,9129,5364,7578,1647,50484,7533,16021,7776,4350,7695,1318,44690,4841,10711,6761,3979,7718,1241,35247,3292,6094,4170,2596,7134,1247,24535,1505,2056,1073,628
208,6441,680,51,20,5169,416,12769,5108,1912,198,79,4651,476,12430,7808,7582,1199,452,7212,1327,25576,7066,10796,2905,965,4857,1131,27721,8233,11900,2890,901,4549,992,29467,6678,9249,2275,741,4626,794,24358,4176,6069,2089,800,4645,719,18507,2055,2826,1083,504,3578,641,10679,626,736,348,232,2094,376,4420,48202,51743,13047,4696,41371,6870,165927,6589,1042,65,27,4241,379,12339,5056,2830,376,123,3198,392,11979,6199,9572,2688,2041,5079,1205,26776,3549,10238,6691,5412,3441,1091,30426,3562,12575,7736,4453,3240,983,32552,3141,9921,5894,2998,3750,796,26501,2095,6242,4728,2861,4667,963,21564,1382,2881,2363,1737,4247,909,13521,856,1136,597,360,4113,853,7908,32423,56436,31134,20024,35974,7568,183563,13027,1727,112,44,9409,791,25117,10161,4737,577,209,7849,868,24406,14006,17153,3892,2487,12292,2528,52356,10621,21037,9589,6378,8299,2224,58144,11800,24473,10629,5352,7786,1980,62017,9814,19165,8172,3739,8373,1587,50866,6276,12313,6818,3662,9310,1684,40065,3436,5708,3445,2243,7822,1548,24201,1484,1878,943,596
209,6632,1060,111,44,7143,790,15777,5722,2305,288,137,7905,1008,17366,10525,10542,1998,861,13322,2250,39505,9357,13696,4014,1599,9970,1975,40614,8524,11790,3062,1267,8489,1529,34656,6484,8996,2522,1090,8152,1262,28513,3858,5946,2415,1218,6885,1075,21396,1849,2585,1245,769,4424,799,11676,548,565,282,169,2022,476,4066,53502,57490,15940,7162,68308,11169,213566,6535,1585,172,52,5616,668,14632,5379,3620,689,319,5122,735,15866,6837,12598,4776,4815,9352,2024,40405,3799,12262,8507,8476,6810,1750,41601,3374,11983,7807,5634,5938,1347,36074,2960,9548,6173,4573,6544,1199,30997,1893,5396,4854,4061,6577,1179,23962,1295,2557,2169,1862,4808,945,13627,692,829,424,317,3349,821,6438,32761,60372,35587,30102,54117,10671,223604,13163,2643,286,96,12759,1460,30410,11100,5922,976,461,13030,1743,33231,17360,23142,6779,5677,22672,4276,79907,13162,25958,12521,10073,16772,3726,82221,11896,23773,10871,6893,14418,2877,70726,9442,18540,8694,5661,14699,2466,59510,5753,11341,7265,5284,13461,2254,45359,3145,5141,3417,2624,9235,1741,25301,1240,1393,710,486
210,4462,878,82,38,6668,815,12944,3889,1669,246,109,7311,985,14211,7927,7578,1514,710,12978,2489,33196,6817,9201,2650,1249,9874,2024,31808,5821,7547,1956,894,7811,1481,25501,4605,5875,1763,823,7542,1102,21714,2462,3554,1488,815,5612,739,14669,1242,1674,822,524,3591,586,8437,411,431,169,153,1639,302,3093,37639,38399,10683,5309,63034,10521,165579,4648,1322,160,77,5105,685,11992,3521,2796,584,346,4784,750,12776,4602,8747,3866,4718,9308,2046,33290,2521,8170,5729,6704,6928,1742,31796,2262,7760,5104,4454,5801,1362,26741,1967,5878,4246,3543,5936,1023,22592,1267,3354,3006,2755,5458,832,16667,910,1732,1376,1374,3924,747,10075,520,575,322,226,2536,542,4717,22215,40326,24406,24194,49784,9733,170650,9113,2202,246,112,11774,1498,24940,7412,4465,833,451,12095,1728,26989,12532,16327,5376,5427,22289,4538,66484,9336,17370,8377,7947,16805,3766,63605,8083,15306,7059,5351,13610,2840,52242,6564,11751,6007,4368,13483,2125,44310,3730,6902,4497,3561,11072,1576,31338,2152,3407,2196,1905,7516,1340,18511,930,1007,491,377
