SA4_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
201,12267,6972,6895,6337,6394,5498,3676,1375,326,49738,1998,1807,2032,2012,2478,2859,3086,1607,461,18343,162,244,375,464,682,1094,1539,1041,342,5947,8,30,57,117,262,630,1048,858,311,3320,2171,2081,2466,2598,3418,4582,5667,3512,1110,27608,1486,946,863,858,1104,968,821,461,191,7701,15928,9996,10228,9803,10917,11043,10169,5341,1624,85041,12103,5986,6104,6253,6335,5671,3928,1503,458,48346,1491,2241,2681,2617,2763,3121,3273,1887,846,20922,125,501,756,809,1069,1440,1744,1137,618,8194,3,39,119,232,506,861,1144,873,499,4271,1620,2777,3558,3664,4332,5422,6165,3888,1959,33388,1429,865,816,786,918,817,774,475,277,7152,15148,9628,10476,10704,11587,11909,10869,5865,2696,88886,24375,12956,13000,12592,12728,11172,7605,2872,786,98088,3492,4046,4713,4637,5235,5976,6363,3495,1305,39260,287,746,1127,1274,1744,2533,3285,2172,959,14138,10,63,182,354,769,1487,2190,1731,808,7595,3788,4855,6025,6267,7752,10000,11838,7397,3074,60997,2913,1814,1679,1646,2024,1780,1592,934,462,14847
202,12164,6483,6287,6165,6224,5286,3712,1387,333,48035,1779,1582,1795,1947,2192,2818,3113,1654,466,17335,124,204,301,393,622,1052,1463,976,381,5515,9,16,54,92,235,540,936,839,349,3065,1911,1800,2144,2425,3044,4411,5512,3467,1198,25916,1410,898,1039,935,1034,1005,794,487,244,7849,15483,9176,9464,9523,10303,10704,10026,5342,1781,81803,11863,5682,5922,6204,6152,5477,3826,1430,459,47017,1290,2071,2508,2453,2652,3179,3288,1857,763,20059,89,433,694,697,933,1393,1687,1088,577,7591,4,34,97,186,407,801,1025,894,507,3958,1377,2541,3294,3344,3989,5375,6003,3840,1848,31605,1339,782,784,824,903,948,758,575,429,7337,14583,9002,10002,10373,11037,11797,10588,5839,2737,85960,24023,12161,12208,12369,12374,10764,7543,2811,794,95050,3066,3649,4298,4398,4836,5995,6403,3508,1232,37393,214,638,994,1095,1549,2445,3155,2066,961,13103,16,52,144,274,644,1339,1960,1732,856,7025,3291,4339,5436,5766,7028,9782,11515,7313,3050,57527,2746,1682,1824,1761,1937,1950,1553,1063,672,15189
203,24530,14135,15722,13884,12568,10040,7045,2697,689,101308,3395,3156,3529,3841,4088,4733,5229,2891,882,31739,212,394,578,674,993,1629,2429,1665,601,9154,5,24,57,147,342,789,1473,1248,591,4678,3614,3570,4158,4663,5424,7149,9130,5797,2072,45570,2338,1699,1997,1814,1687,1468,1223,675,284,13179,30472,19410,21876,20360,19673,18661,17397,9172,3048,160063,23779,12061,14253,14103,12750,10895,7809,3011,891,99563,2488,4131,4879,4841,4755,5490,5711,3449,1459,37211,165,762,1168,1218,1497,2060,2713,2017,996,12586,6,51,140,272,614,1130,1662,1450,1096,6410,2656,4938,6184,6331,6866,8680,10085,6918,3551,56207,2286,1499,1413,1481,1433,1346,1312,819,462,12048,28720,18497,21849,21909,21052,20919,19209,10747,4904,167815,48307,26204,29974,27987,25318,20937,14852,5709,1583,200868,5883,7289,8407,8682,8844,10221,10940,6342,2342,68945,376,1150,1744,1894,2487,3687,5134,3678,1597,21745,10,70,197,412,958,1921,3139,2695,1688,11090,6265,8511,10343,10994,12289,15832,19216,12713,5621,101779,4619,3202,3408,3293,3118,2819,2539,1490,742,25231
204,12588,7291,6775,6339,6858,6684,4854,1796,427,53602,1793,1516,1666,1982,2422,3308,3672,1953,537,18845,142,228,269,412,661,1187,1851,1150,381,6280,11,12,41,125,238,655,1151,1076,405,3717,1939,1765,1976,2516,3319,5151,6672,4176,1329,28849,1590,1061,945,997,1096,1230,1019,582,189,8712,16120,10110,9700,9852,11275,13068,12546,6561,1946,91165,12540,5938,6076,6443,6929,6816,4667,1854,611,51880,1384,1884,2282,2462,2805,3519,3781,2224,879,21223,107,388,596,711,969,1497,1827,1275,610,7986,8,29,90,197,433,894,1189,965,596,4406,1499,2308,2973,3369,4209,5911,6798,4467,2078,33614,1501,914,842,914,1060,1109,946,641,359,8276,15539,9160,9890,10723,12199,13837,12421,6958,3050,93770,25132,13224,12851,12775,13789,13504,9525,3647,1041,105488,3172,3406,3949,4443,5226,6827,7458,4181,1419,40069,247,623,864,1123,1636,2688,3679,2427,985,14271,15,46,134,320,671,1553,2341,2042,1002,8127,3437,4070,4947,5888,7527,11060,13477,8648,3406,62463,3085,1970,1787,1913,2152,2342,1963,1218,550,16982
205,20345,10761,10678,10109,10437,10711,8085,2996,640,84768,2953,2458,2835,3037,3612,5411,6511,3422,877,31104,231,355,493,615,1022,2009,3132,2087,627,10574,7,23,73,156,428,1093,2145,1754,611,6299,3191,2833,3400,3817,5065,8515,11793,7264,2113,47979,2726,1599,1848,1850,1827,1948,1790,1036,461,15082,26260,15191,15931,15772,17328,21171,21666,11297,3215,147833,19771,9316,10162,9905,10410,11009,7954,2986,820,82327,2178,3053,3855,3783,4392,5992,6606,3767,1375,35002,168,622,1101,1128,1615,2574,3286,2218,960,13668,0,54,163,337,788,1592,2248,1701,881,7770,2348,3731,5119,5249,6794,10152,12144,7685,3216,56437,2653,1422,1510,1602,1646,1852,1766,1118,684,14258,24772,14464,16790,16752,18848,23021,21864,11790,4716,153015,40113,20083,20841,20009,20843,21721,16041,5987,1457,167094,5132,5512,6692,6820,8005,11400,13114,7189,2249,66108,400,973,1588,1745,2640,4577,6419,4305,1585,24238,5,82,235,498,1218,2685,4394,3454,1493,14063,5539,6564,8516,9064,11855,18666,23927,14952,5327,104415,5379,3015,3362,3451,3468,3802,3563,2160,1147,29342
206,28971,29093,60064,36725,24172,16512,8686,3493,929,208649,2493,5208,12287,8664,6528,6517,5693,3200,1126,51710,114,595,1733,1430,1353,1856,2198,1720,708,11705,7,38,123,205,381,781,1194,1137,643,4508,2610,5837,14142,10298,8263,9151,9081,6055,2483,67920,2360,2906,6113,3955,2948,2351,1485,858,391,23372,33939,37841,80322,50981,35375,28011,19248,10415,3804,299941,28778,29759,59236,34761,24433,17000,9912,3827,1260,208965,1821,8437,16401,9656,7269,6885,6366,4052,1870,62759,83,1449,3175,1838,1732,2205,2514,2176,1211,16384,0,45,233,277,473,864,1307,1405,1092,5701,1906,9938,19812,11775,9470,9954,10186,7633,4172,84845,2331,3207,6152,3576,2716,2148,1497,979,655,23260,33016,42905,85196,50110,36623,29097,21595,12443,6077,317072,57749,58855,119299,71485,48605,33508,18599,7320,2185,417615,4313,13649,28688,18314,13795,13400,12055,7254,2993,114470,196,2047,4906,3271,3085,4059,4716,3892,1923,28086,7,84,357,482,848,1649,2502,2548,1741,10208,4516,15779,33952,22072,17732,19109,19265,13696,6652,152767,4690,6111,12275,7535,5664,4497,2978,1845,1044,46632
207,26218,20940,19286,17928,17523,13796,7983,3765,1196,128625,2315,3380,3187,3101,3976,4761,4812,3513,1506,30547,92,310,412,422,690,1213,1726,1823,919,7605,6,15,38,57,145,367,781,1140,805,3357,2408,3703,3638,3584,4809,6338,7319,6474,3232,41517,1463,1482,1459,1153,1305,1056,816,608,337,9672,30094,26119,24376,22670,23630,21188,16112,10853,4758,179806,25708,18529,18489,19925,19658,15026,9453,4417,1525,132729,1625,4209,3812,3411,4675,5425,5670,4709,2446,35992,73,549,671,568,938,1377,2158,2392,1644,10370,0,38,72,92,228,460,882,1405,1299,4492,1696,4799,4561,4074,5843,7264,8708,8510,5397,50852,1328,1333,1341,1197,1353,1214,973,759,593,10083,28731,24659,24394,25194,26853,23503,19137,13688,7512,193669,51925,39465,37772,37856,37180,28826,17430,8186,2718,261349,3936,7585,7000,6516,8650,10189,10485,8224,3956,66537,161,861,1086,993,1628,2588,3884,4214,2561,17979,6,51,115,154,378,825,1665,2546,2107,7848,4103,8503,8205,7662,10647,13600,16030,14986,8624,92365,2792,2811,2798,2347,2656,2266,1784,1364,927,19753
208,32263,20095,19709,21152,21280,15120,8362,3437,1065,142489,2966,3330,3694,4352,5282,5790,5641,3478,1363,35898,101,294,480,578,929,1532,2343,1836,863,8956,14,6,40,93,244,547,1123,1244,775,4077,3078,3634,4220,5016,6451,7863,9107,6554,3007,48935,2083,1465,1646,1551,1728,1370,1034,691,350,11922,37420,25200,25576,27721,29467,24358,18507,10679,4420,203350,31631,17866,19358,22485,22883,16032,9752,4234,1615,145851,2031,4394,4987,5239,6195,6310,6574,4498,2483,42712,82,660,859,928,1373,1966,2737,2404,1703,12711,3,28,82,161,353,747,1234,1479,1424,5506,2118,5078,5924,6325,7922,9021,10546,8379,5616,60930,1980,1370,1494,1616,1749,1448,1267,904,679,12503,35726,24315,26776,30426,32552,26501,21564,13521,7908,219288,63888,37965,39065,43638,44165,31149,18113,7672,2679,288342,4995,7724,8685,9590,11472,12099,12215,7976,3846,78611,184,955,1342,1497,2300,3497,5079,4236,2573,21672,13,33,119,247,598,1292,2355,2719,2200,9581,5192,8713,10153,11340,14374,16894,19657,14931,8625,109864,4062,2839,3139,3166,3478,2821,2302,1600,1029,24431
209,44914,25768,30204,30313,23502,16302,8884,3360,827,184080,4554,4422,5650,6506,6759,7055,6604,3617,1252,46405,235,419,827,1008,1462,2210,2851,2167,799,11972,12,25,99,181,474,1017,1719,1653,748,5926,4793,4861,6577,7700,8692,10278,11172,7429,2796,64301,3605,2520,2721,2604,2462,1932,1335,882,442,18501,53315,33143,39505,40614,34656,28513,21396,11676,4066,266882,43382,22184,28606,29470,23352,16754,9361,3623,1123,177851,3171,5324,7523,7563,7563,7966,7607,4439,1875,53029,157,856,1601,1776,2187,2923,3516,2628,1354,17000,6,57,161,343,656,1430,1995,1942,1337,7926,3335,6244,9279,9685,10403,12317,13121,9002,4567,77955,3461,2070,2516,2455,2311,1930,1483,993,748,17973,50174,30493,40405,41601,36074,30997,23962,13627,6438,273777,88298,47950,58809,59778,46857,33052,18245,6987,1947,361934,7718,9747,13172,14065,14325,15020,14209,8047,3124,99439,386,1274,2427,2790,3650,5131,6369,4796,2154,28967,15,79,258,528,1126,2440,3713,3596,2088,13846,8127,11105,15855,17381,19097,22592,24296,16438,7367,142255,7066,4587,5236,5058,4775,3861,2813,1876,1192,36472
210,37708,21295,25800,23759,17071,11707,5661,2341,620,145960,3844,3258,4009,4669,4887,5544,4549,2601,891,34244,212,293,539,773,1149,1917,2147,1590,643,9258,10,28,74,151,327,929,1384,1278,668,4865,4064,3574,4615,5593,6367,8397,8082,5466,2210,48367,3596,2289,2781,2454,2068,1609,928,633,262,16614,45364,27159,33196,31808,25501,21714,14669,8437,3093,210949,36597,18484,24390,22681,16752,11554,6176,2469,765,139872,2563,3705,5250,5335,5600,5879,5185,3311,1391,38219,153,629,1106,1204,1690,2400,2613,2028,1091,12920,8,38,145,259,713,1209,1594,1566,1046,6578,2734,4371,6506,6801,7999,9493,9392,6895,3528,57718,3403,1912,2398,2315,1986,1555,1105,710,418,15791,42733,24770,33290,31796,26741,22592,16667,10075,4717,213385,74302,39780,50185,46441,33820,23265,11837,4806,1393,285836,6408,6962,9261,10000,10487,11429,9731,5911,2283,72462,368,920,1645,1975,2835,4318,4760,3613,1739,22178,23,62,219,419,1049,2141,2979,2844,1717,11446,6798,7945,11122,12401,14363,17891,17471,12366,5736,106083,7001,4203,5178,4767,4051,3153,2030,1344,684,32412
