SA4_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
201,34,541,613,564,472,404,172,30,2841,6,137,249,290,311,334,75,9,1419,375,1649,1724,1440,1077,980,372,65,7675,181,735,940,1104,931,919,345,67,5230,1353,3388,2970,3096,3032,2297,1128,278,17541,156,163,102,85,77,57,22,4,682,42,100,115,138,174,159,73,19,826,1550,3660,3188,3311,3283,2513,1229,303,19046,9,35,35,44,41,56,34,13,278,692,688,659,840,824,935,697,311,5655,2851,7454,7416,7605,6935,6150,2928,794,42135,49,746,814,713,640,408,101,6,3479,43,441,638,639,571,461,113,26,2932,584,2648,2772,2167,1581,1239,460,114,11552,373,1229,1462,1561,1521,1103,468,112,7815,975,2130,1975,1942,1608,855,159,54,9699,196,223,206,167,155,134,32,8,1120,72,127,162,211,258,230,88,35,1182,1248,2480,2343,2321,2023,1216,280,97,11999,22,41,39,62,49,72,53,22,364,695,696,666,790,853,1105,966,616,6388,3015,8284,8730,8248,7238,5609,2433,977,44530,87,1294
202,32,372,537,518,451,463,192,22,2583,11,132,275,311,330,290,64,4,1424,293,1503,1683,1480,1043,1060,435,89,7582,159,653,877,1000,1009,970,479,75,5218,1070,3138,2864,3009,3034,2251,1113,297,16772,153,125,107,85,62,56,15,0,606,49,91,111,130,191,176,78,27,843,1270,3357,3080,3223,3281,2488,1205,321,18222,3,47,28,42,44,50,37,17,264,616,688,673,793,861,844,704,402,5587,2381,6748,7157,7373,7016,6155,3110,938,40888,65,758,791,698,567,411,122,9,3423,56,466,696,721,621,460,120,18,3152,537,2523,2772,2250,1593,1307,502,121,11603,332,1157,1307,1472,1465,1201,497,114,7551,900,1976,1772,1756,1611,763,199,37,9012,165,171,201,160,213,145,36,7,1094,86,105,149,239,269,212,106,37,1193,1150,2255,2123,2148,2094,1120,339,82,11303,6,58,35,45,65,60,57,25,347,615,706,689,782,916,1081,1027,779,6599,2767,7912,8417,8126,7308,5639,2655,1152,43977,102,1128
203,182,1959,1481,1135,961,781,347,42,6892,20,381,518,478,533,508,149,16,2608,1138,4584,4340,3150,2404,2147,804,183,18739,635,1864,2218,2211,1878,1942,849,182,11783,2256,6298,5813,5511,5258,4007,1932,611,31692,246,218,201,128,108,89,31,5,1025,84,176,232,264,276,324,194,38,1585,2593,6691,6245,5905,5640,4417,2157,652,34295,49,82,120,79,83,104,94,40,647,1198,1392,1170,1209,1181,1284,1052,525,9006,5815,16948,16089,14177,12683,11170,5450,1640,83967,113,2156,1971,1288,983,648,176,9,7339,120,1122,1356,1212,974,785,202,26,5798,1606,6932,6481,4402,3158,2471,896,193,26145,838,2741,3145,3279,2889,2253,1001,280,16425,1844,3693,3500,3288,2891,1427,388,101,17128,292,248,307,290,260,229,60,16,1706,181,253,342,427,466,439,191,79,2372,2314,4194,4157,4007,3614,2090,641,191,21208,38,81,74,88,118,161,143,41,743,1074,1195,1263,1143,1271,1708,1652,1132,10448,6110,18420,18446,15419,13015,10116,4704,1876,88105,296,4114
204,10,262,329,354,341,346,108,15,1767,3,74,218,249,277,280,94,9,1207,185,1142,1236,1110,1021,1108,384,84,6265,148,692,978,1080,1203,1172,463,93,5829,1553,3733,3655,3846,4070,3001,1320,320,21502,187,142,103,80,77,73,21,3,684,66,109,132,175,180,242,128,23,1059,1805,3986,3888,4104,4326,3322,1471,348,23250,12,34,26,48,57,65,48,16,310,916,807,826,889,1173,1214,851,341,7016,3086,6991,7502,7830,8396,7500,3416,921,45640,30,567,591,493,462,308,53,13,2515,56,448,553,608,591,436,125,13,2833,393,2190,2475,1987,1685,1353,477,119,10679,396,1307,1702,1870,1848,1354,581,143,9197,1106,2249,2170,2180,2040,1014,242,63,11061,181,220,206,224,253,161,47,12,1307,111,121,145,305,329,272,131,43,1457,1398,2587,2521,2706,2615,1444,422,113,13820,18,30,45,46,64,98,68,30,397,811,738,820,983,1183,1326,1237,691,7793,3094,7874,8703,8698,8451,6332,2954,1127,47237,41,830
205,20,391,474,457,525,516,220,31,2637,14,139,243,296,358,487,117,11,1663,350,1801,1754,1516,1562,1640,635,93,9353,198,1000,1377,1442,1717,1817,833,159,8555,2178,6191,5731,6104,6994,5685,2656,627,36163,243,240,199,127,129,114,40,14,1107,73,164,204,222,332,425,173,52,1640,2494,6591,6133,6451,7456,6218,2866,688,38904,22,54,75,62,68,116,83,18,505,1307,1358,1460,1567,1846,2034,1458,645,11684,4410,11349,11516,11793,13540,12815,6209,1654,73293,58,797,811,712,688,472,127,17,3680,89,617,754,769,828,649,177,18,3902,725,3567,3271,2626,2529,2166,823,158,15860,462,2174,2446,2720,2809,2271,855,211,13949,1614,4022,3574,3417,3247,1696,430,88,18090,273,341,385,363,412,304,63,16,2156,125,229,302,398,497,461,190,52,2262,2011,4594,4267,4183,4155,2466,688,154,22505,29,70,75,82,135,176,144,46,751,1289,1387,1457,1524,2066,2532,1954,1107,13315,4661,13204,13067,12604,13216,10737,4776,1712,73976,84,1189
206,903,15142,9904,5610,3939,2488,1116,171,39279,159,2173,2007,1724,1377,860,206,29,8533,7520,32289,18519,10541,7010,4526,1696,406,82504,2216,6109,4876,3444,2570,1808,764,198,21985,2114,7148,4576,3741,3372,1842,956,342,24091,299,406,242,192,122,67,27,4,1356,188,494,473,467,455,288,167,43,2568,2604,8043,5290,4397,3953,2202,1152,384,28019,171,555,354,207,169,134,103,24,1712,2430,5515,3507,2444,2041,1544,1137,595,19212,16009,69821,44455,28371,21052,13557,6170,1810,201239,1299,19021,11780,6241,4210,2387,686,110,45737,343,3864,3325,2992,2392,1515,409,47,14882,10633,37275,19101,11418,6968,4266,1608,409,91683,2585,6577,4848,4296,3438,2308,999,319,25373,1967,4040,2407,2163,1695,789,295,129,13492,339,396,259,263,209,166,43,15,1674,239,579,505,714,673,507,229,100,3540,2543,5016,3171,3138,2572,1459,567,233,18708,202,502,322,215,194,204,124,53,1817,2637,5445,3125,2156,1890,1690,1466,1037,19448,20239,77712,45667,30454,21666,13838,5856,2212,217649,2206,34164
207,325,4719,5169,4240,3405,2188,1084,245,21377,43,538,855,1071,1026,741,269,60,4609,3222,9196,8708,8069,6331,4243,2046,714,42534,1134,2037,1990,2304,2086,1818,1242,415,13026,1265,2296,1784,2461,2452,1540,1487,583,13877,177,132,100,98,93,52,40,11,709,113,163,195,295,326,263,189,78,1620,1551,2589,2078,2851,2873,1854,1721,676,16202,72,152,173,154,171,163,130,45,1057,954,1360,1056,1015,831,800,781,567,7363,7308,20601,20031,19704,16717,11804,7275,2724,106171,438,5799,5802,4041,2452,1347,490,129,20497,109,983,1471,1929,1746,1145,420,98,7898,3993,10529,10546,9685,6447,4031,1976,663,47874,984,1990,2464,3420,3258,2547,1453,592,16718,867,1130,1001,1468,1448,782,433,174,7299,158,125,135,184,206,134,76,30,1044,112,143,257,533,592,580,370,162,2751,1131,1398,1385,2188,2244,1497,887,356,11096,77,137,164,189,204,212,190,100,1270,883,1193,1069,1021,962,1190,1353,1236,8907,7618,22033,22897,22475,17317,11970,6781,3163,114256,766,10520
208,245,3859,4690,4090,2851,1744,763,172,18420,44,546,997,1236,1009,743,207,49,4823,2527,9168,9953,9225,6519,4224,1787,522,43918,828,2254,2905,3310,2593,2133,1098,411,15528,1412,3818,3566,4246,4054,2654,1645,665,22070,202,145,149,109,105,64,35,3,821,96,190,321,465,457,380,204,62,2177,1710,4160,4033,4825,4623,3102,1886,729,25068,50,161,198,209,172,191,123,74,1170,850,1443,1285,1228,1006,1032,924,605,8382,6258,21586,24066,24118,18771,13168,6786,2562,117311,263,5015,5814,4136,2287,1306,385,94,19297,115,1187,1818,2367,1907,1210,357,71,9040,3361,11675,12343,11056,6618,4058,1638,563,51310,1049,2626,3527,4694,3811,2848,1392,517,20458,1038,1720,1835,2349,2179,1184,477,223,10999,202,166,208,264,293,201,78,17,1437,132,222,434,705,803,656,391,212,3560,1370,2107,2474,3320,3275,2047,950,448,15996,48,138,209,219,227,259,176,117,1385,767,1330,1303,1276,1182,1581,1621,1537,10599,6971,24083,27495,27078,19296,13302,6520,3344,128087,504,8877
209,312,4495,5218,2732,1744,1130,458,70,16163,52,643,1041,998,771,568,158,22,4259,2375,9708,10015,6159,3962,2612,857,211,35903,1289,4169,4937,3965,2776,1900,821,156,20017,3384,8505,7908,7856,6548,4233,2197,592,41218,383,355,270,224,170,82,29,3,1518,188,372,526,591,477,373,162,46,2744,3958,9228,8709,8668,7197,4687,2388,643,45486,98,242,310,192,163,139,84,21,1246,1803,2382,2156,1831,1539,1384,1126,606,12825,9901,30874,32382,24540,18159,12421,5898,1733,135904,394,5757,5782,2730,1469,771,228,30,17168,175,1851,2402,2100,1435,792,200,29,8996,3369,13575,12950,7749,4318,2670,813,203,45650,1561,4975,5912,5321,3694,2119,704,223,24517,2169,4545,4391,4174,3277,1333,370,121,20385,389,378,432,411,384,222,54,14,2288,255,447,657,954,978,628,235,85,4248,2817,5372,5478,5542,4636,2194,659,225,26917,87,213,265,208,217,204,116,45,1346,1460,2250,2085,1733,1742,1826,1554,1099,13752,9876,33998,34877,25379,17512,10580,4281,1852,138349,716,10254
210,177,3086,3398,1446,839,494,149,18,9602,49,419,632,523,425,288,55,8,2403,1753,7224,6650,3602,2311,1324,424,89,23381,1060,3653,3896,2691,2036,1267,470,108,15182,2678,7002,6101,5790,5048,3039,1685,499,31832,303,309,232,181,130,82,23,5,1264,168,356,460,407,379,228,123,34,2151,3156,7665,6795,6377,5556,3345,1824,531,35250,75,187,253,166,129,95,59,19,982,1747,2593,2179,1639,1407,999,853,444,11861,8017,24837,23802,16440,12704,7820,3837,1223,98666,262,3754,3490,1342,692,308,59,4,9907,194,1385,1491,1178,687,364,103,14,5406,2471,9948,8505,4670,2531,1315,403,91,29930,1254,4268,4607,3762,2476,1252,443,87,18150,1597,3871,3540,3232,2390,971,251,90,15942,291,390,401,311,286,150,44,6,1882,252,460,557,755,636,345,160,49,3207,2145,4717,4498,4305,3316,1455,457,141,21039,63,205,212,172,141,132,83,36,1033,1477,2266,2041,1659,1423,1394,1234,844,12342,7856,26551,24842,17083,11263,6225,2777,1206,97814,436,6839
