SA4_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
201,1867,1587,1208,668,188,53,7163,468,1537,1605,1719,1509,984,243,29,8092,181,417,439,357,274,201,56,23,1957,294,787,622,493,346,236,81,27,2882,10,10,9,4,3,12,5,0,50,32,84,144,143,85,94,29,14,621,701,721,675,784,748,909,813,540,5887,3015,8284,8730,8248,7238,5609,2433,977,44530,106,348,373,371,306,231,82,22,1844,147,511,585,337,250,132,28,0,1983,536,1755,1771,1981,1989,1761,853,202,10837,495,1284,1032,816,758,538,272,71,5268,234,493,539,542,478,282,130,26,2727,661,2132,1868,1862,1950,1437,590,174,10677,250,1418,1523,1479,1467,1730,749,172,8779,503,2070,2885,2700,2143,1343,405,93,12137,654,2102,2111,2344,2006,1498,382,69,11167,362,747,762,589,461,353,120,29,3430,424,1135,982,793,568,389,140,44,4467,18,19,17,14,7,11,6,0,91,57,214,293,317,192,204,76,26,1362,1433,1506,1418,1694,1604,1846,1527,856,11879,5870,15738,16149,15849
202,1522,1424,1160,595,220,66,6392,429,1402,1616,1625,1483,972,241,36,7799,120,373,446,385,258,199,66,21,1863,328,736,567,415,318,195,90,18,2661,14,11,8,7,9,3,0,4,57,19,80,153,150,110,86,28,8,642,622,698,708,777,789,862,865,711,6036,2767,7912,8417,8126,7308,5639,2655,1152,43977,74,299,373,406,291,290,144,22,1893,78,342,452,312,218,130,36,3,1576,492,1723,1620,1857,2029,1804,922,229,10669,342,1115,968,928,795,593,264,88,5102,164,451,560,646,538,307,124,32,2821,673,2354,2014,1875,2067,1510,613,179,11280,276,1299,1530,1496,1477,1796,837,154,8860,457,1807,2471,2392,1988,1258,448,112,10928,599,1878,2185,2274,2036,1493,454,68,10984,238,641,738,649,433,380,128,36,3252,414,1086,895,684,528,327,147,25,4101,19,22,10,15,11,8,4,8,102,38,173,300,313,241,185,73,19,1339,1285,1479,1453,1651,1671,1729,1577,1117,11966,5150,14657,15574,15496
203,3950,3220,2272,1386,465,135,14997,1073,3160,3187,3082,2600,1616,449,68,15243,455,1106,1039,676,460,272,109,37,4162,603,1439,1240,922,649,451,224,46,5577,21,21,13,5,5,11,3,3,80,56,217,301,282,216,142,41,20,1275,1072,1227,1289,1117,1094,1370,1362,969,9496,6110,18420,18446,15419,13015,10116,4704,1876,88105,486,980,980,876,701,576,246,42,4893,288,1029,1083,631,426,253,37,3,3744,1115,3939,3441,3860,3898,3622,1783,543,22196,1053,3724,2727,2008,1544,1000,519,165,12730,302,676,831,740,587,392,208,55,3787,1303,5354,4351,3612,3493,2616,1037,347,22111,571,2894,3208,2666,2890,3322,1522,319,17396,1132,5013,6597,5435,4148,2948,1040,241,26558,1537,4460,4355,4183,3538,2384,760,130,21341,821,1788,1708,1099,677,496,171,51,6813,815,2243,1962,1425,1003,662,312,80,8505,44,47,21,16,14,19,11,3,168,114,449,618,576,454,324,129,48,2718,2341,2776,2643,2481,2326,2676,2369,1486,19099,11923,35364,34535,29593
204,1752,1802,1499,814,274,68,7844,444,1321,1498,1591,1609,957,225,31,7679,105,284,323,224,204,132,51,31,1354,360,803,716,613,451,306,125,28,3395,25,16,6,4,5,11,0,0,77,22,86,100,144,111,69,30,9,567,844,745,819,951,1030,1061,1021,638,7107,3094,7874,8703,8698,8451,6332,2954,1127,47237,66,233,359,373,332,354,101,16,1836,75,219,305,227,206,136,29,0,1199,681,1957,2162,2386,2692,2367,1074,262,13576,459,1234,1035,976,1007,754,312,92,5868,283,668,787,846,754,509,188,50,4087,552,1991,1890,1856,2141,1654,669,217,10976,276,1299,1501,1449,1611,1900,825,130,8985,511,1927,2606,2739,2429,1588,546,126,12471,651,1761,1931,2058,2049,1395,388,60,10287,198,485,498,368,334,236,87,45,2253,520,1209,1124,968,762,483,193,37,5304,42,30,15,7,11,11,4,3,125,62,208,246,337,281,191,103,33,1446,1798,1644,1741,1926,2253,2269,1853,979,14453,6179,14862,16204,16535
205,2546,2397,2130,1371,445,115,11543,717,2345,2296,2581,2687,1763,411,64,12876,180,525,465,324,362,249,95,28,2243,496,1531,1134,907,732,509,217,29,5558,10,14,9,12,16,7,4,0,68,35,118,162,170,175,116,47,14,844,1285,1438,1497,1480,1786,2053,1635,1008,12182,4661,13204,13067,12604,13216,10737,4776,1712,73976,163,427,454,462,464,436,156,26,2599,105,425,501,304,332,232,45,9,1954,1141,3373,3257,3860,4862,4555,2194,524,23771,659,2114,1770,1680,1755,1390,645,174,10169,321,955,1192,1110,1003,571,193,44,5396,792,3011,2650,2506,3096,2617,1027,263,15958,442,2030,2195,2167,2502,3015,1350,218,13921,680,3046,3687,3511,3351,2538,899,179,17901,972,3000,2958,3285,3444,2494,679,118,16947,329,860,738,519,554,468,175,43,3681,692,2052,1686,1397,1170,807,350,56,8209,17,22,15,22,27,14,8,0,129,97,264,372,379,435,328,149,45,2072,2672,2970,3108,3196,3766,4087,3108,1667,24563,9076,24549,24585,24399
206,11371,7754,4259,2049,543,174,47057,3014,13734,8578,6234,4576,3093,1086,214,40523,2951,9829,5033,2585,1446,664,254,82,22849,1022,2764,1545,1076,702,372,179,46,7705,113,43,18,17,22,16,12,4,247,599,1532,1129,939,594,351,138,41,5329,2645,5666,3238,2145,1739,1443,1259,969,19106,20239,77712,45667,30454,21666,13838,5856,2212,217649,3107,6868,3779,2619,2016,1234,534,107,20274,1811,7879,5816,2577,1344,483,72,9,19989,2053,12530,6664,4372,3691,2559,1351,504,33719,1359,7418,4111,2726,1775,886,422,112,18812,421,1510,965,643,468,252,90,21,4370,2493,15238,8046,5036,4337,2888,1353,420,39810,790,6164,4009,3591,4265,3928,1475,314,24536,7070,31898,21895,14542,8720,4488,1448,360,90423,4485,21628,13736,9947,7497,5387,1995,398,65071,4726,16910,9116,4624,2526,1184,442,109,39645,1699,5228,3000,1842,1217,572,264,62,13888,203,104,49,26,36,34,18,9,482,927,2690,2042,1610,1043,586,243,63,9200,5111,11479,6883,4662,3781,2908,2322,1540,38674,36247,147531,90124,58829
207,7632,6978,4206,2146,901,364,29940,958,3006,3112,3711,2916,2023,952,276,16946,884,1752,1379,1035,640,383,178,97,6346,390,790,796,790,511,340,212,80,3909,44,16,20,14,23,30,18,12,166,168,312,427,563,372,258,144,66,2314,884,1275,1074,1013,875,916,1016,1041,8097,7618,22033,22897,22475,17317,11970,6781,3163,114256,1179,1858,1599,1845,1886,1298,763,215,10648,818,2716,4081,2667,1626,542,78,10,12541,919,3856,3909,4030,4023,3095,2226,867,22934,632,1853,1530,1604,1258,731,579,183,8368,175,395,365,369,304,204,117,46,1980,1563,5584,4697,4534,4184,3033,1794,805,26194,422,2269,2016,2704,3192,3295,1975,567,16440,3233,11484,13495,12863,8637,4848,2225,785,57561,1592,4751,4671,5682,4598,3446,1697,491,26928,1508,3041,2221,1629,1042,611,295,150,10498,623,1399,1353,1220,851,517,307,107,6378,85,61,52,27,36,53,24,14,344,281,608,730,908,663,435,241,97,3963,1888,2768,2225,2085,1735,1673,1732,1556,15649,14927,42636,42936,42171
208,8389,7971,4481,2407,916,421,31705,1010,3787,4472,4707,3322,2219,830,210,20560,863,2101,1860,1427,866,449,230,103,7892,454,1100,1076,1068,787,525,276,105,5387,26,20,13,18,11,26,8,7,126,165,402,586,769,412,257,122,59,2770,748,1350,1347,1194,979,1165,1246,1304,9338,6971,24083,27495,27078,19296,13302,6520,3344,128087,923,1773,1910,2214,1829,1152,489,143,10444,525,2583,3802,2706,1556,598,83,7,11868,874,4035,4333,4718,4741,3683,2257,928,25570,712,2682,2410,2317,1677,1062,496,198,11555,179,517,475,543,402,192,76,35,2418,1227,5602,5078,4857,4141,2890,1519,690,26003,528,2923,3069,3889,4149,3816,1684,509,20566,2596,10822,15309,15118,9173,5236,2147,789,61188,1602,5874,6561,7141,5074,3727,1461,363,31799,1455,3483,3041,2298,1421,788,378,137,12995,678,1738,1771,1644,1177,720,400,130,8252,56,42,32,31,21,35,19,8,241,247,693,991,1223,750,468,234,104,4718,1624,2913,2774,2487,1955,2090,2072,1865,17786,13224,45670,51559,51191
209,8171,5907,3662,1741,488,160,28314,1567,5555,6144,4858,3489,1788,477,84,23964,823,2274,2039,1165,514,270,106,35,7219,880,2389,2218,1601,949,502,179,44,8765,31,30,16,23,18,16,11,3,148,132,553,742,559,336,188,63,22,2603,1446,2296,2122,1651,1506,1485,1300,1004,12805,9876,33998,34877,25379,17512,10580,4281,1852,138349,1018,2443,2549,1969,1396,935,371,67,10751,887,3678,4882,2129,942,365,43,0,12933,1770,6890,7496,6614,5960,4252,2153,587,35727,1431,4391,3572,2892,1909,1081,570,150,15981,279,832,915,736,475,229,99,12,3587,2134,7912,6669,4759,3575,2242,809,289,28387,857,4733,4752,4176,3573,3007,1133,244,22470,2588,12054,14414,10422,6639,3590,1121,289,51114,2335,8059,8594,6930,4951,2745,803,157,34567,1477,4087,3645,2054,946,486,194,53,12945,1325,3721,3702,2409,1413,759,297,91,13715,78,71,52,30,41,31,24,4,335,260,1049,1423,1100,704,417,155,49,5155,3336,4956,4592,3697,3144,2867,2403,1599,26586,19769,64873,67256,49918
210,5969,4029,2509,1068,332,105,20424,1302,4392,4370,3307,2096,950,221,29,16659,456,1290,1075,549,239,111,66,18,3797,658,1889,1634,1067,715,393,119,28,6508,40,26,26,13,21,23,3,5,157,107,437,552,325,206,121,33,10,1787,1438,2305,2107,1623,1254,1123,1077,779,11704,7856,26551,24842,17083,11263,6225,2777,1206,97814,702,1562,1602,1100,673,416,137,24,6211,674,3012,3566,1331,526,211,29,0,9345,1391,5858,5657,5027,4763,3019,1616,490,27822,1278,3541,2586,1826,1134,655,313,95,11425,174,560,556,448,336,154,64,15,2314,1503,5577,3919,2651,1983,1132,452,115,17331,778,3965,3582,2943,2377,1630,612,116,16002,2024,9722,10748,6988,4490,2156,625,171,36930,1983,6230,6002,4497,2955,1445,376,61,23544,852,2293,1867,931,437,206,116,29,6728,983,3061,2920,1663,1094,570,232,52,10572,72,58,53,25,33,39,12,5,300,211,830,1079,671,457,282,101,38,3673,3270,5116,4502,3414,2709,2113,1938,1214,24273,15877,51388,48644,33526
