SA4_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
201,3610,678,4317,27129,9362,1038,37532,95708,9614,142855
202,3700,788,4517,26651,9461,972,37079,90723,9901,137698
203,6833,1061,7951,55027,18306,1726,75060,177886,15734,268681
204,4327,635,4995,27080,9886,1067,38035,103832,11412,153276
205,6671,1213,7929,42224,16950,1847,61022,168957,19838,249821
206,8595,1176,9883,73533,19332,1481,94350,422174,33532,550062
207,11111,1056,12274,63279,16904,1003,81193,221232,12228,314649
208,11035,1192,12330,76657,19052,1543,97253,238247,13986,349489
209,9173,1248,10509,98133,23854,2047,124045,292106,21022,437166
210,6926,826,7813,74556,16485,1472,92512,224127,19587,336226
211,10254,1478,11817,92998,28296,2610,123901,285235,16862,425997
212,14223,1726,16090,152917,34788,3370,191080,459523,38339,688939
213,8959,1208,10261,160399,31087,3077,194560,428813,45374,668748
214,7514,1450,9042,50329,17879,1750,69959,169218,15703,254875
215,4169,732,4936,21324,8017,874,30216,86624,11699,128539
216,3352,599,3977,19748,7054,699,27499,75855,9386,112743
217,3249,523,3801,18627,7312,700,26647,72201,7416,106267
297,0,0,0,0,0,0,0,12,27,38
299,17,17,29,695,281,39,1013,3668,3262,7946
