SA4_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
201,1762,4187,2975,2266,8083,10179,3109,6705,752,40026,28,196,130,94,85,133,30,128,12,840,4,8,10,4,10,19,5,13,0,76,91,346,215,121,383,286,78,107,10,1635,7,13,19,16,49,57,7,19,0,193,51,221,186,90,168,154,21,32,6,928,29,76,62,33,95,84,12,15,4,403,303,1424,887,461,616,377,113,118,39,4340,382,1442,478,181,279,159,46,123,37,3122,48,112,108,66,176,112,18,46,7,698,44,60,60,29,91,73,51,33,0,439,59,49,92,60,172,146,38,53,0,681,8,61,52,37,112,86,22,38,7,424,82,300,328,214,386,357,90,132,9,1899,81,356,226,106,174,85,11,36,22,1096,182,236,329,243,706,512,138,172,17,2519,310,948,931,642,1087,617,325,623,31,5516,814,1696,2240,2017,1888,1445,285,459,76,10922,81,210,113,76,113,90,30,53,4,774,107,329,257,134,203,125,24,54,21,1247
202,1697,4101,2790,2423,7764,9592,2874,6595,692,38526,30,175,145,72,104,148,38,140,24,865,13,19,16,15,15,35,16,35,3,163,100,351,223,168,391,336,89,115,13,1795,16,12,33,36,43,70,12,16,0,238,33,203,133,94,188,171,22,53,5,902,26,69,64,40,87,59,9,26,3,381,344,1455,834,372,578,309,72,128,49,4155,303,1278,452,197,224,177,35,111,40,2812,39,110,100,49,99,81,9,49,5,552,27,70,60,29,70,46,15,31,0,345,85,100,193,113,394,224,64,89,7,1269,19,57,46,30,130,73,15,34,6,392,87,338,310,222,397,288,81,138,3,1871,84,385,211,103,234,83,14,47,16,1182,177,233,313,262,652,473,116,170,20,2423,264,917,856,557,951,547,274,523,32,4930,813,1657,2253,2011,1828,1374,311,486,83,10827,67,185,126,73,102,71,15,33,0,670,123,340,265,138,192,111,41,53,5,1269
203,3481,8809,5720,4329,15849,21539,6160,12520,1302,79722,35,215,128,84,98,103,20,105,17,802,3,4,11,6,0,15,3,11,0,49,110,570,359,196,508,504,99,168,26,2548,40,36,65,47,158,108,22,34,3,520,71,439,335,211,340,409,77,124,22,2032,72,142,157,107,268,228,59,71,3,1116,752,3074,1778,836,1414,940,208,299,82,9378,759,2835,983,387,478,343,62,166,61,6086,110,208,218,97,220,223,63,88,20,1250,56,116,93,51,112,83,38,45,8,605,168,158,337,283,694,583,111,170,13,2508,40,142,117,94,299,210,35,75,12,1019,215,751,738,482,946,876,204,369,25,4601,180,836,392,195,347,206,40,66,16,2280,405,499,664,473,1314,1057,267,358,33,5069,605,1963,1868,1147,2166,1377,615,1075,79,10896,1482,3677,4505,3657,3665,2486,546,792,151,20960,167,365,196,99,164,109,32,74,7,1212,284,756,571,256,385,275,58,104,27,2722
204,2006,4302,2954,2412,8360,11313,3354,8238,986,43930,95,361,319,196,227,322,74,355,49,1995,5,7,5,11,7,12,3,7,0,56,140,359,255,163,427,425,88,135,20,2018,6,18,16,10,32,28,4,11,0,123,62,241,186,108,218,224,48,93,11,1180,27,77,70,55,105,98,28,33,8,498,321,1379,882,522,710,447,109,196,68,4646,446,1460,502,238,351,237,50,248,60,3596,43,155,157,79,175,139,40,75,13,879,11,55,35,7,59,38,12,12,0,239,47,66,104,100,194,146,31,58,12,756,25,65,60,46,129,77,16,33,3,456,77,275,320,207,352,283,101,147,16,1780,103,428,216,120,228,109,31,55,22,1329,216,306,383,307,815,773,177,185,34,3203,308,807,854,643,1134,660,304,612,54,5384,781,1540,2192,2025,1709,1374,284,479,105,10490,53,135,82,46,111,71,18,33,9,558,140,319,238,120,201,153,40,60,25,1294
205,3127,6629,4566,3704,12295,15884,4943,11978,1605,64738,130,659,549,322,356,439,108,619,87,3263,8,16,14,12,25,33,18,19,3,147,98,427,309,187,466,302,99,113,33,2032,24,58,70,46,212,145,34,53,5,647,67,384,256,146,318,331,56,96,15,1680,41,146,115,80,162,147,38,38,0,770,532,2379,1466,744,1059,586,135,209,94,7205,595,2124,800,295,371,282,58,233,83,4836,54,200,230,122,131,136,38,78,14,1016,35,81,65,42,117,54,14,23,3,431,94,146,183,110,301,200,46,75,6,1152,45,104,100,86,265,148,27,47,5,828,122,508,413,287,473,402,113,191,18,2538,147,641,335,171,282,143,30,47,37,1836,337,452,628,378,1140,796,206,286,28,4253,492,1518,1418,1029,1487,901,441,923,79,8281,1251,2790,3652,2927,2543,1899,409,691,157,16320,137,340,167,107,189,80,15,43,15,1085,227,607,450,254,374,229,47,99,39,2337
206,7457,19163,16186,9963,36277,49737,13354,29977,2380,184483,24,77,85,39,72,76,16,30,0,419,12,12,22,8,34,63,12,54,0,219,181,655,552,349,1127,1269,376,581,20,5109,45,52,88,85,395,381,122,157,3,1328,111,351,417,233,690,1056,249,519,11,3647,118,298,332,190,805,912,234,356,3,3241,1341,4210,2572,1213,2814,2177,633,963,110,16041,1812,5606,2940,1042,1509,956,273,443,180,14768,194,349,371,188,674,771,182,302,25,3060,219,400,406,312,1017,1150,342,655,17,4523,426,466,587,580,2422,3447,792,1479,37,10236,125,295,336,197,843,864,177,381,10,3229,995,2234,2455,1998,6021,7869,2145,3771,110,27600,280,1093,1389,453,1304,1140,262,399,43,6355,690,609,934,966,4137,2928,966,1434,60,12728,1048,4249,2944,1842,4449,3840,1499,2765,116,22753,1774,4579,5251,4940,6270,6553,1560,2293,162,33373,637,1063,736,424,836,878,206,458,40,5273,617,1200,1109,561,1120,810,204,327,43,5994
207,3427,11859,7907,5056,17104,24913,6562,15969,1260,94056,10,49,29,28,34,39,7,12,3,210,4,4,9,8,14,27,9,24,0,96,120,559,353,240,644,558,187,268,13,2936,21,16,47,65,132,162,41,57,0,543,59,333,319,175,336,470,100,194,18,2003,98,303,313,184,520,585,115,210,3,2338,779,3243,1734,728,1412,1106,223,462,77,9773,604,2661,1101,374,524,379,97,197,54,5984,85,217,171,99,278,297,71,116,12,1338,69,195,132,104,334,325,88,163,11,1417,218,318,557,371,1084,1687,334,639,26,5240,66,285,282,174,432,479,76,157,15,1967,346,1334,1387,924,2201,2617,589,1205,31,10637,139,596,455,173,444,347,80,134,14,2374,217,387,453,373,1275,965,261,392,11,4334,604,2762,1850,1089,2106,1810,705,1353,44,12322,985,3802,3914,2980,3383,2941,678,1173,125,19974,216,486,199,118,184,189,39,73,8,1510,269,734,590,301,455,356,68,127,18,2922
208,4009,12095,7808,5498,19686,30885,9014,21030,1346,111364,7,38,39,35,55,39,15,23,0,248,9,8,10,5,16,39,15,19,3,131,152,695,537,393,882,902,245,437,17,4261,31,35,61,65,195,223,52,88,0,746,108,480,430,262,564,681,136,260,18,2945,105,282,355,274,672,626,172,269,9,2759,915,3500,1888,913,1650,1315,370,573,82,11200,747,2861,998,356,482,374,102,221,55,6190,111,236,240,117,352,388,84,163,16,1696,125,180,182,136,390,471,131,253,8,1866,291,371,577,532,1126,1882,401,733,21,5938,79,303,317,198,501,531,137,228,15,2309,526,1616,1679,1178,2271,3107,727,1518,57,12676,172,642,503,258,543,530,134,222,20,3023,370,415,724,565,1658,1249,331,548,37,5893,775,3235,2440,1504,2670,2246,955,1894,88,15818,1187,4100,4526,3524,3900,3354,778,1134,148,22646,298,629,313,156,245,282,64,140,11,2141,339,865,671,380,558,362,127,159,27,3501
209,5087,13374,10340,7524,31575,38774,10111,18910,2583,138284,22,93,91,75,120,89,27,45,21,582,4,5,7,4,10,30,11,14,0,82,221,880,753,474,1542,1087,244,310,46,5563,35,39,95,61,288,199,43,44,5,814,131,679,604,346,676,801,155,238,32,3645,108,288,309,226,719,528,117,150,10,2468,1178,4344,2618,1190,2244,1260,311,395,122,13659,842,3402,1389,447,685,463,93,205,102,7633,209,372,461,217,708,611,158,152,37,2926,126,220,168,141,432,317,75,148,9,1622,292,283,533,399,1318,1550,273,427,27,5105,81,192,222,117,527,386,83,115,11,1727,393,1183,1338,871,2063,2024,429,728,47,9074,235,1015,825,346,874,502,110,142,38,4084,551,685,942,785,2518,1664,454,606,59,8269,952,3200,2955,1869,3770,2237,1013,1846,118,17961,1918,4949,6168,5273,6049,4576,796,1330,223,31280,332,637,312,177,314,222,44,101,12,2158,525,1099,918,418,731,498,108,166,47,4500
210,3699,9780,8433,5518,24158,27878,7204,13438,2516,102630,13,65,63,32,69,80,13,43,4,387,3,5,7,8,4,13,4,10,0,51,163,603,517,338,1157,837,171,268,36,4080,29,34,39,53,191,166,32,36,8,592,101,430,412,254,523,629,106,194,35,2680,69,191,217,156,525,434,66,87,8,1764,839,3120,1911,885,1573,823,188,250,90,9680,626,2375,973,333,502,301,75,130,72,5383,301,446,533,275,953,760,183,230,46,3724,79,133,102,69,242,183,42,79,3,928,230,205,407,288,1146,1160,185,293,28,3954,66,156,153,96,390,258,54,75,15,1258,252,684,814,478,1439,1278,255,420,36,5664,169,805,656,253,698,393,77,129,36,3220,421,504,766,523,1939,1223,297,442,52,6155,669,1990,1982,1350,2728,1603,651,1129,108,12201,1157,2968,3671,3148,3877,2669,436,784,186,18900,198,337,168,101,217,140,25,49,13,1247,387,652,588,270,487,296,57,135,35,2896
