SA4_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
201,85041,88886,173937,4685,4634,9323,11242,10513,21757,5205,4920,10126,4790,4708,9501,10228,10476,20702,9803,10704,20511,10917,11587,22505,11043,11909,22951,10169,10869,21034,5341,5865,11207,1624,2696,4317,81463,85630,167090,3578,3261,6840,1425,1484,2907,56,51,106,36,27,64,1517,1558,3080,70303,73685,143983,9501,10001,19505,74854,78822,153675,4920,5157,10077,76199,80202,156402,1393,1406,2796,10424,9821,20250,3748,3770,7520,1322,1792,3115,2080,3904,5982,30246,37348,67596,10316,10618,20931,13565,11624,25194,6032,5279,11310,3663,3543,7208,275,227,501,78034,82079,160109,6267,6275,12548
202,81803,85960,167764,4680,4467,9144,10807,10116,20919,4738,4656,9392,4438,4352,8790,9464,10002,19470,9523,10373,19900,10303,11037,21340,10704,11797,22501,10026,10588,20611,5342,5839,11184,1781,2737,4517,78614,82898,161505,3192,3066,6256,1561,1573,3138,60,57,117,32,36,75,1653,1669,3323,67984,71767,139745,8656,8984,17639,71622,75762,147380,4635,5039,9668,73023,77391,150414,1331,1237,2574,10011,9425,19437,3444,3556,7005,1234,1649,2882,1791,3520,5316,28997,36139,65130,9754,9885,19640,13144,11300,24442,5501,4864,10370,3509,3507,7017,411,397,806,74880,79251,154130,6410,6255,12661
203,160063,167815,327878,9727,9204,18936,20748,19515,40257,9408,8967,18372,10003,9533,19539,21876,21849,43726,20360,21909,42274,19673,21052,40725,18661,20919,39586,17397,19209,36603,9172,10747,19915,3048,4904,7951,153168,161362,314522,6897,6454,13350,1902,1898,3798,58,55,113,49,50,106,2011,2005,4019,125544,132390,257934,26606,27558,54161,134428,142627,277053,16698,17304,34001,140394,149701,290092,2985,2789,5778,19503,18366,37869,7278,7294,14573,3769,4344,8107,4833,7606,12440,66542,78542,145083,19637,18661,38300,20969,18668,39632,8371,8219,16592,5424,6041,11467,813,857,1673,147167,155603,302768,11139,10981,22121
204,91165,93770,184935,4703,4662,9364,11414,10877,22291,5517,5049,10563,4595,4106,8704,9700,9890,19590,9852,10723,20571,11275,12199,23472,13068,13837,26908,12546,12421,24963,6561,6958,13515,1946,3050,4995,86616,89700,176320,4553,4071,8619,1812,1958,3771,61,65,126,42,57,97,1923,2074,4000,75138,77047,152185,9324,10203,19530,80408,82777,163188,4477,4991,9467,81698,84261,165961,1360,1386,2748,10459,10024,20477,3793,3784,7579,1062,1271,2336,1784,3699,5482,29015,36722,65745,12342,11873,24211,16603,14019,30625,6537,5405,11942,4045,3716,7766,345,315,656,81810,85160,166970,10587,9924,20510
205,147833,153015,300848,7975,7683,15659,18283,17087,35369,8120,7793,15913,7068,6672,13743,15931,16790,32721,15772,16752,32526,17328,18848,36176,21171,23021,44190,21666,21864,43532,11297,11790,23088,3215,4716,7929,140188,146103,286288,7647,6914,14564,2778,2745,5522,98,88,186,48,63,111,2924,2894,5819,118674,122120,240797,17853,19526,37384,129834,134649,264484,6925,8067,14994,130995,136125,267122,2214,2061,4280,16678,15578,32252,5574,5761,11338,1413,1962,3375,2386,5614,7998,43646,56647,100296,20913,20337,41254,27588,23156,50747,11405,10022,21432,7011,6842,13855,547,546,1096,133235,139275,272514,13226,12625,25847
206,299941,317072,617018,12355,12015,24369,21580,21006,42583,11202,12229,23434,26641,30675,57314,80322,85196,165518,50981,50110,101098,35375,36623,72005,28011,29097,57113,19248,21595,40849,10415,12443,22859,3804,6077,9883,287879,303664,591542,12061,13412,25474,1559,1545,3105,60,50,112,67,62,129,1690,1653,3346,178397,184346,362743,105023,116390,221412,201600,205627,407221,81176,94637,175814,226596,238099,464699,3683,3610,7295,20349,19782,40134,9624,10731,20349,15031,17814,32846,21570,28761,50330,205272,222342,427613,16206,15055,31256,14221,12675,26894,5399,5316,10719,6020,8469,14495,1958,3229,5183,272802,289100,561906,26727,25113,51836
207,179806,193669,373472,8044,7705,15744,22054,21028,43076,12109,11605,23713,14010,13055,27065,24376,24394,48770,22670,25194,47868,23630,26853,50484,21188,23503,44690,16112,19137,35247,10853,13688,24535,4758,7512,12274,174685,188167,362856,5119,5501,10614,490,412,900,17,18,36,17,16,25,527,444,967,105140,108874,214019,68975,78833,147808,106386,110019,216411,67515,77385,144895,145032,154797,299826,2891,2768,5656,21212,20338,41548,11143,10823,21966,8583,8152,16733,7855,10124,17981,111959,121385,233342,10841,11986,22828,9843,10912,20758,5007,5508,10511,4613,6527,11137,1291,1736,3025,170376,182809,353180,7881,9111,16992
208,203350,219288,422639,10811,10453,21261,26610,25271,51881,12769,12339,25117,12430,11979,24406,25576,26776,52356,27721,30426,58144,29467,32552,62017,24358,26501,50866,18507,21564,40065,10679,13521,24201,4420,7908,12330,197263,212609,409874,6084,6681,12765,705,656,1353,42,31,77,20,17,36,765,704,1469,135623,142959,278589,61373,69462,130831,150958,159382,310343,45482,52456,97936,174687,187666,362348,3839,3739,7574,25534,24281,49812,11477,11297,22776,7030,7097,14128,6814,9984,16797,118684,132233,250914,15204,15821,31025,14045,14409,28453,5850,6014,11860,4477,5978,10454,884,1176,2064,193241,207209,400455,7830,9704,17536
209,266882,273777,540664,17800,16592,34396,35513,33583,69100,15777,14632,30410,17366,15866,33231,39505,40405,79907,40614,41601,82221,34656,36074,70726,28513,30997,59510,21396,23962,45359,11676,13627,25301,4066,6438,10509,260482,267417,527898,6404,6362,12764,2371,2460,4834,77,65,142,70,76,140,2515,2601,5114,174959,178681,353639,81085,84569,165657,168573,171343,339916,86780,91061,177843,226258,233078,459334,5585,5099,10679,33635,31817,65455,12938,12625,25566,7670,7987,15654,9747,14054,23807,129483,141912,271392,23451,21407,44858,25654,22200,47851,11195,10423,21612,10273,13402,23675,2791,3690,6482,253827,260424,514250,11875,12265,24139
210,210949,213385,424328,15502,14588,30088,29862,28145,58011,12944,11992,24940,14211,12776,26989,33196,33290,66484,31808,31796,63605,25501,26741,52242,21714,22592,44310,14669,16667,31338,8437,10075,18511,3093,4717,7813,206622,209205,415826,4324,4177,8501,1451,1347,2794,64,68,131,39,39,77,1556,1453,3010,126484,128168,254652,74048,75198,149241,112800,113298,226091,86436,88604,175045,172209,176367,348578,4182,4003,8187,27759,26119,53879,10244,10189,20435,5934,5948,11879,7377,10866,18250,93821,101154,194970,17871,16485,34356,21184,17833,39015,9719,8746,18465,9713,12115,21833,3118,4521,7636,199830,202468,402301,10297,9996,20292
