SA4_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
201,13,16,26,49,71,132,199,180,118,802,13,12,33,90,253,477,795,574,229,2486,463,1910,2466,2198,2174,1947,1259,511,291,13220,7,10,7,29,97,161,242,242,166,963,622,764,1130,1145,1482,1679,1459,756,456,9485,11664,5634,5655,5748,5704,5040,3467,1310,361,44571,1429,865,816,786,918,817,774,475,277,7152,15148,9628,10476,10704,11587,11909,10869,5865,2696,88886,38,139,469,975,2240,4187,5956,4014,1638,19653,2773,2282,2635,2604,2436,2384,2211,1158,381,18862,23,43,111,263,617,1316,2014,1417,493,6307,5,9,0,3,20,52,204,466,560,1312,71,144,262,548,1094,1996,2805,1781,569,9260,69,66,116,182,593,1497,2747,2289,1107,8661,37,30,53,93,140,254,429,365,212,1617,27,36,71,157,441,906,1556,1145,415,4756,1046,2984,3821,3486,3592,3312,2205,892,410,21746,15,20,30,61,191,371,608,568,300,2161,1535,1352,1718,1887,2499,2973,2597,1367,677,16610,23292,12253,12209,11689,11590,9950,6752,2511,635,90892
202,18,26,21,38,99,142,216,231,143,934,21,19,28,60,157,412,597,453,167,1922,435,1830,2308,2031,2045,1874,1167,531,330,12530,3,9,18,35,70,139,228,223,150,883,582,667,951,1096,1335,1516,1443,755,549,8890,11428,5361,5503,5693,5564,4917,3350,1231,364,43407,1339,782,784,824,903,948,758,575,429,7337,14583,9002,10002,10373,11037,11797,10588,5839,2737,85960,45,122,375,894,2029,4378,6018,4163,1695,19725,2334,1890,2331,2243,2121,2346,2122,1150,368,16900,39,46,76,228,546,1221,1985,1542,525,6209,6,0,11,8,24,58,208,425,610,1344,52,101,251,459,949,1729,2518,1561,528,8155,70,47,96,168,460,1324,2509,2206,1156,8020,46,42,52,77,160,273,462,486,253,1857,43,33,55,118,287,775,1169,906,328,3709,902,2794,3496,3236,3387,3105,2025,882,463,20292,16,18,29,64,132,312,541,516,295,1916,1430,1171,1509,1767,2257,2686,2580,1296,806,15490,22991,11536,11471,11491,11301,9675,6614,2454,642,88171
203,24,28,73,103,148,234,392,370,298,1667,36,17,54,90,247,624,953,795,392,3193,825,3377,4101,3585,3257,2811,1882,919,813,21571,10,11,28,58,149,204,362,425,314,1561,1021,1234,1866,2045,2251,2809,2571,1416,1138,16350,23045,11426,13356,13053,11682,9651,6852,2642,646,92358,2286,1499,1413,1481,1433,1346,1312,819,462,12048,28720,18497,21849,21909,21052,20919,19209,10747,4904,167815,52,194,620,1305,3004,6196,9052,6470,2848,29732,4501,3946,4612,4747,3976,3686,3627,1850,640,31588,55,89,181,465,996,2066,3421,2413,913,10594,0,3,10,15,31,98,407,1035,1331,2928,87,235,456,831,1808,3166,4491,2928,1027,15026,103,89,145,272,864,2296,4390,3793,2059,14014,59,64,114,181,269,450,787,755,468,3144,70,36,82,170,433,1110,1848,1504,698,5942,1718,5147,6248,5735,5383,4645,3222,1522,1113,34722,22,22,54,101,283,513,963,959,570,3494,2568,2285,2910,3207,3752,4680,4494,2476,1632,28000,46516,24913,28416,26231,23397,18771,13071,5002,1223,187535
204,16,11,33,51,78,187,272,259,194,1111,24,16,31,60,215,501,725,558,208,2339,430,1556,1908,1940,1952,1962,1266,510,318,11832,0,6,24,42,97,169,271,267,181,1061,605,522,874,1017,1309,1725,1548,911,623,9140,12105,5659,5666,5938,6352,6158,4165,1590,457,48103,1501,914,842,914,1060,1109,946,641,359,8276,15539,9160,9890,10723,12199,13837,12421,6958,3050,93770,34,95,385,895,2098,4657,6782,4632,1912,21481,2508,1922,2245,2469,2495,2659,2456,1301,455,18494,38,41,99,254,577,1423,2324,1695,586,7031,4,11,6,8,20,86,239,543,581,1495,48,127,219,480,1005,2150,3080,2030,650,9790,65,84,102,195,546,1678,3098,2736,1317,9816,48,45,57,93,172,350,562,579,323,2231,54,34,56,131,357,964,1491,1192,393,4666,914,2459,2915,3147,3307,3330,2328,991,464,19857,13,14,34,74,166,360,672,676,341,2339,1435,997,1407,1680,2210,3087,2819,1638,928,16202,24107,12644,12132,11946,12745,12236,8518,3195,814,98339
205,20,29,59,77,163,257,395,437,253,1684,25,35,55,130,397,967,1534,996,368,4516,701,2566,3379,3050,3200,3420,2296,926,542,20076,10,11,29,67,160,304,519,513,308,1920,864,955,1454,1694,2196,3000,2768,1487,893,15314,19118,8854,9501,9128,9500,9871,7076,2611,629,76278,2653,1422,1510,1602,1646,1852,1766,1118,684,14258,24772,14464,16790,16752,18848,23021,21864,11790,4716,153015,53,172,675,1469,3537,8120,12000,8123,2969,37117,4010,3014,3822,3715,3632,4131,4243,2264,594,29427,53,59,161,363,952,2257,3946,2828,885,11497,4,8,10,9,31,106,366,818,913,2263,86,211,399,745,1803,3724,5720,3705,1005,17391,100,91,184,330,971,2853,5812,4677,2078,17085,52,51,104,150,296,575,972,929,435,3546,61,58,113,233,685,1860,3035,2125,718,8901,1517,4058,5127,4849,5259,5665,4107,1637,768,32993,22,33,51,111,304,683,1239,1148,562,4158,2249,1797,2299,2686,3647,5354,5020,2714,1304,27073,38475,19089,19698,18698,19226,19547,14338,5245,1169,155493
206,30,41,144,127,173,271,330,397,283,1800,25,29,87,104,218,447,724,613,306,2549,470,7427,13741,6774,4296,3199,1879,1123,717,39627,7,21,50,79,116,188,336,425,363,1589,928,2595,6224,4171,3517,3500,3096,2131,1246,27405,28046,28488,56094,32467,22427,15153,8534,3149,966,195319,2331,3207,6152,3576,2716,2148,1497,979,655,23260,33016,42905,85196,50110,36623,29097,21595,12443,6077,317072,42,329,1432,1934,3432,6384,8203,6551,3373,31685,3345,6507,14399,9354,5805,4299,3308,1812,708,49537,72,132,644,988,1733,2820,3690,2617,1041,13745,4,7,21,12,31,92,342,1077,1409,2991,80,275,915,1267,1950,3350,4147,3320,1476,16787,111,142,381,479,1032,2486,4115,3895,2327,14973,66,95,276,273,363,592,753,828,520,3762,56,72,184,219,440,899,1449,1212,571,5104,936,10432,21285,11738,7719,5721,3184,1736,992,63732,30,32,98,162,260,529,849,981,668,3610,2229,4098,9571,7192,6235,6529,5441,3535,1938,46769,55984,56624,114072,67298,44935,29963,16138,6091,1673,392779
207,12,25,37,56,107,185,242,359,330,1359,19,15,34,40,117,208,462,655,391,1940,428,3219,2887,1992,2216,1706,1335,1080,945,15811,0,12,21,28,67,124,271,492,460,1474,820,1441,1581,1611,2284,2740,2750,2272,1754,17250,25058,17695,17576,18895,18215,13436,8133,3683,1182,123880,1328,1333,1341,1197,1353,1214,973,759,593,10083,28731,24659,24394,25194,26853,23503,19137,13688,7512,193669,29,164,387,736,2173,4474,6565,7200,4317,26048,3058,3914,3747,3333,3334,2857,2577,1994,938,25747,42,91,159,394,1131,2032,2989,2882,1377,11099,0,8,3,8,31,66,280,1139,1920,3460,70,193,301,690,1465,2796,3795,3387,1495,14193,90,117,121,214,716,1859,3436,4190,2978,13725,41,58,84,144,219,404,581,777,617,2931,44,34,56,88,231,433,868,1223,722,3688,901,4888,4647,3341,3675,2928,2107,1610,1274,25372,12,18,33,64,169,301,664,1035,823,3118,2113,2611,2578,2835,3937,4876,4774,3701,2626,30050,50257,37834,36210,35987,34564,25906,15019,6903,2115,244790
208,20,22,47,94,124,226,314,377,374,1609,21,22,25,59,179,391,773,791,486,2742,564,3437,3696,3242,3214,2577,1742,1134,1028,20641,5,8,25,47,127,154,321,421,487,1588,1021,1539,1988,2305,2943,3193,3038,2125,1729,19889,30790,16979,18304,21049,21066,14321,8430,3562,1238,135738,1980,1370,1494,1616,1749,1448,1267,904,679,12503,35726,24315,26776,30426,32552,26501,21564,13521,7908,219288,43,186,498,1114,2841,5549,8295,7216,4273,30009,3843,3931,4621,4980,4838,3808,3316,2042,906,32297,77,90,229,569,1494,2638,3810,2925,1488,13314,3,5,7,13,26,80,342,1119,1929,3516,97,218,379,763,1703,3060,4386,3289,1447,15338,110,92,119,289,885,2341,4406,4412,3113,15785,60,45,89,175,283,472,764,823,663,3372,53,36,57,115,334,774,1416,1406,822,5024,1113,5121,5719,5287,5401,4284,2851,1735,1359,32870,18,18,37,84,251,424,857,984,801,3473,2554,2769,3079,3772,4923,5526,5199,3497,2504,33825,61871,36233,37276,41202,41002,28076,15781,6523,2106,270065
209,37,54,87,153,231,325,488,542,370,2280,28,38,47,101,291,678,1006,818,397,3403,845,4144,5842,5138,4336,3666,2287,1330,950,28542,18,22,30,71,167,284,482,533,422,2028,1476,1786,2922,3468,3748,4270,3442,2171,1365,24656,42237,21235,27157,27502,21380,14819,8101,3054,865,166343,3461,2070,2516,2455,2311,1930,1483,993,748,17973,50174,30493,40405,41601,36074,30997,23962,13627,6438,273777,87,279,980,2103,4628,8738,11590,8790,3954,41158,6053,5366,7168,7205,5624,4574,3831,2173,803,42791,115,113,352,697,1588,2709,3762,2792,1034,13161,5,7,4,24,48,122,464,1246,1624,3540,174,311,731,1838,3381,5656,6949,4659,1642,25336,169,135,239,503,1375,3213,5270,4735,2491,18140,102,93,171,286,488,719,1053,1117,635,4670,77,75,110,203,534,1212,1949,1625,713,6503,1749,6155,9028,8338,7322,5959,3811,2089,1280,45732,47,41,52,150,362,684,1168,1249,756,4524,3728,3298,4683,5757,6586,7498,6046,3693,2030,43322,85433,45994,56250,56316,43184,29426,15894,5924,1538,339964
210,31,38,69,118,210,274,385,458,271,1859,35,18,53,88,263,551,785,644,277,2727,633,2573,3722,3196,3187,2777,1618,1032,721,19453,13,8,23,63,142,212,395,401,318,1570,1258,1243,2078,2550,3009,3199,2450,1634,1076,18501,35616,17752,23226,21215,15195,10162,5328,2072,599,131163,3403,1912,2398,2315,1986,1555,1105,710,418,15791,42733,24770,33290,31796,26741,22592,16667,10075,4717,213385,61,215,792,1723,3751,6763,8141,6289,3134,30872,5258,4259,5334,5111,4156,3540,2838,1688,634,32821,67,94,228,509,1009,2026,2570,2039,832,9374,11,5,15,16,46,134,382,1026,1290,2927,130,268,648,1683,3146,5244,5735,3882,1401,22136,168,101,203,437,1245,2855,3956,3650,1923,14548,100,72,147,242,400,629,873,895,506,3866,81,44,109,185,434,1081,1527,1278,554,5305,1317,3932,5728,5319,5220,4583,2685,1622,1030,31434,33,25,43,113,293,556,931,939,613,3537,3212,2439,3407,4235,5210,5742,4354,2701,1628,32926,71796,38208,48143,43903,30910,20614,10304,4136,1126,269140
