SA4_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
201,1708,104,242,12,151,39,118,621,31,3024,72,109,135,7,34,3,208,45,5,612,949,432,1506,86,478,332,683,1375,61,5895,142,114,192,0,128,4,138,75,11,801,890,189,3991,5,653,90,763,1161,83,7832,268,112,147,5,206,404,209,127,15,1488,1153,277,480,75,400,4101,249,712,30,7483,965,44,678,1382,142,847,105,1322,23,5507,286,107,161,43,606,179,1433,122,26,2950,129,326,144,13,268,77,18,23,13,995,231,432,18,14,530,69,0,3,18,1310,107,84,47,11,159,381,23,23,15,863,442,2171,506,20,826,45,14,28,34,4093,159,201,329,176,258,30,44,911,17,2124,648,977,249,1395,1345,19,137,215,89,5065,592,4484,202,1542,698,24,20,166,39,7766,702,5462,422,4686,1784,59,88,591,88,13885,214,285,232,307,111,68,14,242,27,1511,227,183,1311,464,229,49,47,245,12,2770,312,239,431,160,266,153,258,375,674,2868
202,1688,95,217,9,96,29,135,643,18,2932,111,172,280,12,51,3,503,101,11,1240,947,434,1438,93,454,364,602,1978,58,6368,160,143,171,0,199,14,143,53,14,896,917,164,3636,28,613,99,588,972,73,7092,262,124,99,0,202,340,214,97,8,1345,1117,270,456,96,330,3892,244,746,28,7184,713,28,562,1251,132,673,144,1303,28,4836,292,123,105,46,498,139,1237,111,23,2580,130,310,129,9,114,72,3,13,13,792,376,868,33,9,979,48,0,6,39,2350,87,80,37,10,126,354,13,37,16,757,464,2024,478,19,759,39,14,36,37,3873,173,209,292,167,206,20,22,991,27,2111,644,1142,205,1471,1062,18,151,249,69,5009,451,4237,150,1363,518,6,16,86,35,6871,720,5727,385,4361,1658,85,74,514,80,13606,230,338,139,322,85,40,16,105,12,1279,269,265,1276,365,281,38,39,196,15,2752,328,227,350,151,268,159,223,394,649,2757
203,1213,127,217,13,133,54,118,614,38,2529,54,52,82,0,31,0,145,29,8,407,1595,929,2408,205,689,578,1187,1660,120,9368,279,308,357,15,371,64,293,142,40,1867,2118,619,9680,16,1379,231,1282,2591,225,18147,764,493,528,8,476,643,684,330,34,3966,2496,978,847,147,853,8330,1041,1401,87,16182,1689,90,1352,3123,306,1511,167,2543,67,10844,671,373,343,162,1011,256,2810,368,71,6067,284,577,224,9,189,149,14,14,19,1481,823,1657,62,39,1741,113,12,25,92,4557,277,225,88,24,354,865,54,62,26,1982,1304,5188,1098,44,1874,136,35,81,91,9853,404,519,605,296,415,57,151,1988,40,4470,1262,2282,432,3444,2082,28,108,385,166,10190,1243,9447,415,2769,1288,31,67,218,88,15565,1501,10691,782,8632,3313,123,149,1023,184,26397,534,574,272,641,201,101,21,195,46,2583,471,427,2459,953,476,79,70,395,36,5377,720,685,693,273,564,336,618,632,1210,5734
204,3804,167,365,20,235,79,241,1232,60,6204,47,33,92,4,26,4,155,22,7,386,1157,495,1691,160,544,353,1020,1743,92,7260,103,71,216,0,121,14,177,60,11,767,1004,219,4342,41,762,92,952,1426,104,8942,313,107,178,0,227,440,271,168,11,1722,1151,216,552,78,385,4123,381,797,57,7745,1293,42,768,1534,216,693,109,1486,43,6185,417,120,206,112,631,164,1879,122,35,3690,97,160,109,8,62,61,7,9,0,520,145,364,21,3,588,40,0,4,23,1194,88,53,58,13,143,409,13,26,11,807,296,1582,496,14,774,35,17,31,35,3284,206,194,357,167,198,24,69,1243,16,2477,1085,1327,710,2020,1376,22,305,331,114,7291,538,3992,189,1608,591,13,25,171,38,7163,680,4508,438,4588,1502,57,60,714,81,12623,183,210,193,222,101,42,23,177,17,1151,216,209,1578,380,270,45,46,235,15,2997,409,233,493,176,305,179,298,425,836,3344
205,5437,234,521,30,336,93,561,2281,122,9604,124,109,461,10,61,4,444,79,18,1310,1059,432,2224,118,629,433,1157,1888,103,8046,373,440,1092,19,461,32,614,376,76,3490,1472,290,6771,57,1144,145,1518,2308,165,13863,502,184,268,11,306,721,419,236,20,2665,1827,281,833,87,562,6844,404,1114,49,12016,1443,46,975,2102,240,1112,121,2016,59,8121,412,131,227,78,851,225,2107,182,48,4264,175,299,217,0,214,136,19,26,11,1106,201,525,23,8,955,50,11,9,32,1814,160,99,84,24,325,671,27,61,24,1475,466,2197,820,27,1297,74,24,85,43,5028,204,313,550,230,337,44,106,1724,30,3529,1055,1773,447,2072,2096,26,134,452,159,8209,770,6045,263,2614,943,12,26,224,45,10940,965,6758,645,7497,2468,74,98,1061,155,19716,310,456,208,451,181,85,10,206,37,1948,354,309,2553,648,493,84,83,533,39,5100,570,345,807,279,477,277,454,651,1336,5186
206,422,180,114,13,111,46,41,164,17,1107,188,301,47,3,64,5,30,8,12,665,3771,3313,2174,299,1150,949,722,1245,112,13724,958,1351,181,5,585,189,111,91,54,3533,4195,2757,7378,44,1863,290,514,2370,253,19679,2468,2001,318,65,1020,1159,479,223,70,7799,6009,3852,1147,327,1802,13089,893,1487,219,28823,5122,729,5291,11632,914,1913,273,3753,179,29808,1873,1963,310,449,1829,478,3201,390,173,10659,1926,5651,802,74,1046,606,46,97,96,10337,4361,10742,167,157,6695,680,10,28,473,23311,1355,1473,147,68,989,2586,47,111,141,6912,8910,41522,2606,153,5588,794,76,166,597,60409,2075,2915,609,735,1545,282,208,3737,158,12248,4892,8843,617,2978,5160,83,51,378,414,23407,3616,24287,612,3729,2607,103,23,233,223,35436,3461,27751,1080,8156,5532,240,147,591,316,47267,2202,4278,593,2115,848,379,44,336,163,10961,1585,1928,2600,2301,1125,211,76,399,88,10317,2845,3935,953,628,1541,887,560,676,2470,14495
207,243,92,60,3,60,23,13,73,8,577,110,158,23,3,36,0,11,0,7,353,2512,1895,1090,189,811,629,448,718,89,8381,425,605,101,6,235,55,40,34,15,1519,2701,1242,4570,18,1233,174,228,1112,167,11447,2092,1309,212,20,893,728,315,107,53,5746,3609,1946,737,158,1101,9018,500,1116,130,18305,2429,214,1589,3646,361,1427,170,2169,106,12119,881,832,151,128,1006,274,1750,147,65,5238,850,1779,365,23,402,312,24,18,44,3806,2364,5697,102,44,3361,277,4,9,247,12096,721,791,62,19,674,1846,23,61,85,4294,4070,15982,1213,69,2978,372,48,79,248,25059,906,1019,451,325,679,120,76,1554,62,5193,1550,2934,278,1260,1906,46,29,290,145,8446,1738,11469,398,2574,1551,50,13,117,100,18010,1980,15546,694,5089,3876,149,96,537,195,28157,707,805,132,1094,314,156,14,74,51,3357,779,936,1516,1023,637,127,45,305,49,5422,1615,1668,549,236,958,507,328,396,1492,7745
208,301,102,78,4,62,43,17,81,10,698,154,192,37,3,35,0,31,8,10,481,3722,2193,1770,146,1317,936,745,915,104,11845,652,698,169,3,330,84,102,87,37,2151,3729,1422,7557,30,1829,289,381,1676,211,17122,2543,1497,271,18,1081,1041,505,153,83,7209,4420,2135,727,150,1338,9855,665,1161,159,20619,2169,235,1555,3993,366,1515,140,2109,79,12166,1350,1002,195,155,1205,269,1755,211,98,6238,1118,2172,392,24,529,346,20,30,55,4684,3092,6313,105,50,3694,387,7,26,288,13958,843,806,94,21,766,2042,32,62,90,4759,5557,17347,1485,67,3649,488,48,101,274,29015,1346,1388,629,393,875,165,111,1414,68,6394,2126,3401,424,2255,2476,52,35,349,225,11346,2263,13946,394,3506,1811,55,19,133,133,22258,2371,14865,771,6402,4568,196,123,467,198,29953,987,1193,288,1326,462,145,32,140,61,4642,981,838,2028,1317,739,118,45,327,75,6466,2201,1962,674,263,1265,647,443,433,1508,9395
209,461,108,144,11,93,39,124,438,21,1444,78,125,64,3,33,5,106,22,0,440,3421,2178,4078,240,1942,1050,2368,2800,215,18291,514,618,296,4,480,125,392,145,56,2631,3438,1304,14619,50,2546,350,1752,4270,428,28749,1690,1057,519,26,1310,1144,1040,366,73,7234,3890,1522,1272,184,1632,12766,1088,1941,163,24462,2310,180,2141,3619,398,2391,251,3090,107,14489,1358,1028,559,353,2684,542,6224,485,212,13452,757,1796,619,34,575,300,42,47,67,4233,1703,3942,124,64,4110,316,20,25,161,10458,513,369,132,54,653,1470,68,86,60,3409,2945,11672,1840,69,3383,254,70,149,156,20547,925,1034,908,568,1090,152,276,3218,115,8277,2336,4149,933,4264,4032,72,227,857,339,17199,2029,14926,625,4581,2306,55,34,209,130,24908,2205,16247,1447,12498,5714,198,218,1179,276,39981,787,1059,330,1297,425,164,19,163,84,4315,940,956,3968,1571,984,183,131,670,78,9484,1504,1506,1518,509,1491,667,1311,1131,2294,11918
210,365,59,116,7,92,32,84,241,16,1014,47,56,58,5,23,0,72,9,4,270,2298,1306,3261,147,1475,703,1977,2575,205,13948,306,427,267,4,360,104,347,144,39,1989,2371,851,11000,32,1931,251,1556,3302,321,21627,1107,763,380,19,948,771,882,273,74,5211,2599,981,972,158,1063,9106,942,1363,123,17306,1610,133,1788,2272,324,1823,238,2518,87,10792,1551,1124,695,433,3184,640,6915,783,266,15607,476,1039,401,23,359,192,40,50,45,2616,1038,2635,93,52,3244,238,26,26,118,7471,411,241,102,52,463,1009,87,92,43,2489,1634,6872,1265,47,2210,147,53,124,130,12486,634,803,527,418,800,117,360,2838,80,6581,1378,2601,631,3892,3069,44,148,489,247,12495,1214,9249,406,3476,1470,30,42,223,113,16220,1139,8561,906,8524,3303,133,162,736,173,23629,498,501,227,768,270,131,24,153,60,2631,621,562,3175,985,736,119,120,556,69,6939,980,976,1248,477,1139,488,1208,1078,2028,9623
