SA4_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
201,289,37,105,0,427,143,17,32,6,201,97,23,95,7,223,95,19,184,4,298,504,58,397,19,979,416,90,685,24,1217,2506,262,809,38,3620,1651,388,1018,84,3140,1738,747,1024,89,3598,2013,1168,849,84,4117,1121,1164,566,47,2889,1307,1278,442,42,3064,2370,2759,602,69,5804,1508,2312,238,48,4110,1026,1904,125,17,3072,565,1177,65,3,1807,1224,2735,128,11,4088,703,1388,549,19,2663,389,132,152,23,698,19664,17656,8073,641,46033
202,274,40,69,15,392,156,18,28,3,211,99,28,69,3,202,56,18,170,3,247,480,41,354,25,898,362,81,601,25,1076,2312,219,732,45,3301,1586,379,964,95,3029,1771,631,922,79,3401,1937,1114,774,80,3905,1050,1084,595,53,2780,1174,1260,428,41,2898,2374,2834,671,61,5945,1536,2376,250,39,4200,1057,1980,149,14,3200,587,1230,58,12,1891,1174,2673,110,9,3971,719,1333,496,32,2583,354,144,132,21,649,19054,17477,7580,658,44770
203,611,112,171,13,902,288,26,85,8,401,194,50,156,14,405,157,40,237,14,439,884,94,537,23,1548,659,174,985,31,1855,3768,363,1102,72,5306,2761,581,1506,131,4986,3152,1133,1540,137,5971,3458,1792,1405,131,6789,1874,1926,1027,80,4908,2116,2108,773,64,5064,4367,5571,1300,172,11409,3233,4996,539,81,8852,2293,4597,339,49,7284,1371,2953,140,24,4489,3057,7628,361,43,11085,1244,2584,979,57,4866,594,282,195,33,1104,36084,37007,13368,1198,87654
204,362,36,90,3,495,183,28,25,3,242,118,25,78,8,222,112,31,183,7,328,669,60,347,23,1102,430,93,626,21,1175,2849,203,775,41,3870,1942,353,964,79,3331,2132,745,968,78,3921,2340,1203,801,79,4416,1279,1224,502,40,3041,1502,1325,441,40,3308,2996,3188,620,64,6873,1788,2490,238,34,4556,1168,1887,140,20,3213,598,1191,54,6,1849,1243,2223,134,12,3609,999,1722,599,22,3333,485,178,161,25,845,23193,18189,7770,596,49743
205,768,132,165,15,1082,383,28,73,10,498,273,50,191,11,529,226,25,359,15,630,1234,127,677,35,2077,874,173,1154,27,2229,5339,442,1368,73,7214,3675,753,1660,173,6261,3724,1331,1509,133,6702,3859,2011,1269,96,7235,1892,1931,805,81,4711,2312,2286,631,65,5299,4104,4725,904,72,9799,2473,3667,330,55,6526,1693,2840,182,25,4738,823,1654,83,6,2570,1975,3771,199,16,5962,1542,2678,940,43,5215,899,321,305,34,1557,38074,28962,12803,977,80813
206,1105,217,522,208,2053,345,66,163,63,641,274,91,351,77,786,237,75,443,55,813,906,185,673,130,1893,724,241,897,137,2003,2841,455,1023,228,4561,2192,655,1379,335,4562,3086,1018,1536,394,6026,4240,1334,1382,461,7426,3035,1343,1190,333,5902,3769,1443,1090,311,6616,9268,4043,2075,541,15929,8318,3803,758,432,13310,7331,4388,714,268,12705,5696,3466,251,167,9573,18185,21481,1392,352,41402,2517,2584,1173,85,6363,526,308,228,41,1106,74609,47193,17239,4634,143673
207,1331,360,794,61,2547,464,96,184,31,777,285,134,295,33,746,191,110,316,14,634,925,219,475,41,1664,678,351,603,54,1681,2759,606,698,84,4145,2066,836,896,149,3944,2434,1289,1229,151,5104,2883,1668,1080,213,5846,1679,1689,869,142,4380,2087,1710,857,101,4761,4159,4394,1576,246,10378,3192,3949,758,166,8066,2636,4199,628,94,7557,1754,3343,238,42,5370,5928,20229,1042,108,27299,1169,3172,932,41,5312,446,322,136,25,929,37070,48678,13602,1797,101146
208,833,215,425,39,1507,327,46,134,14,525,244,77,197,12,529,143,63,241,10,462,779,146,438,41,1397,569,174,658,57,1458,2665,320,791,72,3854,2000,525,1203,147,3877,2584,936,1437,140,5104,3092,1382,1350,161,5982,1886,1473,1196,106,4654,2229,1664,992,118,5003,4983,4705,1968,235,11893,4231,4994,751,142,10116,3514,5438,737,94,9782,2484,4280,271,57,7085,7922,24872,1298,108,34193,1315,3241,1171,54,5786,560,397,184,27,1168,42350,54958,15440,1629,114372
209,1381,412,517,42,2360,468,97,131,13,707,305,172,305,23,802,256,140,488,26,907,1265,361,810,51,2486,829,462,1397,51,2742,5024,1112,1556,134,7821,3078,1648,2225,211,7151,3427,2775,2343,229,8783,3973,3896,2241,259,10371,2459,3975,1775,195,8404,2652,4333,1527,193,8705,6231,10426,2505,330,19490,4834,9033,1172,234,15279,3482,8267,720,115,12589,2288,5677,342,66,8371,4405,15732,744,83,20971,1513,4119,1498,65,7193,801,624,344,53,1819,48673,73257,22642,2381,146944
210,1077,480,419,34,2007,309,89,110,21,531,198,195,283,16,696,179,179,420,8,796,895,520,732,46,2183,652,759,1067,47,2526,3894,1416,1358,82,6751,2353,1946,1817,199,6309,2386,3029,1961,176,7559,2729,3941,1783,223,8677,1694,3627,1420,126,6869,1905,3770,1101,126,6894,4272,8433,1822,243,14778,3296,6702,1002,135,11142,2413,5726,578,96,8811,1542,3893,290,60,5784,2758,9778,517,65,13117,1090,3315,1067,61,5529,619,675,293,47,1629,34270,58480,18025,1815,112590
