SA4_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
201,385,773,503,367,392,94,40,2554,84,79,45,35,39,7,3,295,14,36,14,8,5,0,0,87,627,1275,970,743,902,230,109,4859,27,45,42,27,52,9,6,208,45,74,48,22,27,5,0,219,72,115,87,52,82,12,4,428,695,1391,1058,794,984,243,117,5289,778,775,453,330,288,77,26,2728,16,22,23,24,6,0,0,86,1490,2189,1537,1148,1281,321,148,8103
202,338,702,496,343,384,97,28,2385,79,80,50,17,31,9,8,273,12,28,20,5,4,3,0,81,574,1229,978,711,864,265,98,4713,19,39,21,24,19,9,0,133,28,58,33,26,28,0,3,170,42,99,55,46,46,6,3,301,621,1324,1034,753,912,273,102,5016,714,754,398,297,278,68,27,2536,12,22,19,14,8,3,0,81,1346,2108,1451,1062,1193,337,134,7631
203,521,1193,810,586,729,229,110,4180,103,114,81,56,69,24,5,451,29,45,32,12,25,8,5,153,953,2112,1593,1221,1714,619,294,8497,20,52,40,30,48,13,4,209,62,119,67,35,27,9,4,320,83,169,107,63,78,26,6,529,1034,2281,1692,1283,1793,643,298,9026,912,1023,618,461,467,178,79,3747,39,32,15,12,6,3,0,114,1996,3336,2333,1750,2269,829,382,12884
204,370,680,520,333,404,86,28,2419,52,74,37,28,31,10,0,234,22,30,29,16,24,6,3,132,609,1282,1016,715,946,230,80,4874,19,40,27,19,14,5,0,122,35,52,32,26,19,5,0,178,54,90,60,40,36,13,4,296,661,1373,1075,757,980,243,81,5173,681,690,416,268,295,63,19,2435,8,18,8,10,12,5,0,56,1355,2074,1502,1044,1285,305,104,7659
205,603,1185,789,578,663,146,42,3997,116,115,78,61,70,4,5,446,25,59,33,21,28,7,3,181,982,1984,1516,1174,1428,341,111,7540,29,85,80,54,59,10,8,330,87,124,57,57,42,13,0,382,115,210,140,104,100,21,8,710,1092,2196,1659,1284,1532,366,113,8249,1363,1343,718,523,474,116,53,4591,32,60,56,30,16,0,0,193,2485,3600,2427,1834,2021,487,168,13027
206,417,829,600,432,594,407,231,3509,86,68,51,45,49,53,16,371,30,27,19,25,19,8,10,138,965,1956,1550,1190,1672,1150,628,9113,46,60,49,46,49,38,18,308,54,85,52,30,55,42,18,341,102,147,103,81,107,80,37,652,1063,2107,1653,1263,1784,1231,659,9760,817,934,587,422,598,439,333,4122,40,38,21,12,11,4,0,127,1913,3073,2260,1699,2387,1675,1000,14006
207,272,642,536,465,670,468,272,3324,40,44,40,36,56,33,18,271,4,20,20,10,12,8,9,83,584,1446,1279,1074,1649,1215,743,7985,11,41,32,23,33,34,22,187,40,77,50,33,42,19,14,274,47,113,77,58,78,51,34,460,632,1564,1356,1136,1723,1267,781,8450,339,602,499,441,665,476,330,3359,10,20,15,8,8,15,4,82,986,2187,1869,1584,2399,1758,1114,11887
208,374,818,676,550,724,458,258,3860,82,68,63,32,53,43,16,353,11,29,13,21,23,16,10,119,795,1826,1677,1317,1961,1367,743,9677,21,46,32,39,40,25,14,216,29,64,38,27,37,17,19,226,39,113,68,62,80,42,35,443,839,1936,1745,1378,2049,1410,769,10122,375,588,414,342,455,311,186,2668,10,12,17,16,10,5,3,75,1226,2535,2177,1737,2509,1722,963,12864
209,617,1292,982,796,1035,482,247,5443,134,125,84,55,88,32,27,544,36,45,27,18,33,7,7,178,1252,2626,2123,1709,2491,1216,744,12158,49,92,75,54,60,43,25,401,76,181,77,55,74,29,16,498,125,278,149,104,136,69,42,899,1379,2902,2276,1811,2627,1280,783,13056,1437,1684,1041,737,844,432,237,6398,54,59,26,22,12,4,7,182,2862,4643,3343,2574,3481,1719,1023,19637
210,533,1004,740,541,714,365,182,4089,109,116,62,61,94,43,16,501,38,52,35,24,32,19,6,196,1075,2094,1585,1249,1816,993,528,9333,42,77,49,44,50,33,21,314,70,169,81,63,52,36,15,480,105,246,136,106,106,68,39,798,1178,2336,1717,1350,1924,1058,566,10134,1451,1654,960,677,857,424,239,6257,34,73,30,22,8,6,0,184,2669,4064,2712,2045,2788,1484,806,16573
211,608,1378,1030,751,1037,517,273,5596,102,103,82,71,104,56,32,555,28,47,27,22,38,20,6,193,1102,2586,2214,1726,2644,1418,776,12461,21,57,48,24,57,24,18,251,54,89,65,44,58,23,10,348,75,154,112,78,115,50,21,598,1176,2734,2322,1795,2758,1466,798,13060,981,1198,692,491,651,297,166,4475,20,19,15,19,12,6,5,85,2174,3953,3033,2306,3416,1766,967,17621
212,1149,2242,1538,1138,1449,775,411,8710,224,219,137,106,139,71,55,952,89,135,81,70,85,47,18,521,2417,4630,3363,2653,3673,2051,1140,19925,87,202,109,93,152,65,42,757,162,282,140,103,147,75,45,957,245,482,246,199,305,144,89,1711,2664,5113,3604,2859,3974,2201,1223,21633,2778,2913,1636,1143,1484,808,601,11362,111,137,71,50,47,14,18,450,5549,8161,5312,4049,5513,3019,1843,33446
213,1231,2279,1581,1120,1493,694,385,8780,263,314,188,129,195,83,60,1225,104,152,93,63,85,45,18,561,2655,5144,3815,2731,3870,1987,1124,21320,168,302,223,153,189,120,71,1235,255,446,222,179,185,80,40,1420,426,757,448,337,377,198,114,2652,3076,5900,4264,3060,4246,2186,1234,23969,3434,3837,2100,1486,1661,808,501,13824,121,131,81,65,45,20,18,480,6630,9868,6438,4613,5953,3016,1754,38274
214,529,1182,863,583,818,263,116,4349,110,139,76,59,71,36,20,499,16,33,28,23,29,13,3,144,955,2113,1619,1231,1804,682,332,8744,21,58,29,41,37,12,3,198,35,95,53,32,37,4,5,263,61,154,76,77,74,15,4,459,1015,2267,1695,1304,1878,705,336,9201,968,1075,622,475,456,166,59,3824,21,30,37,19,6,3,0,120,2008,3370,2349,1797,2344,877,398,13141
215,331,568,398,298,295,78,11,1993,60,49,36,20,29,4,0,201,10,24,24,22,18,4,0,107,554,998,767,621,734,170,36,3880,29,39,35,11,22,4,0,141,25,57,26,18,18,0,0,150,62,99,58,27,39,0,0,292,611,1100,833,646,776,168,35,4177,749,795,413,313,207,49,13,2548,23,25,16,17,10,5,0,90,1393,1917,1266,974,995,222,51,6816
216,271,587,385,288,300,73,20,1924,62,64,22,16,31,6,0,201,16,33,20,12,21,5,0,114,479,1074,740,569,689,151,44,3750,21,26,28,27,19,11,0,129,45,43,40,24,16,7,0,172,62,68,65,52,34,13,3,292,540,1139,801,621,724,164,49,4040,675,671,382,234,257,42,18,2270,16,21,31,13,5,5,0,86,1228,1839,1216,863,985,208,66,6402
217,247,527,373,281,319,58,17,1830,50,51,25,14,14,4,5,162,8,9,10,9,9,0,0,49,381,840,664,532,640,130,33,3230,7,15,11,11,12,3,0,57,22,31,35,19,14,4,0,117,27,46,42,28,31,3,0,177,411,888,706,560,667,136,38,3407,411,488,250,161,145,37,6,1496,15,21,12,9,5,0,0,59,835,1391,967,729,818,177,40,4961
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
