SA3_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
20101,0,24,..,874,77,949,13,961,..,75,4,76,0,79,..,80,4,85,0,85,..,9,0,10,0,10,..,35,4,40,0,40,..,16,0,17,0,17,..,234,18,250,3,256,..,32,6,39,0,37,..,29,0,29,0,29,..,31,0,32,0,34,..,40,8,43,0,46,..,10,0,16,0,16,..,24,4,28,0,28,..,113,3,118,6,123,..,41,0,38,0,38,..,127,6,129,0,129,..,44,0,47,0,47,..,325,6,337,6,335,..,102,3,107,6,111,..,66,0,68,0,67,..,83,13,92,0,93,..,5,3,13,0,13,..,89,14,104,0,104,..,569,62,633,17,644,..,3634,412,4039,51,4096,..,177,17,197,2637,2836,53291,3811,429,4241,2690,60219,102572,..,..,..,..,102572,..,63,0,65,0,65,..,174,5,181,4,187,..,25,0,25,0,25,..,134,33,165,0,165,..,736,216,949,16,970
20102,0,0,..,52,6,60,0,60,..,51,3,51,0,51,..,24,4,32,0,32,..,4,0,0,0,0,..,0,0,0,0,0,..,13,0,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,15,0,15,0,15,..,7,0,7,0,7,..,7,0,3,0,3,..,0,0,0,0,0,..,24,5,33,0,33,..,8,0,8,0,8,..,4,0,4,0,4,..,18,0,18,0,18,..,0,0,0,0,0,..,34,0,34,0,34,..,24,0,24,0,26,..,4,0,7,0,7,..,18,0,16,0,16,..,7,0,7,0,7,..,17,0,21,4,20,..,135,17,150,0,150,..,623,52,678,5,686,..,34,0,39,1056,1095,13716,659,57,716,1065,15497,27421,..,..,..,..,27421,..,16,0,16,0,16,..,31,7,32,0,32,..,3,0,3,0,3,..,22,0,20,0,20,..,58,12,69,0,69
20103,0,0,..,32,0,29,0,29,..,9,0,11,0,11,..,12,0,12,0,12,..,5,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,25,0,26,3,32,..,7,0,7,0,7,..,32,0,32,0,28,..,11,0,11,0,11,..,69,0,71,6,72,..,7,5,15,0,15,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,3,3,9,0,11,..,89,7,97,0,97,..,337,35,368,7,372,..,32,0,30,952,985,11817,363,32,397,961,13170,23686,..,..,..,..,23686,..,9,0,9,0,9,..,8,0,8,0,8,..,5,0,5,0,5,..,7,6,10,0,10,..,33,10,36,0,36
20201,0,22,..,569,38,608,8,618,..,87,4,96,0,96,..,26,0,26,0,26,..,11,0,15,0,15,..,30,7,37,0,37,..,4,0,4,0,4,..,228,21,245,3,252,..,16,0,15,0,17,..,9,0,9,0,9,..,12,5,18,4,20,..,25,4,25,0,25,..,0,0,0,0,0,..,12,0,10,0,10,..,122,0,123,0,128,..,46,3,48,0,48,..,132,3,138,4,136,..,58,9,65,0,65,..,358,21,381,3,385,..,54,3,59,0,59,..,37,0,34,0,34,..,52,12,63,0,63,..,7,3,14,0,14,..,77,21,94,5,95,..,852,441,1293,20,1315,..,3091,712,3805,47,3853,..,159,38,189,2602,2788,46934,3251,742,3992,2648,53577,90175,..,..,..,..,90175,..,81,3,85,0,85,..,192,7,196,5,203,..,42,0,42,0,42,..,115,25,136,4,140,..,402,150,551,3,559
20202,0,0,..,44,8,48,0,48,..,70,3,75,0,75,..,28,0,28,0,28,..,5,0,5,0,5,..,3,0,4,0,4,..,17,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,19,..,5,0,9,0,9,..,12,0,14,0,14,..,0,0,0,0,0,..,4,0,7,0,7,..,22,0,23,0,23,..,12,3,13,0,13,..,20,0,23,0,23,..,11,0,11,0,11,..,67,4,68,0,68,..,49,3,54,0,59,..,4,0,4,0,4,..,22,4,26,0,26,..,6,3,8,0,8,..,10,6,15,0,15,..,212,37,245,4,246,..,868,114,984,13,997,..,42,3,46,1721,1777,23567,914,117,1030,1739,26336,46577,..,..,..,..,46577,..,40,0,40,0,40,..,13,0,19,0,21,..,14,0,14,0,14,..,23,7,35,3,37,..,81,73,151,0,155
20203,0,0,..,4,0,4,0,4,..,7,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,5,26,0,26,..,5,0,5,0,5,..,18,3,18,0,21,..,12,6,14,0,14,..,61,5,67,0,65,..,3,0,3,0,3,..,3,0,3,0,3,..,11,0,13,0,13,..,0,0,0,0,0,..,0,0,4,0,4,..,36,3,45,6,45,..,168,21,189,0,190,..,11,4,10,590,602,5262,173,24,200,596,6053,10633,..,..,..,..,10633,..,5,0,5,0,5,..,16,0,19,0,19,..,0,0,0,0,0,..,9,0,7,0,7,..,5,3,10,0,10
20301,0,0,..,6,0,6,0,6,..,22,0,22,0,22,..,7,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,4,7,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,14,0,12,0,12,..,7,0,7,0,7,..,6,0,8,0,8,..,8,0,8,0,8,..,0,0,0,0,0,..,24,0,23,0,23,..,18,0,22,0,22,..,0,0,0,0,0,..,10,0,16,0,16,..,0,0,0,0,0,..,8,0,7,0,7,..,87,7,97,0,99,..,316,29,340,4,346,..,20,3,20,555,573,10200,333,30,360,558,11121,20638,..,..,..,..,20638,..,10,0,10,0,10,..,15,0,15,0,16,..,4,0,4,0,4,..,8,4,10,0,10,..,13,0,14,0,14
20302,0,69,..,2063,157,2228,26,2254,..,808,141,951,7,956,..,124,10,130,4,137,..,23,19,40,0,40,..,94,13,107,0,107,..,424,122,545,0,543,..,271,16,295,5,297,..,172,41,212,0,209,..,199,32,230,0,231,..,108,9,117,0,122,..,135,24,167,0,167,..,13,0,15,0,17,..,327,93,418,10,424,..,379,10,387,0,385,..,118,4,120,0,128,..,411,9,417,0,420,..,122,6,124,0,127,..,1031,29,1060,6,1062,..,316,60,379,6,375,..,177,22,199,6,195,..,210,51,258,0,262,..,138,25,164,0,164,..,300,127,434,3,438,..,2095,654,2742,51,2795,..,12108,2225,14335,155,14494,..,328,55,380,4669,5053,88966,12434,2283,14718,4833,108519,172021,..,..,..,..,172021,..,168,0,172,0,172,..,726,119,847,11,851,..,33,0,33,0,33,..,372,72,441,9,450,..,1569,377,1951,23,1973
20303,0,5,..,136,16,145,5,152,..,212,14,232,6,240,..,51,3,60,0,62,..,4,0,4,0,4,..,14,0,14,0,14,..,28,0,23,0,23,..,17,0,18,0,18,..,16,3,17,0,17,..,45,9,50,0,50,..,65,5,69,0,65,..,22,0,28,0,26,..,6,0,6,0,10,..,22,0,20,0,20,..,42,0,40,0,40,..,29,4,36,0,37,..,48,3,48,0,48,..,24,0,24,0,24,..,144,5,144,0,148,..,129,10,140,5,145,..,4,0,4,0,4,..,52,7,55,0,55,..,11,0,11,0,11,..,44,3,50,4,49,..,475,38,518,16,532,..,2210,198,2411,54,2464,..,94,3,100,2161,2260,43456,2302,209,2508,2213,48180,84387,..,..,..,..,84387,..,90,0,90,0,92,..,58,3,66,4,66,..,10,0,10,0,10,..,44,5,54,0,54,..,183,64,252,4,253
20401,0,0,..,161,7,167,3,171,..,106,5,111,0,110,..,24,0,21,0,21,..,11,8,18,0,18,..,6,0,6,0,6,..,9,0,14,0,14,..,24,3,27,0,27,..,0,3,4,0,4,..,23,0,25,0,25,..,9,4,14,0,14,..,24,0,24,0,24,..,0,0,0,0,0,..,7,0,6,0,6,..,34,0,34,0,34,..,11,0,11,0,11,..,50,3,57,0,52,..,18,9,19,0,19,..,114,10,119,0,123,..,40,5,43,0,43,..,10,3,13,0,13,..,61,9,67,0,67,..,17,0,15,0,15,..,24,11,37,0,37,..,231,30,266,9,270,..,1309,158,1467,22,1485,..,66,7,70,2170,2238,26217,1372,162,1542,2190,29941,52531,..,..,..,..,52531,..,47,3,50,0,50,..,36,4,39,0,40,..,11,0,12,0,12,..,32,9,44,0,48,..,237,87,325,0,328
