SA3_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
20101,229,51,666,354,257,213,94,232,14,2118,4,6,3,4,4,3,0,12,0,31,91,124,75,86,89,41,48,40,21,610,82,64,144,94,92,67,69,112,115,845,4668,11627,5751,5366,4317,2001,1352,2039,473,37589
20102,93,10,180,74,64,40,12,54,6,531,0,0,0,0,0,0,0,0,0,3,34,44,23,21,25,13,9,10,4,183,57,24,57,35,27,14,28,49,38,329,1860,2560,1716,1202,983,417,386,639,156,9930
20103,55,4,113,78,46,37,13,46,4,400,0,0,0,0,0,0,0,3,0,3,16,11,13,16,14,7,4,6,7,93,43,10,47,27,21,16,25,61,32,289,989,1201,1129,993,640,293,390,601,111,6348
20201,205,45,632,339,204,169,92,252,24,1965,4,5,8,0,5,3,3,11,0,36,67,95,48,62,57,32,46,37,13,456,58,67,117,84,50,62,79,108,143,768,3634,10000,4902,4880,3437,1638,1308,2114,448,32363
20202,103,26,240,109,78,71,21,90,11,740,3,0,0,0,0,3,3,5,0,17,86,109,22,43,52,17,18,34,10,392,62,44,73,59,38,33,53,48,54,469,2956,5472,2589,2000,1637,730,551,948,257,17140
20203,26,8,42,19,16,24,15,29,0,170,0,0,0,0,0,0,0,0,0,0,7,3,3,7,7,0,6,5,0,41,32,9,21,15,15,14,16,24,9,152,796,574,476,368,299,129,181,292,45,3168
20301,50,3,97,59,52,29,26,43,3,360,0,0,0,0,0,0,0,4,0,3,24,19,11,13,8,3,16,18,3,122,31,18,47,27,14,15,29,30,22,236,1282,1858,1610,991,829,333,400,536,112,7954
20302,414,90,1317,669,431,379,234,453,43,4028,4,14,6,9,3,10,0,13,4,55,133,240,138,177,147,57,99,106,34,1140,147,148,300,197,146,110,124,219,328,1718,8671,21707,11397,10419,7727,3772,3242,4402,1128,72466
20303,203,63,566,244,169,160,49,141,20,1621,0,0,0,4,0,0,0,4,0,20,121,146,50,92,84,34,20,31,23,587,95,83,129,91,77,65,27,81,97,746,5368,10713,4951,4011,3319,1582,744,1478,496,32671
20401,150,32,326,153,129,101,59,142,11,1111,0,0,0,3,0,0,0,3,0,12,69,56,31,53,47,15,27,26,25,357,91,35,106,71,47,33,53,93,81,614,3051,3601,3262,2408,1771,816,923,1410,308,17555
