SA3_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20101,87,237,470,368,354,283,86,5,3,1901,99,182,402,311,344,295,79,31,8,1761,3531,5414,12159,11348,10985,8590,2142,210,24,54407
20102,24,35,102,98,123,89,33,0,0,506,32,41,69,101,151,134,61,18,0,612,729,781,1974,2789,3502,3243,1022,194,15,14258
20103,16,47,75,72,69,61,21,0,0,365,29,31,88,69,114,107,35,28,0,500,587,742,1627,1717,2373,2215,777,131,18,10177
20201,69,170,446,362,313,302,93,10,0,1760,80,150,358,337,287,265,67,27,4,1582,3068,4768,10880,9904,9300,7600,2009,201,21,47758
20202,47,71,133,161,197,164,56,8,0,840,64,63,105,174,189,199,78,29,6,909,1311,1328,3268,4800,5959,5098,1701,274,25,23761
20203,12,6,24,38,29,33,14,0,0,151,20,24,33,29,54,58,29,14,4,264,268,302,735,881,1087,1237,471,100,19,5104
20301,29,29,64,116,92,60,26,0,0,415,20,35,79,83,95,68,22,4,0,419,734,758,1983,2595,2602,1897,624,107,14,11308
20302,146,414,910,706,634,513,123,32,0,3489,151,415,957,770,754,539,167,46,10,3811,5801,10718,25354,21608,19918,15007,3827,408,35,102678
20303,50,141,301,343,295,249,79,8,0,1474,68,94,259,373,334,241,102,26,8,1502,2428,3074,7531,10013,9702,7906,2581,316,31,43580
20401,45,67,192,179,200,189,76,14,0,958,54,85,176,200,244,222,116,36,12,1145,1527,1978,4606,4881,5718,5609,2133,395,41,26895
20402,52,79,165,147,163,142,59,7,0,808,68,79,127,119,218,175,81,24,9,897,1481,1533,3791,3995,4769,4639,1677,303,38,22224
20403,65,131,282,244,226,200,70,11,0,1234,89,104,242,261,256,209,94,35,7,1299,2444,2907,6895,7250,7713,6788,2224,375,40,36638
20501,42,126,265,204,249,234,67,9,0,1202,61,81,228,214,210,185,64,19,4,1065,1563,2270,5621,5164,5419,4794,1527,293,30,26676
20502,32,72,147,126,167,143,63,0,0,752,60,61,123,123,158,159,79,38,7,807,1163,1276,3192,3322,4033,4334,1583,285,39,19235
20503,52,95,245,228,261,226,67,9,0,1190,85,89,175,195,261,258,123,34,15,1247,1751,1907,4713,5656,6670,6620,2455,375,41,30186
20504,72,151,322,245,210,186,51,9,0,1245,59,116,293,234,282,207,88,26,4,1312,2089,2869,7018,6391,6416,5631,1453,166,15,32055
20505,56,71,168,124,117,118,40,11,0,711,52,66,142,146,127,148,48,23,6,758,1194,1538,3625,3666,3936,3823,1241,223,25,19272
20601,24,159,539,397,260,193,54,10,0,1635,28,190,736,439,311,182,37,8,5,1928,1386,5235,18331,13263,8979,5318,1212,116,11,53847
20602,26,62,277,205,198,126,34,0,0,929,21,83,319,253,198,106,45,6,0,1035,932,2189,9170,7534,6496,3788,917,62,10,31082
20603,22,75,289,209,198,146,62,13,4,1025,42,122,397,337,295,187,49,7,6,1440,1434,3708,10193,8549,7623,5283,1417,136,11,38353
20604,43,304,974,468,214,192,60,9,0,2272,73,627,1688,666,320,226,73,33,0,3710,2278,13963,40118,17770,8464,5472,1925,323,22,90335
20605,30,175,626,400,334,253,64,8,4,1891,37,166,822,689,470,280,109,22,5,2601,1199,4021,19310,14919,11340,7465,2357,387,19,61027
20606,19,109,390,178,156,100,37,10,0,993,22,159,635,344,211,155,94,36,5,1649,587,3697,15166,7949,5081,3769,1856,426,47,38572
20607,14,137,569,362,252,174,56,15,0,1580,41,162,913,496,287,170,50,6,4,2123,975,5054,23531,12832,7967,5348,1708,262,7,57692
20701,98,254,431,334,446,398,139,25,6,2138,121,295,725,714,737,515,184,45,10,3346,4070,9132,17632,16815,19137,14222,5044,857,78,86987
20702,40,118,297,344,369,296,92,17,0,1574,44,151,468,516,439,308,109,32,4,2080,1793,3985,8992,10375,9594,7630,2387,448,33,45230
20703,37,173,406,337,381,281,85,21,0,1714,47,292,664,508,435,271,78,14,12,2317,2389,6037,12355,11283,11127,7496,2037,288,19,53036
20801,58,126,196,235,361,271,112,21,0,1376,81,158,318,436,600,407,185,49,10,2240,2793,4109,6539,9772,13417,9837,3408,588,40,50508
20802,61,194,560,512,546,392,129,24,0,2416,98,266,913,920,712,405,162,38,12,3528,3259,7237,19748,19398,17766,11782,4039,521,63,83816
20803,71,200,415,487,471,384,129,18,0,2167,74,174,513,632,686,455,127,31,12,2701,3069,4705,12237,15291,15468,10282,2865,317,21,64270
20804,21,62,117,102,99,78,30,6,0,508,29,80,231,187,208,123,48,13,4,926,994,2334,5195,4518,4811,3386,1274,247,34,22804
20901,68,174,435,437,451,341,123,15,4,2049,58,192,486,548,491,349,133,28,8,2285,2734,5309,13447,15169,13867,9943,3058,350,38,63920
20902,27,124,460,399,331,209,45,3,0,1602,46,239,719,530,387,246,57,21,4,2252,1484,4391,14036,11835,9298,5625,1212,107,9,48002
20903,56,128,222,255,317,291,65,5,0,1337,54,119,178,294,353,243,77,22,0,1342,2193,3244,5055,6901,9042,7164,1955,279,9,35841
20904,109,392,1196,1172,913,572,126,7,0,4490,169,553,1621,1597,1147,749,169,29,9,6036,5248,10978,29749,31338,22707,14602,3267,244,23,118148
21001,24,70,209,225,258,211,61,6,0,1065,45,104,265,281,305,221,89,21,0,1318,1532,2515,5653,6825,7028,4812,1369,167,9,29908
21002,37,54,122,146,147,123,28,4,0,659,33,47,114,134,160,112,30,11,5,639,1045,1147,2484,3720,4138,3035,817,144,12,16546
21003,21,124,353,315,270,180,41,0,0,1309,50,193,554,445,261,173,38,14,6,1727,1241,3728,11646,9868,6878,4397,850,82,8,38693
21004,36,88,246,183,173,120,28,6,0,884,41,86,195,213,193,116,37,0,3,887,1215,2049,5561,5051,4797,3659,866,84,4,23278
21005,70,322,838,755,555,385,82,9,0,3021,174,553,1497,1224,884,583,109,8,5,5041,3593,8778,23055,21057,14263,9752,1901,120,4,82519
21101,82,310,668,641,764,597,163,16,3,3233,107,289,805,962,856,706,192,28,5,3941,4087,7322,16499,18324,17540,13870,3581,310,12,81545
21102,19,35,54,81,142,107,36,5,0,479,23,54,84,97,130,114,45,9,6,570,952,1398,1539,2301,3544,2653,834,144,8,13376
21103,70,214,466,498,504,399,110,18,0,2272,72,205,610,582,542,367,115,27,15,2521,2973,5024,12381,13825,12552,9303,2398,280,31,58759
21104,25,91,211,208,276,172,52,13,0,1054,27,105,277,321,282,190,62,16,3,1276,1470,2681,6044,7595,6943,4469,1284,174,15,30675
21105,166,365,803,774,735,640,202,18,0,3706,162,295,724,754,826,609,206,36,7,3633,4528,6793,15749,16768,17396,13795,3965,464,26,79488
21201,113,224,721,536,463,305,84,11,0,2462,102,261,737,759,604,424,120,33,3,3041,3250,5325,14712,13943,11642,7713,1928,241,32,58784
21202,72,251,493,553,545,416,121,11,0,2455,111,358,806,870,716,632,125,30,5,3668,3294,6333,13411,14807,13826,10343,2399,231,14,64667
21203,114,418,1154,1045,750,464,96,7,0,4052,223,635,1783,1705,1205,812,156,14,8,6548,4991,10513,27887,30118,20690,12171,2340,166,15,108888
21204,79,331,917,895,787,477,136,19,0,3644,139,664,2023,1538,1233,912,212,31,5,6766,2968,8784,23581,19637,15472,11098,2897,257,16,84715
21205,73,257,599,549,623,438,166,30,0,2726,115,399,1232,997,833,532,175,50,15,4347,3643,9767,21271,19763,17522,11993,3387,506,52,87886
