SA3_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
20101,68,92,179,185,242,403,937,1102,747,3953,6,21,55,34,65,54,59,30,26,354,330,421,841,663,702,668,768,733,528,5645,2880,7327,15738,14386,14244,13645,12106,6773,2878,89978
20102,24,9,26,49,64,128,237,317,148,1005,3,0,7,5,10,9,14,9,7,64,87,75,199,274,342,361,413,280,141,2183,637,1050,2608,3585,4604,5144,4574,2079,686,24960
20103,12,17,53,68,107,190,378,448,232,1509,3,0,7,4,9,20,16,8,7,77,124,89,186,226,346,341,425,339,105,2184,608,1102,2355,2532,3655,4149,4348,2357,753,21853
20201,61,57,222,255,275,427,944,1104,704,4044,9,31,108,111,133,117,83,36,24,658,289,321,796,656,669,676,696,737,610,5463,2488,6476,13965,12567,12135,12207,11093,6351,2806,80095
20202,13,13,48,46,94,203,399,523,265,1603,0,3,15,24,23,17,23,17,10,125,175,128,351,390,500,545,588,464,317,3459,1028,1835,4459,6096,7606,8124,7624,3923,1340,42033
20203,5,4,19,28,37,91,159,178,108,616,0,0,0,0,3,6,0,6,0,24,53,54,80,139,189,256,225,156,98,1256,253,458,1027,1215,1597,2160,1887,899,371,9871
20301,6,4,25,32,41,83,121,142,60,514,0,0,7,7,7,8,8,8,0,43,73,49,119,186,165,165,165,149,101,1178,573,960,2379,3127,3151,2894,2292,945,307,16628
20302,110,106,320,399,535,867,1826,2304,1468,7929,13,40,181,226,237,217,208,206,142,1472,522,839,1734,1356,1249,1143,1289,1241,829,10198,5027,14668,32317,27273,25841,24108,20725,12322,5340,167618
20303,24,20,51,55,70,164,442,580,391,1807,7,11,16,18,21,15,21,36,14,157,178,163,362,507,512,648,896,661,463,4398,1626,3846,9004,11847,11716,12567,13577,6646,2300,73127
20401,41,30,75,91,121,294,612,729,381,2376,9,4,29,23,27,33,42,26,21,208,262,253,498,545,641,823,762,543,293,4620,1365,2815,6038,6377,7632,9276,8763,4569,1619,48456
