SA3_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
20101,13367,1182,199,23,10,14787,14333,800,97,13,19,15261,7353,2071,584,10,21,10038,861,462,68,0,3,1393,140,152,37,0,3,338,1641,335,85,10,6,2070,133,38,13,8,3,195,47,20,0,0,0,73,10169,3077,789,29,40,14103,460,154,14,4,4,629,447,127,23,0,6,606,38773,5345,1124,68,73,45382
20102,5180,70,19,47,11,5327,4603,34,4,10,4,4653,611,54,24,13,0,694,47,33,35,0,0,115,11,22,4,3,0,37,555,22,3,14,4,596,50,3,0,14,0,75,13,3,0,0,0,13,1287,127,61,47,5,1527,238,16,12,4,4,279,180,3,12,0,0,194,11495,251,105,110,22,11983
20103,4913,118,9,108,15,5163,3394,16,7,19,7,3443,587,107,22,6,0,725,98,76,9,0,0,180,15,23,9,0,0,50,571,29,8,12,0,623,66,6,0,14,3,90,18,5,0,0,0,20,1359,240,49,41,5,1692,225,27,0,4,0,260,232,16,6,15,4,268,10123,422,64,184,30,10828
20201,12635,594,55,43,24,13352,13298,372,45,6,25,13746,6141,1390,166,14,10,7726,858,405,81,0,0,1344,216,117,24,0,0,354,1965,227,38,7,12,2250,146,17,8,13,0,183,45,11,7,0,0,62,9378,2172,310,33,27,11914,417,49,5,0,0,474,446,70,10,0,4,530,36178,3252,429,84,77,40027
20202,8674,253,6,71,11,9008,7603,72,10,38,9,7732,1219,197,3,19,0,1444,146,115,3,0,0,270,64,39,0,0,0,101,788,57,5,15,3,862,80,3,0,14,0,91,15,0,0,0,0,16,2311,410,14,44,5,2786,299,11,0,7,0,333,264,24,0,8,0,292,19153,772,33,171,22,20145
20203,2274,29,0,41,11,2358,1433,3,0,11,6,1455,127,7,0,0,0,135,17,21,0,0,0,40,4,3,0,0,0,9,251,7,0,5,0,265,58,7,0,8,4,77,3,0,0,0,0,3,467,42,0,19,3,530,167,0,0,5,0,175,104,0,0,4,0,107,4439,76,4,81,24,4624
20301,2652,36,0,6,5,2698,3761,34,0,0,0,3794,332,41,3,0,0,378,17,9,0,0,0,24,7,0,0,0,0,10,249,12,0,0,0,262,67,3,0,3,0,72,3,0,0,0,0,4,674,64,4,0,0,746,116,0,0,0,0,117,101,4,0,0,0,106,7298,133,7,8,7,7459
20302,23389,2013,395,190,18,26006,26159,1465,337,18,24,28002,11974,3456,1249,34,33,16745,1551,858,107,0,0,2513,310,339,76,5,9,734,2876,632,161,19,21,3709,293,103,23,162,6,585,92,46,8,0,0,142,17087,5429,1633,221,62,24428,864,455,29,53,7,1403,866,202,41,8,5,1127,68363,9570,2432,490,113,80964
20303,13694,713,98,54,22,14566,11829,395,27,11,10,12267,4496,620,67,14,3,5204,57,43,0,0,0,94,33,17,10,0,0,58,1162,137,24,12,3,1338,89,12,0,19,5,127,31,0,0,0,0,38,5861,831,104,46,15,6853,609,113,8,6,3,744,431,39,7,5,3,483,32417,2101,239,116,47,34913
20401,9449,323,29,170,17,9985,7602,100,19,22,3,7746,1943,330,16,8,11,2312,309,139,0,0,0,449,56,18,0,0,0,74,986,80,9,6,0,1076,396,18,9,30,4,464,24,9,0,0,0,38,3719,596,33,48,17,4418,477,81,0,12,5,573,407,41,4,10,3,470,21649,1141,81,265,53,23190
