SA3_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
20101,10489,941,556,115,12,13,53,12176
20102,2751,233,139,22,4,0,17,3165
20103,1917,199,136,18,5,0,29,2311
20201,9127,875,491,88,12,10,61,10670
20202,4982,363,199,37,5,0,18,5604
20203,1045,92,46,9,0,0,9,1201
20301,2808,229,108,17,0,0,15,3177
20302,20420,1685,819,160,22,13,81,23203
20303,9492,727,319,44,0,0,31,10622
20401,4813,499,234,39,15,0,35,5638
20402,3929,363,224,33,13,3,48,4620
20403,6777,644,379,68,4,7,49,7931
20501,5418,547,351,64,10,4,39,6425
20502,3468,366,201,41,4,3,36,4118
20503,5701,524,283,36,9,4,53,6605
20504,6117,752,447,60,7,7,68,7458
20505,3718,363,210,33,6,0,27,4357
20601,8206,344,122,29,0,0,14,8719
20602,5553,232,79,20,0,0,7,5893
20603,7339,341,99,24,4,0,7,7819
20604,6143,348,73,20,4,4,11,6605
20605,7041,524,140,24,4,0,7,7751
20606,3755,229,59,11,0,0,3,4058
20607,5867,354,96,25,3,0,13,6358
20701,20864,822,276,84,10,0,29,22080
20702,12651,540,191,77,6,3,27,13497
20703,12302,527,179,60,6,0,24,13096
20801,12835,686,230,45,0,0,12,13810
20802,18865,825,265,53,9,0,25,20043
20803,14627,936,340,56,8,0,19,15983
20804,4858,200,57,11,0,0,4,5125
20901,15346,741,283,58,3,0,22,16457
20902,9601,469,182,66,3,0,33,10352
20903,9309,614,254,45,4,0,20,10243
20904,32860,1840,996,363,29,10,94,36196
21001,7833,377,153,49,9,0,16,8441
21002,4155,254,126,19,3,0,14,4574
21003,9020,369,142,75,7,0,15,9629
21004,5259,426,246,34,6,0,27,6002
21005,27614,1213,593,319,28,15,57,29835
21101,19986,1283,535,151,13,4,50,22019
21102,3744,179,55,25,0,0,9,4016
21103,13733,861,362,87,10,0,35,15087
21104,8118,351,106,51,6,0,15,8645
21105,17929,1535,761,154,16,8,68,20469
21201,14042,1138,689,119,20,6,69,16091
21202,17592,1071,526,175,14,3,49,19437
21203,31233,2038,1194,480,39,28,96,35110
21204,21487,1203,555,397,34,31,88,23791
21205,22184,894,297,172,9,3,36,23599
21301,20391,1226,618,384,29,20,83,22758
21302,10278,588,241,45,5,3,21,11191
21303,8334,453,140,65,9,5,31,9039
21304,25405,1715,1012,329,41,21,104,28629
21305,40637,2152,1158,553,57,17,133,44713
21401,13875,1420,732,121,26,9,56,16241
21402,15922,1426,642,79,15,7,79,18170
21501,4830,408,265,46,3,4,38,5591
21502,4777,465,293,64,12,5,55,5667
21503,3113,256,146,32,12,4,26,3583
21601,3214,310,207,37,8,0,27,3800
21602,2337,223,157,36,4,0,23,2783
21603,6258,534,303,74,11,7,45,7224
21701,3039,256,144,19,6,0,25,3491
21703,3274,240,152,23,3,0,23,3716
21704,4877,409,228,39,12,0,37,5600
29797,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0
