SA3_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
20101,213,1019,1381,1025,956,1059,1083,613,180,7527,127,1044,2044,1418,1338,1258,832,338,156,8544,55,759,2262,1789,1680,1486,687,227,43,8989,13,367,1695,1349,1288,1062,388,102,32,6305,6,145,1391,1250,1154,904,265,90,40,5248,0,57,823,1038,951,604,170,44,16,3704,4,58,981,1643,1619,1024,236,34,5,5617,0,8,133,324,346,225,49,13,6,1100,8,21,147,473,630,374,147,59,14,1868,439,481,921,711,751,692,762,693,612,6057,7163,7344,15741,14392,14251,13656,12107,6773,2878,94299
20102,43,141,235,257,318,405,400,145,24,1965,28,159,308,280,435,438,298,96,28,2070,10,118,367,408,461,497,248,68,6,2183,0,44,227,323,380,351,142,49,12,1533,0,31,199,308,367,287,122,41,11,1375,0,5,134,223,265,227,70,21,6,956,0,8,158,364,499,348,96,13,4,1489,0,0,20,88,101,80,29,7,6,332,0,0,32,140,222,180,70,13,0,671,137,80,223,284,380,384,394,264,168,2315,1596,1048,2608,3585,4600,5145,4575,2079,689,25926
20103,36,129,233,210,324,309,313,151,35,1749,26,189,282,283,395,374,211,71,17,1842,17,108,318,307,405,396,168,46,16,1767,3,53,205,183,262,236,84,23,3,1053,0,16,158,156,227,208,66,16,8,860,0,4,71,102,138,104,32,3,3,473,0,10,105,142,188,132,51,13,3,642,0,0,9,20,40,24,9,5,0,110,3,3,16,37,50,44,35,24,0,210,166,106,235,293,435,383,468,325,106,2512,1373,1107,2355,2534,3654,4154,4352,2361,750,22630
20201,174,842,1247,967,901,972,963,523,178,6767,101,996,1915,1381,1245,1201,775,341,101,8055,53,689,1949,1532,1448,1346,639,214,68,7944,8,374,1504,1200,1103,888,383,97,22,5584,7,174,1307,1197,1027,784,286,77,41,4905,0,71,770,858,849,560,153,40,9,3309,0,55,846,1307,1342,845,196,41,15,4639,0,11,103,249,259,171,41,12,5,854,0,11,103,299,354,246,95,41,26,1169,374,385,853,713,714,725,720,649,567,5702,5980,6489,13979,12582,12136,12212,11096,6354,2812,83646
20202,91,255,337,414,536,604,612,325,69,3237,30,260,490,501,605,706,509,213,41,3359,14,165,510,624,820,815,480,147,18,3581,5,78,434,502,579,556,261,85,23,2517,3,24,380,551,604,504,222,71,14,2367,0,18,214,404,512,355,119,37,11,1675,4,10,316,754,913,654,178,45,10,2895,0,3,41,191,261,135,51,7,0,688,5,0,53,288,427,264,110,36,11,1185,247,204,547,566,617,600,600,471,336,4199,2774,1842,4463,6101,7608,8128,7624,3923,1340,43799
20203,26,40,92,94,118,189,130,63,11,761,10,73,151,142,161,200,113,42,12,896,9,55,145,126,161,198,98,18,6,818,0,19,102,100,133,129,65,16,5,565,0,4,52,93,106,112,33,17,7,432,0,3,36,60,57,60,28,6,0,260,0,0,31,76,100,81,30,10,0,328,0,0,4,11,18,13,3,0,0,55,0,0,7,13,26,28,14,10,7,99,71,61,100,144,198,253,221,164,111,1318,635,457,1027,1215,1603,2160,1887,899,371,10254
20301,48,132,160,207,194,210,179,65,15,1200,37,136,244,294,258,245,152,46,5,1404,10,108,339,343,340,306,148,37,6,1626,3,61,271,306,331,218,81,25,4,1299,0,18,253,300,283,173,67,16,3,1117,0,7,156,234,256,138,28,10,0,827,0,9,218,410,369,220,58,14,4,1303,0,0,31,81,87,43,17,0,6,260,0,5,40,106,129,95,42,8,0,426,117,62,140,201,184,191,184,148,113,1351,1509,967,2385,3131,3152,2896,2289,943,307,17578
20302,289,1783,2522,1846,1689,1737,1754,996,297,12914,179,1925,3659,2394,2395,2152,1455,570,183,14905,74,1454,4541,3018,2751,2538,1181,363,107,16023,24,754,3662,2477,2246,1865,721,183,42,11985,4,325,3090,2494,2172,1526,512,176,57,10370,4,129,1918,1918,1778,1144,295,74,21,7284,6,93,2553,3629,3059,1942,383,101,27,11794,5,20,354,711,704,428,101,37,12,2371,3,26,391,1091,1267,670,238,83,24,3797,697,1019,2256,1748,1536,1262,1440,1280,1026,12265,12177,14716,32338,27287,25859,24118,20738,12319,5340,174895
20303,93,535,712,696,706,935,1310,672,148,5808,56,507,916,950,907,1076,1045,428,80,5960,28,394,1263,1172,1175,1241,1011,310,67,6655,8,187,1066,1075,1030,918,524,184,38,5023,0,83,971,1195,1120,877,438,143,36,4863,0,15,684,955,906,643,307,77,20,3608,0,18,864,1907,1767,1113,388,129,27,6225,0,6,126,447,433,313,95,36,7,1466,0,12,143,719,859,643,288,93,35,2800,302,216,436,565,636,680,873,690,593,4987,4687,3855,9005,11854,11717,12569,13583,6650,2302,76217
20401,117,357,481,467,584,709,666,341,81,3797,88,417,726,628,740,809,530,216,50,4207,69,319,914,760,868,944,515,159,36,4590,8,195,624,616,667,663,304,78,12,3180,5,77,538,554,564,528,220,55,19,2564,3,35,317,404,381,376,122,30,9,1664,0,34,362,564,698,549,167,46,9,2429,0,3,38,106,149,133,54,18,4,509,0,8,40,154,237,222,114,58,25,864,375,306,546,574,714,861,819,575,381,5158,3284,2819,6040,6382,7638,9277,8764,4568,1622,50389
