SA3_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
20101,1897,1252,1194,985,1139,941,782,496,290,8969,21902,14504,15741,14392,14251,13656,12107,6773,2878,116201
20102,521,273,249,326,428,446,412,197,92,2938,5043,2645,2608,3585,4600,5145,4575,2079,689,30975
20103,504,290,241,328,456,394,401,236,85,2943,4125,2479,2355,2534,3654,4154,4352,2361,750,26759
20201,1762,1058,1107,963,965,959,709,523,390,8448,19389,12471,13979,12582,12136,12212,11096,6354,2812,103034
20202,759,482,599,642,763,709,617,400,204,5182,8704,4611,4463,6101,7608,8128,7624,3923,1340,52500
20203,224,138,110,157,209,287,221,135,86,1559,1968,1097,1027,1215,1603,2160,1887,899,371,12224
20301,430,194,177,247,244,219,162,77,20,1757,4903,2475,2385,3131,3152,2896,2289,943,307,22483
20302,2955,2347,2658,2232,2053,1694,1367,822,413,16547,37090,26893,32338,27287,25859,24118,20738,12319,5340,211986
20303,1238,666,576,813,821,906,1003,596,314,6930,17200,8541,9005,11854,11717,12569,13583,6650,2302,93417
20401,1027,681,617,687,805,937,778,416,187,6128,9613,6101,6040,6382,7638,9277,8764,4568,1622,60002
20402,849,464,434,458,542,566,513,388,170,4382,7949,4789,4828,5081,6129,7116,6839,4093,1632,48454
20403,1209,825,734,768,813,836,678,418,191,6476,14093,8375,8716,9113,9705,10517,9363,4856,1745,76475
20501,1041,510,564,572,587,580,511,342,149,4854,10992,6125,7161,6589,6936,7599,7080,3953,1359,57775
20502,802,437,463,461,598,705,749,471,245,4921,7307,4136,4389,4510,5626,7770,8702,4878,1518,48830
20503,1112,560,535,713,738,963,976,584,268,6453,11331,6090,6226,7392,8750,11542,12038,6106,2074,71548
20504,1630,960,983,918,922,966,772,512,366,8029,13658,8625,9789,8845,9304,10630,9318,5057,1948,77168
20505,789,552,819,793,624,592,551,247,122,5081,7740,4688,5161,5195,5555,6652,6397,3101,1036,45525
20601,618,585,1285,824,693,506,304,227,113,5150,11619,10417,21846,15561,11163,8269,5590,3551,1854,89874
20602,459,347,601,493,470,314,202,123,60,3071,8023,5387,10564,8777,7816,5591,3623,2306,1182,53270
20603,684,618,864,672,672,579,346,180,87,4701,10376,8317,12396,10311,9435,7991,5602,2820,1461,68712
20604,902,2513,4431,2168,1154,892,638,304,161,13170,10094,31487,52964,23165,11739,9233,6588,3141,1188,149601
20605,834,731,1959,1534,1272,1021,656,460,299,8770,11629,8843,23122,18287,14680,11602,8052,4268,1468,101956
20606,428,579,1245,723,579,470,373,316,212,4930,5529,7027,17543,9668,6802,5886,5128,3515,1438,62539
20607,756,731,1897,1110,826,711,460,233,118,6839,9683,9260,27093,15326,10373,8523,6265,3247,1288,91060
20701,1263,1238,1150,1007,1259,1053,788,548,345,8646,26933,24255,21044,20408,23812,20747,15917,9829,4961,167900
20702,705,543,555,627,655,588,516,473,290,4950,15716,10929,11449,13247,12510,12114,10197,8421,3807,98386
20703,825,1034,1096,718,743,633,480,344,301,6165,16177,15592,16286,14215,14161,11831,9132,6292,3502,107187
20801,1059,690,467,664,989,795,638,431,274,6016,17682,12177,7912,11814,16260,14041,11081,6937,3422,101306
20802,1369,1068,1332,1208,1140,885,791,500,373,8662,27256,18760,23697,22987,21477,16955,13559,7592,4193,156469
20803,1272,782,961,1004,1058,867,667,504,267,7384,21734,12809,14549,17974,18452,15074,11578,7119,3404,122693
20804,366,289,387,291,291,264,197,160,124,2361,6481,5769,6204,5375,5830,4796,3849,2560,1307,42162
20901,1207,875,984,1003,955,835,683,428,234,7205,22430,13841,16254,18164,16921,14862,12694,7678,3400,126236
20902,1010,853,1208,951,933,653,518,394,374,6895,14333,10763,18020,15112,12577,9727,6946,5050,2765,95299
20903,766,555,318,505,682,645,421,228,81,4201,12433,8879,6015,8200,10593,9954,7072,3050,906,67105
20904,4087,2312,2724,2606,2205,1723,1191,824,503,18172,54300,30158,39618,40738,30640,24959,18646,9527,3439,252026
21001,615,430,464,492,547,439,356,307,135,3777,10620,6835,6936,8213,8613,7191,6337,4844,2104,61687
21002,485,321,203,310,374,325,255,127,30,2438,6875,3691,3020,4386,4939,4451,3491,1700,418,32969
21003,1180,754,1150,945,758,496,364,319,289,6255,14739,9106,15141,12942,9447,7441,4939,3977,2805,80537
21004,673,404,484,425,423,358,200,118,60,3144,8669,5343,6854,6225,5955,5513,3979,1834,689,45064
21005,4041,2296,2882,2601,1945,1539,856,467,165,16789,47200,26949,34528,31844,23282,19715,12596,6151,1797,204071
21101,1575,1127,1186,1141,1208,1113,772,547,281,8948,27118,18985,20226,22278,21558,20534,16008,8903,3539,159148
21102,275,232,107,148,232,189,155,107,64,1509,4420,3821,1898,2789,4272,3820,2877,1735,749,26386
21103,1177,767,838,902,846,762,522,393,293,6507,20920,12869,14998,16781,15307,13555,10729,6543,2874,114579
21104,500,365,359,433,403,328,324,289,269,3275,10935,7206,7442,9221,8593,6971,6188,4398,1983,62935
21105,2082,1397,1272,1296,1487,1399,978,533,204,10645,28907,18020,19073,20308,21344,20163,16273,8503,2672,155256
