SA3_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
20101,402,13,3,19,422,69,0,491,0,0,0,0,4,0,0,0,4,0,13,12,2449,322,55,21,2842,34,6,44,2886,176,14,3073,595,75,14,0,679,0,6,3,684,30,0,720,700,97,7,3,814,5,4,10,827,38,0,864,51,3,6,0,55,0,0,0,55,4,0,58,3,0,0,5,8,0,0,0,8,0,7,15,1354,176,22,8,1560,7,10,16,1572,79,9,1657,6,0,0,0,6,8,0,8,10,0,0,12,21,4,0,0,23,0,0,0,26,0,0,25,26,4,0,0,32,5,0,5,37,3,0,38,1382,178,22,9,1590,13,10,24,1612,82,9,1695,175,37,5,8,224,11,0,11,231,59,0,293,0,0,0,0,4,0,0,0,4,0,7,4,1560,215,29,14,1818,22,10,29,1846,134,11,1997,789,90,14,3,897,3,0,7,897,44,0,947,807,129,19,6,954,15,8,13,974,36,0,1007
20102,128,0,0,0,128,20,0,144,0,0,0,0,0,0,0,0,0,0,0,0,589,120,17,15,748,6,0,6,752,49,0,807,152,30,4,0,189,5,0,5,190,7,0,199,208,28,0,0,239,0,0,0,239,12,0,252,16,3,0,0,18,0,0,0,18,0,0,17,6,0,0,3,5,0,0,0,5,0,0,5,378,66,3,11,452,5,0,5,458,17,0,475,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,383,66,3,11,455,5,0,5,461,17,0,482,57,9,6,5,71,0,0,0,69,12,0,81,0,0,0,0,0,0,0,0,0,0,0,0,440,68,3,13,530,9,0,9,535,35,0,565,184,39,4,3,227,3,0,3,228,10,0,241,206,41,0,6,258,3,0,8,267,11,0,278
20103,94,0,3,7,100,34,0,132,0,0,0,0,0,0,0,0,0,0,6,6,404,70,16,15,513,3,5,12,520,56,3,579,102,18,0,0,127,0,0,0,128,3,0,133,130,27,7,0,158,0,0,0,165,11,0,178,3,0,0,0,4,0,0,0,4,0,0,10,0,0,0,0,4,0,0,0,4,0,0,4,240,42,4,9,295,0,6,6,299,22,0,321,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,7,0,0,7,241,45,4,9,305,0,6,6,307,22,0,325,45,12,4,3,59,0,0,0,59,23,0,84,0,0,0,0,0,0,0,0,0,0,8,6,287,58,7,7,361,0,6,3,367,40,8,418,117,17,6,0,142,0,0,0,142,12,0,153,136,31,6,0,175,0,0,4,178,12,0,194
20201,333,10,0,10,343,80,0,423,3,0,0,0,7,0,0,0,7,0,7,15,1940,246,53,29,2269,30,5,39,2305,163,14,2488,494,54,11,0,560,7,0,10,570,27,0,595,590,98,12,5,697,6,0,6,708,24,0,736,30,3,4,0,36,5,0,5,35,4,0,44,8,0,0,6,13,0,0,0,13,5,3,22,1119,151,26,12,1315,17,3,20,1332,62,5,1392,4,5,0,0,9,0,0,0,10,0,0,10,22,4,0,0,25,0,0,0,26,3,0,32,26,3,0,0,33,0,0,0,39,3,0,41,1146,156,26,12,1340,17,3,24,1367,65,5,1437,153,28,5,0,188,4,0,8,198,68,0,268,0,0,0,0,0,0,0,0,0,0,5,13,1303,187,32,17,1532,23,7,32,1566,131,12,1707,684,82,19,0,777,4,5,7,790,36,0,826,673,110,13,0,803,4,0,3,802,32,0,838
20202,131,0,0,0,133,24,0,155,5,0,0,0,3,0,0,0,3,0,0,8,1059,181,36,26,1304,9,7,17,1317,78,4,1395,247,38,9,0,290,0,0,5,291,19,0,315,297,48,16,4,364,5,0,5,370,19,0,386,24,0,0,0,32,4,0,4,36,0,0,37,0,0,0,8,10,0,0,0,10,0,0,11,569,92,25,15,699,3,0,10,707,38,0,745,0,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,10,0,0,0,7,0,0,0,7,0,0,7,581,90,25,15,709,3,0,10,719,38,0,754,58,16,7,0,82,0,0,0,81,17,0,103,3,0,3,0,6,0,0,0,6,0,5,7,639,110,36,15,796,3,4,10,806,54,5,864,337,47,21,6,407,0,0,0,412,26,0,436,356,99,15,3,473,5,4,5,481,30,0,511
20203,38,0,0,0,38,12,0,54,4,0,0,0,4,0,0,0,4,0,3,3,266,29,9,10,319,0,0,5,323,29,3,352,61,4,0,0,69,0,0,0,69,7,0,74,68,3,0,0,76,0,0,0,76,0,0,77,3,0,0,0,7,0,0,0,7,0,0,7,5,0,0,3,14,0,0,0,14,4,0,14,143,10,7,11,164,0,0,0,164,10,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,143,10,7,11,164,0,0,0,166,14,0,174,18,5,0,0,25,0,0,0,28,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,162,11,7,9,185,4,0,4,192,16,0,213,67,0,0,3,70,0,0,0,74,5,0,83,105,10,0,0,116,0,0,0,116,7,0,119
20301,108,0,0,0,108,14,0,119,0,0,0,0,0,0,0,0,0,0,0,0,626,68,15,19,728,0,0,5,729,34,4,770,154,11,6,0,175,0,0,0,175,9,0,186,195,32,8,0,233,0,0,0,234,5,0,239,11,0,0,0,15,0,0,0,15,0,0,21,0,4,0,4,3,0,0,0,3,0,0,8,360,45,15,7,429,0,0,0,433,19,0,449,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,368,45,15,7,436,0,0,0,438,19,0,456,56,3,0,5,64,0,0,0,64,8,0,65,0,0,0,0,0,0,0,0,0,0,0,5,425,56,16,7,501,0,0,0,502,22,4,523,212,20,0,0,237,0,0,0,236,10,0,253,236,27,12,3,283,3,3,5,284,9,0,292
20302,678,11,9,19,699,156,0,852,0,3,0,3,6,0,0,0,6,0,14,18,3817,636,93,41,4590,54,16,68,4657,322,24,4999,880,115,14,8,1018,18,6,21,1037,48,3,1089,1242,140,17,7,1408,19,4,21,1431,45,0,1473,57,7,9,0,69,0,0,3,71,10,0,80,3,3,0,8,16,0,0,0,16,0,0,16,2186,261,43,19,2511,34,7,40,2548,98,3,2654,8,7,10,0,18,3,0,3,23,3,0,27,33,0,0,0,37,3,0,3,42,0,0,39,45,8,10,0,57,7,0,7,59,11,0,69,2228,270,48,19,2565,43,7,46,2612,108,3,2724,348,77,11,5,442,10,0,11,451,111,0,560,5,0,0,4,11,0,0,0,11,0,8,19,2585,347,59,28,3017,53,7,62,3074,215,12,3301,1216,151,26,7,1398,26,5,28,1430,71,3,1505,1484,180,27,3,1689,19,0,22,1712,63,3,1780
20303,306,4,0,4,311,45,0,362,0,0,0,0,0,0,0,0,0,0,5,3,2201,317,69,39,2629,16,11,24,2653,109,11,2775,494,73,16,3,582,10,0,14,596,32,0,630,642,109,15,8,772,8,0,12,780,19,0,795,29,9,12,0,46,0,0,5,51,3,0,48,3,0,0,15,21,0,0,0,21,0,0,22,1162,186,40,28,1423,23,3,24,1446,55,0,1498,9,4,0,0,11,0,0,0,13,0,0,13,9,0,0,0,13,0,0,0,13,0,0,13,16,4,0,0,25,0,0,0,24,0,0,24,1185,192,40,28,1444,23,3,24,1471,55,0,1522,133,21,3,6,165,0,0,0,171,27,4,200,5,0,0,0,5,0,0,0,5,0,0,6,1318,216,44,32,1613,23,3,23,1643,82,8,1731,613,96,11,3,725,7,5,11,732,35,0,772,714,126,16,9,861,4,0,6,871,28,0,903
20401,189,6,0,6,197,45,0,245,0,0,0,0,0,0,0,0,0,0,0,0,1093,149,30,28,1300,19,6,23,1324,81,3,1407,267,32,5,3,306,0,0,3,308,15,0,325,304,47,12,0,359,6,0,5,368,20,0,386,7,9,5,0,15,0,0,0,15,0,0,14,3,0,0,9,8,0,0,0,8,0,0,8,581,80,19,14,693,3,3,9,702,33,0,740,8,0,3,0,5,0,0,0,5,0,0,5,6,0,0,0,10,0,0,0,10,0,0,17,9,0,0,0,16,0,0,0,16,0,0,23,588,84,25,15,713,3,3,9,723,36,0,762,82,21,6,5,114,3,0,3,115,34,0,146,0,0,0,0,0,0,0,0,0,0,0,7,671,101,29,24,830,7,3,11,840,72,6,914,364,39,9,8,412,9,5,9,419,22,4,442,329,62,15,9,425,0,0,0,425,21,0,441
