SA3_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
20101,12,64,6,17,8,0,112,6,80,6,15,6,0,112,99,554,70,129,13,6,876,489,219,94,228,20,10,1059,435,137,48,231,17,3,864,1739,167,64,441,24,17,2443,3607,42,32,545,25,7,4263,2901,17,3,266,23,0,3212,490,9,0,55,9,0,553,59,0,0,23,0,0,83,25,0,0,10,0,0,34,20,0,0,3,0,0,23,3,6,0,0,3,0,6,8,0,0,10,3,0,26,149,90,12,101,37,29,433,10038,1393,338,2070,195,73,14103
20102,0,4,0,8,4,0,18,0,8,3,11,0,0,24,16,61,13,48,15,7,157,16,22,7,54,7,0,108,27,11,0,76,8,0,120,82,0,3,90,6,0,179,208,6,0,142,8,0,363,252,0,0,91,8,0,347,58,0,0,15,0,0,68,13,0,0,3,0,0,18,5,0,0,3,0,0,13,0,0,0,5,0,0,4,3,0,0,0,0,0,0,6,0,0,9,0,0,17,11,7,0,45,8,8,80,694,115,37,596,75,13,1527
20103,0,9,6,19,3,0,36,0,10,7,12,0,0,37,17,80,12,74,15,0,206,71,37,10,114,3,5,241,101,10,4,104,11,0,222,269,14,4,125,13,3,427,204,4,0,80,13,5,299,42,0,0,30,0,0,76,8,0,0,3,6,0,16,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,5,11,13,6,41,23,11,104,725,180,50,623,90,20,1692
20201,8,70,12,12,4,0,103,3,79,12,13,6,0,105,49,505,27,124,10,9,728,280,230,87,248,15,9,876,317,105,45,272,16,6,761,1353,172,71,452,37,10,2094,2891,79,58,614,32,9,3689,2221,10,11,297,22,0,2561,428,4,0,65,3,0,509,55,3,0,15,7,0,81,18,5,0,8,0,0,27,3,0,0,0,0,0,4,0,0,0,3,0,0,3,7,0,0,5,0,0,18,101,80,17,119,27,17,364,7726,1344,354,2250,183,62,11914
20202,8,14,0,8,8,0,40,0,18,3,4,5,0,29,8,121,21,59,9,0,228,21,34,16,97,7,0,174,26,15,12,84,7,4,143,129,18,13,113,10,0,288,370,22,10,207,9,8,625,530,8,7,150,11,0,715,206,0,0,61,0,0,268,74,0,0,6,0,0,80,25,0,0,8,0,0,40,9,0,0,0,0,0,9,3,0,0,0,0,0,3,3,0,0,5,0,0,10,22,22,11,47,21,3,127,1444,270,101,862,91,16,2786
20203,0,0,0,6,6,0,17,0,11,4,6,0,0,26,11,21,0,56,22,0,109,24,0,0,57,12,0,96,18,0,0,47,7,0,71,36,0,0,30,4,0,74,26,0,0,21,3,0,54,16,0,0,9,0,0,34,7,0,0,3,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,19,17,0,45,135,40,9,265,77,3,530
20301,0,0,0,0,4,0,8,0,0,0,7,0,0,3,4,8,0,12,3,0,34,4,0,0,28,0,5,36,3,3,4,30,12,0,47,22,0,0,40,3,0,72,97,0,0,60,7,0,164,146,0,0,54,4,0,199,70,0,0,7,0,0,81,18,0,0,5,0,0,22,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,25,0,55,378,24,10,262,72,4,746
20302,24,152,12,33,5,4,217,7,140,19,24,13,0,205,105,976,73,167,32,13,1366,316,402,237,330,75,18,1380,515,171,75,304,59,9,1128,1579,248,104,502,76,19,2517,4549,164,101,987,98,22,5917,6396,75,61,804,103,17,7454,2179,10,11,214,26,3,2442,490,6,0,65,7,0,566,182,0,0,47,0,0,241,61,0,0,19,0,0,84,27,0,0,5,6,0,39,60,0,0,12,5,0,71,264,166,35,202,86,48,800,16745,2513,734,3709,585,142,24428
20303,9,6,0,16,0,0,30,9,3,3,4,5,0,23,15,51,11,70,6,0,150,50,15,17,74,16,0,167,49,0,3,92,10,0,157,152,0,8,141,6,0,305,671,5,11,253,15,6,954,2153,3,7,335,14,4,2520,1243,3,0,188,8,0,1446,509,0,0,67,3,0,586,156,0,0,25,0,0,182,66,0,0,11,0,0,81,25,0,0,4,0,0,27,34,0,0,10,0,0,41,65,11,0,75,32,19,200,5204,94,58,1338,127,38,6853
20401,4,28,8,15,18,7,76,3,22,0,9,7,0,48,15,184,21,84,42,9,359,99,63,21,123,41,3,348,126,32,3,146,20,0,330,374,40,5,217,146,0,789,769,21,3,220,78,3,1099,718,4,7,147,29,6,901,112,0,0,26,5,0,138,12,0,0,9,7,0,29,3,0,0,5,0,0,7,5,0,0,0,0,0,8,0,0,0,0,0,0,0,17,0,0,7,6,0,26,55,38,6,79,68,11,258,2312,449,74,1076,464,38,4418
