SA3_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
20803,12,10,9,11,10,0,0,184,0,0,3,0,9,13,18,4,0,0,0,0,0,0,0,46,0,17,63,57,88,44,192,183,17,18,12,12,0,3,10,715,41,325,326,71,14,14,31,71,5,3,0,3,3,0,32,953,0,0,0,0,37,60,84,31,7,0,5,11,6,3,9,262,0,0,0,5,13,10,84,34,9,3,10,5,0,0,3,177,0,0,25,49,35,16,16,12,0,4,7,0,0,0,5,175,0,0,22,64,141,49,125,51,16,20,17,15,8,0,11,534,0,0,0,0,0,7,38,12,3,14,21,9,5,0,8,121,9,127,40,24,25,17,34,11,4,9,9,7,0,0,10,330,6,18,97,230,336,324,547,277,35,34,42,31,5,14,48,2037,0,0,10,9,12,9,4,0,0,0,0,0,0,0,0,56,0,0,3,6,11,0,28,14,6,5,5,0,5,0,5,77
20804,3,7,10,6,0,0,0,93,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,13,0,8,12,20,28,20,21,23,7,3,3,0,0,0,0,141,12,104,87,23,4,7,8,7,4,0,0,0,5,0,11,280,0,4,0,7,7,16,37,13,3,6,7,4,5,0,5,105,0,0,0,9,12,23,37,17,0,5,3,4,0,0,4,120,0,0,7,8,4,3,3,4,0,0,0,0,0,0,0,35,0,0,27,66,130,69,87,57,17,14,28,21,12,3,0,534,0,0,0,0,0,3,10,15,10,27,32,35,5,0,0,141,0,31,0,3,8,3,3,3,0,0,0,5,0,0,0,70,9,9,35,62,75,118,117,76,10,11,12,25,4,3,8,572,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,13,9,6,4,3,0,3,0,0,43
20901,37,37,40,25,14,3,9,753,0,0,3,0,0,39,22,18,0,0,3,0,0,0,6,89,0,6,50,46,89,48,95,65,3,11,6,3,0,8,9,439,90,928,630,85,50,27,44,57,6,5,9,4,0,0,80,2014,0,3,0,6,37,49,91,43,5,5,5,9,0,5,3,262,0,0,0,3,21,23,133,54,0,7,5,3,0,0,0,252,5,16,50,117,92,23,19,7,3,0,3,0,0,0,3,353,0,5,44,124,274,130,269,135,47,48,36,20,9,3,11,1159,0,0,0,0,0,10,31,16,20,16,29,38,4,0,7,172,5,98,16,18,10,17,29,13,11,0,5,0,0,0,8,233,9,20,63,135,226,284,351,226,29,26,32,25,7,19,31,1482,0,28,152,86,66,42,21,10,0,5,0,0,0,0,13,427,0,0,0,8,10,20,39,46,6,13,11,17,4,0,3,176
20902,11,13,22,11,0,3,4,335,0,0,0,0,6,63,58,42,4,4,5,0,3,0,0,196,0,4,10,13,32,22,72,31,3,4,0,7,0,0,3,212,102,1543,1634,196,64,52,68,148,35,17,8,10,0,0,160,4040,0,0,0,0,3,44,87,35,8,6,4,3,3,0,0,212,0,0,0,0,7,13,54,31,5,4,5,0,0,0,4,132,0,18,146,267,190,101,69,36,5,12,5,13,11,3,31,915,0,4,10,36,130,76,155,103,69,48,28,38,10,0,12,727,0,0,0,0,4,8,93,145,79,148,246,216,51,5,19,1013,0,30,6,5,7,7,16,9,0,4,0,0,0,0,3,91,0,3,20,88,164,226,430,277,28,35,37,29,9,7,28,1393,8,58,301,231,172,81,46,11,3,11,0,6,0,0,29,949,0,0,0,0,10,15,46,122,26,27,45,35,21,4,10,363
20903,8,16,6,6,0,0,4,263,0,0,0,0,5,5,10,0,0,12,0,3,0,0,0,32,0,11,36,30,44,25,60,21,0,0,3,0,0,0,0,228,18,251,211,40,10,15,0,3,0,0,0,0,0,0,32,595,0,0,0,3,3,15,24,4,0,0,5,4,0,0,0,58,0,0,0,4,5,8,15,0,0,0,0,0,0,0,0,40,0,4,12,17,12,0,4,0,0,0,0,4,0,0,0,55,0,0,22,43,72,14,39,32,5,4,3,0,0,0,7,245,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,13,5,62,24,21,26,15,32,10,0,0,0,0,0,0,5,203,8,7,37,102,142,134,185,49,16,8,3,11,4,0,16,724,0,8,45,45,10,5,4,5,0,0,0,0,0,0,5,133,0,0,0,0,4,8,10,8,0,4,0,0,0,0,0,29
20904,69,79,65,108,15,17,38,2402,0,0,7,9,21,924,924,605,163,147,81,171,12,12,34,3111,3,15,47,29,71,16,65,66,6,5,4,7,0,0,4,358,102,1794,2604,428,178,78,147,211,37,34,30,16,0,5,231,5884,0,3,4,4,6,31,56,30,8,5,0,4,0,0,4,160,0,0,0,5,15,33,158,42,18,9,14,9,0,0,5,302,0,15,156,469,414,297,311,154,35,36,40,45,9,10,57,2040,0,3,25,62,254,137,403,262,112,95,75,66,10,4,24,1514,0,0,0,0,0,20,709,442,107,120,182,231,46,3,16,1885,8,97,27,6,11,15,19,5,4,0,0,6,0,0,3,199,0,5,41,151,305,453,787,680,92,146,124,78,20,36,93,3011,8,122,1382,1620,975,678,499,224,44,45,49,43,12,12,156,5849,0,0,3,13,38,118,423,537,125,111,101,98,41,25,22,1653
21001,0,13,11,0,0,3,0,245,0,0,0,0,7,37,28,17,4,0,0,0,0,0,5,97,0,9,19,13,25,10,46,38,8,5,4,0,0,0,0,199,82,1392,1328,153,43,29,37,58,7,15,5,0,0,0,102,3254,0,0,0,0,15,16,30,8,3,0,0,0,6,0,0,77,0,0,0,0,17,9,21,10,6,4,3,0,0,0,0,68,0,17,45,95,46,23,12,12,0,0,8,0,0,0,3,254,0,0,6,37,49,32,86,46,12,6,4,14,4,0,9,292,0,0,0,0,0,0,11,14,0,5,13,8,0,0,0,59,4,31,4,4,3,3,3,4,0,0,0,0,0,0,0,67,3,7,25,47,64,92,117,83,12,9,19,10,3,0,20,514,3,3,121,111,25,13,4,6,0,0,0,0,0,0,5,292,0,0,0,0,5,5,31,34,3,11,22,5,0,0,11,130
21002,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,12,0,5,10,11,21,8,22,9,0,0,0,0,0,0,5,95,4,56,62,7,0,6,4,0,0,0,0,0,0,0,8,144,0,0,0,0,0,6,7,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,7,0,0,6,0,0,0,0,0,0,0,0,16,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,4,32,5,3,7,8,3,0,0,4,0,0,0,0,0,82,0,3,18,55,81,63,125,39,11,0,5,0,0,0,11,427,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,9
21003,13,3,11,10,0,0,8,350,0,0,0,11,20,208,116,77,19,19,15,10,3,0,11,506,0,7,10,10,20,15,45,41,5,6,9,0,0,0,10,178,90,1337,1295,201,73,36,63,127,19,17,9,3,3,0,179,3452,0,3,0,3,5,17,57,21,5,6,3,0,0,0,0,124,0,0,0,0,4,13,63,34,6,3,0,4,0,0,4,136,0,4,118,388,257,254,277,117,20,31,21,25,5,3,58,1585,0,0,0,21,48,40,150,59,29,21,24,16,9,8,4,425,0,0,0,0,0,17,447,343,184,397,556,605,178,6,58,2787,0,25,9,0,4,4,9,5,0,3,0,0,0,0,0,62,3,6,10,55,133,139,280,215,29,30,28,26,6,11,21,991,0,5,17,16,15,14,5,7,3,0,0,0,0,0,6,84,0,0,0,3,35,100,476,679,185,185,210,232,112,24,45,2277
21004,0,0,0,0,0,0,4,22,0,0,0,3,0,8,4,0,0,0,0,0,0,0,0,20,0,6,17,12,48,19,35,26,0,6,0,0,0,0,4,166,11,92,106,28,8,3,14,8,0,3,0,0,3,0,13,283,0,0,0,0,0,6,13,10,0,0,0,0,0,0,0,31,0,0,0,0,0,4,18,4,0,5,0,0,0,0,0,35,0,0,7,14,5,6,16,8,0,0,6,0,0,0,0,60,0,0,0,15,29,5,23,21,4,10,3,0,0,0,0,111,0,0,0,0,0,0,30,17,0,0,0,0,0,0,0,42,10,59,11,11,13,3,6,6,0,0,0,0,0,0,5,119,0,3,9,63,124,117,193,129,10,20,22,17,9,4,23,736,0,0,10,12,3,0,4,4,4,0,0,0,0,0,0,42,0,0,0,0,7,7,21,19,6,5,0,0,0,0,0,66
