SA3_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
20101,0,23,3217,3245,55,582,2642,3273,1773,2051,3290,7114,3599,1032,1664,6290,3635,828,1801,6269,3624,568,1718,5912,3383,265,1333,4976,1851,106,720,2676,430,8,303,740,18353,5463,16695,40505,0,62,3023,3088,121,754,2414,3287,2328,2080,2944,7346,3973,999,2176,7155,3708,780,2529,7016,3619,502,2581,6704,3206,197,2508,5921,1422,63,1790,3279,226,5,994,1225,18609,5449,20967,45020,0,93,6243,6332,178,1332,5057,6567,4098,4131,6235,14464,7570,2036,3839,13445,7350,1604,4339,13289,7242,1074,4299,12614,6592,467,3843,10902,3273,165,2516,5958,661,12,1296,1964,36962,10907,37660,85528
20102,0,4,780,786,7,44,455,504,328,355,444,1128,823,379,371,1569,1089,387,547,2020,1289,333,604,2228,1263,182,603,2050,604,45,289,930,99,6,99,203,5505,1725,4193,11418,0,4,674,676,15,61,342,417,422,382,379,1186,916,382,371,1665,1188,371,556,2109,1301,312,730,2337,1124,148,729,2005,436,27,412,877,46,0,234,278,5442,1683,4428,11547,0,5,1454,1464,19,102,797,920,754,737,823,2316,1736,764,742,3236,2272,753,1099,4129,2592,641,1338,4567,2382,326,1340,4050,1042,66,700,1808,142,8,333,480,10946,3406,8617,22966
20103,0,6,628,631,10,83,426,517,255,294,445,998,478,217,351,1038,795,246,543,1587,941,224,661,1831,1139,150,668,1964,657,43,388,1093,121,8,110,237,4396,1270,4231,9896,0,9,560,569,13,120,313,448,330,320,431,1079,604,217,333,1154,850,280,499,1622,1039,200,644,1880,1065,127,699,1887,481,36,510,1026,50,0,236,289,4430,1306,4223,9956,0,20,1181,1198,26,204,737,965,581,615,882,2075,1081,429,681,2193,1645,523,1040,3211,1982,425,1307,3712,2204,280,1368,3850,1142,79,902,2117,171,7,350,528,8822,2580,8447,19856
20201,0,38,2751,2788,57,450,2357,2868,1622,1819,2659,6112,3104,888,1513,5503,3030,674,1600,5304,3045,478,1618,5146,3118,243,1263,4623,1809,86,661,2560,471,10,307,792,16258,4698,14737,35701,3,52,2642,2696,96,678,2149,2924,2171,1903,2621,6701,3367,867,1928,6161,3068,677,2231,5973,3240,398,2436,6069,2894,187,2232,5311,1428,47,1536,3004,248,8,844,1094,16507,4812,18619,39947,3,89,5395,5487,151,1133,4513,5794,3801,3730,5282,12813,6469,1756,3445,11670,6097,1354,3830,11281,6286,878,4055,11213,6016,431,3493,9937,3235,132,2199,5566,722,21,1150,1887,32770,9514,33360,75643
20202,0,3,1300,1307,14,77,783,871,489,544,806,1837,1445,577,520,2546,1880,633,819,3329,2082,500,925,3511,2102,328,955,3380,1118,97,529,1742,203,11,172,382,9340,2768,6800,18905,0,9,1218,1223,24,104,604,734,679,660,651,1990,1644,649,616,2909,2021,622,931,3577,2203,440,1153,3787,1952,256,1240,3447,802,56,861,1722,90,9,374,469,9409,2804,7651,19866,0,14,2520,2530,35,177,1386,1606,1171,1203,1454,3828,3090,1230,1131,5455,3903,1256,1749,6906,4286,940,2075,7298,4055,585,2199,6833,1923,147,1392,3467,295,17,544,856,18755,5564,14451,38773
20203,0,0,286,284,4,24,161,190,122,129,177,428,300,97,123,516,370,105,216,690,531,88,334,956,557,66,270,891,256,10,127,396,52,0,50,106,2190,513,1743,4452,0,0,271,269,6,37,137,191,175,139,179,499,331,103,104,541,421,95,165,682,569,92,258,918,481,44,230,760,196,8,168,374,26,0,116,141,2205,533,1623,4364,0,0,555,553,13,65,301,380,298,266,354,925,635,199,221,1056,790,202,377,1368,1103,183,590,1869,1036,108,503,1648,454,18,300,766,79,0,168,243,4402,1045,3362,8813
20301,0,6,714,715,12,30,439,478,383,364,358,1104,888,252,206,1348,1017,214,245,1477,901,144,291,1336,786,72,221,1080,319,17,96,435,52,0,24,83,4360,1100,2597,8057,0,4,677,683,7,62,317,391,486,380,250,1118,1047,271,238,1562,1000,212,261,1474,911,124,302,1342,699,57,245,998,215,13,162,383,33,0,86,117,4401,1120,2540,8067,0,6,1393,1397,19,96,763,874,872,741,607,2220,1935,526,445,2906,2026,426,504,2954,1814,262,597,2674,1480,124,466,2076,534,29,256,817,84,0,112,195,8760,2218,5140,16118
20302,4,31,5535,5568,88,787,5575,6453,3756,3922,6808,14475,7039,1950,3059,12054,6798,1393,3359,11547,6490,893,3195,10574,5953,430,2237,8620,3491,157,1188,4837,873,13,637,1522,34489,9565,31598,75652,0,68,5086,5159,188,1114,4985,6286,4975,4070,5800,14847,7485,1871,3796,13157,6929,1339,4311,12586,6528,814,4489,11834,5617,345,4168,10137,2702,96,3227,6024,421,11,1766,2197,34857,9728,37636,82220,6,96,10627,10729,279,1902,10567,12739,8732,7988,12607,29326,14527,3821,6857,25205,13724,2738,7670,24126,13017,1701,7684,22401,11575,775,6404,18758,6197,252,4412,10863,1295,21,2402,3721,69347,19290,69230,157874
20303,0,7,2258,2268,14,181,1621,1811,1083,1217,1650,3948,3298,980,895,5175,3362,745,1003,5102,3513,544,1080,5127,4236,359,1014,5607,2079,111,520,2708,433,6,243,689,18020,4141,10282,32439,0,11,2084,2100,21,255,1389,1662,1499,1354,1475,4332,3640,1054,1149,5845,3544,768,1460,5778,3782,575,1800,6159,3959,281,1750,5991,1578,73,1348,2999,219,3,663,889,18255,4384,13120,35762,0,25,4348,4365,36,432,3002,3473,2586,2571,3118,8280,6939,2039,2047,11017,6911,1511,2464,10888,7291,1112,2881,11287,8198,640,2767,11601,3654,185,1873,5707,653,10,909,1578,36278,8523,23404,68201
20401,0,15,1400,1411,20,169,1058,1251,616,800,1109,2523,1404,556,736,2695,1745,546,986,3275,2258,440,1301,3996,2472,285,1179,3939,1317,90,615,2018,266,3,216,489,10103,2908,8596,21606,0,18,1246,1266,32,256,743,1026,868,845,953,2666,1574,597,775,2949,1898,568,1081,3552,2475,423,1290,4192,2265,224,1288,3778,970,48,975,1984,110,3,537,657,10188,2989,8890,22069,0,35,2641,2678,47,428,1805,2273,1490,1644,2057,5196,2978,1155,1505,5642,3639,1115,2069,6823,4731,862,2594,8189,4737,510,2467,7717,2282,136,1590,4004,377,12,756,1144,20293,5893,17485,43676
