SA3_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
20101,506,1542,4742,4633,4383,2996,536,30,5,19372,1028,954,1197,767,778,968,582,95,4,6365,144,122,209,131,163,262,87,11,3,1136,32,52,118,62,64,45,19,8,0,411,1712,2676,6262,5596,5390,4274,1229,146,15,27284,66,149,259,164,137,122,17,0,0,905,185,90,92,52,41,59,29,4,0,552,247,242,351,214,180,177,45,6,0,1462,1959,2915,6613,5807,5568,4455,1270,149,15,28742,1516,511,764,666,891,1679,4026,2675,877,13603,160,216,416,319,325,300,286,232,145,2389,3631,3635,7793,6797,6780,6424,5589,3054,1030,44734,189,981,2742,2411,2772,1766,233,9,7,11096,1416,1518,2505,2950,2567,2224,589,41,0,13809,193,208,569,339,216,294,83,14,0,1906,29,36,83,46,46,40,15,11,8,317,1823,2741,5897,5748,5601,4318,916,70,14,27121,51,67,125,90,98,60,8,0,0,494,204,97,123,122,87,86,16,0,0,730,254,166,247,209,185,140,22,0,0,1228
20102,130,294,730,1117,1353,1124,282,64,9,5101,214,103,201,235,314,435,271,55,7,1845,31,15,32,52,64,102,39,3,0,349,14,10,26,26,48,26,14,7,0,173,385,425,997,1429,1780,1691,607,137,17,7468,22,18,41,35,44,40,3,0,0,206,29,5,13,11,8,16,20,0,0,102,46,29,53,42,52,58,21,0,0,306,437,450,1049,1473,1828,1747,631,140,17,7777,370,71,129,151,280,603,1527,825,206,4157,48,43,96,125,165,178,165,100,57,965,852,567,1264,1751,2271,2526,2324,1065,274,12896,34,119,430,542,846,589,105,21,0,2688,259,191,416,695,759,845,260,23,0,3447,44,22,118,103,91,109,36,8,0,523,13,16,18,25,29,8,16,3,0,128,345,352,984,1363,1725,1554,413,59,0,6787,13,9,20,16,18,22,4,0,0,104,23,8,14,20,30,22,4,4,0,125,37,19,36,35,49,44,5,7,0,228
20103,95,290,625,675,887,772,225,39,5,3611,155,90,130,136,223,271,172,42,5,1220,31,18,31,36,51,79,29,4,0,278,14,12,35,16,34,37,9,3,0,170,290,409,828,867,1190,1157,435,83,10,5269,11,26,39,38,38,40,6,0,0,195,19,12,13,9,15,23,8,3,0,98,29,36,50,52,56,61,16,3,0,294,320,443,879,914,1245,1217,446,86,10,5571,334,99,207,239,452,718,1633,1022,273,4971,64,50,88,105,164,152,174,115,35,951,720,592,1170,1259,1859,2085,2257,1225,322,11485,32,130,359,336,522,421,95,6,0,1898,215,178,342,458,576,552,199,27,0,2557,29,20,82,55,58,63,42,3,0,354,20,6,25,8,19,16,11,3,0,97,298,333,797,858,1177,1060,344,41,4,4911,9,12,23,17,20,15,3,0,0,96,17,15,10,22,21,26,3,0,0,112,26,26,33,38,37,40,9,0,0,213
20201,385,1445,4245,3969,3685,2630,518,25,4,16901,962,749,985,743,675,812,529,91,8,5547,100,111,179,146,133,234,78,11,0,982,24,41,98,67,55,36,15,8,3,348,1466,2341,5499,4920,4546,3711,1141,138,12,23776,64,135,171,124,118,90,12,0,0,719,181,83,66,25,38,57,21,0,0,470,246,222,234,152,155,148,33,0,0,1183,1712,2566,5734,5074,4698,3855,1175,138,12,24967,1149,468,594,586,756,1505,3791,2600,959,12401,121,166,394,321,310,285,246,175,109,2123,2984,3196,6723,5982,5766,5649,5212,2909,1081,39492,144,963,2539,2084,2438,1508,200,7,0,9879,1293,1262,2253,2578,2100,2052,567,43,6,12148,143,163,514,264,176,290,91,3,0,1659,20,37,80,64,34,37,11,7,4,292,1601,2427,5380,4987,4754,3890,865,70,7,23978,30,48,91,54,55,46,6,0,0,342,189,71,105,79,76,68,18,0,0,624,224,125,200,136,131,114,27,0,3,960
20202,186,423,1240,1808,2219,1625,402,62,6,7974,370,253,309,421,521,755,475,102,4,3221,55,31,55,82,125,167,69,8,0,601,26,29,27,38,59,49,18,10,8,256,638,736,1638,2350,2923,2590,967,188,21,12049,18,33,60,40,54,67,4,0,0,271,56,12,27,14,30,36,18,3,0,195,76,48,84,51,87,95,23,3,0,467,711,787,1718,2402,3013,2692,990,184,21,12512,628,170,406,367,480,1021,2551,1599,434,7647,95,63,140,178,230,240,256,170,91,1475,1428,1016,2267,2945,3724,3953,3800,1960,547,21639,58,208,679,962,1369,954,176,17,0,4411,515,315,756,1306,1477,1351,477,52,0,6254,84,50,174,164,149,171,56,5,0,856,26,19,27,24,45,27,18,4,3,193,672,595,1632,2453,3031,2504,738,85,7,11715,7,14,24,31,30,38,5,0,0,151,50,16,28,30,35,67,11,0,0,239,54,31,48,67,62,105,18,0,0,388
20203,58,116,295,359,450,451,179,36,7,1957,73,34,44,56,69,144,89,21,8,541,4,4,15,17,24,32,13,0,0,111,9,3,13,20,16,25,8,10,0,90,141,158,373,453,559,655,286,64,13,2700,5,8,10,7,23,16,0,0,0,76,5,0,7,4,3,12,3,0,0,47,12,8,21,11,26,35,9,0,0,122,150,172,393,468,587,688,296,66,13,2822,145,38,52,71,132,298,624,326,101,1783,27,24,36,63,98,124,93,75,30,579,318,233,480,603,814,1102,1011,468,145,5186,14,49,144,165,240,234,64,15,0,925,103,71,161,221,236,291,110,16,0,1209,7,22,41,29,41,36,6,0,0,194,10,0,9,17,18,15,3,3,0,81,126,143,363,428,534,582,183,33,4,2407,0,6,12,4,19,11,0,0,0,55,12,8,8,6,10,17,0,0,0,61,15,14,20,10,24,35,0,0,0,114
20301,118,278,862,1054,1121,746,203,26,4,4407,181,110,120,148,178,204,159,35,5,1133,36,24,34,40,50,61,21,6,0,270,14,12,23,24,29,14,5,3,0,124,348,416,1043,1273,1364,1021,392,75,9,5938,15,19,16,7,22,17,6,0,0,101,29,11,6,4,6,10,0,0,0,65,46,26,20,10,32,26,6,0,0,162,395,445,1061,1285,1395,1052,394,75,9,6103,339,55,69,96,109,330,729,375,89,2199,33,26,63,83,87,66,73,45,16,486,770,522,1193,1470,1587,1446,1203,498,112,8790,46,137,362,483,567,323,67,11,6,1995,292,171,421,740,597,469,136,22,0,2845,42,24,146,84,48,64,25,3,0,438,6,4,12,21,23,13,3,0,0,93,388,338,939,1323,1233,871,233,33,3,5363,6,6,13,7,11,6,0,0,0,56,22,14,10,12,13,13,0,0,0,84,26,20,27,21,26,18,0,0,0,140
20302,680,2809,9805,8927,8076,5471,991,77,3,36840,1825,2113,2612,1553,1374,1652,970,177,11,12287,202,284,382,325,319,364,154,24,4,2057,33,112,248,157,137,93,40,12,0,833,2735,5316,13042,10955,9899,7585,2158,289,25,52012,111,294,442,260,291,225,29,0,0,1663,405,227,186,83,67,114,40,4,0,1121,519,521,629,340,355,340,73,7,0,2787,3254,5839,13675,11294,10262,7922,2233,294,27,54799,2678,1215,1814,1406,1684,3063,6909,4802,1761,25338,277,434,880,593,572,497,451,373,220,4302,6205,7493,16361,13299,12521,11478,9596,5472,2013,84444,211,1790,6235,4497,4810,3003,368,17,0,20941,2489,3112,4832,5334,4702,3904,1131,80,4,25585,335,416,1062,695,408,443,141,5,0,3500,34,79,184,121,103,77,26,20,9,641,3068,5401,12312,10651,10017,7428,1668,122,10,50667,58,128,219,168,158,98,13,0,0,831,394,221,253,204,178,126,37,5,0,1416,448,344,477,372,333,220,43,6,0,2250
20303,227,825,2881,4018,3724,2530,557,65,9,14831,801,612,640,678,734,1037,814,130,11,5446,148,103,155,193,163,251,127,12,0,1155,23,31,45,82,68,55,26,9,0,343,1193,1577,3720,4974,4690,3861,1525,212,17,21774,28,68,97,70,102,74,22,0,0,458,147,32,28,22,21,46,22,3,0,324,172,100,120,94,124,119,45,3,0,785,1369,1676,3841,5067,4809,3983,1573,222,17,22552,980,232,300,305,493,1468,4659,2729,781,11950,85,83,179,228,259,279,367,251,124,1858,2433,1989,4318,5597,5565,5733,6596,3198,922,36359,54,474,1773,1967,2380,1445,192,12,0,8299,979,845,1541,2648,2351,2257,744,69,9,11450,178,144,432,366,220,309,97,9,0,1759,23,38,67,62,56,43,14,3,3,309,1238,1503,3810,5047,5008,4041,1055,99,15,21806,19,24,41,45,58,43,11,5,0,248,123,46,50,74,56,75,22,0,0,446,138,68,87,117,117,121,29,5,0,687
20401,305,798,1888,1994,2203,2009,597,117,4,9916,429,222,356,322,444,663,558,128,18,3144,47,48,85,98,127,184,65,13,6,678,26,28,70,61,73,47,38,15,8,354,807,1095,2401,2474,2849,2905,1259,272,30,14087,24,47,81,48,87,86,18,0,0,394,54,19,20,12,16,43,21,6,0,180,79,67,101,63,103,121,40,6,0,582,886,1169,2497,2538,2954,3028,1294,269,30,14669,701,246,262,306,450,1154,2858,1857,551,8381,127,150,240,253,312,380,340,194,58,2055,1708,1570,2996,3103,3713,4565,4499,2321,638,25103,102,406,1044,1008,1379,1097,244,32,0,5319,500,368,867,1224,1321,1346,530,71,7,6226,85,77,245,126,122,225,75,11,0,971,34,29,47,46,52,34,34,12,3,290,721,880,2209,2407,2873,2706,877,125,7,12807,9,19,37,27,41,46,7,0,0,182,44,29,33,38,62,57,9,0,0,274,51,49,72,66,99,102,12,0,0,455
