SA3_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
20101,101,43,142,120,169,287,12,0,15,3,0,3,80,86,162,17999,15623,33624,1232,1369,2597,242,8,247,73,8,88,245,64,305,95,42,140,610,639,1248,20806,18054,38860,3,9,11,0,0,0,10,8,21,36,15,50,0,0,3,13,0,12,64,26,93,0,0,0,0,0,0,7,4,12,9,26,34,7,16,22,26,40,69,192,121,309,276,193,473,18,17,32,7,10,11,12,0,12,32,25,57,3738,4596,8332,2294,4135,6430,139,125,261,27284,27121,54407
20102,37,16,58,9,14,21,0,0,0,0,0,0,7,8,12,4364,3445,7808,235,250,489,156,0,158,16,0,16,24,12,33,52,18,75,246,203,449,5143,3965,9111,3,0,9,0,0,0,3,4,6,14,9,23,4,5,5,9,0,9,30,20,45,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,7,3,12,43,16,64,83,34,115,8,10,16,0,0,0,0,0,4,14,10,19,1538,1684,3226,625,1033,1662,70,58,127,7468,6787,14258
20103,10,0,11,9,6,17,0,0,0,3,0,4,4,6,12,3499,2997,6494,248,214,461,106,0,113,11,3,15,26,7,29,24,22,48,187,191,379,4135,3448,7585,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,4,0,6,30,18,52,39,22,63,0,0,6,0,0,0,0,3,0,4,0,9,583,687,1268,432,701,1130,71,49,120,5269,4911,10177
20201,44,29,68,149,193,338,6,4,14,7,0,5,34,31,62,16246,14231,30482,1084,1245,2328,245,5,250,117,17,137,220,98,314,83,52,137,553,557,1113,18788,16457,35246,7,0,7,0,0,0,0,0,3,9,5,12,4,4,4,10,0,11,22,16,38,0,0,0,0,0,0,8,10,14,21,29,54,8,9,14,36,48,82,148,101,244,210,161,370,3,7,14,8,9,13,6,4,7,24,15,34,2654,3622,6273,1989,3636,5620,119,89,206,23776,23978,47758
20202,90,82,168,25,14,34,3,0,12,0,3,5,3,7,13,6773,5678,12449,396,406,802,202,4,207,21,0,27,97,47,144,58,30,84,373,337,702,8042,6603,14645,6,5,11,0,0,0,8,6,12,23,8,25,10,10,17,21,3,25,62,30,86,0,0,0,0,0,0,5,4,3,0,8,10,0,0,0,4,11,13,46,18,64,113,55,163,7,11,20,0,0,0,0,0,9,15,14,24,2701,3154,5858,1090,1809,2896,93,80,175,12049,11715,23761
20203,0,3,3,4,5,13,0,0,0,0,0,0,0,0,0,1640,1329,2967,83,98,182,66,3,69,11,5,11,9,5,12,32,9,44,163,137,300,2014,1590,3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,22,13,7,20,0,0,0,0,0,0,0,0,0,4,0,6,468,451,921,169,325,493,33,33,74,2700,2407,5104
20301,16,4,18,11,8,22,0,0,5,0,0,0,0,0,0,3922,2970,6894,170,176,339,153,6,156,20,0,18,14,6,21,23,15,29,137,104,246,4468,3291,7757,0,0,0,0,0,0,0,0,0,11,6,18,0,0,0,0,0,0,9,8,22,0,0,0,0,0,0,0,0,5,0,9,8,0,0,0,4,7,15,33,11,42,51,25,76,4,0,5,0,0,0,8,0,8,12,0,12,883,1197,2083,493,819,1309,35,39,72,5938,5363,11308
20302,405,237,636,360,578,934,21,3,29,3,0,6,148,137,280,33545,27118,60665,1992,2322,4310,428,8,435,199,30,225,516,166,685,210,125,335,948,1144,2084,38755,31871,70627,27,46,76,0,0,0,21,16,40,116,59,176,4,10,22,38,9,43,205,148,356,5,0,5,0,0,0,24,16,37,36,53,88,24,25,55,80,96,174,328,195,515,609,435,1044,44,54,100,21,22,38,12,9,16,81,82,164,8088,10294,18379,4238,7773,12011,248,210,457,52012,50667,102678
20303,60,35,96,58,76,137,16,0,14,3,3,14,15,10,21,12796,10675,23477,638,706,1333,182,3,192,59,7,66,166,71,243,105,64,168,418,449,872,14509,12114,26631,5,0,8,0,0,0,4,6,10,44,23,64,5,4,8,4,0,4,65,34,93,0,0,0,0,0,0,3,14,16,4,12,16,5,4,6,13,27,38,127,61,185,194,124,320,23,10,34,0,6,6,8,3,13,36,18,54,4880,5953,10829,2029,3489,5517,124,109,236,21774,21806,43580
20401,52,30,84,26,24,46,5,0,6,4,4,6,0,9,12,8859,7066,15924,535,474,1011,287,15,301,60,3,67,73,38,114,99,65,167,763,634,1400,10766,8363,19123,4,3,8,0,0,0,4,0,7,24,5,34,5,0,5,5,0,5,41,15,53,0,0,0,0,0,0,6,11,14,4,5,3,3,0,5,7,13,19,111,47,158,162,70,232,6,8,12,0,0,0,8,4,12,19,7,23,1901,2439,4344,1123,1817,2944,112,109,223,14087,12807,26895
