SA3_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
20101,78,56,462,596,123,1305,81,776,52,3531,269,567,1034,1204,505,876,191,669,91,5414,1030,3239,2110,1726,1348,925,601,1004,180,12159,1549,3375,1526,1310,1506,614,520,805,135,11348,1699,2667,1250,1357,1618,673,620,944,160,10985,1131,1839,1001,1067,1300,590,657,884,119,8590,291,511,206,220,285,150,187,251,43,2142,55,48,11,10,12,18,3,17,19,210,3,0,0,4,5,0,0,0,11,24,6104,12297,7611,7497,6708,5158,2868,5353,812,54407
20102,11,15,130,111,22,203,12,207,16,729,39,53,212,124,54,99,43,143,19,781,272,343,438,279,199,100,105,209,27,1974,492,659,483,279,309,139,145,245,49,2789,682,772,491,357,426,172,242,292,69,3502,613,678,394,356,404,191,222,338,56,3243,298,222,80,57,119,55,76,92,24,1022,121,18,4,0,11,9,6,15,3,194,12,0,0,0,0,0,0,4,0,15,2541,2761,2234,1566,1543,953,853,1542,268,14258
20103,22,0,94,83,8,186,18,153,15,587,45,49,177,118,56,112,40,142,8,742,165,253,321,248,144,111,125,228,30,1627,257,274,282,217,196,98,139,223,33,1717,382,298,353,353,287,153,211,289,53,2373,367,283,273,273,251,151,224,339,51,2215,233,111,68,64,74,47,65,94,19,777,65,9,12,7,11,5,3,7,9,131,13,0,0,0,0,0,0,0,0,18,1554,1277,1572,1356,1036,863,821,1483,219,10177
20201,46,28,353,454,115,1156,96,781,44,3068,195,599,829,980,454,699,222,710,85,4768,825,3063,1840,1494,1031,736,556,1175,168,10880,1311,2739,1333,1204,1164,544,523,964,140,9904,1336,2142,1044,1189,1371,595,623,852,149,9300,907,1519,814,1036,1181,505,627,895,106,7600,280,454,189,226,286,134,162,238,41,2009,37,28,18,8,26,22,15,33,18,201,4,3,0,0,0,3,0,0,8,21,4956,10576,6415,6590,5622,4383,2827,5641,758,47758
20202,16,5,200,219,37,412,32,348,35,1311,56,87,351,243,92,178,68,235,21,1328,351,766,628,430,307,193,170,382,46,3268,866,1535,655,454,516,221,172,311,76,4800,1138,1679,749,627,689,299,270,410,93,5959,875,1188,615,593,641,300,330,461,94,5098,373,470,155,121,221,100,91,140,27,1701,125,52,13,8,22,9,11,18,14,274,13,3,0,0,0,0,0,0,6,25,3816,5787,3361,2693,2522,1715,1145,2307,407,23761
20203,9,0,52,35,3,77,10,70,8,268,30,28,71,46,17,30,20,64,4,302,116,121,132,87,70,47,48,103,14,735,202,134,128,76,106,50,69,106,14,881,270,165,135,111,120,50,91,129,21,1087,341,125,128,127,139,68,136,155,23,1237,240,32,24,20,36,15,40,42,10,471,77,0,0,0,5,0,0,10,4,100,12,0,0,0,0,0,0,0,4,19,1312,610,671,496,485,336,417,684,92,5104
20301,15,5,127,126,19,221,22,178,12,734,51,60,181,122,49,102,45,117,15,758,213,413,453,274,183,106,132,177,28,1983,398,562,517,256,349,133,162,175,36,2595,473,452,418,285,332,150,216,241,36,2602,350,338,253,211,232,111,186,189,30,1897,190,102,65,38,64,28,59,69,14,624,71,6,5,0,3,3,5,5,3,107,6,0,0,0,0,0,0,3,0,14,1767,1950,2030,1319,1241,857,813,1153,184,11308
20302,76,66,700,1004,170,2203,181,1331,76,5801,458,1256,1899,2282,892,1732,646,1357,184,10718,2198,7214,4355,3370,2473,1635,1524,2164,420,25354,3100,6054,3073,2419,2582,1188,1186,1620,381,21608,2992,4515,2507,2554,2711,1180,1407,1698,353,19918,1860,2958,1785,1964,2177,990,1422,1628,235,15007,493,844,389,383,548,265,349,474,87,3827,92,78,35,26,34,15,25,63,37,408,10,9,4,0,4,4,0,3,8,35,11273,22986,14741,14002,11592,9225,6745,10335,1784,102678
20303,24,15,263,549,65,838,52,583,32,2428,133,292,662,739,233,495,123,359,45,3074,850,2266,1495,1039,673,445,225,451,89,7531,1844,3238,1424,1046,1064,491,248,514,156,10013,1885,2636,1244,1041,1259,568,327,558,180,9702,1353,2002,866,897,1189,578,370,521,132,7906,469,755,230,178,406,184,117,183,60,2581,97,83,15,11,35,18,8,28,13,316,12,8,3,0,0,0,0,0,7,31,6665,11304,6197,5498,4924,3624,1467,3199,707,43580
20401,32,9,232,310,43,394,46,424,30,1527,114,137,474,417,117,204,116,345,53,1978,508,779,974,697,431,291,292,552,82,4606,796,893,852,611,555,252,339,489,96,4881,1048,894,853,664,744,349,448,617,105,5718,1063,798,708,549,723,385,541,732,111,5609,629,340,223,170,223,120,163,219,48,2133,224,39,14,11,35,12,15,30,22,395,22,3,0,0,0,0,4,3,11,41,4442,3899,4332,3426,2874,2003,1953,3404,550,26895
