SA3_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
20101,371,454,199,350,316,122,58,93,22,1981,501,588,402,1122,705,252,106,182,43,3901,1261,532,4344,2009,1463,842,820,1148,162,12579,62,41,63,116,155,133,45,118,0,732,69,65,63,161,133,95,41,66,6,705,34,66,22,30,30,11,4,20,6,220,67,101,69,111,85,75,53,75,97,730,4668,11627,5751,5366,4317,2001,1352,2039,473,37589
20102,173,139,77,105,104,37,9,45,8,695,190,159,124,240,150,55,19,72,10,1011,537,145,1244,417,312,161,277,330,56,3480,31,12,22,23,23,34,11,26,0,173,47,18,12,46,32,13,27,25,3,234,12,23,10,5,10,3,0,4,0,72,66,27,37,27,30,21,19,48,27,303,1860,2560,1716,1202,983,417,386,639,156,9930
20103,81,76,27,78,56,25,14,28,9,384,113,102,58,212,99,35,18,36,7,692,405,81,923,451,238,151,291,364,54,2958,24,5,21,25,31,20,13,34,0,177,18,6,12,31,23,13,22,27,6,162,7,6,4,0,0,4,0,0,0,25,49,11,27,33,20,15,23,47,24,257,989,1201,1129,993,640,293,390,601,111,6348
20201,232,384,171,300,243,73,47,65,18,1539,453,609,299,1085,536,222,107,204,40,3553,1136,546,3849,1967,1210,729,865,1188,178,11674,53,22,70,97,138,101,40,136,14,657,70,49,61,140,144,61,45,84,7,672,25,63,18,26,23,10,6,27,3,202,48,107,68,113,79,69,62,83,95,720,3634,10000,4902,4880,3437,1638,1308,2114,448,32363
20202,259,250,119,184,143,69,23,50,23,1109,263,277,177,391,250,101,45,90,25,1617,647,226,1829,667,454,265,366,472,68,4995,28,8,41,46,47,37,14,48,5,276,62,31,52,54,57,31,23,28,9,347,20,31,15,15,10,9,4,10,0,104,64,62,45,55,40,31,34,46,37,415,2956,5472,2589,2000,1637,730,551,948,257,17140
20203,86,35,11,26,20,7,8,6,5,202,70,55,23,69,47,12,8,17,6,313,357,41,376,158,130,65,139,168,17,1445,9,0,13,11,15,12,0,16,0,87,21,5,9,12,10,0,8,12,0,80,4,3,0,0,0,0,0,4,0,19,37,13,17,14,11,12,9,25,9,148,796,574,476,368,299,129,181,292,45,3168
20301,115,119,72,76,82,28,11,25,8,536,164,118,121,215,134,58,21,52,9,900,438,115,1263,399,291,150,281,328,46,3301,19,11,11,15,37,18,16,5,0,142,32,14,14,28,43,7,15,16,0,170,6,9,15,3,3,3,6,3,0,48,31,13,29,26,11,16,19,35,19,202,1282,1858,1610,991,829,333,400,536,112,7954
20302,624,995,493,723,648,229,151,213,56,4128,1047,1083,936,2121,1274,519,340,418,87,7836,1969,935,8024,3835,2214,1332,1629,2150,385,22481,96,59,130,182,191,168,112,204,12,1149,173,108,129,309,265,153,104,136,20,1400,57,122,44,64,59,23,31,49,17,454,110,170,162,240,154,109,109,183,238,1464,8671,21707,11397,10419,7727,3772,3242,4402,1128,72466
20303,466,573,224,358,349,115,45,85,45,2258,519,571,418,798,520,211,72,157,31,3301,1148,422,3556,1234,863,545,444,740,150,9112,40,33,40,64,80,65,18,51,4,390,103,69,50,131,116,81,32,68,6,656,27,53,22,31,22,14,12,4,10,201,84,99,61,108,69,61,18,65,80,655,5368,10713,4951,4011,3319,1582,744,1478,496,32671
20401,335,212,124,197,169,67,27,61,13,1200,371,266,215,553,317,99,59,122,26,2018,986,274,2536,871,647,362,681,796,134,7286,43,12,44,64,70,54,19,76,3,387,81,27,52,79,64,40,39,61,3,454,15,24,11,11,11,6,11,11,3,113,98,50,67,76,66,51,46,81,67,595,3051,3601,3262,2408,1771,816,923,1410,308,17555
20402,233,185,76,178,138,55,27,40,12,940,278,305,141,514,223,86,37,101,32,1713,776,210,1965,900,576,349,479,670,86,6014,32,15,29,61,54,52,30,77,5,353,56,31,33,67,46,34,24,51,7,346,16,25,11,6,16,4,7,12,0,96,84,50,55,64,41,53,43,72,64,514,2317,3656,2464,2180,1423,729,680,1152,245,14848
20403,324,317,155,253,193,61,42,75,16,1433,460,454,267,794,474,201,90,139,34,2908,1334,463,3311,1457,1080,550,835,1029,154,10205,55,18,60,93,97,71,44,95,5,528,84,46,37,122,102,51,46,67,10,566,25,30,8,23,17,4,12,19,6,143,83,53,60,81,59,57,59,116,78,647,3922,6196,4172,3621,2641,1184,1234,1765,371,25096
20501,187,238,103,177,174,61,21,64,23,1050,310,322,183,578,305,135,53,123,24,2036,954,285,2676,960,720,407,651,841,110,7606,43,16,31,64,77,54,27,59,7,364,64,30,39,121,80,38,32,53,6,459,26,32,12,22,20,4,4,10,3,138,63,57,40,79,55,34,38,66,60,484,2564,4381,3267,2532,1874,879,878,1430,268,18061
20502,141,168,62,160,109,36,22,43,19,757,217,256,101,420,227,85,35,87,29,1451,712,220,1611,757,543,341,399,574,99,5251,42,17,32,51,57,35,19,53,4,301,55,34,33,75,52,35,17,55,4,352,16,18,3,17,11,8,0,13,0,80,63,45,52,57,41,51,25,95,60,481,1891,2795,1991,1918,1310,664,545,1028,249,12390
20503,287,280,124,209,185,78,26,74,18,1277,344,321,193,553,335,158,43,138,27,2109,1269,286,2813,941,637,525,607,839,137,8055,74,25,50,66,79,63,22,80,0,452,66,28,47,102,70,54,33,57,6,471,19,32,15,13,16,8,7,14,9,121,104,56,80,89,67,74,51,98,66,679,3384,4852,3542,2602,1922,1143,828,1480,344,20085
20504,158,213,119,168,174,35,27,34,12,941,331,399,230,709,426,123,66,88,47,2415,784,374,3484,1462,1139,517,894,983,179,9817,34,30,50,78,100,64,30,75,3,468,49,17,29,99,81,51,39,43,10,411,16,29,16,18,9,9,6,17,0,132,53,68,68,99,63,56,47,103,64,629,2125,4838,4239,3152,2518,1005,1179,1452,370,20876
20505,162,173,70,140,74,20,12,45,9,710,237,223,127,400,189,69,32,66,24,1370,722,216,1905,809,449,263,455,589,92,5505,35,22,32,43,44,39,14,51,10,297,49,23,32,56,47,24,32,34,8,301,14,13,9,6,6,7,4,13,3,85,82,44,44,53,40,38,31,66,37,435,2000,3095,2342,1842,1114,519,612,955,220,12700
20601,307,524,225,249,272,154,49,88,21,1904,487,649,419,560,478,242,69,138,43,3085,535,396,1748,655,562,273,176,356,71,4775,27,27,37,53,66,42,15,20,3,285,82,96,48,70,135,49,31,39,4,560,41,92,30,25,30,22,12,10,6,269,54,96,48,48,67,34,28,37,109,518,6803,20533,3784,3746,4772,1879,676,1232,610,44024
20602,182,350,144,122,172,81,22,27,12,1122,251,334,208,264,271,132,41,73,13,1599,288,207,888,334,250,142,101,159,29,2399,17,21,21,26,27,21,9,7,0,143,46,51,31,42,62,32,18,21,8,311,21,74,12,9,22,9,8,5,3,146,34,53,23,23,40,18,8,18,66,284,4550,12622,2006,1930,2497,1001,366,574,317,25857
