SA3_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
20101,0,0,0,0,0,9,13,9,6,38,0,0,0,11,0,4,3,0,0,18,0,0,0,8,3,0,4,0,0,11,0,0,34,64,0,0,0,0,0,103,0,0,6,8,8,17,110,98,32,274,3,28,33,160,83,99,77,22,13,520,0,0,0,0,0,3,0,0,0,7,0,0,10,48,8,0,0,0,0,72,0,0,0,8,17,0,0,0,0,25,0,18,27,194,60,49,33,10,0,398,0,0,0,10,0,6,3,5,5,33,0,0,0,4,0,0,3,4,0,14,0,5,4,26,20,31,56,53,13,214,0,4,11,15,14,3,5,0,0,48,3,9,9,49,20,18,15,8,0,132,0,7,10,68,15,7,3,3,0,114,0,0,0,27,5,0,0,0,0,37,0,6,9,63,21,13,0,0,0,116,0,0,0,5,4,0,0,0,0,6,0,16,22,48,21,32,23,5,0,166
20102,0,0,0,4,5,9,17,6,0,34,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,15,0,0,0,0,4,8,34,24,17,83,0,4,7,54,42,55,45,10,0,220,0,0,0,0,0,4,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,21,7,6,6,0,0,54,0,0,0,5,4,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,17,22,10,3,82,0,0,0,4,0,0,0,0,0,13,0,3,0,6,15,8,9,3,0,40,0,0,3,5,0,7,0,4,0,22,0,0,0,3,0,0,0,0,0,7,0,0,0,9,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,16,17,9,14,0,0,59
20103,0,0,0,0,0,7,7,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,6,10,30,15,6,65,0,3,3,17,31,35,22,10,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,48,15,11,13,3,0,99,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,22,15,5,45,0,0,0,0,3,3,0,0,0,9,0,0,0,5,4,3,0,0,0,17,0,0,0,0,0,3,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,6,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,23
20201,0,0,0,0,0,0,10,7,0,10,0,0,0,13,3,3,0,3,0,17,0,9,28,225,67,40,26,11,3,400,0,0,7,48,0,0,0,0,0,58,0,0,0,3,0,4,35,33,14,96,3,17,28,105,59,90,44,27,4,364,0,0,0,0,0,0,0,0,0,4,0,3,3,35,5,0,0,0,0,51,0,0,3,8,14,8,0,0,0,34,4,14,31,194,73,50,30,8,0,404,0,0,0,3,4,0,4,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,26,38,32,9,136,0,0,4,9,7,0,4,0,0,22,0,11,18,42,29,10,3,11,0,125,0,12,13,57,18,10,9,3,8,123,0,0,0,29,0,0,0,0,0,33,3,94,151,128,12,11,0,0,0,399,0,0,0,3,0,0,0,0,0,6,0,8,15,31,15,6,3,5,0,98
20202,0,0,0,3,4,9,10,4,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,9,0,0,0,7,0,0,0,0,0,6,4,3,0,11,18,22,43,15,4,120,0,8,17,73,79,85,52,22,3,338,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,6,4,0,0,27,0,0,8,38,20,10,12,0,0,92,0,0,0,7,4,5,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,3,6,20,24,27,16,6,106,0,0,0,4,0,3,3,0,0,8,0,6,5,25,14,15,11,4,0,86,0,0,0,10,0,7,6,4,0,27,0,0,0,27,0,0,0,0,0,33,0,5,5,13,7,0,4,0,0,34,0,0,0,0,0,0,0,3,0,9,6,5,9,26,24,19,20,9,3,112
20203,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,17,0,0,0,12,4,12,15,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,7,7,23,12,8,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,4,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,18
20301,0,0,0,0,3,7,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,13,12,0,46,0,0,4,26,31,17,18,6,0,104,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,4,7,4,0,0,23,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,11,6,6,43,0,0,0,0,6,0,0,0,0,3,0,0,0,10,4,4,3,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,3,0,0,29
20302,0,0,0,4,0,13,42,19,5,91,0,0,8,27,11,7,3,3,0,59,0,11,39,131,55,29,20,3,0,290,0,4,22,126,0,0,0,0,0,156,0,8,5,21,14,40,208,165,82,553,12,50,92,363,199,179,102,43,20,1062,0,0,0,37,45,78,111,64,30,350,8,42,67,130,11,8,4,3,0,270,0,0,0,17,23,10,0,3,0,58,6,49,100,509,201,161,107,24,4,1158,0,0,0,47,26,34,52,31,40,226,0,0,0,4,0,0,0,0,0,17,0,15,4,69,54,125,134,125,41,577,0,15,22,50,20,21,25,6,0,151,5,17,50,116,56,52,35,20,9,362,4,18,43,188,33,25,27,8,0,346,0,0,4,42,6,3,0,0,0,59,3,91,113,174,65,33,12,0,0,485,0,0,0,12,20,11,14,10,0,76,9,24,39,140,33,28,38,8,0,315
20303,0,0,0,4,11,17,60,37,8,127,0,0,5,7,3,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,22,0,3,3,18,15,19,72,54,22,212,3,29,29,192,91,96,101,32,4,579,0,0,0,7,0,0,7,4,0,21,0,0,0,0,0,0,0,0,0,7,0,0,0,5,7,6,10,0,0,30,0,7,17,59,26,33,15,8,0,161,0,0,0,21,11,4,10,4,4,51,0,0,0,4,0,0,0,0,0,6,0,8,5,38,28,56,84,44,14,274,3,8,0,13,7,9,3,0,0,32,4,12,19,75,53,41,24,6,0,233,0,0,0,15,6,4,7,0,0,34,0,0,4,11,0,0,0,0,0,10,0,3,0,44,19,6,0,0,0,76,0,0,0,0,6,4,0,0,0,3,9,9,16,89,30,25,30,14,0,225
20401,0,0,0,3,0,4,12,10,7,33,0,0,0,4,4,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,6,10,10,13,38,28,7,109,0,12,15,69,71,85,63,19,6,348,0,0,0,0,0,6,3,0,0,11,0,0,0,8,0,0,0,0,0,12,0,0,0,4,4,3,3,0,0,16,0,13,11,66,31,37,20,0,0,174,0,0,0,3,5,4,7,0,3,22,0,0,0,0,0,4,0,0,0,5,0,0,0,17,8,30,37,31,11,129,0,3,0,0,5,0,0,0,0,14,0,7,4,24,8,16,14,4,0,73,0,6,0,18,6,6,3,0,0,34,0,0,0,15,0,0,0,0,0,23,0,3,8,36,26,11,4,0,0,84,0,0,0,5,0,0,0,0,0,11,0,8,0,16,13,14,19,3,0,72
