SA3_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
20101,1375,461,2878,18874,27021,12061,8467,22468,5413,94299
20102,292,137,689,4607,7474,3925,2948,4903,2075,25926
20103,410,103,750,3647,5497,3135,2583,5465,2299,22630
20201,1358,425,2812,16664,23534,10617,7600,20168,5052,83646
20202,552,303,1340,7691,13013,7082,4982,7180,3850,43799
20203,167,84,371,1723,2460,1337,1225,2279,1236,10254
20301,153,57,307,3414,5087,2676,2093,3205,1096,17578
20302,2726,650,5340,35070,48526,21476,14880,44168,10766,174895
20303,1010,390,2302,14914,24078,11802,7454,13648,4319,76217
20401,864,192,1622,8966,13660,6704,5209,11473,4377,50389
20402,791,231,1632,7308,11227,5605,4143,9233,2995,40503
20403,876,216,1745,11753,17953,8610,5953,13850,4263,62386
20501,692,168,1359,9008,13035,6420,5091,10248,2986,46790
20502,665,278,1518,6728,10847,6157,4919,9191,3684,41521
20503,985,334,2074,10493,16816,9267,6914,12082,4628,60212
20504,1006,299,1948,10841,16165,7970,6492,16837,5202,63505
20505,515,149,1036,6469,9737,5088,4176,8523,3794,37785
20601,970,136,1854,19423,26922,8656,4470,15642,3134,78253
20602,543,169,1182,11067,16210,5634,2756,7692,1889,45248
20603,794,129,1461,13434,18015,6751,3827,13366,2941,58337
20604,648,158,1188,31639,37968,9765,4788,43962,11377,139506
20605,593,307,1468,22656,29533,8536,4273,18707,6622,90328
20606,550,222,1438,15471,18176,4993,2643,12060,3665,57008
20607,657,109,1288,22206,28684,7670,3453,14745,4619,81376
20701,2400,434,4961,33713,43951,18979,10709,28507,5101,140967
20702,1898,296,3807,16497,21149,10497,7450,23950,3126,82669
20703,1622,362,3502,19218,25199,11043,6640,24577,4338,91012
20801,1615,394,3422,19491,26172,11819,6407,16324,3409,83632
20802,2150,412,4193,29907,39842,15369,8555,30094,5454,129212
20803,1764,284,3404,22586,31066,12613,7261,23283,4157,100957
20804,667,144,1307,8642,11104,4379,2495,7645,1413,35686
20901,1759,267,3400,22249,31975,13958,8608,23004,4015,103806
20902,1293,421,2765,16330,22526,8485,5775,22946,4907,80966
20903,476,85,906,11851,17155,8564,5318,9784,1991,54668
20904,1849,524,3439,35828,46209,20513,17563,66683,10929,197728
21001,1137,139,2104,10363,13653,6255,4550,14187,2058,51071
21002,162,83,418,5361,7747,4190,2999,4364,1434,26094
21003,1423,359,2805,12072,16807,6767,5249,20580,4321,65794
21004,364,57,689,7642,10393,4563,3400,8648,1745,36390
21005,1079,201,1797,24405,30121,13314,13306,65031,10690,156874
21101,1859,428,3539,28165,37016,16253,11058,34366,5175,132024
21102,437,63,749,4766,6325,3275,2181,4690,726,21966
21103,1257,503,2874,20359,28137,12293,7560,21413,3899,93662
21104,898,325,1983,10814,15011,6904,4253,12814,2213,52005
21105,1336,204,2672,26241,38366,17909,12259,26040,5538,126350
21201,761,238,1493,18529,25086,11103,8604,22840,5378,91543
21202,1352,274,2428,21621,27062,11967,9362,34097,6346,110454
21203,1080,172,1779,31357,40062,17519,14557,58913,9330,171741
21204,2612,348,4396,27125,31549,14054,11267,66182,10584,160760
21205,2937,734,5990,31115,39475,18206,12117,45558,7961,154433
21301,1918,424,3377,25401,30126,13427,11736,61384,11660,153723
21302,1106,172,2064,14296,20724,8673,5613,17581,3519,70407
21303,682,210,1348,15069,21245,7466,4382,19238,4547,71946
21304,935,166,1565,27081,34824,15582,13835,48384,11099,150806
21305,1096,257,1904,37545,51878,23863,20144,72602,15834,221868
21401,1482,541,3017,23213,32043,13398,9077,28744,6968,113444
21402,2748,976,6029,27409,40190,20216,13365,31060,9188,141435
21501,967,346,2123,8893,12764,6457,5433,12249,4673,50466
21502,824,200,1526,8053,11251,5472,4326,13130,4197,46427
21503,609,208,1297,5443,7609,3851,3218,8438,3079,31652
21601,604,233,1276,5782,8340,4178,3292,8022,2640,32243
21602,561,149,1050,4540,6329,3224,2497,6776,2112,25470
21603,847,211,1648,9792,13431,6180,4999,15782,4838,55021
21701,645,136,1184,5522,8173,4283,3433,7282,2181,30877
21703,580,170,1171,6042,8208,4393,3550,7464,2451,32101
21704,637,242,1445,8517,12057,5954,4148,9647,2964,43291
29797,0,0,0,0,3,0,0,8,27,38
29999,12,17,29,1148,1118,391,326,1694,3270,7946
