SA3_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
20101,0,4,3,13,5,3,6,0,0,36,4,10,15,46,27,26,14,3,0,139,0,0,11,89,24,9,11,0,0,146,0,0,3,6,4,0,0,0,0,17,0,6,16,10,10,0,0,0,0,46,0,0,0,4,0,0,3,0,0,13,0,19,19,53,19,15,19,13,0,153,0,9,9,22,13,7,3,0,0,58,0,0,0,8,3,3,10,4,5,38,0,3,3,10,4,3,3,0,0,37,0,25,55,176,73,82,74,54,19,558,122,360,340,690,334,323,312,209,110,2792,3407,7836,7265,14588,6780,6424,5589,3054,1030,55982,0,0,0,0,0,0,0,0,0,3,3161,6739,6338,12492,6311,6078,5197,2843,1426,50584,0,3,3,28,4,0,3,0,0,46,0,0,0,0,0,3,0,0,0,10,0,5,0,20,5,0,0,0,0,30,0,4,4,3,3,0,0,0,0,14,0,5,9,31,13,15,8,0,0,76
20102,0,0,0,3,0,3,0,0,0,10,0,0,0,10,8,3,7,0,0,39,0,0,0,8,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,4,0,17,13,5,11,0,0,58,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,18,0,0,0,0,6,0,4,0,0,3,0,6,8,28,37,49,57,36,15,221,45,128,82,237,190,221,204,101,45,1246,731,1851,1414,3019,2271,2526,2324,1065,274,15481,0,0,0,0,0,0,0,0,0,0,683,1579,1106,2536,1845,2015,1593,687,275,12313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,4,0,0,0,0,0,5,0,0,3,5,0,0,0,0,0,8,0,0,3,11,9,8,8,0,0,26
20103,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,3,0,0,25,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,3,0,0,4,9,4,3,11,0,0,27,0,4,0,0,3,0,0,0,0,8,0,0,0,0,6,3,7,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,5,18,17,24,33,23,9,120,39,116,115,204,175,191,210,123,38,1209,548,1551,1312,2426,1859,2085,2257,1225,322,13582,0,0,0,0,0,0,0,0,0,0,523,1323,1047,2067,1454,1631,1582,824,332,10788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,14
20201,0,0,3,9,4,4,4,0,0,21,0,10,15,35,27,19,11,4,0,121,5,13,20,67,22,14,4,4,0,143,0,3,3,21,4,0,0,0,0,29,10,94,161,80,6,7,0,0,0,344,0,0,0,0,4,0,3,0,0,11,0,3,9,15,15,8,16,5,0,73,0,9,3,18,6,7,0,0,0,44,0,0,0,3,7,7,4,0,0,27,0,0,0,18,9,0,0,0,0,31,8,23,38,94,41,55,47,32,5,343,126,333,273,683,310,323,266,198,96,2608,3118,6860,6180,12704,5766,5649,5212,2909,1081,49462,0,5,12,19,5,0,0,0,0,39,2886,5757,5490,11130,5382,5567,5022,2807,1440,45474,0,4,3,20,0,4,0,0,0,28,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,16,0,3,0,10,4,0,0,0,0,19,0,5,0,27,11,0,5,4,0,53
20202,0,5,0,0,0,5,0,0,0,8,0,0,5,22,17,8,17,6,0,80,0,0,0,14,3,5,7,0,0,28,0,0,3,35,0,0,0,0,0,41,0,3,7,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,9,0,12,5,12,21,18,28,7,0,110,0,0,0,33,23,6,0,0,0,63,0,0,0,8,4,10,4,5,5,34,0,0,0,4,7,0,0,3,0,7,0,11,20,76,51,55,57,39,19,316,63,169,162,344,270,298,271,184,71,1834,1279,3250,2448,5214,3724,3953,3800,1960,547,26167,0,0,0,0,0,0,0,0,0,0,1066,2787,1924,4378,3108,3292,2888,1410,551,21401,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,8,0,0,0,4,0,0,0,0,0,3,0,3,0,3,5,0,0,0,0,8,0,0,0,25,13,9,9,4,0,56
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,9,14,9,0,32,24,61,48,108,105,136,113,80,29,716,291,696,550,1080,814,1102,1011,468,145,6168,0,0,0,0,0,0,0,0,0,0,245,636,472,951,624,821,657,317,156,4892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20301,0,0,0,0,5,0,4,0,0,12,0,3,3,7,5,0,3,0,0,23,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,3,0,0,0,19,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,6,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,3,18,20,32,19,14,0,109,32,90,50,155,101,86,84,38,11,642,754,1813,1289,2660,1587,1446,1203,498,112,11359,0,0,0,0,0,0,0,0,0,0,688,1500,1084,2490,1309,1125,811,305,148,9458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10
20302,0,14,15,29,13,21,18,3,6,121,0,20,31,110,58,52,39,7,3,328,6,14,70,249,38,8,27,10,0,421,0,5,0,21,5,3,0,0,0,28,3,66,103,81,7,6,4,0,0,269,0,5,0,25,18,18,6,16,0,84,0,22,29,94,55,36,26,15,0,282,0,12,44,119,54,52,22,8,0,304,0,0,7,21,19,16,26,21,3,114,0,0,12,52,14,5,4,0,0,99,15,114,164,581,230,312,333,278,121,2145,207,549,668,1403,620,557,470,353,140,4958,6384,12642,13700,29659,12521,11478,9596,5472,2013,103468,0,19,54,117,47,9,13,3,0,255,5647,10689,11077,22157,10436,9475,7640,4298,2133,83574,0,7,3,54,4,5,0,0,0,76,0,0,5,57,39,68,40,30,8,243,0,4,0,50,5,3,0,0,0,71,0,0,0,23,8,8,8,0,0,42,0,8,14,93,38,15,14,7,4,195
20303,0,4,3,6,14,0,10,0,0,39,0,12,21,60,44,36,27,12,0,218,0,0,3,19,7,9,3,8,0,47,0,0,0,4,0,0,0,0,0,4,0,8,9,15,0,0,0,0,0,29,0,0,0,0,3,0,4,0,0,13,7,30,10,37,24,25,34,14,0,176,0,0,5,11,6,0,0,0,0,26,0,5,0,5,11,8,13,4,6,58,0,0,0,14,6,0,3,0,0,32,3,40,22,141,73,86,110,59,13,556,80,238,157,420,308,315,436,262,97,2313,2592,6286,4425,9918,5565,5733,6596,3198,922,45240,0,0,0,0,0,0,0,0,0,0,2419,5315,3714,8789,4994,5430,5277,2466,954,39359,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,22,6,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,3,12,0,66,27,14,11,5,5,140
20401,0,0,0,4,7,6,4,0,0,13,0,3,4,24,17,7,12,7,0,76,0,4,6,13,9,3,7,0,0,38,0,0,0,12,0,0,0,0,0,18,0,0,3,15,0,0,0,0,0,26,0,0,0,4,0,0,0,0,0,9,3,7,11,16,7,8,5,6,3,67,0,0,7,14,5,0,0,0,0,20,0,0,0,0,5,3,9,8,0,28,0,0,0,4,5,0,0,0,0,9,5,13,6,44,42,55,65,50,14,295,73,274,264,525,338,444,396,240,63,2622,1447,3515,3282,6095,3713,4565,4499,2321,638,30066,0,0,0,0,0,0,0,0,0,0,1267,2941,2434,5037,3186,3627,3246,1638,676,24042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,9,0,5,0,8,0,3,0,0,0,15,0,5,0,18,6,9,4,0,0,49
