SA3_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
20101,43747,47315,91060,1556,1649,3207,113,134,248,6353,6862,13214,126,119,248,47,46,96,41,62,109,32,33,66,26,22,45,11,18,28,0,0,0,6752,7302,14054,202,229,432,164,130,285,8671,9307,17982,2904,2956,5861,55329,59580,114907
20102,12745,12716,25465,295,338,630,34,31,61,967,988,1949,28,25,56,6,6,11,8,9,15,7,5,14,0,8,4,3,4,10,0,0,0,1057,1074,2130,32,40,74,24,20,46,1404,1468,2876,1164,1174,2334,15317,15355,30675
20103,10816,10707,21523,282,314,586,23,23,41,772,821,1596,23,23,44,4,7,8,7,3,11,5,3,15,4,11,19,0,7,3,0,0,0,843,895,1737,14,19,34,16,11,29,1155,1238,2394,1510,1121,2633,13481,13065,26544
20201,39421,42483,81903,1326,1457,2786,161,177,346,4762,5401,10162,74,79,149,49,56,102,31,44,77,22,29,55,26,27,46,17,18,29,0,0,0,5144,5834,10976,138,171,310,107,103,210,6718,7562,14282,2726,2915,5639,48866,52962,101828
20202,20907,21330,42239,676,731,1401,48,62,117,1846,1898,3741,26,35,60,6,12,15,17,20,32,15,8,17,8,5,16,15,7,21,0,0,0,1977,2048,4026,66,77,145,27,30,54,2743,2883,5629,2314,1893,4210,25961,26109,52070
20203,4917,4822,9741,99,117,212,18,11,27,327,369,691,20,11,30,9,4,12,8,0,10,5,3,5,6,5,5,0,0,0,0,0,0,382,406,785,12,14,22,13,11,23,506,545,1044,692,647,1338,6116,6008,12126
20301,9398,9168,18568,220,249,470,16,10,27,838,829,1674,14,18,26,6,4,8,7,5,14,8,7,7,0,4,9,0,0,0,0,0,0,889,878,1768,24,32,53,13,19,37,1150,1173,2322,636,627,1268,11188,10973,22162
20302,80846,85689,166532,2890,3087,5976,235,289,527,10827,11770,22596,181,202,386,78,71,157,65,47,114,99,100,198,30,37,69,33,38,72,0,0,0,11550,12566,24110,413,479,892,273,216,489,15114,16351,31472,6218,5248,11469,102181,107285,209472
20303,35471,37577,73048,2156,2339,4493,113,105,217,4295,4766,9060,81,91,183,30,34,68,32,30,59,20,22,44,25,31,60,17,8,26,0,0,0,4619,5093,9714,168,181,350,70,73,150,7017,7690,14706,2267,2395,4663,44756,47661,92415
20401,23663,23607,47278,1109,1184,2299,146,132,281,1855,1960,3813,151,136,286,46,29,71,85,28,111,19,15,36,22,14,32,25,13,37,0,0,0,2345,2322,4668,90,91,178,56,49,103,3598,3646,7246,2514,2424,4932,29775,29680,59456
