SA3_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
20101,0,0,0,0,0,0,0,0,0,11,0,23,0,0,0,0,0,0,0,0,0,3,0,7,6,0,0,0,0,0,0,0,0,4,0,12,0,4,0,0,0,0,0,3,0,7,0,14,0,0,0,0,0,5,0,7,0,15,0,32,0,6,0,0,0,6,0,15,0,21,0,52,6,6,0,9,3,24,0,30,7,72,0,150,3,12,0,20,3,39,3,62,10,69,0,233,13,34,4,47,15,140,5,78,18,125,6,472,25,60,3,200,23,205,21,87,21,100,3,759,37,61,5,258,43,206,9,66,9,69,0,761,64,65,14,335,43,187,14,51,17,52,0,840,299,118,6,798,87,348,37,73,18,86,0,1867,410,96,24,762,111,139,32,39,4,36,5,1652,403,52,8,655,92,138,22,26,4,28,0,1424,360,32,9,329,50,45,16,11,10,14,4,873,865,52,20,761,118,195,10,21
20102,3,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,11,0,3,0,0,0,3,0,5,0,7,0,18,0,4,0,0,0,4,0,20,0,14,0,50,3,4,0,6,5,22,4,9,4,19,0,71,3,6,0,17,6,23,3,25,3,31,4,125,13,20,0,63,7,46,9,22,10,27,0,214,11,24,0,59,11,62,5,9,7,29,0,217,23,13,0,88,10,49,11,15,3,10,0,226,81,47,0,189,27,81,18,19,11,23,5,502,96,28,3,175,25,40,8,11,0,11,0,406,78,9,3,137,27,37,3,6,7,5,0,309,73,4,3,90,15,8,0,0,5,5,0,201,195,15,5,164,31,53,8,10
20103,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,4,0,11,6,3,0,0,0,3,0,4,0,6,0,22,0,0,0,4,3,4,0,13,3,21,0,60,6,7,0,12,0,15,0,20,8,27,0,87,3,17,0,21,8,35,4,10,8,43,0,150,11,7,0,58,7,51,0,21,7,30,5,198,16,16,6,59,4,43,5,10,3,28,0,183,20,14,3,80,14,43,6,9,4,14,0,211,93,25,3,164,22,51,7,10,7,17,0,392,57,21,5,105,22,25,9,10,6,13,0,254,57,4,0,77,15,4,0,7,0,3,0,170,44,0,0,39,4,9,0,0,0,0,0,104,66,0,0,62,7,16,7,4
20201,3,0,0,0,0,6,0,3,0,9,0,26,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,8,0,12,0,6,0,0,0,0,0,0,0,12,0,25,0,0,0,0,0,10,0,13,0,26,0,53,0,6,0,4,0,22,0,38,7,54,0,134,0,22,3,15,5,58,0,46,12,77,4,249,7,41,5,42,3,123,4,78,7,91,0,397,23,65,3,156,26,182,11,87,13,112,3,682,26,39,3,230,30,174,10,46,15,59,0,639,87,63,7,290,54,161,7,42,11,49,3,777,346,113,22,745,87,300,34,63,32,66,4,1810,376,84,17,720,91,115,30,37,7,38,0,1511,345,57,18,559,88,110,28,16,11,22,0,1254,296,31,4,292,53,40,19,12,0,13,0,759,628,41,14,544,71,150,20,17
20202,3,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,3,0,7,0,11,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,6,0,12,0,4,0,5,0,0,0,11,0,5,0,24,4,6,0,3,0,3,3,17,0,25,0,57,5,11,0,11,0,17,0,16,6,21,4,86,9,25,0,28,3,31,3,25,9,42,0,167,22,28,8,81,15,66,11,44,12,39,4,334,17,31,5,116,14,72,10,26,13,34,0,334,41,46,0,142,22,62,12,16,11,21,0,378,105,87,5,336,41,143,24,45,16,31,0,829,135,60,6,324,57,59,20,25,3,23,4,711,151,47,15,295,37,56,17,6,6,8,0,630,136,25,11,171,25,25,10,3,8,10,0,421,411,49,12,340,66,127,15,22
20203,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,4,0,11,3,0,0,3,0,0,0,4,0,14,0,24,8,0,0,7,0,10,0,7,0,11,0,43,3,4,0,8,0,14,3,0,0,19,3,63,9,9,0,25,12,24,0,7,0,21,0,99,5,10,3,46,0,26,0,0,0,4,0,112,21,6,0,48,6,11,0,7,0,8,0,108,38,8,0,77,9,27,3,8,6,14,0,196,38,6,4,69,12,8,0,3,0,7,0,149,30,8,5,35,5,7,0,0,0,3,0,86,21,0,0,17,5,0,0,0,0,0,0,45,32,0,3,41,7,7,0,0
20301,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,12,0,18,0,6,0,3,0,5,0,5,0,11,0,33,3,3,0,8,4,7,3,6,4,9,4,50,6,11,0,14,7,34,0,14,0,6,0,95,10,10,0,53,0,40,5,19,0,22,0,171,15,10,0,57,10,50,3,7,9,13,0,176,13,12,4,72,9,47,7,13,7,17,0,195,56,32,5,251,45,71,8,13,3,17,3,515,95,28,4,223,33,41,8,11,0,4,0,448,103,17,7,166,32,38,11,8,0,4,0,384,82,9,9,89,21,16,4,4,0,0,0,229,214,22,3,180,33,58,19,3
20302,5,0,0,3,0,9,0,3,0,55,0,77,0,0,0,0,0,3,0,3,4,12,0,24,0,0,0,4,0,3,0,8,0,24,0,35,0,0,0,0,0,0,0,6,5,13,0,34,0,0,0,6,0,10,3,12,6,44,0,76,0,4,0,0,0,20,0,30,4,59,0,126,0,8,0,8,5,34,0,48,11,130,0,247,6,27,0,26,11,109,3,93,16,131,3,425,13,43,4,84,13,239,10,149,18,220,9,799,25,128,7,256,44,350,30,143,25,205,6,1223,46,105,12,412,53,315,28,124,24,143,4,1260,115,88,18,488,75,328,35,92,19,117,3,1385,528,223,49,1448,188,684,67,156,40,200,0,3573,631,153,34,1493,197,291,62,77,16,90,0,3051,680,125,26,1315,190,292,53,59,18,62,4,2821,656,62,15,734,116,125,29,18,4,37,0,1802,1756,135,34,1692,291,524,40,69
20303,0,0,0,4,0,0,0,0,0,19,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,5,5,0,0,0,0,0,0,0,0,9,0,11,7,8,0,0,0,4,3,6,0,9,0,31,3,4,0,5,4,9,7,21,6,30,0,81,0,5,0,10,3,29,4,21,9,31,0,108,10,27,7,26,4,49,4,54,11,57,0,244,12,44,3,102,16,88,11,50,8,58,0,399,16,54,9,168,17,122,11,41,12,40,0,485,36,54,12,199,39,103,19,18,5,41,5,527,169,115,14,634,89,291,27,53,19,66,0,1485,236,121,20,765,104,122,39,45,12,29,5,1495,338,72,17,666,103,124,21,22,12,21,3,1395,291,44,19,399,62,52,22,18,3,18,0,921,921,87,37,894,129,266,46,42
20401,3,0,0,0,0,0,0,0,0,11,0,12,0,0,0,5,0,0,0,0,0,5,0,8,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,11,3,0,0,5,0,4,0,0,0,16,0,23,0,5,0,0,0,4,0,15,5,12,0,35,7,3,0,3,0,9,0,16,0,30,0,72,3,13,0,14,5,16,4,25,3,36,6,123,15,27,0,38,6,75,10,33,10,52,0,263,23,31,3,95,17,95,17,33,15,44,0,370,18,17,8,126,14,109,13,20,11,34,3,374,49,38,8,180,23,83,8,20,5,25,0,443,188,38,16,378,71,150,22,27,11,43,6,948,184,31,9,345,38,57,14,19,15,19,0,722,190,18,10,218,37,60,9,14,5,9,0,565,141,17,3,111,24,25,3,9,4,5,0,337,301,16,7,201,30,60,12,10
