SA3_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
20101,0,0,0,7,9,0,3,7,61,0,74,0,4,0,4,6,0,6,11,11,0,25,0,8,3,16,3,7,13,29,29,0,55,0,25,4,30,8,5,18,47,64,0,116,4,56,10,67,11,15,26,89,170,3,257,20,127,25,171,27,32,53,226,280,3,513,42,221,18,281,22,17,40,318,265,5,582,101,252,26,383,7,14,22,401,333,3,738,173,260,27,464,15,8,23,482,259,0,742,194,186,27,409,11,11,19,427,187,0,618,183,100,22,310,4,4,8,318,101,0,421,154,88,9,249,0,3,4,248,53,3,307,236,98,17,348,3,0,6,350,91,0,447,116,29,4,152,0,0,0,148,32,0,186,62,17,0,84,0,0,0,87,18,0,100,34,4,0,46,0,0,0,46,5,0,53,59,7,5,75,0,0,0,76,14,0,92,145,82,12,231,4,5,8,244,118,9,369,8,4
20102,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,4,17,0,18,6,4,3,10,0,0,0,14,15,0,26,0,9,5,12,3,6,7,19,39,0,65,6,28,4,34,3,4,5,40,30,0,68,3,48,7,57,3,0,3,61,39,0,100,11,44,3,58,3,4,9,63,53,0,117,29,46,4,77,0,3,3,77,50,0,133,27,24,5,59,0,0,0,58,46,0,107,25,16,3,45,0,0,0,49,31,0,81,38,19,0,56,0,0,0,57,17,0,72,51,13,7,65,0,0,0,67,29,0,96,12,9,0,21,0,0,0,21,16,0,34,14,0,0,17,0,0,0,17,0,0,13,4,0,0,5,0,0,0,5,3,0,8,21,4,0,23,0,0,0,23,0,0,28,30,22,3,57,4,0,4,59,33,5,98,0,0
20103,0,0,0,4,0,0,0,3,14,0,15,0,0,0,0,0,0,0,0,8,0,8,0,8,4,8,0,0,0,11,11,0,19,6,12,4,19,0,3,3,24,21,0,39,0,10,0,9,9,0,3,16,55,0,75,5,32,0,38,3,5,10,48,60,0,110,10,41,3,54,5,3,6,60,63,0,129,21,35,5,58,4,5,4,70,97,0,165,21,28,7,62,5,7,10,73,79,0,152,37,22,6,69,0,0,0,70,58,0,130,22,12,3,40,0,0,5,43,19,0,58,25,6,0,36,0,0,0,36,18,0,55,23,11,6,34,0,0,0,34,22,0,62,10,3,0,14,0,0,0,14,6,0,18,3,5,0,9,0,0,0,9,0,0,11,0,0,0,4,0,0,0,4,0,0,5,9,0,0,14,0,0,0,14,3,0,13,28,14,5,50,0,0,0,47,39,0,88,0,3
20201,0,0,0,6,5,0,7,5,35,0,41,0,0,0,0,0,0,0,5,12,0,16,0,5,3,10,0,6,9,14,31,0,47,0,17,10,27,4,8,19,42,84,0,121,3,46,9,60,11,18,25,83,173,4,257,9,123,21,155,19,20,40,194,236,0,430,44,190,27,261,7,18,17,285,214,7,506,98,239,25,368,7,8,16,380,299,0,676,175,210,24,407,0,6,9,414,252,0,666,186,164,12,363,6,3,4,368,193,3,562,192,100,18,314,4,4,3,324,96,3,421,159,64,12,240,0,0,0,242,55,0,302,276,99,9,389,4,0,4,392,87,0,480,89,28,4,126,3,0,3,133,29,0,165,72,16,6,92,0,0,0,93,15,0,108,21,7,5,33,0,0,0,33,11,0,46,35,6,0,47,0,0,0,47,14,0,60,94,74,13,181,12,0,11,194,96,0,290,5,4
20202,0,0,0,0,0,3,3,6,13,0,20,0,0,0,5,0,0,0,5,10,0,6,0,0,0,0,0,0,3,4,23,0,28,3,8,0,13,7,0,7,17,17,0,34,4,19,3,23,0,0,0,23,57,0,79,4,35,3,47,0,3,3,51,74,0,128,14,76,3,92,0,5,3,96,73,0,181,27,65,11,103,3,0,3,109,120,0,230,42,69,8,115,3,3,8,125,85,0,209,43,57,11,109,0,0,3,111,64,0,170,67,52,4,116,5,5,4,120,32,0,158,60,20,9,87,0,0,0,91,19,0,113,96,41,8,139,0,0,3,143,23,0,163,39,21,0,63,0,0,0,63,16,0,80,27,10,0,39,0,0,0,39,3,0,42,11,0,0,13,0,0,0,13,3,0,18,31,4,0,39,0,0,0,39,7,0,45,80,47,3,127,0,3,3,127,38,8,171,0,6
20203,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,8,5,0,0,0,0,0,0,0,14,0,19,3,15,0,24,0,0,0,19,19,0,48,3,13,5,18,6,5,5,24,28,0,50,4,18,3,23,0,0,0,25,29,0,56,11,8,0,16,0,0,4,20,31,0,51,9,9,0,20,0,0,0,18,13,0,32,16,5,0,17,0,0,0,18,4,0,19,4,5,0,11,0,0,0,11,7,0,18,16,4,0,18,0,0,0,21,9,0,27,0,0,0,6,0,0,0,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,10,5,3,15,0,0,0,15,15,0,33,0,0
20301,4,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,7,0,6,4,13,0,0,0,15,3,0,16,0,7,0,9,0,3,3,15,12,0,22,3,22,0,23,5,0,3,23,33,0,61,4,31,5,38,0,0,0,38,18,0,59,9,24,5,39,0,0,0,39,32,0,67,20,34,0,49,0,0,0,51,23,0,74,27,28,0,50,0,0,0,50,24,0,75,21,11,0,36,0,0,0,34,7,0,48,18,10,6,32,0,0,0,32,0,0,38,27,11,0,33,0,0,0,33,20,0,56,13,11,0,17,0,0,0,17,0,0,23,21,0,0,22,0,0,0,22,4,0,20,5,0,0,7,0,0,0,7,0,0,6,15,0,0,19,0,0,0,19,4,0,23,20,14,4,45,0,0,0,45,16,3,57,0,0
20302,5,6,3,8,3,6,12,25,101,0,124,4,10,6,16,6,3,5,21,37,0,60,0,18,4,26,4,4,11,40,70,0,111,3,28,7,40,10,10,22,62,109,0,175,5,86,14,103,23,19,46,151,261,0,406,17,209,38,263,25,38,65,327,414,0,745,59,292,51,401,15,32,50,447,365,4,821,169,364,41,576,11,21,33,611,481,5,1097,262,348,40,650,12,14,26,675,423,6,1108,339,273,27,640,10,7,25,663,337,4,1000,311,202,29,537,3,5,8,548,190,0,736,269,129,17,413,6,0,5,424,124,0,541,508,180,29,716,4,3,7,718,190,3,908,226,74,16,313,6,0,6,320,71,0,395,163,41,7,203,0,0,4,209,24,0,232,58,21,0,83,0,0,0,83,12,0,93,135,26,16,175,0,0,0,179,44,0,220,222,147,40,413,7,8,17,430,200,20,653,12,13
20303,0,0,0,5,4,5,6,14,20,0,37,0,3,0,4,0,0,0,6,13,0,18,0,9,0,14,3,0,3,14,22,3,39,4,3,3,9,0,4,3,16,31,0,50,7,36,7,44,3,0,4,51,53,0,105,3,67,16,89,9,11,18,98,79,0,185,19,94,8,129,7,3,10,140,84,0,223,47,126,13,188,7,3,9,195,141,0,338,92,137,11,241,3,6,10,249,112,0,360,102,124,14,231,6,6,7,241,84,0,329,95,80,6,187,4,0,3,191,52,0,240,95,52,9,160,0,0,0,160,38,0,190,196,73,9,276,0,0,5,279,52,0,333,71,30,0,101,0,0,3,103,24,0,125,55,13,0,74,0,0,0,72,13,0,83,24,8,3,32,0,0,0,32,10,0,45,74,29,3,100,0,0,0,104,12,0,114,112,65,12,194,0,9,4,203,57,11,273,11,0
20401,4,0,0,5,0,0,0,11,26,0,35,0,0,0,3,0,0,0,5,3,0,10,0,5,5,12,0,4,8,14,14,0,27,0,14,3,22,0,9,8,24,24,0,51,9,30,4,45,4,4,7,49,65,0,112,6,65,16,80,5,14,16,95,98,0,198,25,85,10,119,3,4,8,127,113,0,245,41,81,10,136,0,4,7,141,164,4,312,58,91,17,171,6,7,9,181,102,0,286,60,67,16,141,3,3,5,146,90,0,239,77,36,0,116,0,0,0,113,46,0,159,62,27,4,89,0,0,0,93,42,0,133,103,41,6,154,0,0,0,154,32,0,187,49,19,6,72,0,0,0,74,27,0,95,29,5,3,37,0,0,0,37,14,0,55,16,0,0,18,0,0,0,18,4,0,23,31,4,0,33,0,0,0,33,8,0,40,60,44,10,115,4,0,7,124,72,6,202,4,5
