SA3_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
20101,9,129,0,138,3291,202,3631,127,103,4,233,3166,234,3635,1974,181,48,2201,5133,452,7793,3848,118,90,4055,2397,342,6797,2350,184,53,2581,3863,336,6780,398,533,3,939,5170,319,6424,58,669,3,729,4558,301,5589,8,141,4,153,2649,257,3054,0,4,0,4,884,145,1030,8777,2053,205,11034,31108,2591,44734,22,241,4,265,3036,225,3528,272,224,24,519,2969,219,3707,2903,375,173,3457,4062,436,7954,4716,201,221,5148,2119,337,7597,2340,469,75,2873,4270,322,7465,174,1370,16,1569,5368,290,7227,59,1175,4,1236,4971,308,6517,12,181,0,191,3231,295,3719,0,10,0,9,1546,296,1851,10500,4250,519,15267,31577,2723,49562,32,370,4,401,6330,427,7163,401,330,24,752,6136,449,7344,4881,562,221,5658,9201,884,15741,8565,317,315,9201,4510,680,14392,4686,647,124,5453,8132,658,14251,574,1908,22,2511,10541,605,13656,114,1847,10,1970,9527,613,12107,22,316,3,347,5880,553,6773,0,8,0,10
20102,0,33,0,34,751,65,852,23,9,0,32,487,42,567,390,29,11,422,750,94,1264,902,32,19,951,668,128,1751,659,48,9,710,1396,172,2271,138,166,8,306,2048,176,2526,28,201,0,230,1923,171,2324,7,37,0,43,921,104,1065,0,3,0,3,217,61,274,2137,557,46,2737,9145,1017,12896,3,40,0,45,634,62,742,36,37,0,75,385,30,481,547,56,28,624,604,112,1346,1054,56,54,1154,544,130,1831,632,143,26,802,1375,160,2335,82,390,7,476,1979,165,2620,18,347,0,370,1713,173,2252,6,40,0,49,849,116,1010,0,4,0,4,330,79,414,2374,1105,122,3601,8414,1023,13035,5,77,0,75,1389,130,1596,57,50,0,103,871,77,1048,937,84,34,1053,1355,207,2608,1954,81,70,2112,1213,258,3585,1286,185,33,1512,2764,324,4600,218,553,13,784,4024,337,5145,42,552,0,596,3638,344,4575,15,75,0,88,1764,217,2079,0,7,0,7
20103,5,33,0,41,587,95,720,31,21,0,54,487,50,592,373,31,7,411,618,138,1170,561,27,22,604,463,182,1259,442,67,12,519,1102,242,1859,89,130,6,224,1662,204,2085,25,155,0,176,1853,233,2257,9,26,0,38,1045,145,1225,0,4,0,6,263,48,322,1522,494,45,2063,8086,1335,11485,9,53,0,62,507,86,651,51,41,9,99,372,44,514,538,57,36,631,479,78,1182,715,34,42,795,378,103,1275,435,138,22,602,1033,162,1795,53,307,5,364,1570,131,2059,15,231,0,240,1708,146,2093,3,36,0,42,962,128,1131,0,4,0,4,374,54,433,1817,902,114,2828,7388,933,11142,9,88,0,96,1088,185,1373,79,60,4,147,862,96,1107,905,90,44,1036,1100,219,2355,1274,63,63,1397,844,288,2534,880,205,37,1118,2133,398,3654,142,436,11,591,3227,334,4154,32,381,0,416,3556,381,4352,14,60,0,77,2011,271,2361,0,5,0,8
20201,10,126,4,136,2664,183,2984,114,110,3,230,2785,184,3196,1894,164,60,2120,4175,429,6723,3313,109,71,3487,2153,338,5982,1841,150,29,2022,3411,330,5766,304,495,8,811,4521,311,5649,50,638,0,692,4245,271,5212,11,141,0,150,2548,213,2909,0,8,0,8,942,130,1081,7549,1940,172,9658,27442,2396,39492,21,220,0,244,2570,184,2996,244,210,9,472,2671,153,3295,2832,297,167,3294,3570,396,7259,4033,182,175,4387,1861,351,6600,1839,428,75,2341,3716,314,6367,173,1306,8,1494,4761,312,6563,38,1094,5,1141,4483,261,5887,12,188,0,200,2974,276,3449,0,9,0,13,1440,278,1728,9200,3941,447,13585,28047,2521,44151,33,349,4,384,5232,362,5980,366,320,18,697,5451,338,6489,4724,467,224,5411,7741,829,13979,7341,293,241,7878,4015,689,12582,3683,582,104,4366,7123,642,12136,483,1802,15,2307,9286,622,12212,91,1733,8,1832,8731,539,11096,19,322,3,347,5523,485,6354,0,23,0,19
20202,4,70,0,70,1213,144,1428,27,35,0,57,858,105,1016,569,58,8,639,1274,349,2267,1602,38,50,1688,925,331,2945,1368,95,16,1484,1910,324,3724,243,245,6,497,3164,292,3953,47,364,0,413,3110,276,3800,4,79,0,81,1690,193,1960,0,0,0,0,448,100,547,3874,980,81,4932,14588,2120,21639,11,91,0,98,1132,113,1344,43,58,0,102,654,68,823,889,87,39,1021,1022,157,2198,1994,81,101,2184,777,195,3154,1337,192,49,1588,2065,238,3884,124,650,5,783,3146,246,4173,19,629,0,650,2933,243,3827,12,115,0,119,1633,210,1960,0,7,0,7,587,192,792,4425,1916,208,6550,13944,1661,22157,15,153,0,169,2343,256,2774,67,92,0,162,1511,173,1842,1461,149,48,1658,2294,506,4463,3598,125,155,3874,1701,520,6101,2708,285,68,3074,3968,568,7608,370,895,16,1273,6312,538,8128,66,994,0,1062,6036,525,7624,14,188,0,206,3316,399,3923,0,6,0,11
20203,0,7,0,5,270,39,318,9,11,0,15,189,29,233,160,15,3,172,262,41,480,319,12,12,340,192,73,603,205,27,8,233,476,105,814,45,71,3,121,866,118,1102,6,69,0,76,825,113,1011,9,16,0,20,378,75,468,0,0,0,0,114,32,145,745,222,18,990,3575,618,5186,0,17,0,25,256,40,317,21,21,0,47,157,28,229,237,21,8,274,224,50,548,370,13,18,401,145,69,619,187,61,9,265,434,87,783,23,167,0,185,765,102,1057,11,131,0,138,638,97,874,3,15,0,22,345,71,436,0,0,0,8,167,46,216,861,454,45,1361,3125,588,5074,0,26,0,30,531,74,635,28,31,0,62,340,52,457,399,35,11,450,486,95,1027,687,21,32,742,337,137,1215,391,89,16,498,917,191,1603,62,236,6,309,1631,223,2160,17,199,0,213,1461,212,1887,13,33,0,40,723,144,899,0,0,0,8
20301,0,25,0,24,685,59,770,12,16,0,25,466,28,522,421,24,11,457,676,60,1193,932,21,14,969,410,90,1470,576,29,8,609,888,90,1587,91,119,3,212,1165,70,1446,13,118,0,135,992,69,1203,0,18,0,18,427,48,498,0,0,0,0,89,12,112,2054,371,38,2457,5801,531,8790,0,57,0,58,630,61,742,24,21,0,44,371,24,444,590,50,27,663,457,62,1190,1123,41,48,1219,354,91,1667,513,81,14,609,887,75,1567,42,275,0,322,1045,78,1445,3,211,0,221,822,53,1089,0,21,0,21,381,48,449,0,0,0,0,153,41,195,2296,756,98,3153,5098,536,8785,6,75,0,84,1311,113,1509,37,36,0,72,839,56,967,1018,73,35,1119,1132,121,2385,2054,63,64,2188,767,181,3131,1084,108,20,1214,1777,160,3152,134,397,4,539,2211,145,2896,19,336,0,360,1813,127,2289,0,42,0,42,807,98,943,0,4,0,4
20302,16,225,0,246,5629,332,6205,114,181,3,301,6628,562,7493,3396,328,58,3781,11206,1379,16361,7162,200,156,7520,4781,995,13299,4364,277,59,4695,7054,769,12521,666,894,7,1573,9314,597,11478,91,1295,8,1389,7694,508,9596,16,294,0,312,4778,379,5472,0,12,0,22,1765,232,2013,15833,3715,297,19841,58856,5741,84444,24,364,0,389,5276,309,5971,332,361,23,711,6114,390,7224,5104,661,241,6009,9162,799,15974,8546,404,344,9293,4038,664,13990,4224,757,133,5106,7649,578,13336,341,2426,29,2792,9378,465,12636,80,2280,9,2375,8191,580,11138,20,372,0,394,5897,557,6849,3,15,0,17,2906,402,3327,18678,7639,776,27091,58615,4743,90450,41,593,0,640,10905,638,12177,447,543,31,1020,12742,947,14716,8498,993,298,9787,20377,2176,32338,15713,604,500,16809,8816,1656,27287,8584,1031,194,9805,14702,1346,25859,1011,3320,35,4369,18692,1066,24118,176,3574,14,3762,15891,1086,20738,37,667,0,704,10679,934,12319,3,34,0,36
20303,5,94,0,100,2198,141,2433,31,43,0,69,1832,88,1989,1112,105,21,1233,2896,192,4318,3556,90,82,3732,1615,248,5597,2362,109,43,2518,2770,273,5565,393,476,9,873,4559,295,5733,74,955,4,1034,5165,403,6596,9,165,0,173,2772,259,3198,0,0,0,0,791,133,922,7536,2042,164,9734,24585,2035,36359,6,135,0,139,1966,144,2251,61,91,3,155,1628,84,1869,1662,202,73,1933,2549,203,4691,4270,167,182,4620,1372,263,6257,2405,239,66,2709,3193,249,6149,178,1225,21,1425,5116,295,6836,41,1540,14,1597,4999,379,6978,13,177,0,191,2974,286,3454,0,4,0,11,1135,237,1380,8634,3780,365,12781,24926,2155,39860,7,229,0,233,4164,288,4687,89,137,3,227,3463,170,3855,2770,309,89,3163,5441,399,9005,7823,253,271,8351,2986,513,11854,4769,350,110,5230,5961,522,11717,568,1702,30,2301,9675,595,12569,119,2500,18,2636,10166,782,13583,18,343,0,368,5741,538,6650,4,5,0,12
20401,5,66,0,71,1467,168,1708,46,41,0,89,1335,145,1570,815,62,13,896,1846,256,2996,1624,48,59,1725,1104,270,3103,1047,97,20,1171,2215,324,3713,222,249,8,472,3691,396,4565,36,363,5,410,3729,358,4499,7,75,0,85,2029,206,2321,0,8,0,7,566,63,638,3806,1016,102,4931,17981,2199,25103,6,90,0,95,1296,183,1572,115,73,9,196,935,118,1253,1216,99,61,1375,1427,245,3043,1926,101,107,2137,894,253,3283,1033,237,28,1300,2321,306,3928,98,704,10,809,3548,359,4712,26,571,7,610,3339,318,4263,3,90,0,95,1964,183,2246,0,5,0,4,854,125,980,4426,1966,220,6616,16583,2082,25285,12,158,0,170,2761,353,3284,166,109,4,280,2272,268,2819,2032,164,77,2269,3274,496,6040,3552,150,164,3859,1995,527,6382,2075,339,53,2472,4538,629,7638,324,950,12,1289,7238,751,9277,70,938,10,1013,7068,677,8764,13,163,4,181,3991,392,4568,6,12,0,14
20402,5,49,0,56,1206,121,1388,44,25,6,78,877,76,1029,704,66,11,782,1402,174,2360,1293,49,26,1369,886,172,2424,835,101,14,950,1754,180,2886,147,241,0,386,2786,220,3397,33,336,3,371,2772,248,3388,11,50,0,59,1732,163,1948,0,3,0,4,543,87,636,3067,926,61,4061,13951,1440,19449,13,98,0,112,1105,125,1348,92,78,0,174,779,78,1028,975,99,59,1135,1171,164,2469,1575,87,78,1744,744,171,2661,823,236,40,1094,1952,198,3241,76,675,7,766,2729,223,3720,21,534,0,556,2716,180,3452,5,81,0,95,1825,228,2142,0,4,0,3,848,140,992,3587,1899,195,5681,13874,1497,21055,21,149,0,173,2315,250,2734,138,107,5,250,1657,149,2059,1681,167,74,1917,2570,333,4828,2864,133,107,3106,1627,350,5081,1657,335,48,2046,3707,378,6129,226,918,7,1158,5523,436,7116,52,873,6,932,5482,427,6839,15,131,0,148,3553,384,4093,3,6,0,10
20403,7,77,0,89,2126,201,2417,88,58,0,147,1690,165,1995,1272,109,43,1429,2585,330,4348,2333,72,62,2475,1529,319,4328,1533,142,32,1701,2673,303,4675,287,383,10,681,4105,324,5109,49,427,5,478,3882,303,4658,7,85,0,95,2014,182,2289,0,3,0,3,595,73,673,5582,1353,160,7096,21194,2207,30494,19,142,0,163,1802,160,2129,154,106,10,270,1422,136,1831,1863,172,111,2147,1953,268,4375,2932,132,148,3203,1316,259,4782,1480,350,55,1890,2877,257,5022,126,953,9,1086,4072,256,5412,24,733,5,765,3674,268,4702,4,124,0,125,2214,228,2574,0,6,0,5,924,143,1077,6603,2721,330,9656,20252,1982,31891,25,223,4,253,3924,368,4546,241,162,10,415,3115,303,3828,3139,278,156,3574,4545,601,8716,5264,204,212,5682,2845,578,9113,3012,495,84,3588,5549,560,9705,414,1337,20,1770,8178,576,10517,73,1163,5,1238,7550,567,9363,13,205,4,221,4224,414,4856,0,12,0,10
20501,3,59,0,64,1425,108,1600,61,58,0,117,1254,88,1464,1137,73,27,1240,1962,184,3391,1823,46,59,1930,1038,224,3196,1002,105,20,1122,1977,213,3310,189,306,6,499,2890,206,3596,42,364,0,409,2851,204,3454,9,77,0,86,1722,138,1944,0,6,0,6,464,71,537,4262,1101,113,5472,15579,1434,22491,8,143,0,159,1350,114,1620,116,103,6,224,1155,63,1441,1630,154,91,1881,1653,233,3768,2116,94,125,2330,856,206,3395,1016,253,41,1318,2119,194,3623,88,854,4,943,2855,204,4005,21,609,4,630,2801,197,3622,9,82,0,92,1747,174,2007,0,0,0,6,710,97,817,5011,2292,279,7583,15244,1481,24301,13,202,0,222,2775,222,3217,175,165,6,343,2409,157,2901,2767,232,122,3118,3613,422,7161,3943,141,182,4257,1903,433,6589,2018,355,66,2435,4096,403,6936,275,1159,12,1443,5744,408,7599,63,969,4,1041,5648,397,7080,16,159,0,175,3468,308,3953,0,6,0,8
20502,9,49,0,53,1016,144,1213,49,36,5,90,777,74,942,637,53,22,718,1206,179,2104,1057,45,36,1143,782,205,2126,687,85,10,784,1626,221,2625,157,250,0,410,3035,296,3733,36,289,0,326,3784,318,4427,9,62,0,73,2163,236,2470,0,0,0,0,540,103,644,2642,877,81,3597,14917,1779,20296,7,82,0,95,880,123,1095,102,59,0,171,628,81,874,985,88,69,1136,967,178,2286,1330,79,84,1493,687,193,2380,693,224,29,945,1832,224,3001,71,579,12,656,3110,267,4033,25,453,0,470,3491,314,4273,8,71,0,82,2084,246,2406,3,6,0,5,692,169,875,3215,1645,191,5059,14382,1790,21233,14,131,0,148,1897,266,2315,153,98,4,259,1410,156,1819,1624,138,91,1850,2176,362,4389,2393,123,123,2634,1469,402,4510,1377,310,40,1729,3456,445,5626,224,832,11,1071,6146,559,7770,53,742,0,799,7274,631,8702,15,139,0,152,4250,481,4878,3,6,0,5
20503,9,70,0,71,1544,168,1786,51,38,0,88,1177,90,1357,894,72,22,981,1768,199,2950,1947,60,60,2067,1207,270,3548,1272,103,31,1405,2542,290,4237,275,379,10,660,4453,360,5468,49,570,0,625,4907,411,5941,4,94,0,99,2628,298,3020,0,0,0,0,706,151,858,4494,1385,124,6005,20924,2238,29166,9,123,4,141,1433,173,1747,107,84,6,192,920,82,1197,1400,161,71,1631,1407,233,3270,2366,100,129,2603,961,286,3846,1227,273,59,1555,2700,264,4517,128,1025,9,1160,4545,376,6076,28,842,3,872,4806,417,6092,10,106,0,110,2665,314,3091,4,7,0,12,1025,177,1215,5268,2724,286,8274,20461,2313,31044,10,193,4,211,2977,342,3536,157,124,7,283,2101,172,2557,2295,227,92,2612,3176,434,6226,4313,161,190,4666,2164,557,7392,2497,374,90,2960,5241,551,8750,394,1409,15,1819,8994,730,11542,77,1408,6,1494,9709,829,12038,9,197,0,212,5283,612,6106,4,8,0,10
20504,12,75,0,90,1947,202,2235,109,80,9,190,1772,169,2133,1306,145,34,1490,2871,395,4751,2142,105,51,2296,1620,348,4267,1140,150,25,1315,2826,358,4496,222,459,11,686,4052,357,5094,29,436,0,470,3764,341,4573,13,65,0,74,2088,222,2383,0,4,0,4,636,118,754,4962,1521,129,6612,21573,2504,30688,30,169,0,191,1728,184,2107,258,136,14,401,1561,191,2147,2063,200,128,2388,2261,390,5038,2545,145,151,2843,1369,360,4574,1077,416,45,1536,2948,320,4808,103,1100,3,1206,3965,357,5531,24,654,0,678,3748,317,4744,13,90,5,109,2295,267,2674,0,4,0,4,1005,183,1192,6101,2918,352,9372,20883,2572,32821,41,242,0,284,3675,383,4342,362,214,18,590,3333,361,4286,3359,349,162,3875,5133,786,9789,4685,256,207,5146,2993,707,8845,2217,572,69,2853,5774,680,9304,324,1554,14,1897,8015,713,10630,54,1092,0,1154,7511,660,9318,25,155,5,183,4382,485,5057,0,6,0,8
20505,10,53,0,65,1103,121,1291,50,27,0,77,934,154,1172,724,52,24,798,1403,532,2736,1262,38,36,1340,813,485,2641,650,74,25,746,1607,299,2654,123,243,3,366,2640,266,3279,36,292,0,330,2674,270,3268,3,45,0,47,1326,113,1486,0,6,0,6,354,59,417,2855,833,96,3779,12861,2300,18941,13,89,0,100,1009,119,1219,95,71,4,172,756,78,1006,1074,95,62,1228,1000,197,2425,1503,83,103,1688,662,204,2557,642,220,32,887,1804,208,2901,75,613,0,695,2487,192,3372,18,432,0,452,2460,219,3127,0,57,0,61,1412,143,1616,0,4,0,4,532,78,620,3416,1665,201,5284,12133,1432,18850,21,139,0,161,2109,243,2515,144,96,4,246,1697,229,2175,1798,143,80,2027,2405,730,5161,2769,126,144,3031,1473,691,5195,1290,293,52,1635,3414,512,5555,195,859,12,1063,5135,456,6652,54,724,0,780,5138,483,6397,6,106,0,111,2733,260,3101,0,7,0,7
