SA3_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
20101,1149,912,703,487,181,27,4666,43,463,663,658,582,497,136,23,3066,792,3571,3447,2521,1651,1382,544,111,14025,435,1479,1693,1701,1493,1215,509,138,8659,1723,3986,3350,3088,2705,1725,750,213,17543,264,284,199,164,126,110,29,11,1193,84,161,180,227,250,224,115,37,1273,2074,4430,3733,3476,3082,2062,887,265,20014,30,63,56,72,63,77,61,24,436,890,953,772,831,828,1002,915,631,6822,4345,12076,11526,10175,8405,6718,3232,1218,57685
20102,214,297,329,248,72,9,1285,3,65,157,189,212,197,30,4,870,96,435,738,774,704,542,168,38,3491,54,293,470,578,584,483,165,22,2646,286,808,908,1022,1003,647,261,60,4995,37,45,46,45,48,38,13,4,269,22,29,56,70,102,92,23,7,403,341,884,1008,1137,1158,778,300,70,5666,5,18,10,20,22,33,15,3,132,219,240,297,387,447,499,348,162,2606,725,2048,2887,3381,3456,2778,1102,315,16695
20103,62,69,75,84,22,3,369,5,53,67,84,83,99,18,0,411,70,292,314,308,299,294,121,19,1715,60,200,243,388,381,324,138,21,1743,322,732,689,931,932,775,279,51,4700,46,60,60,42,57,44,15,8,336,18,37,42,47,75,72,20,4,329,383,828,787,1023,1065,897,313,61,5364,0,0,8,12,7,20,24,4,75,278,191,252,415,403,542,394,132,2615,801,1614,1730,2295,2315,2257,1023,239,12282
20201,714,544,435,354,131,15,3131,57,443,587,522,449,373,88,13,2546,673,3000,2720,1931,1340,1101,425,125,11312,365,1303,1421,1404,1325,1146,527,130,7623,1422,3688,3088,2892,2594,1682,789,231,16387,229,218,208,150,162,125,21,3,1121,96,137,178,220,245,229,98,39,1233,1748,4039,3475,3259,3001,2033,916,275,18746,10,68,41,52,54,63,48,25,362,726,920,786,783,851,907,953,687,6616,3673,10608,9745,8505,7461,5980,3087,1276,50332
20202,588,646,544,487,172,22,2738,9,124,357,464,451,343,83,14,1849,112,872,1555,1619,1172,1155,475,81,7036,104,418,650,912,968,878,408,54,4390,441,1107,1177,1478,1536,1053,430,89,7309,74,62,68,63,80,62,21,8,438,26,44,66,132,172,127,68,15,650,540,1209,1315,1672,1794,1237,523,110,8395,3,28,21,30,41,45,35,12,211,382,371,435,583,625,732,586,385,4106,1153,3302,4915,5927,5598,4879,2282,679,28732
20203,24,23,36,28,9,0,144,4,22,20,41,48,31,8,0,183,37,161,179,179,126,112,33,7,833,25,85,119,160,174,148,40,13,763,109,320,368,394,516,281,90,14,2085,18,25,24,24,25,12,3,0,136,8,13,19,24,39,38,11,0,159,130,356,416,440,582,333,105,19,2382,0,3,0,8,0,9,10,4,40,131,95,147,208,299,285,194,103,1458,327,746,915,1070,1267,940,398,139,5802
20301,126,94,130,72,16,0,532,9,74,125,111,90,60,14,0,484,89,474,605,450,329,219,63,11,2236,69,280,458,424,355,239,77,13,1916,286,800,943,937,691,392,123,26,4197,41,29,39,40,33,24,9,0,216,15,19,56,52,49,40,20,0,253,345,848,1040,1026,773,456,153,29,4666,3,9,13,13,10,16,15,0,81,178,142,215,210,220,225,161,100,1445,687,1915,2574,2326,1903,1296,495,157,11364
20302,2263,1468,986,596,243,27,9176,107,1091,1150,984,769,589,165,26,4877,2180,8366,6646,4398,2962,2203,805,216,27770,1127,3307,3359,3383,2729,2125,996,264,17293,3014,7017,5826,5448,5040,3167,1447,458,31426,390,362,355,274,223,172,58,8,1846,188,313,361,441,450,409,213,68,2433,3589,7690,6540,6158,5716,3752,1721,531,35700,75,125,125,112,124,142,132,49,879,1626,1995,1602,1529,1439,1667,1639,1001,12492,8963,25915,21682,18031,14718,11072,5706,2111,108195
20303,1061,860,831,755,262,29,4526,21,341,601,601,654,640,169,20,3047,478,2671,3570,2709,2276,2194,834,147,14877,272,1021,1545,1685,1693,1827,777,180,8999,798,2171,2541,2419,2421,1877,741,230,13199,107,70,114,108,107,112,32,7,666,64,99,159,204,235,309,144,47,1264,969,2344,2814,2724,2771,2303,922,281,15132,18,27,55,35,65,99,92,31,432,465,442,620,620,795,1106,899,562,5511,2268,7541,10270,9234,9079,8922,3957,1246,52517
20401,253,236,251,216,61,16,1291,20,144,205,237,217,202,63,7,1093,215,900,1001,873,877,851,312,77,5096,168,650,840,922,971,825,352,85,4816,774,1763,1818,1924,2044,1456,554,132,10463,122,122,91,89,100,71,25,3,626,48,83,92,160,159,178,80,28,822,945,1964,2001,2172,2304,1700,659,166,11916,5,22,24,25,44,61,41,13,240,639,550,612,730,989,985,665,342,5509,2007,4467,4944,5190,5657,4840,2154,706,29966
