SA3_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
20101,124,319,248,157,386,351,97,195,22,1901,101,207,129,95,326,310,90,181,332,1761,3045,8574,6803,4790,10956,10652,3133,5732,721,54407
20102,26,82,61,37,91,99,24,69,9,506,40,92,56,34,84,107,27,67,109,612,876,2249,1787,1250,2272,2676,833,1999,299,14258
20103,20,53,48,28,78,67,16,41,10,365,32,50,38,25,90,79,18,52,116,500,627,1627,1213,936,1833,1885,524,1264,266,10177
20201,107,333,235,125,363,339,79,173,5,1760,65,190,148,87,291,293,54,153,295,1582,2641,7443,5838,4412,10296,8947,2581,4955,639,47758
20202,57,140,102,82,135,171,51,84,14,840,63,153,69,61,118,156,37,106,145,909,1461,4058,3135,2287,3560,4565,1308,2946,441,23761
20203,8,35,17,3,22,25,17,17,5,151,11,30,15,15,39,34,3,38,69,264,303,765,588,402,737,867,245,1021,173,5104
20301,27,74,41,21,69,96,25,55,4,415,19,55,28,23,61,75,24,46,82,419,706,1811,1244,927,1891,2300,601,1606,218,11308
20302,249,648,520,245,690,674,144,295,31,3489,160,467,324,243,683,755,149,375,658,3811,5553,16684,12655,8523,20602,21034,5727,10416,1481,102678
20303,140,307,220,122,242,223,64,137,19,1474,84,203,154,106,184,307,65,157,245,1502,2911,7505,5631,3763,7242,8619,2458,4814,646,43580
20401,69,156,109,79,163,197,59,111,25,958,64,141,105,76,148,209,35,130,236,1145,1644,4027,3105,2234,4552,5487,1514,3684,645,26895
20402,44,127,79,56,160,193,46,98,11,808,47,98,83,37,153,148,41,110,184,897,1257,3293,2663,2008,4169,4248,1205,2906,477,22224
20403,81,205,159,70,226,248,68,159,23,1234,64,172,113,77,225,223,50,98,277,1299,2089,5266,4246,3284,7019,7354,2137,4548,709,36638
20501,74,182,135,96,233,251,64,151,15,1202,57,132,80,46,176,183,63,111,206,1065,1510,4148,3194,2227,4899,4991,1465,3713,532,26676
20502,27,129,93,85,140,143,41,76,12,752,58,106,83,54,137,84,18,77,189,807,1192,3253,2604,1862,3365,3254,941,2299,473,19235
20503,84,231,152,90,199,211,56,139,29,1190,105,183,117,77,155,188,43,110,272,1247,2077,5436,4059,2712,4603,5356,1458,3758,730,30186
